time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,13.58,13.71,13.38,13.43,1200.0,1,0.0
2024-01-03,13.15,13.16,12.89,12.94,1164.0,1,0.0
2024-01-04,12.97,13.24,12.94,13.09,1021.0,1,0.0
2024-01-05,13.08,13.66,13.07,13.59,1208.0,1,0.0
2024-01-08,14.12,14.66,14.08,14.58,1485.0,1,0.0
2024-01-09,14.56,14.62,14.36,14.37,1247.0,1,0.0
2024-01-10,14.31,14.4,14.2,14.34,1041.0,1,0.0
2024-01-11,14.44,14.62,14.24,14.56,1198.0,1,0.0
2024-01-12,13.96,13.96,13.19,13.22,1875.0,1,0.0
2024-01-16,13.05,13.19,12.78,13.18,1663.0,1,0.0
2024-01-17,12.97,13.2,12.87,12.94,1354.0,1,0.0
2024-01-18,13.04,13.86,13.01,13.81,1327.0,0,0.0
2024-01-19,13.77,13.8,13.41,13.66,1368.0,1,0.0
2024-01-22,14.02,14.07,13.54,13.61,1114.0,1,0.0
2024-01-23,14.21,14.46,13.93,13.97,1781.0,1,0.0
2024-01-24,14.08,14.14,13.85,13.92,1162.0,1,0.0
2024-01-25,14.74,15.45,14.6,15.35,2881.0,1,0.0
2024-01-26,15.53,15.83,15.0,15.11,1743.0,1,0.0
2024-01-29,15.31,15.34,14.86,14.94,1208.0,1,0.0
2024-01-30,14.71,14.87,14.53,14.53,1381.0,1,0.0
2024-01-31,14.41,14.6,14.21,14.23,2369.0,1,0.0
2024-02-01,14.35,14.39,13.87,14.32,1525.0,1,0.0
2024-02-02,14.14,14.66,14.14,14.57,1541.0,1,0.0
2024-02-05,14.27,14.38,14.11,14.27,1215.0,1,0.0
2024-02-06,14.26,14.94,14.22,14.89,1364.0,1,0.0
2024-02-07,14.97,15.02,14.71,14.9,1308.0,1,0.0
2024-02-08,14.91,14.98,14.6,14.95,1474.0,1,0.0
2024-02-09,15.05,15.17,14.71,14.89,1375.0,1,0.0
2024-02-12,14.86,15.09,14.77,14.94,1357.0,1,0.0
2024-02-13,14.77,14.86,14.41,14.61,1887.0,1,0.0
2024-02-14,14.82,14.96,14.68,14.84,1342.0,1,0.0
2024-02-15,14.98,15.14,14.83,14.88,1421.0,1,0.0
2024-02-16,14.73,14.88,14.52,14.65,1276.0,0,0.0
2024-02-20,14.54,14.94,14.51,14.66,1447.0,1,0.0
2024-02-21,14.63,14.85,14.56,14.78,1247.0,1,0.0
2024-02-22,14.95,15.27,14.89,15.23,1591.0,1,0.0
2024-02-23,15.12,15.28,14.95,15.14,1185.0,1,0.0
2024-02-26,15.23,15.47,15.18,15.27,997.0,1,0.0
2024-02-27,15.53,15.66,15.38,15.52,1169.0,1,0.0
