time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,65.35,65.76,65.2,65.46,4695,2,0
2024-01-03,64.79,65.35,64.74,65.24,4323,2,0
2024-01-04,65.0,65.23,64.69,64.84,3513,2,0
2024-01-05,64.8,65.32,64.62,64.84,4821,2,0
2024-01-08,64.1,64.95,63.74,64.95,2752,2,0
2024-01-09,63.8,64.11,63.8,63.97,2710,2,0
2024-01-10,63.85,63.94,63.64,63.85,2566,2,0
2024-01-11,64.03,64.33,63.74,64.33,4861,2,0
2024-01-12,64.62,64.98,64.28,64.54,3558,2,0
2024-01-16,63.2,63.28,62.61,62.87,4595,2,0
2024-01-17,61.28,61.79,61.1,61.78,2984,2,0
2024-01-18,62.07,62.46,62.03,62.44,3528,1,0
2024-01-19,62.18,63.23,62.18,63.14,4311,2,0
2024-01-22,62.17,62.61,61.83,62.53,3663,2,0
2024-01-23,62.75,63.19,62.54,63.11,3883,2,0
2024-01-24,64.17,64.33,63.78,64.04,4472,2,0
2024-01-25,64.15,64.35,63.8,64.02,4516,2,0
2024-01-26,63.82,64.23,63.58,64.01,3545,2,0
2024-01-29,64.13,64.18,63.66,64.12,2522,2,0
2024-01-30,63.29,63.52,63.07,63.43,2424,2,0
2024-01-31,63.14,63.63,62.88,63.1,6939,2,0
2024-02-01,63.48,63.66,62.82,63.63,3686,2,0
2024-02-02,63.36,63.51,63.09,63.38,2494,2,0
2024-02-05,63.12,63.7,62.86,63.47,3801,2,0
2024-02-06,64.3,65.13,64.28,65.1,3936,2,0
2024-02-07,64.98,65.31,64.92,65.19,4194,2,0
2024-02-08,64.74,64.9,64.49,64.79,3453,2,0
2024-02-09,64.79,65.22,64.43,65.14,2708,1,0
2024-02-12,65.34,66.05,65.25,65.62,3540,2,0
2024-02-13,64.86,65.07,64.08,64.32,3923,1,0
2024-02-14,65.1,65.42,64.8,65.3,3252,2,0
2024-02-15,65.46,65.61,65.34,65.6,3658,2,0
2024-02-16,66.04,66.12,65.79,65.89,3145,2,0
2024-02-20,66.2,66.27,65.73,65.94,3284,2,0
2024-02-21,66.12,66.34,65.84,66.12,3691,2,0
2024-02-22,66.77,66.97,66.53,66.91,3072,2,0
2024-02-23,66.97,67.02,66.56,66.98,3523,2,0
2024-02-26,66.55,66.74,66.41,66.57,2949,2,0
2024-02-27,66.7,66.77,66.52,66.66,2376,2,0
2024-02-28,66.01,66.01,65.55,65.75,2165,2,0
2024-02-29,66.18,66.23,65.76,65.91,1791,2,0
2024-03-01,66.41,66.89,66.2,66.75,3070,2,0
2024-03-04,66.92,66.93,66.54,66.67,2327,2,0
2024-03-05,66.17,66.48,65.89,66.02,3207,2,0
2024-03-06,67.1,67.33,66.83,67.08,4315,2,0
2024-03-07,67.27,67.56,67.07,67.53,2079,2,0
2024-03-08,68.05,68.12,67.39,67.59,4982,2,0
2024-03-11,67.92,68.09,67.71,67.78,2325,2,0
2024-03-12,68.5,68.73,68.09,68.67,2709,2,0
2024-03-13,68.44,68.61,68.24,68.33,2327,2,0
2024-03-14,68.3,68.39,67.76,67.94,3030,0,0
2024-03-15,67.62,67.74,67.36,67.44,2878,2,0
2024-03-18,67.82,67.93,67.46,67.61,2498,2,0
2024-03-19,66.97,67.29,66.77,67.21,2315,2,0
2024-03-20,67.48,67.89,67.18,67.83,5130,2,0
2024-03-21,68.27,68.36,67.89,67.95,2918,2,0
2024-03-22,67.51,67.59,67.24,67.47,2626,2,0
2024-03-25,67.4,67.64,67.35,67.55,1856,2,0
2024-03-26,67.68,67.78,67.5,67.52,1918,2,0
2024-03-27,67.39,67.57,67.3,67.55,1780,2,0
2024-03-28,67.62,67.95,67.62,67.76,1980,2,0
2024-04-01,68.27,68.54,67.83,68.05,2095,2,0
2024-04-02,68.31,68.53,68.11,68.28,1781,2,0
2024-04-03,67.91,68.37,67.74,68.24,2392,2,0
2024-04-04,68.71,68.9,67.74,67.83,3858,1,0
2024-04-05,67.64,68.13,67.48,67.96,3846,2,0
2024-04-08,68.24,68.49,68.15,68.31,3240,2,0
2024-04-09,68.77,68.89,68.36,68.8,3534,2,0
2024-04-10,68.06,68.09,67.51,67.9,5235,2,0
2024-04-11,68.45,68.49,67.92,68.44,2669,2,0
2024-04-12,67.28,67.32,66.6,66.78,3640,2,0
2024-04-15,67.09,67.13,66.21,66.37,4138,2,0
2024-04-16,65.59,65.87,65.34,65.59,6564,2,0
2024-04-17,65.84,65.96,65.35,65.61,5558,2,0
2024-04-18,65.93,66.29,65.64,65.92,5071,0,0
2024-04-19,65.55,65.68,65.25,65.45,6793,2,0
2024-04-22,65.72,66.45,65.49,66.32,3770,2,0
2024-04-23,66.48,66.96,66.18,66.91,2723,2,0
2024-04-24,67.49,67.55,67.1,67.4,3587,2,0
2024-04-25,66.81,67.74,66.65,67.67,4582,2,0
2024-04-26,68.26,68.39,67.97,68.35,3739,2,0
2024-04-29,68.54,68.99,68.48,68.99,2550,2,0
2024-04-30,68.25,68.65,67.95,68.09,2854,2,0
2024-05-01,67.97,68.86,67.77,68.16,4441,2,0
2024-05-02,69.14,70.33,68.88,70.13,3563,2,0
2024-05-03,70.32,70.73,70.14,70.72,2999,2,0
2024-05-06,70.76,70.86,70.52,70.8,2178,2,0
2024-05-07,70.14,70.51,70.03,70.39,2171,2,0
2024-05-08,69.57,70.33,69.51,70.28,1177,2,0
2024-05-09,70.13,70.69,70.07,70.66,2292,2,0
2024-05-10,71.2,71.26,70.71,70.95,2059,2,0
2024-05-13,71.49,71.77,70.89,71.57,2010,2,0
2024-05-14,71.67,72.04,71.29,72.04,1580,2,0
2024-05-15,72.08,72.89,72.04,72.87,2719,2,0
2024-05-16,72.52,73.3,72.25,73.11,1754,2,0
2024-05-17,73.14,73.63,72.77,73.44,2506,2,0
2024-05-20,72.97,73.25,72.84,73.05,1980,2,0
