time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,588.5,589.0,576.55,580.61,3731.0,5,0.0
2024-01-03,572.0,575.54,570.11,571.39,4383.0,7,0.0
2024-01-04,570.41,572.82,566.07,566.95,3440.0,6,0.0
2024-01-05,567.0,569.31,563.25,564.57,3403.0,8,0.0
2024-01-08,569.0,581.37,567.0,580.64,3956.0,5,0.0
2024-01-09,578.25,588.12,577.12,586.18,3514.0,6,0.0
2024-01-10,589.71,593.41,585.07,590.78,4821.0,0,0.0
2024-01-11,594.48,597.48,584.16,597.48,4181.0,6,0.0
2024-01-12,596.0,599.13,592.43,596.28,2916.0,9,0.0
2024-01-16,590.3,597.1,588.0,597.03,3676.0,4,0.0
2024-01-17,591.66,596.64,582.23,596.27,4246.0,6,0.0
2024-01-18,590.26,596.61,584.21,593.63,3465.0,4,0.0
2024-01-19,592.19,611.25,589.38,610.62,4030.0,4,0.0
2024-01-22,617.32,620.59,603.0,603.47,3564.0,11,0.0
2024-01-23,595.0,603.82,591.0,597.14,3679.0,8,0.0
2024-01-24,598.6,616.7,597.0,606.19,4310.0,7,0.0
2024-01-25,612.9,626.88,612.36,622.34,5618.0,5,0.0
2024-01-26,621.43,621.76,612.89,613.42,3737.0,7,0.0
2024-01-29,619.79,635.74,615.92,629.89,4856.0,6,0.0
2024-01-30,627.0,629.62,620.78,627.91,3587.0,7,0.0
2024-01-31,616.83,625.61,612.0,617.83,4463.0,11,0.0
2024-02-01,618.31,628.61,617.78,627.1,4410.0,7,0.0
2024-02-02,619.49,638.1,617.0,634.66,4337.0,7,0.0
2024-02-05,632.25,633.89,624.3,630.62,3498.0,9,0.0
2024-02-06,625.55,625.55,604.58,606.86,3451.0,5,0.0
2024-02-07,612.24,620.3,610.1,616.03,3201.0,6,0.0
2024-02-08,615.0,621.04,612.5,615.42,2586.0,8,0.0
2024-02-09,615.35,627.89,615.35,626.43,2809.0,4,0.0
2024-02-12,622.75,624.02,610.59,611.01,2595.0,7,0.0
2024-02-13,598.27,608.23,596.38,601.61,4163.0,7,0.0
2024-02-14,606.7,609.89,602.02,604.07,3717.0,7,0.0
2024-02-15,601.02,604.24,589.2,590.0,3191.0,7,0.0
2024-02-16,587.35,587.35,546.1,546.93,4756.0,4,0.0
2024-02-20,540.0,545.35,530.33,540.95,7379.0,7,0.0
2024-02-21,539.52,542.24,529.19,538.16,6496.0,4,0.0
2024-02-22,547.69,548.51,534.0,537.02,4228.0,6,0.0
2024-02-23,543.5,556.85,542.26,553.55,6104.0,5,0.0
2024-02-26,560.1,570.11,556.0,560.47,4451.0,7,0.0
2024-02-27,558.88,558.88,548.52,552.51,3016.0,6,0.0
2024-02-28,550.01,557.02,549.18,551.6,2765.0,7,0.0
2024-02-29,556.81,561.85,552.72,560.71,3957.0,5,0.0
2024-03-01,565.0,572.67,560.28,571.03,3651.0,4,0.0
2024-03-04,571.0,575.8,564.0,567.86,2694.0,8,0.0
2024-03-05,560.05,561.63,539.39,544.77,4061.0,2,0.0
2024-03-06,549.07,549.07,538.35,543.12,4373.0,4,0.0
2024-03-07,547.0,558.08,541.44,555.93,3748.0,6,0.0
2024-03-08,556.0,559.09,550.2,551.64,5560.0,6,0.0
2024-03-11,550.51,562.28,550.51,560.07,4377.0,6,0.0
2024-03-12,568.0,579.68,562.5,579.14,3211.0,2,0.0
2024-03-13,580.54,585.04,573.42,573.49,3955.0,7,0.0
2024-03-14,576.63,578.75,568.85,570.5,3871.0,7,0.0
2024-03-15,501.68,502.76,485.0,492.07,7065.0,2,0.0
2024-03-18,498.0,515.28,497.21,513.57,5582.0,2,0.0
2024-03-19,509.63,522.55,509.1,521.32,5206.0,7,0.0
2024-03-20,521.31,521.7,512.55,518.91,3858.0,6,0.0
2024-03-21,517.24,518.9,506.12,511.24,4346.0,5,0.0
2024-03-22,509.07,509.41,496.56,499.72,3908.0,4,0.0
2024-03-25,497.0,510.41,497.0,507.07,3655.0,2,0.0
2024-03-26,505.65,512.59,503.41,507.69,3192.0,7,0.0
2024-03-27,513.5,515.0,499.58,504.38,2859.0,5,0.0
2024-03-28,506.15,507.27,500.24,504.37,2900.0,5,0.0
2024-04-01,504.0,506.63,499.32,501.63,2225.0,5,0.0
2024-04-02,492.88,500.47,491.26,499.1,3165.0,4,0.0
2024-04-03,497.32,498.67,494.67,497.17,2742.0,8,0.0
2024-04-04,502.82,504.0,486.68,486.99,3100.0,3,0.0
2024-04-05,489.15,489.15,481.25,484.82,4854.0,4,0.0
2024-04-08,482.75,486.77,477.25,483.48,2628.0,3,0.0
2024-04-09,484.0,493.01,483.31,492.11,3112.0,4,0.0
2024-04-10,489.0,489.04,480.1,487.44,3188.0,5,0.0
2024-04-11,485.0,487.49,479.75,484.28,2617.0,3,0.0
2024-04-12,477.8,478.25,468.55,474.07,3865.0,2,0.0
2024-04-15,477.05,478.15,468.1,470.32,3053.0,6,0.0
2024-04-16,470.0,478.7,469.19,475.77,3816.0,5,0.0
2024-04-17,478.63,480.85,472.51,474.8,3481.0,8,0.0
2024-04-18,475.2,477.51,471.62,473.31,3881.0,4,0.0
2024-04-19,471.0,473.6,463.0,464.78,4160.0,5,0.0
2024-04-22,469.0,469.92,462.1,466.26,3198.0,2,0.0
2024-04-23,468.24,474.68,467.5,472.23,2631.0,8,0.0
2024-04-24,472.93,478.5,471.7,477.07,2600.0,2,0.0
2024-04-25,469.58,474.18,465.67,473.32,3258.0,9,0.0
2024-04-26,471.0,482.57,471.0,477.36,3234.0,6,0.0
2024-04-29,479.54,481.17,471.0,472.75,4121.0,4,0.0
2024-04-30,470.03,474.6,462.8,462.8,2258.0,7,0.0
2024-05-01,462.02,477.24,461.0,469.25,2881.0,4,0.0
2024-05-02,472.23,476.92,468.09,475.61,2454.0,7,0.0
2024-05-03,481.94,487.18,477.32,485.78,3750.0,1,0.0
2024-05-06,489.75,495.2,489.06,493.38,3325.0,3,0.0
2024-05-07,491.48,496.58,489.0,491.64,2837.0,4,0.0
2024-05-08,489.17,495.53,486.43,488.65,2842.0,4,0.0
2024-05-09,488.1,488.8,481.5,482.3,3184.0,6,0.0
2024-05-10,482.0,489.28,480.24,482.56,2934.0,6,0.0
2024-05-13,485.09,490.0,481.75,482.89,2312.0,3,0.0
2024-05-14,474.0,481.24,466.3,476.07,3836.0,5,0.0
2024-05-15,480.01,489.33,476.5,484.96,3808.0,6,0.0
2024-05-16,484.6,486.07,481.1,482.54,2686.0,7,0.0
2024-05-17,484.14,485.66,481.4,482.94,2117.0,3,0.0
2024-05-20,481.0,485.31,478.16,484.28,2433.0,5,0.0
2024-05-21,482.62,487.23,477.1,481.76,2782.0,3,0.0
2024-05-22,483.0,485.53,479.0,483.15,2943.0,6,0.0
2024-05-23,487.31,491.39,478.5,482.91,4809.0,3,0.0
2024-05-24,479.64,485.19,473.75,475.2,3424.0,4,0.0
2024-05-28,472.23,478.2,469.34,478.02,3049.0,3,0.0
2024-05-29,476.71,482.66,475.46,477.3,2974.0,3,0.0
2024-05-30,461.4,462.37,444.67,445.54,4160.0,3,0.0
2024-05-31,442.0,444.47,433.95,443.97,4076.0,4,0.0
2024-06-03,445.92,448.12,436.5,438.47,3518.0,4,0.0
2024-06-04,443.08,449.9,441.37,448.1,3467.0,8,0.0
2024-06-05,453.27,458.49,450.7,455.65,3123.0,8,0.0
2024-06-06,458.15,467.57,456.69,457.45,3452.0,4,0.0
2024-06-07,458.18,468.75,458.02,465.38,3262.0,6,0.0
2024-06-10,454.48,461.44,454.48,459.57,3159.0,6,0.0
2024-06-11,456.24,462.4,455.5,462.39,3102.0,4,0.0
2024-06-12,467.28,470.88,458.3,459.98,3038.0,7,0.0
2024-06-13,457.0,462.02,453.5,459.19,4186.0,3,0.0
2024-06-14,529.0,531.32,521.7,525.16,5642.0,6,0.0
2024-06-17,520.3,521.25,505.18,519.11,4462.0,8,0.0
2024-06-18,516.0,530.03,515.41,522.57,3570.0,6,0.0
2024-06-20,527.01,532.58,520.3,522.85,3541.0,5,0.0
2024-06-21,528.6,534.8,524.6,533.28,3026.0,4,0.0
2024-06-24,533.51,534.01,523.25,524.13,2950.0,7,0.0
2024-06-25,524.39,529.2,522.12,526.81,2357.0,9,0.0
2024-06-26,526.6,530.54,526.0,528.6,2836.0,5,0.0
2024-06-27,538.13,548.96,533.0,546.56,4884.0,6,0.0
2024-06-28,550.28,558.19,549.55,555.11,3740.0,9,0.0
2024-07-01,550.6,561.1,550.6,559.85,4385.0,4,0.0
2024-07-02,561.43,569.9,560.84,567.74,4190.0,10,0.0
2024-07-03,566.73,571.46,564.0,569.91,2016.0,9,0.0
2024-07-05,570.17,580.25,568.85,578.57,2614.0,4,0.0
2024-07-08,572.5,576.33,564.0,575.3,2750.0,7,0.0
2024-07-09,572.76,574.36,562.2,566.45,2799.0,7,0.0
2024-07-10,564.99,566.65,558.09,564.83,2608.0,9,0.0
2024-07-11,562.99,572.35,556.61,558.48,3233.0,9,0.0
2024-07-12,554.11,562.18,552.01,559.3,2842.0,7,0.0
2024-07-15,562.46,568.0,560.5,564.93,3056.0,9,0.0
2024-07-16,566.36,569.7,562.01,566.85,3206.0,10,0.0
2024-07-17,562.7,564.76,556.19,563.37,2652.0,10,0.0
2024-07-18,561.0,564.04,556.01,556.85,3629.0,7,0.0
2024-07-19,555.13,560.76,548.46,550.8,2373.0,10,0.0
2024-07-22,554.0,559.75,552.36,554.02,2819.0,9,0.0
2024-07-23,555.48,556.6,544.0,545.82,1858.0,8,0.0
2024-07-24,541.79,543.71,530.02,530.85,2670.0,12,0.0
2024-07-25,534.5,541.85,527.33,532.57,3050.0,8,0.0
2024-07-26,534.79,545.02,533.32,541.91,2445.0,16,0.0
2024-07-29,540.8,541.9,535.0,536.54,1793.0,11,0.0
2024-07-30,539.07,543.2,530.15,539.38,1990.0,13,0.0
2024-07-31,546.46,555.12,544.66,551.54,1893.0,4,0.0
2024-08-01,549.5,561.12,540.0,546.25,1795.0,22,0.0
2024-08-02,532.17,533.66,519.5,525.62,1734.0,9,0.0
2024-08-05,506.85,515.5,501.18,508.94,2346.0,14,0.0
2024-08-06,513.67,518.55,509.0,513.51,1483.0,15,0.0
2024-08-07,521.78,530.34,512.0,512.94,1437.0,14,0.0
2024-08-08,519.16,530.44,519.16,528.57,1309.0,16,0.0
2024-08-09,528.6,537.02,527.77,536.13,1434.0,14,0.0
2024-08-12,536.0,536.41,525.41,530.15,1492.0,11,0.0
2024-08-13,529.0,537.05,528.0,535.19,1862.0,6,0.0
2024-08-14,539.53,541.36,533.25,539.8,1321.0,12,0.0
2024-08-15,551.33,557.07,548.0,553.11,1860.0,6,0.0
2024-08-16,548.14,554.66,548.14,552.53,1321.0,8,0.0
2024-08-19,550.96,563.32,550.5,562.52,1498.0,11,0.0
