time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,195.0,196.04,191.43,193.52,5167.0,1,0.0
2024-01-03,189.46,190.7,188.21,188.88,5419.0,1,0.0
2024-01-04,182.49,186.79,182.49,186.09,5355.0,1,0.0
2024-01-05,185.19,187.75,184.22,186.45,6194.0,1,0.0
2024-01-08,186.87,189.38,186.52,189.01,4690.0,1,0.0
2024-01-09,186.69,190.2,185.82,189.69,5391.0,2,0.0
2024-01-10,189.07,189.07,186.28,188.37,4606.0,1,0.0
2024-01-11,188.08,189.22,185.6,188.97,4961.0,2,0.0
2024-01-12,188.63,190.16,187.12,188.41,4772.0,3,0.0
2024-01-16,187.28,189.28,185.46,187.63,7057.0,1,0.0
2024-01-17,183.11,185.66,182.46,185.48,7226.0,1,0.0
2024-01-18,189.59,190.68,187.4,189.95,8337.0,1,0.0
2024-01-19,191.4,195.47,190.88,194.64,7222.0,1,0.0
2024-01-22,196.04,197.76,195.32,197.27,7140.0,1,0.0
2024-01-23,196.91,201.53,196.23,201.32,9453.0,1,0.0
2024-01-24,200.44,202.33,197.82,197.99,8437.0,1,0.0
2024-01-25,201.28,201.28,196.88,197.43,9091.0,1,0.0
2024-01-26,194.95,196.39,193.41,193.91,8900.0,2,0.0
2024-01-29,193.98,197.29,192.82,197.07,8213.0,1,0.0
2024-01-30,195.91,196.28,193.33,194.81,9055.0,2,0.0
2024-01-31,192.51,195.87,191.5,192.15,8370.0,3,0.0
2024-02-01,190.87,192.55,188.65,191.89,8903.0,1,0.0
2024-02-02,190.54,192.65,189.48,192.09,8226.0,2,0.0
2024-02-05,190.91,193.95,190.26,192.67,7540.0,1,0.0
2024-02-06,192.02,192.67,189.0,189.7,8165.0,1,0.0
2024-02-07,191.08,192.68,188.63,191.92,6144.0,1,0.0
2024-02-08,192.25,195.08,191.61,194.08,6638.0,1,0.0
2024-02-09,194.72,195.37,193.39,194.66,5805.0,1,0.0
2024-02-12,194.06,195.64,192.27,193.94,9423.0,1,0.0
2024-02-13,187.22,188.04,183.0,184.84,13062.0,1,0.0
2024-02-14,185.45,187.01,184.69,186.26,10765.0,1,0.0
2024-02-15,187.8,189.16,186.56,187.58,8644.0,2,0.0
2024-02-16,187.44,190.49,185.82,188.2,9427.0,1,0.0
2024-02-20,186.93,189.38,185.93,189.19,12367.0,1,0.0
2024-02-21,190.04,194.12,190.04,193.71,9323.0,1,0.0
2024-02-22,195.0,195.11,188.96,192.08,6568.0,2,0.0
2024-02-23,191.52,192.35,189.82,190.29,8361.0,0,0.0
2024-02-26,190.2,190.6,188.8,188.99,7308.0,2,0.0
2024-02-27,190.1,190.14,187.96,189.15,6096.0,1,0.0
2024-02-28,186.05,188.6,186.0,187.76,6694.0,1,0.0
2024-02-29,189.77,192.23,188.51,191.97,6488.0,1,0.0
2024-03-01,192.22,197.13,191.14,196.18,6950.0,1,0.0
2024-03-04,195.05,196.12,193.28,194.69,6597.0,1,0.0
2024-03-05,192.87,194.93,188.72,189.87,9222.0,1,0.0
2024-03-06,191.31,193.9,190.28,191.58,7106.0,2,0.0
2024-03-07,193.08,199.34,193.08,198.3,6415.0,1,0.0
2024-03-08,198.77,199.42,195.45,196.13,8952.0,2,0.0
2024-03-11,193.24,198.46,193.04,198.15,5816.0,1,0.0
2024-03-12,198.0,199.47,195.82,199.19,6254.0,1,0.0
2024-03-13,197.78,199.73,197.31,198.48,9441.0,1,0.0
2024-03-14,197.79,199.7,193.49,194.38,9820.0,1,0.0
2024-03-15,190.8,195.77,189.39,195.12,9716.0,1,0.0
2024-03-18,197.59,197.97,191.11,191.13,6303.0,1,0.0
2024-03-19,189.09,191.03,188.0,190.54,4595.0,2,0.0
2024-03-20,189.53,194.71,189.52,194.27,3735.0,1,0.0
2024-03-21,195.31,198.53,194.28,195.15,5414.0,1,0.0
2024-03-22,194.74,195.05,192.47,193.61,5500.0,1,0.0
2024-03-25,191.28,192.14,190.37,190.51,3501.0,2,0.0
2024-03-26,190.97,191.69,188.75,189.02,5038.0,1,0.0
2024-03-27,189.71,193.39,189.27,193.32,3543.0,1,0.0
2024-03-28,194.25,198.5,194.05,197.92,8193.0,1,0.0
2024-04-01,198.22,199.63,196.02,196.55,3685.0,2,0.0
2024-04-02,194.86,195.53,192.58,194.82,5756.0,1,0.0
2024-04-03,192.66,196.54,192.28,195.1,4877.0,3,0.0
2024-04-04,197.33,198.66,191.21,191.91,6242.0,1,0.0
2024-04-05,192.1,195.63,191.01,194.59,5829.0,1,0.0
2024-04-08,194.67,196.9,194.06,196.43,4309.0,1,0.0
2024-04-09,199.11,203.96,199.01,203.76,11260.0,1,0.0
2024-04-10,199.88,200.6,195.28,196.44,5781.0,2,0.0
2024-04-11,196.53,199.07,194.15,198.42,5009.0,1,0.0
2024-04-12,194.26,196.51,191.89,191.89,5136.0,1,0.0
2024-04-15,195.07,195.57,189.14,190.24,5452.0,3,0.0
2024-04-16,190.61,193.94,190.15,191.22,6757.0,1,0.0
2024-04-17,190.77,192.15,189.01,189.81,6161.0,1,0.0
2024-04-18,186.31,190.06,186.2,187.51,7904.0,2,0.0
2024-04-19,186.26,187.72,182.54,183.46,7885.0,1,0.0
2024-04-22,184.0,188.21,183.22,185.95,5290.0,1,0.0
2024-04-23,186.56,190.76,186.56,189.82,4144.0,2,0.0
2024-04-24,197.7,201.36,195.0,196.61,5369.0,2,0.0
2024-04-25,196.51,199.01,195.0,197.97,6510.0,2,0.0
2024-04-26,196.89,202.55,196.89,201.91,6050.0,1,0.0
2024-04-29,202.05,203.86,201.05,203.76,6543.0,1,0.0
2024-04-30,202.52,204.02,200.5,200.84,4702.0,3,0.0
2024-05-01,197.55,199.35,193.68,194.14,3956.0,2,0.0
2024-05-02,194.85,197.24,191.25,196.17,4145.0,2,0.0
2024-05-03,198.81,201.49,198.19,199.58,3810.0,1,0.0
2024-05-06,199.67,203.42,199.67,203.16,4263.0,1,0.0
2024-05-07,203.86,205.66,202.78,203.65,4385.0,2,0.0
2024-05-08,201.58,204.99,201.06,204.9,3931.0,1,0.0
2024-05-09,204.1,205.41,203.5,204.74,3953.0,2,0.0
2024-05-10,205.26,207.68,205.07,207.23,3539.0,1,0.0
2024-05-13,208.5,209.51,207.78,208.28,2858.0,1,0.0
2024-05-14,208.95,212.37,207.83,212.13,3181.0,1,0.0
2024-05-15,213.53,215.7,212.57,215.62,4088.0,1,0.0
2024-05-16,214.88,215.61,213.49,214.54,4331.0,2,0.0
2024-05-17,214.55,215.43,212.84,213.95,3419.0,1,0.0
2024-05-20,214.19,218.55,214.19,217.25,3840.0,1,0.0
2024-05-21,215.31,216.98,214.41,216.69,3819.0,1,0.0
2024-05-22,225.0,240.05,225.0,239.57,6055.0,2,0.0
2024-05-23,239.31,239.97,231.68,234.79,5692.0,2,0.0
2024-05-24,235.73,238.04,232.02,232.25,4673.0,1,0.0
2024-05-28,231.61,234.21,230.07,233.13,4327.0,2,0.0
2024-05-29,229.86,231.44,227.75,227.95,3707.0,0,0.0
2024-05-30,228.54,230.59,228.0,229.94,3855.0,2,0.0
2024-05-31,231.51,234.22,227.3,234.13,4882.0,2,0.0
2024-06-03,235.67,235.75,228.34,231.82,5173.0,2,0.0
2024-06-04,231.46,232.11,228.58,230.57,4447.0,3,0.0
2024-06-05,231.24,235.87,231.0,235.87,4542.0,3,0.0
2024-06-06,232.98,238.33,232.98,237.18,3865.0,1,0.0
2024-06-07,235.18,237.38,233.13,234.78,5283.0,2,0.0
2024-06-10,232.68,235.86,232.65,234.64,3441.0,1,0.0
2024-06-11,233.29,236.4,232.76,236.21,4044.0,1,0.0
2024-06-12,238.01,240.44,234.88,238.47,3641.0,3,0.0
2024-06-13,234.76,235.88,232.62,234.24,3650.0,1,0.0
2024-06-14,229.77,232.52,229.41,230.84,3499.0,1,0.0
2024-06-17,229.88,232.3,227.58,232.23,3963.0,3,0.0
2024-06-18,230.81,236.34,230.47,235.47,3607.0,2,0.0
2024-06-20,230.5,232.17,228.59,229.11,5413.0,3,0.0
2024-06-21,229.75,231.74,228.79,230.85,3742.0,1,0.0
2024-06-24,229.96,231.77,227.39,228.34,3731.0,4,0.0
2024-06-25,227.74,230.46,225.22,230.21,3262.0,3,0.0
2024-06-26,229.4,229.58,226.52,227.71,2674.0,2,0.0
2024-06-27,226.33,228.38,225.4,226.4,2415.0,2,0.0
2024-06-28,227.08,231.99,226.16,228.05,4276.0,3,0.0
2024-07-01,225.0,226.79,223.73,225.18,3652.0,1,0.0
2024-07-02,225.84,228.19,224.37,228.19,3515.0,2,0.0
2024-07-03,227.45,230.8,226.27,229.33,1441.0,3,0.0
2024-07-05,230.69,231.16,228.01,230.93,3153.0,2,0.0
2024-07-08,232.39,233.64,231.52,232.99,2838.0,2,0.0
2024-07-09,233.0,234.1,230.73,232.23,2466.0,2,0.0
2024-07-10,232.67,239.02,231.8,238.26,3326.0,1,0.0
2024-07-11,237.63,238.89,233.4,233.4,3359.0,2,0.0
2024-07-12,236.03,241.97,234.75,238.44,3788.0,4,0.0
2024-07-15,237.2,239.71,235.86,237.33,3568.0,1,0.0
2024-07-16,237.5,243.73,237.5,243.29,3263.0,3,0.0
2024-07-17,240.81,244.07,235.0,235.52,5972.0,2,0.0
2024-07-18,237.07,240.95,235.74,238.55,5747.0,1,0.0
2024-07-19,237.59,238.64,230.34,231.0,3450.0,2,0.0
2024-07-22,232.71,240.21,232.71,239.48,4011.0,3,0.0
2024-07-23,234.28,236.52,229.0,230.13,4029.0,2,0.0
2024-07-24,229.15,229.83,223.0,224.01,4182.0,1,0.0
2024-07-25,217.82,227.47,217.08,220.93,4687.0,2,0.0
2024-07-26,223.71,227.15,222.45,225.81,4213.0,3,0.0
2024-07-29,225.9,230.15,224.5,227.3,2594.0,1,0.0
2024-07-30,228.0,229.78,222.88,224.16,3219.0,4,0.0
2024-07-31,227.97,231.99,226.3,231.28,2806.0,2,0.0
2024-08-01,228.86,230.82,216.65,218.53,4514.0,3,0.0
2024-08-02,209.6,212.88,206.5,208.02,3806.0,2,0.0
2024-08-05,201.22,207.02,198.07,200.16,2692.0,4,0.0
2024-08-06,200.25,208.64,200.25,204.73,3096.0,4,0.0
2024-08-07,211.14,211.14,200.57,201.48,2613.0,4,0.0
2024-08-08,205.52,213.81,202.52,213.02,3212.0,3,0.0
2024-08-09,212.21,213.42,209.0,211.32,1342.0,5,0.0
2024-08-12,212.24,213.01,210.0,211.56,1801.0,4,0.0
2024-08-13,213.58,218.5,212.8,217.97,2116.0,1,0.0
2024-08-14,216.66,216.83,212.33,215.39,2146.0,5,0.0
2024-08-15,220.22,224.13,218.73,223.25,2589.0,4,0.0
2024-08-16,222.24,223.64,220.44,223.1,2255.0,3,0.0
2024-08-19,222.04,225.94,220.99,225.76,2078.0,2,0.0
2024-08-20,223.01,225.67,220.73,223.78,2652.0,3,0.0
2024-08-21,229.05,235.9,224.75,227.6,2676.0,4,0.0
2024-08-22,224.99,227.84,220.47,221.57,3600.0,2,0.0
2024-08-23,224.55,228.99,224.55,228.44,2477.0,3,0.0
