time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,231.6,233.59,231.55,233.49,7654.0,1,0.0
2024-01-03,233.0,234.14,231.55,232.54,7847.0,1,0.0
2024-01-04,232.41,235.24,232.41,233.75,6350.0,2,0.0
2024-01-05,231.7,235.33,231.7,235.14,6845.0,3,0.0
2024-01-08,235.52,237.01,234.92,236.83,6121.0,1,0.0
2024-01-09,233.45,236.96,233.45,235.07,6236.0,2,0.0
2024-01-10,233.52,236.08,233.52,235.24,6126.0,1,0.0
2024-01-11,234.02,235.48,232.22,235.44,6193.0,2,0.0
2024-01-12,236.61,236.92,234.0,235.94,5284.0,1,0.0
2024-01-16,233.76,235.83,233.0,235.16,6997.0,2,0.0
2024-01-17,234.66,237.0,234.24,235.52,7127.0,1,0.0
2024-01-18,235.13,236.47,234.0,236.07,6141.0,2,0.0
2024-01-19,236.46,239.1,234.34,238.12,5971.0,2,0.0
2024-01-22,238.84,240.18,237.58,239.43,6441.0,2,0.0
2024-01-23,239.8,240.36,238.37,240.35,5631.0,1,0.0
2024-01-24,240.6,241.51,238.0,238.38,6739.0,2,0.0
2024-01-25,238.43,240.46,235.94,236.73,10664.0,1,0.0
2024-01-26,236.91,237.01,235.28,236.05,4667.0,1,0.0
2024-01-29,234.23,237.51,234.23,237.51,4740.0,1,0.0
2024-01-30,235.5,238.77,234.68,238.49,5445.0,2,0.0
2024-01-31,245.0,250.27,243.52,245.98,4618.0,3,0.0
2024-02-01,244.98,247.0,241.52,246.92,4253.0,1,0.0
2024-02-02,247.08,249.72,246.4,248.71,4317.0,3,0.0
2024-02-05,247.0,248.73,246.0,248.54,4282.0,1,0.0
2024-02-06,248.23,251.78,248.23,250.69,4538.0,2,0.0
2024-02-07,251.41,251.97,249.31,250.1,4006.0,2,0.0
2024-02-08,249.39,251.0,248.23,250.98,3196.0,1,0.0
2024-02-09,250.5,250.79,248.75,249.85,3020.0,1,0.0
2024-02-12,249.51,250.74,249.0,250.02,4080.0,1,0.0
2024-02-13,248.5,249.99,247.69,249.64,4589.0,1,0.0
2024-02-14,249.71,251.17,248.55,250.87,3968.0,1,0.0
2024-02-15,251.38,252.8,250.61,251.9,3469.0,1,0.0
2024-02-16,252.0,254.3,250.0,252.92,4433.0,1,0.0
2024-02-20,252.1,254.45,252.1,252.66,4116.0,2,0.0
2024-02-21,251.15,253.95,250.82,253.89,3766.0,1,0.0
2024-02-22,253.35,255.61,253.03,254.79,3897.0,1,0.0
2024-02-23,254.34,256.19,254.34,256.01,3000.0,2,0.0
2024-02-26,255.01,255.97,253.33,253.47,3006.0,1,0.0
2024-02-27,252.37,252.99,250.13,251.29,3013.0,2,0.0
2024-02-28,250.65,251.8,249.77,251.51,3013.0,1,0.0
2024-02-29,251.58,252.31,250.0,250.84,3902.0,1,0.0
2024-03-01,247.55,250.09,247.55,249.54,3823.0,1,0.0
2024-03-04,248.57,249.18,243.83,246.1,5086.0,1,0.0
2024-03-05,245.0,245.19,242.5,244.07,4241.0,1,0.0
2024-03-06,244.2,246.19,243.0,243.57,4523.0,1,0.0
2024-03-07,243.18,245.36,243.18,244.23,2669.0,2,0.0
2024-03-08,243.07,244.12,241.39,242.32,3186.0,1,0.0
2024-03-11,242.99,244.44,241.54,243.97,2846.0,3,0.0
2024-03-12,243.46,245.57,242.59,244.71,2717.0,3,0.0
2024-03-13,243.29,245.19,243.0,244.12,2056.0,3,0.0
2024-03-14,243.26,244.54,242.12,242.99,2813.0,3,0.0
2024-03-15,242.68,243.31,238.73,241.87,3219.0,1,0.0
2024-03-18,243.18,244.19,241.51,241.64,2534.0,2,0.0
2024-03-19,242.0,244.27,241.0,244.22,1968.0,1,0.0
2024-03-20,243.42,247.6,242.93,247.53,2358.0,1,0.0
2024-03-21,247.0,250.47,247.0,249.11,2578.0,1,0.0
2024-03-22,249.0,249.35,246.84,247.74,1811.0,1,0.0
2024-03-25,246.78,247.25,244.0,244.17,1622.0,3,0.0
2024-03-26,244.11,245.16,243.07,244.97,2223.0,2,0.0
2024-03-27,245.96,249.29,245.82,248.3,2162.0,1,0.0
2024-03-28,248.84,250.8,248.84,249.79,2336.0,2,0.0
2024-04-01,248.95,249.37,244.93,245.15,2676.0,2,0.0
2024-04-02,240.62,248.53,240.62,247.61,3217.0,3,0.0
2024-04-03,246.64,246.88,244.29,245.1,2715.0,2,0.0
2024-04-04,247.15,247.43,241.22,241.52,3225.0,2,0.0
2024-04-05,241.43,245.74,240.74,244.79,2915.0,1,0.0
2024-04-08,244.27,246.93,244.04,246.6,2127.0,2,0.0
2024-04-09,247.43,249.81,246.42,249.78,2904.0,1,0.0
2024-04-10,245.53,246.68,244.14,245.99,3676.0,3,0.0
2024-04-11,245.52,246.38,242.83,244.48,2840.0,3,0.0
2024-04-12,242.21,244.14,242.0,243.72,3125.0,0,0.0
2024-04-15,246.05,247.2,242.91,244.08,3521.0,3,0.0
2024-04-16,244.64,245.48,243.32,244.1,3436.0,4,0.0
2024-04-17,244.4,244.86,242.0,243.27,2645.0,3,0.0
2024-04-18,243.08,244.33,241.23,241.85,3181.0,3,0.0
2024-04-19,242.24,244.03,241.63,243.35,3547.0,4,0.0
2024-04-22,243.71,247.5,242.79,245.81,3055.0,3,0.0
2024-04-23,246.36,247.72,245.48,246.62,2780.0,2,0.0
2024-04-24,244.8,246.83,244.0,246.74,3032.0,3,0.0
2024-04-25,247.56,248.21,244.25,246.1,3116.0,3,0.0
2024-04-26,245.26,246.71,242.78,243.08,2944.0,2,0.0
2024-04-29,243.94,244.88,243.1,243.93,5113.0,2,0.0
2024-04-30,243.1,244.08,241.66,242.1,3033.0,3,0.0
2024-05-01,244.39,253.52,244.39,247.43,4218.0,4,0.0
2024-05-02,245.0,245.06,241.0,241.47,3621.0,2,0.0
2024-05-03,242.34,242.84,239.23,241.62,3509.0,3,0.0
2024-05-06,242.22,242.7,241.0,242.63,2129.0,1,0.0
2024-05-07,242.4,245.16,241.87,245.0,2719.0,3,0.0
2024-05-08,243.36,243.61,241.13,242.96,2114.0,3,0.0
2024-05-09,242.7,245.38,241.77,244.87,2489.0,2,0.0
2024-05-10,245.0,247.21,245.0,246.85,2173.0,2,0.0
2024-05-13,247.0,249.69,246.5,247.39,1686.0,1,0.0
2024-05-14,248.03,248.73,244.39,245.69,2462.0,3,0.0
2024-05-15,246.3,248.12,245.72,246.52,1967.0,4,0.0
2024-05-16,245.74,250.19,245.0,250.12,2306.0,1,0.0
2024-05-17,248.0,252.31,248.0,252.04,2086.0,2,0.0
2024-05-20,252.0,252.12,250.33,251.51,2978.0,2,0.0
2024-05-21,251.22,252.6,250.54,252.08,3447.0,2,0.0
2024-05-22,250.73,254.6,250.73,253.85,2268.0,1,0.0
2024-05-23,253.35,253.48,250.93,251.41,2984.0,2,0.0
2024-05-24,251.71,251.98,248.26,248.64,1982.0,2,0.0
2024-05-28,247.0,247.86,241.84,243.2,2145.0,3,0.0
