time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,239.0,240.69,232.07,234.1,3076.0,4,0.0
2024-01-03,230.84,231.41,226.64,227.25,2494.0,2,0.0
2024-01-04,226.53,229.43,225.34,228.76,2064.0,2,0.0
2024-01-05,228.45,231.67,227.08,229.55,4382.0,5,0.0
2024-01-08,231.04,235.92,230.88,235.51,2322.0,3,0.0
2024-01-09,233.33,236.6,232.31,235.7,1816.0,4,0.0
2024-01-10,234.73,239.07,234.73,238.81,1468.0,4,0.0
2024-01-11,238.48,240.86,236.3,240.7,2070.0,1,0.0
2024-01-12,240.07,242.78,239.15,242.62,1739.0,5,0.0
2024-01-16,240.24,242.5,239.58,241.47,1595.0,2,0.0
2024-01-17,238.59,238.97,235.67,238.38,1695.0,4,0.0
2024-01-18,238.18,241.59,238.18,241.06,1941.0,5,0.0
2024-01-19,241.29,248.88,241.29,248.52,1749.0,4,0.0
2024-01-22,250.8,252.35,249.39,250.67,1918.0,7,0.0
2024-01-23,249.14,253.08,248.85,252.81,1701.0,3,0.0
2024-01-24,253.8,256.34,252.0,252.63,2303.0,5,0.0
2024-01-25,254.74,255.0,250.5,251.63,1834.0,4,0.0
2024-01-26,250.52,254.2,250.13,252.96,1674.0,5,0.0
2024-01-29,252.22,257.51,252.02,257.19,1582.0,4,0.0
2024-01-30,254.68,257.42,254.68,256.36,1737.0,3,0.0
2024-01-31,252.01,256.39,252.0,253.72,3035.0,5,0.0
2024-02-01,253.0,255.68,250.85,254.74,2864.0,2,0.0
2024-02-02,253.4,259.07,253.4,256.59,2744.0,4,0.0
2024-02-05,254.94,255.82,251.56,253.09,2462.0,6,0.0
2024-02-06,253.5,254.73,252.21,254.05,2305.0,3,0.0
2024-02-07,254.92,260.87,254.44,258.32,1720.0,5,0.0
2024-02-08,257.39,262.79,256.62,261.29,1532.0,9,0.0
2024-02-09,262.74,269.42,262.74,266.44,2269.0,2,0.0
2024-02-12,264.03,267.02,261.33,261.98,2102.0,4,0.0
2024-02-13,252.24,258.5,252.06,256.56,2576.0,4,0.0
2024-02-14,259.42,262.56,257.48,261.74,1578.0,5,0.0
2024-02-15,262.85,263.19,259.0,260.91,1683.0,4,0.0
2024-02-16,260.09,260.33,256.49,257.95,1812.0,5,0.0
2024-02-20,255.27,256.04,251.56,254.95,2131.0,4,0.0
2024-02-21,250.52,252.58,248.5,252.44,1874.0,3,0.0
2024-02-22,257.04,258.67,255.26,256.82,1700.0,4,0.0
2024-02-23,257.92,259.62,256.5,257.6,1076.0,9,0.0
2024-02-26,256.9,259.03,256.3,257.19,1423.0,1,0.0
2024-02-27,257.6,258.35,255.8,256.74,1346.0,1,0.0
2024-02-28,255.61,258.55,254.28,255.0,1895.0,3,0.0
2024-02-29,255.66,258.84,254.66,258.22,2274.0,1,0.0
2024-03-01,278.66,278.66,258.5,264.6,2250.0,1,0.0
2024-03-04,262.0,262.9,259.4,260.6,1450.0,3,0.0
2024-03-05,257.25,257.25,246.05,247.17,1755.0,5,0.0
2024-03-06,248.08,252.1,248.08,251.02,1739.0,6,0.0
2024-03-07,252.67,255.85,250.36,253.79,1450.0,2,0.0
2024-03-08,252.85,255.8,251.32,251.76,1176.0,8,0.0
2024-03-11,250.52,258.98,250.52,258.13,1806.0,5,0.0
2024-03-12,261.0,263.96,258.38,262.67,1417.0,1,0.0
2024-03-13,262.26,263.81,258.3,258.56,1371.0,5,0.0
2024-03-14,257.0,259.33,252.6,258.35,1777.0,3,0.0
2024-03-15,256.81,257.36,253.0,254.02,1502.0,2,0.0
2024-03-18,254.9,259.31,253.7,254.82,1555.0,5,0.0
2024-03-19,253.27,257.05,251.02,256.25,1379.0,4,0.0
2024-03-20,256.05,262.68,255.8,262.08,1469.0,7,0.0
2024-03-21,262.91,268.77,262.91,265.81,1581.0,3,0.0
2024-03-22,264.14,266.64,262.52,262.98,1206.0,4,0.0
2024-03-25,259.4,262.69,257.8,261.77,1321.0,2,0.0
