time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,80.77,83.32,80.77,83.14,4827.0,1,0.0
2024-01-03,83.35,83.67,82.65,83.36,5044.0,1,0.0
2024-01-04,83.0,83.96,83.0,83.31,3970.0,1,0.0
2024-01-05,82.94,84.5,82.82,83.99,4351.0,1,0.0
2024-01-08,83.58,84.53,83.5,84.52,4390.0,1,0.0
2024-01-09,83.7,84.47,83.62,84.05,4645.0,1,0.0
2024-01-10,83.57,83.88,82.44,82.55,3435.0,1,0.0
2024-01-11,81.15,81.66,79.9,80.48,4173.0,1,0.0
2024-01-12,80.91,81.71,80.4,81.45,3854.0,1,0.0
2024-01-16,80.95,81.49,80.65,80.94,4844.0,1,0.0
2024-01-17,80.29,81.02,79.07,79.75,4553.0,1,0.0
2024-01-18,79.24,79.4,77.93,78.22,4214.0,1,0.0
2024-01-19,78.06,78.41,77.03,77.67,3758.0,1,0.0
2024-01-22,77.43,78.21,76.7,77.19,3327.0,1,0.0
2024-01-23,77.3,78.23,77.0,78.06,3808.0,1,0.0
2024-01-24,78.23,78.89,76.83,76.94,4288.0,1,0.0
2024-01-25,77.45,78.26,77.03,78.04,4534.0,1,0.0
2024-01-26,78.03,78.63,77.6,77.82,3133.0,1,0.0
2024-01-29,77.67,78.55,77.13,78.37,2924.0,1,0.0
2024-01-30,77.89,78.92,77.51,78.44,7584.0,1,0.0
2024-01-31,79.13,79.9,77.53,78.17,9048.0,1,0.0
2024-02-01,77.6,79.64,77.55,79.63,7493.0,1,0.0
2024-02-02,78.75,79.32,77.77,78.69,6530.0,1,0.0
2024-02-05,77.43,77.66,76.71,76.87,3331.0,1,0.0
2024-02-06,76.5,77.46,76.38,77.23,3764.0,1,0.0
2024-02-07,77.36,77.69,76.77,77.29,3651.0,1,0.0
2024-02-08,76.08,76.28,75.22,75.91,3824.0,1,0.0
2024-02-09,75.53,76.72,75.53,76.62,3342.0,1,0.0
2024-02-12,76.55,77.69,76.28,77.58,4392.0,1,0.0
2024-02-13,79.23,79.39,77.5,78.78,5976.0,1,0.0
2024-02-14,78.65,79.11,78.01,78.72,4660.0,1,0.0
2024-02-15,79.07,81.64,79.07,81.36,5365.0,1,0.0
2024-02-16,80.75,81.95,80.6,81.34,6216.0,0,0.0
2024-02-20,81.39,82.27,80.71,80.87,4961.0,1,0.0
2024-02-21,81.11,82.6,81.06,82.56,4503.0,1,0.0
2024-02-22,82.0,82.49,81.41,82.12,4330.0,1,0.0
2024-02-23,81.98,82.89,81.69,82.49,4259.0,1,0.0
2024-02-26,81.98,82.24,80.82,80.86,4203.0,1,0.0
2024-02-27,82.5,84.11,81.41,84.06,4905.0,1,0.0
2024-02-28,83.07,83.62,82.52,83.38,4286.0,1,0.0
2024-02-29,83.79,85.21,83.4,85.06,6505.0,1,0.0
2024-03-01,84.17,84.96,83.02,84.91,6247.0,1,0.0
2024-03-04,84.48,85.43,84.28,84.98,4266.0,1,0.0
2024-03-05,85.37,86.12,83.94,84.06,4830.0,1,0.0
2024-03-06,84.48,85.0,83.82,83.99,4786.0,1,0.0
2024-03-07,84.12,85.08,84.05,84.08,4139.0,1,0.0
2024-03-08,83.39,84.48,83.2,83.8,5971.0,1,0.0
2024-03-11,83.64,84.39,82.9,83.74,4024.0,1,0.0
2024-03-12,83.12,83.86,82.51,83.43,4702.0,1,0.0
2024-03-13,83.65,84.25,82.75,83.0,4225.0,1,0.0
2024-03-14,82.44,82.57,81.09,81.75,4065.0,1,0.0
2024-03-15,82.11,82.67,81.8,82.09,4450.0,1,0.0
2024-03-18,81.88,83.14,81.75,82.12,3639.0,1,0.0
2024-03-19,81.9,83.51,81.9,83.32,4008.0,1,0.0
2024-03-20,83.02,83.98,82.56,82.83,4191.0,1,0.0
2024-03-21,82.91,83.67,82.68,83.17,3762.0,1,0.0
2024-03-22,83.12,83.39,82.44,83.01,3433.0,1,0.0
2024-03-25,82.87,83.43,82.55,82.84,3281.0,1,0.0
2024-03-26,82.72,83.22,82.2,82.53,3593.0,1,0.0
2024-03-27,83.03,84.77,83.03,84.76,3543.0,1,0.0
2024-03-28,84.64,86.23,84.64,86.15,3372.0,1,0.0
2024-04-01,85.75,85.76,84.4,84.6,3295.0,1,0.0
2024-04-02,84.35,85.62,83.97,85.21,4810.0,1,0.0
2024-04-03,84.87,85.14,84.14,84.37,4008.0,1,0.0
2024-04-04,84.82,84.91,83.22,83.98,3786.0,1,0.0
2024-04-05,83.1,84.21,82.34,83.97,4021.0,1,0.0
2024-04-08,83.52,84.4,83.14,84.22,3122.0,1,0.0
2024-04-09,84.53,85.15,84.2,85.03,3701.0,1,0.0
2024-04-10,83.22,83.46,82.4,83.35,5431.0,1,0.0
2024-04-11,83.47,83.51,82.51,83.0,4491.0,1,0.0
2024-04-12,82.65,83.2,81.51,82.03,4191.0,1,0.0
2024-04-15,82.31,82.41,80.54,80.95,3982.0,1,0.0
2024-04-16,80.55,80.58,79.15,79.54,5581.0,1,0.0
2024-04-17,79.78,81.42,79.68,81.32,4579.0,1,0.0
2024-04-18,81.26,82.76,80.62,82.58,4608.0,1,0.0
2024-04-19,83.06,84.71,82.77,84.23,4935.0,1,0.0
2024-04-22,83.59,85.11,83.55,84.79,3667.0,1,0.0
2024-04-23,84.28,85.64,84.28,85.5,4522.0,1,0.0
2024-04-24,84.31,86.55,84.25,86.31,3359.0,1,0.0
2024-04-25,86.55,87.2,85.11,86.83,4624.0,1,0.0
2024-04-26,86.7,86.92,85.22,85.28,3471.0,1,0.0
2024-04-29,85.98,86.74,85.68,86.65,5479.0,1,0.0
2024-04-30,86.59,88.25,85.98,86.05,4763.0,1,0.0
2024-05-01,86.07,89.34,85.6,88.16,6717.0,1,0.0
2024-05-02,88.35,88.59,87.29,88.11,5696.0,1,0.0
2024-05-03,88.77,89.23,87.95,88.55,4665.0,1,0.0
2024-05-06,88.73,89.17,88.03,88.79,3928.0,1,0.0
2024-05-07,88.75,89.93,88.65,89.88,4154.0,1,0.0
2024-05-08,89.31,90.73,89.31,90.59,4088.0,1,0.0
2024-05-09,89.27,90.92,89.27,90.87,4310.0,1,0.0
2024-05-10,91.15,91.83,90.63,91.65,4411.0,1,0.0
2024-05-13,91.7,92.31,91.25,91.52,1913.0,1,0.0
2024-05-14,91.69,91.84,90.37,90.83,3562.0,1,0.0
2024-05-15,91.29,92.54,90.99,91.99,4208.0,1,0.0
2024-05-16,92.15,92.97,92.0,92.6,3236.0,1,0.0
2024-05-17,91.7,92.78,91.65,92.66,2792.0,1,0.0
2024-05-20,92.32,92.72,92.07,92.56,3151.0,1,0.0
2024-05-21,92.44,93.43,92.24,92.75,3564.0,1,0.0
2024-05-22,91.63,92.42,91.3,91.4,3137.0,1,0.0
2024-05-23,90.54,90.79,89.19,89.24,4159.0,1,0.0
2024-05-24,89.41,89.76,88.84,88.97,2486.0,1,0.0
2024-05-28,88.7,89.43,88.31,88.53,2289.0,1,0.0
2024-05-29,87.81,87.83,86.96,87.49,2108.0,1,0.0
2024-05-30,87.35,88.26,87.09,88.13,2213.0,1,0.0
2024-05-31,88.04,90.31,88.0,90.23,2882.0,1,0.0
