time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,19.06,19.52,19.0,19.35,3177.0,1,0.0
2024-01-03,19.09,19.14,18.56,18.92,3194.0,1,0.0
2024-01-04,18.92,19.13,18.73,18.81,2770.0,1,0.0
2024-01-05,18.7,19.34,18.57,18.77,3504.0,1,0.0
2024-01-08,18.69,19.24,18.69,19.12,2431.0,0,0.0
2024-01-09,18.76,19.11,18.68,18.87,2267.0,1,0.0
2024-01-10,18.69,19.04,18.69,18.87,1957.0,1,0.0
2024-01-11,18.65,18.65,17.76,18.04,3063.0,1,0.0
2024-01-12,18.18,18.53,18.14,18.39,2556.0,1,0.0
2024-01-16,18.2,18.31,17.79,17.92,3077.0,1,0.0
2024-01-17,17.51,17.8,17.15,17.38,2450.0,1,0.0
2024-01-18,17.3,17.4,17.08,17.39,2662.0,1,0.0
2024-01-19,17.45,17.49,16.77,16.89,2728.0,1,0.0
2024-01-22,16.96,17.37,16.76,16.8,2717.0,1,0.0
2024-01-23,16.82,16.96,16.62,16.77,2397.0,1,0.0
2024-01-24,17.06,17.12,16.48,16.49,2887.0,1,0.0
2024-01-25,16.65,17.41,16.65,17.1,3672.0,1,0.0
2024-01-26,17.13,17.4,17.12,17.13,2652.0,1,0.0
2024-01-29,17.01,17.35,16.82,17.28,2189.0,1,0.0
2024-01-30,17.1,17.18,16.78,16.94,2259.0,1,0.0
2024-01-31,16.88,17.02,16.57,16.65,4163.0,1,0.0
2024-02-01,16.64,17.15,16.51,17.14,3560.0,1,0.0
2024-02-02,16.59,17.29,16.34,17.04,4205.0,1,0.0
2024-02-05,16.55,16.77,16.21,16.52,3681.0,1,0.0
2024-02-06,16.32,16.64,16.32,16.5,3279.0,1,0.0
2024-02-07,16.63,16.63,16.14,16.32,2689.0,1,0.0
2024-02-08,16.21,16.31,15.97,16.2,2583.0,1,0.0
2024-02-09,16.07,16.47,16.07,16.46,2454.0,1,0.0
2024-02-12,16.51,16.89,16.38,16.87,2685.0,1,0.0
2024-02-13,16.48,16.53,15.69,16.01,3797.0,1,0.0
2024-02-14,16.05,16.35,15.8,16.1,3295.0,1,0.0
2024-02-15,16.44,16.91,16.41,16.76,4087.0,1,0.0
2024-02-16,16.48,16.84,16.39,16.75,3283.0,1,0.0
2024-02-20,16.56,16.88,16.4,16.43,3138.0,1,0.0
2024-02-21,16.36,16.64,16.3,16.53,2315.0,1,0.0
2024-02-22,16.29,16.55,15.99,16.02,2489.0,1,0.0
2024-02-23,16.02,16.2,15.92,16.0,2373.0,1,0.0
2024-02-26,15.6,15.85,15.4,15.6,2081.0,1,0.0
2024-02-27,15.7,16.0,14.68,15.08,3353.0,1,0.0
2024-02-28,14.88,15.37,14.86,15.1,2090.0,1,0.0
2024-02-29,15.16,15.54,15.16,15.21,2308.0,1,0.0
2024-03-01,15.1,15.5,14.83,15.46,2657.0,1,0.0
2024-03-04,15.52,16.23,15.42,16.08,2441.0,1,0.0
