time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,67.4,68.78,67.4,68.77,3776.0,1,0.0
2024-01-03,69.05,69.22,68.53,68.63,7387.0,1,0.0
2024-01-04,68.76,69.74,68.55,68.6,5685.0,1,0.0
2024-01-05,68.79,69.21,68.5,68.99,4257.0,1,0.0
2024-01-08,69.01,69.11,67.79,68.23,6777.0,1,0.0
2024-01-09,67.48,67.93,67.17,67.8,5737.0,1,0.0
2024-01-10,67.66,67.85,67.25,67.58,6057.0,1,0.0
2024-01-11,67.3,67.49,66.87,67.38,7212.0,1,0.0
2024-01-12,67.37,67.78,67.01,67.46,6716.0,1,0.0
2024-01-16,67.18,67.4,66.66,67.13,7336.0,0,0.0
2024-01-17,66.67,67.88,66.63,66.75,6820.0,1,0.0
2024-01-18,66.24,67.34,66.05,67.25,7558.0,1,0.0
2024-01-19,67.82,69.26,67.69,68.81,6118.0,1,0.0
2024-01-22,69.07,69.52,68.87,69.22,5594.0,1,0.0
2024-01-23,69.19,69.39,68.95,69.06,4921.0,1,0.0
2024-01-24,69.18,69.62,69.01,69.1,5982.0,1,0.0
2024-01-25,69.56,69.86,68.8,68.98,5668.0,1,0.0
2024-01-26,68.85,69.64,68.85,69.45,5377.0,1,0.0
2024-01-29,69.45,69.64,69.02,69.38,4343.0,1,0.0
2024-01-30,69.25,70.41,69.25,70.38,4583.0,1,0.0
2024-01-31,70.62,71.05,69.51,69.61,10702.0,1,0.0
2024-02-01,69.26,69.43,67.5,68.83,10061.0,1,0.0
2024-02-02,69.0,70.03,68.8,69.65,5866.0,1,0.0
2024-02-05,68.85,69.27,68.65,68.91,5232.0,1,0.0
2024-02-06,68.5,69.35,68.46,68.77,4981.0,1,0.0
2024-02-07,68.91,69.8,68.91,69.75,4629.0,1,0.0
2024-02-08,69.46,69.65,67.96,68.4,6128.0,1,0.0
2024-02-09,68.27,69.21,68.02,69.07,6752.0,1,0.0
2024-02-12,69.53,70.17,69.22,69.73,6734.0,1,0.0
2024-02-13,69.87,70.24,69.17,70.23,8537.0,1,0.0
2024-02-14,72.71,73.21,68.71,69.12,7706.0,1,0.0
2024-02-15,68.81,70.8,68.68,70.23,6675.0,1,0.0
2024-02-16,70.15,70.79,69.64,69.91,5651.0,1,0.0
2024-02-20,69.01,69.29,68.04,68.15,6810.0,1,0.0
2024-02-21,68.25,69.06,68.13,68.68,6451.0,1,0.0
2024-02-22,68.58,70.98,68.58,70.89,5839.0,1,0.0
2024-02-23,71.03,71.91,71.03,71.37,5370.0,1,0.0
2024-02-26,71.15,72.45,71.15,71.3,5876.0,1,0.0
2024-02-27,71.52,72.01,71.21,71.86,5355.0,1,0.0
2024-02-28,71.88,72.52,71.69,72.33,5336.0,1,0.0
2024-02-29,72.53,73.08,72.0,73.02,6131.0,1,0.0
2024-03-01,72.91,73.43,72.44,72.84,6272.0,1,0.0
2024-03-04,72.46,73.25,72.38,73.16,4300.0,1,0.0
2024-03-05,72.93,74.29,72.93,73.99,5715.0,1,0.0
2024-03-06,73.51,74.95,73.0,74.95,6850.0,1,0.0
2024-03-07,75.0,75.47,74.5,74.76,4530.0,1,0.0
2024-03-08,74.59,74.87,74.11,74.37,7110.0,1,0.0
2024-03-11,74.28,75.22,74.06,74.93,5888.0,1,0.0
2024-03-12,74.93,76.03,74.64,75.91,4692.0,1,0.0
2024-03-13,75.52,76.08,75.32,75.52,4711.0,1,0.0
2024-03-14,75.51,76.0,74.82,75.81,5411.0,1,0.0
2024-03-15,76.06,76.32,75.49,76.23,5865.0,1,0.0
2024-03-18,76.24,76.51,75.11,75.27,5717.0,1,0.0
2024-03-19,75.73,76.26,75.4,75.59,4536.0,1,0.0
2024-03-20,75.27,76.79,75.27,76.69,5655.0,0,0.0
2024-03-21,76.82,77.41,76.56,77.4,5681.0,1,0.0
2024-03-22,77.26,77.31,76.18,76.37,3990.0,1,0.0
2024-03-25,76.46,77.11,76.4,76.66,3906.0,1,0.0
2024-03-26,76.6,77.42,76.6,77.31,3026.0,1,0.0
2024-03-27,77.67,78.38,77.31,78.37,4478.0,1,0.0
2024-03-28,78.34,78.6,78.16,78.22,4310.0,1,0.0
2024-04-01,77.8,78.29,77.26,77.67,3817.0,1,0.0
2024-04-02,77.45,78.29,77.35,77.94,4339.0,1,0.0
2024-04-03,78.19,78.95,77.56,77.85,4150.0,1,0.0
2024-04-04,78.47,78.91,76.4,76.69,6428.0,1,0.0
2024-04-05,76.87,77.84,76.78,77.7,5605.0,1,0.0
2024-04-08,77.8,78.24,77.47,77.86,4524.0,1,0.0
2024-04-09,77.76,78.05,75.19,75.52,6521.0,1,0.0
2024-04-10,74.43,75.66,74.31,75.43,7546.0,0,0.0
2024-04-11,74.55,74.81,73.55,74.18,6538.0,1,0.0
2024-04-12,74.04,74.63,73.18,73.48,7096.0,1,0.0
2024-04-15,74.6,74.82,72.9,73.05,7853.0,1,0.0
2024-04-16,73.43,74.54,72.57,73.9,8192.0,0,0.0
2024-04-17,73.0,73.33,71.5,72.54,7318.0,1,0.0
2024-04-18,73.16,73.55,72.72,72.9,3263.0,1,0.0
2024-04-19,72.9,74.59,72.9,74.23,3288.0,1,0.0
2024-04-22,74.44,75.34,73.92,74.85,2865.0,1,0.0
