time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,142.24,149.5,141.42,146.88,2739.0,2,0.0
2024-01-03,141.55,142.3,136.7,140.0,2634.0,1,0.0
2024-01-04,138.5,139.0,135.03,135.75,3066.0,1,0.0
2024-01-05,135.0,138.16,133.88,135.49,2846.0,2,0.0
2024-01-08,133.65,136.92,132.78,136.46,2295.0,2,0.0
2024-01-09,133.5,134.59,131.02,133.66,1866.0,1,0.0
2024-01-10,131.67,133.92,130.08,132.97,2116.0,0,0.0
2024-01-11,131.0,132.85,127.92,128.53,2531.0,1,0.0
2024-01-12,129.05,129.67,125.61,126.02,2362.0,1,0.0
2024-01-16,126.36,126.97,123.85,125.83,2441.0,1,0.0
2024-01-17,122.1,124.48,120.2,120.66,2538.0,1,0.0
2024-01-18,120.5,120.74,115.12,118.09,3017.0,1,0.0
2024-01-19,117.32,117.32,112.28,114.82,3060.0,1,0.0
2024-01-22,113.13,122.43,113.13,120.46,3647.0,1,0.0
2024-01-23,124.55,127.1,120.8,122.8,2670.0,2,0.0
2024-01-24,124.15,125.98,120.02,121.8,2736.0,1,0.0
2024-01-25,122.0,122.5,115.9,118.57,2886.0,1,0.0
2024-01-26,118.6,122.04,118.6,120.0,2024.0,1,0.0
2024-01-29,119.72,123.13,117.12,123.03,1876.0,1,0.0
2024-01-30,121.63,122.7,118.76,120.2,1994.0,2,0.0
2024-01-31,118.5,119.99,114.41,114.67,2959.0,1,0.0
2024-02-01,116.52,117.87,113.28,116.8,2737.0,1,0.0
2024-02-02,113.76,115.52,112.51,114.13,2529.0,1,0.0
2024-02-05,111.5,111.54,108.44,108.86,2550.0,1,0.0
2024-02-06,109.33,113.9,109.33,113.01,2323.0,1,0.0
2024-02-07,114.0,115.88,111.5,115.14,2174.0,1,0.0
2024-02-08,113.55,115.26,112.28,114.13,2708.0,1,0.0
2024-02-09,114.43,116.07,113.5,115.66,2076.0,1,0.0
2024-02-12,116.62,122.41,116.0,120.12,3239.0,1,0.0
2024-02-13,113.2,114.68,111.11,112.34,3649.0,1,0.0
2024-02-14,113.15,114.39,111.66,114.35,3004.0,1,0.0
2024-02-15,114.22,123.99,113.51,117.48,3465.0,1,0.0
2024-02-16,119.71,125.8,119.24,122.52,3488.0,1,0.0
2024-02-20,120.09,120.27,113.35,114.71,3359.0,1,0.0
2024-02-21,115.78,120.52,114.0,118.27,2906.0,1,0.0
2024-02-22,117.24,120.29,117.24,117.81,2950.0,1,0.0
2024-02-23,118.8,121.96,115.95,120.47,3296.0,1,0.0
2024-02-26,119.22,124.16,119.0,121.66,2913.0,1,0.0
2024-02-27,128.32,130.24,126.5,128.42,3713.0,1,0.0
2024-02-28,130.66,133.56,130.42,131.9,3304.0,0,0.0
2024-02-29,136.03,140.66,135.77,137.95,4110.0,1,0.0
2024-03-01,139.31,143.15,137.9,142.86,3830.0,1,0.0
2024-03-04,139.4,139.5,133.07,133.14,3539.0,1,0.0
2024-03-05,120.78,121.17,106.54,106.7,5938.0,1,0.0
2024-03-06,110.63,119.76,110.33,119.41,5911.0,1,0.0
2024-03-07,120.71,123.21,119.2,122.86,3287.0,1,0.0
2024-03-08,122.94,123.9,118.0,118.5,2950.0,1,0.0
2024-03-11,120.55,125.78,119.65,124.75,2764.0,1,0.0
2024-03-12,128.08,128.11,121.16,124.16,2432.0,1,0.0
2024-03-13,122.83,126.85,122.83,125.56,2102.0,1,0.0
2024-03-14,120.94,123.15,119.0,119.89,2700.0,1,0.0
2024-03-15,116.98,122.93,116.75,122.12,2793.0,1,0.0
2024-03-18,123.59,125.71,120.46,124.32,2336.0,1,0.0
2024-03-19,122.18,123.07,120.15,120.55,2121.0,1,0.0
2024-03-20,119.6,126.59,119.6,124.43,2679.0,1,0.0
2024-03-21,125.51,127.35,124.0,124.79,1884.0,1,0.0
2024-03-22,124.28,124.28,120.77,121.14,2160.0,1,0.0
2024-03-25,120.2,122.11,118.25,118.29,2068.0,1,0.0
2024-03-26,118.77,120.5,117.25,118.96,2079.0,1,0.0
2024-03-27,119.96,128.88,119.64,128.79,3697.0,1,0.0
2024-03-28,128.99,132.32,127.04,132.11,3091.0,1,0.0
2024-04-01,132.0,132.06,126.63,129.33,2683.0,1,0.0
2024-04-02,126.88,127.71,124.6,126.53,2327.0,1,0.0
2024-04-03,127.58,129.93,125.4,129.0,2332.0,1,0.0
2024-04-04,129.7,131.01,120.94,121.0,2613.0,1,0.0
2024-04-05,120.83,123.71,120.7,123.55,2543.0,1,0.0
2024-04-08,124.82,133.08,124.82,131.85,3583.0,1,0.0
2024-04-09,133.16,133.42,127.27,128.99,3033.0,1,0.0
2024-04-10,130.3,131.27,125.4,127.49,3024.0,1,0.0
2024-04-11,128.35,130.46,125.09,130.26,3245.0,1,0.0
2024-04-12,129.31,129.31,122.11,122.49,2695.0,1,0.0
2024-04-15,123.82,124.42,119.88,120.5,3085.0,2,0.0
2024-04-16,117.49,118.97,113.9,113.9,3391.0,2,0.0
2024-04-17,115.73,117.77,114.34,114.4,2337.0,1,0.0
2024-04-18,114.31,114.35,110.51,111.7,2165.0,1,0.0
2024-04-19,111.59,114.6,111.59,112.14,2177.0,2,0.0
2024-04-22,110.78,113.69,108.35,112.18,2575.0,1,0.0
2024-04-23,110.3,115.83,110.3,114.11,2000.0,1,0.0
2024-04-24,113.5,115.59,112.11,115.35,1802.0,3,0.0
2024-04-25,113.1,115.5,111.03,114.96,2303.0,1,0.0
2024-04-26,114.9,117.91,114.8,116.71,2002.0,1,0.0
2024-04-29,121.9,125.85,121.9,125.51,3159.0,1,0.0
2024-04-30,122.0,123.81,119.6,120.29,2139.0,1,0.0
2024-05-01,121.3,123.01,117.64,118.79,3000.0,2,0.0
2024-05-02,119.78,126.93,119.02,125.02,2991.0,1,0.0
2024-05-03,129.05,130.78,127.3,128.19,2577.0,1,0.0
2024-05-06,130.0,130.82,127.5,130.69,1733.0,1,0.0
2024-05-07,130.36,135.51,130.36,131.56,1830.0,2,0.0
2024-05-08,128.0,130.84,126.7,130.49,1784.0,1,0.0
2024-05-09,131.17,133.84,129.5,133.51,2572.0,1,0.0
2024-05-10,132.0,132.04,129.0,129.79,1616.0,1,0.0
2024-05-13,130.81,134.22,130.5,131.14,1674.0,1,0.0
2024-05-14,133.81,136.87,133.81,135.8,2270.0,1,0.0
2024-05-15,134.8,134.87,126.6,127.64,2293.0,1,0.0
2024-05-16,129.09,130.3,126.75,129.22,1856.0,1,0.0
2024-05-17,129.2,134.6,129.2,130.85,1938.0,1,0.0
2024-05-20,130.17,130.48,126.22,130.04,1812.0,1,0.0
2024-05-21,128.6,130.66,126.77,126.92,1438.0,1,0.0
2024-05-22,123.71,128.21,122.85,126.32,2372.0,1,0.0
2024-05-23,125.65,125.7,122.56,122.98,1950.0,1,0.0
2024-05-24,124.62,127.58,124.5,127.58,1703.0,1,0.0
2024-05-28,127.47,129.3,125.85,127.57,1953.0,1,0.0
2024-05-29,125.9,125.97,123.5,123.5,1658.0,0,0.0
2024-05-30,124.35,125.89,123.3,123.5,1874.0,1,0.0
2024-05-31,123.56,125.1,120.18,122.39,2245.0,1,0.0
2024-06-03,123.59,124.38,119.78,120.89,1969.0,1,0.0
2024-06-04,119.5,120.47,118.03,118.27,1858.0,1,0.0
2024-06-05,118.86,120.21,117.46,118.76,1708.0,1,0.0
2024-06-06,115.26,118.14,114.41,118.13,1778.0,1,0.0
2024-06-07,115.8,117.38,114.22,114.92,1888.0,1,0.0
2024-06-10,113.26,114.82,112.45,114.01,1549.0,1,0.0
2024-06-11,113.21,114.09,112.13,113.86,1599.0,1,0.0
2024-06-12,117.25,118.54,111.72,112.75,2316.0,1,0.0
2024-06-13,112.64,112.64,107.66,108.44,2488.0,1,0.0
2024-06-14,107.04,108.3,103.3,103.5,2235.0,1,0.0
2024-06-17,103.42,103.42,98.9,100.64,2418.0,1,0.0
2024-06-18,100.62,102.32,98.69,99.7,2106.0,1,0.0
2024-06-20,97.12,97.69,93.86,93.93,2713.0,1,0.0
2024-06-21,93.17,95.85,92.26,94.61,2689.0,1,0.0
2024-06-24,94.55,96.48,93.5,96.24,2167.0,1,0.0
2024-06-25,94.59,96.02,92.61,92.91,2492.0,1,0.0
2024-06-26,95.28,100.62,95.0,100.57,3312.0,1,0.0
2024-06-27,97.0,98.96,94.79,96.22,2245.0,1,0.0
2024-06-28,94.13,95.56,93.51,95.48,2712.0,1,0.0
2024-07-01,95.95,97.4,94.97,97.29,1823.0,1,0.0
2024-07-02,98.55,102.42,96.0,97.09,2212.0,1,0.0
2024-07-03,97.16,101.3,97.0,100.12,1393.0,1,0.0
2024-07-05,99.0,99.43,97.1,98.44,2000.0,1,0.0
2024-07-08,99.73,101.6,99.03,99.2,1655.0,1,0.0
2024-07-09,96.5,96.7,90.3,90.39,2788.0,1,0.0
2024-07-10,90.78,97.29,90.7,97.04,3158.0,1,0.0
2024-07-11,98.36,100.09,96.83,97.86,2281.0,2,0.0
2024-07-12,99.37,99.37,96.8,97.77,1614.0,1,0.0
2024-07-15,94.07,96.86,93.14,95.28,2201.0,1,0.0
2024-07-16,95.5,98.05,94.26,97.57,2010.0,1,0.0
2024-07-17,96.74,99.14,92.65,95.04,2341.0,1,0.0
2024-07-18,93.65,98.03,93.5,93.81,2404.0,1,0.0
2024-07-19,91.26,92.59,90.02,91.93,1927.0,1,0.0
2024-07-22,92.28,93.96,91.28,93.42,1673.0,1,0.0
2024-07-23,92.4,92.87,91.06,91.34,1508.0,1,0.0
2024-07-24,91.29,93.09,90.6,90.98,1746.0,1,0.0
2024-07-25,90.34,94.65,90.34,90.92,2114.0,1,0.0
2024-07-26,91.71,93.13,90.55,92.82,1767.0,1,0.0
2024-07-29,90.85,92.27,90.25,91.65,1650.0,1,0.0
2024-07-30,91.57,93.0,90.46,92.75,1644.0,1,0.0
2024-07-31,91.64,95.86,91.38,93.46,2139.0,1,0.0
2024-08-01,94.46,99.22,91.86,92.82,2159.0,1,0.0
2024-08-02,86.51,87.22,82.28,86.89,3172.0,1,0.0
2024-08-05,80.0,85.29,79.84,83.54,2446.0,1,0.0
2024-08-06,82.74,83.8,79.5,79.6,1880.0,1,0.0
2024-08-07,82.13,84.3,79.0,79.06,1910.0,1,0.0
2024-08-08,79.5,83.21,79.0,81.91,2129.0,1,0.0
2024-08-09,81.97,82.11,79.97,81.41,1575.0,1,0.0
2024-08-12,80.85,81.3,74.81,75.92,2156.0,1,0.0
2024-08-13,75.46,77.9,75.46,77.34,1877.0,1,0.0
2024-08-14,75.81,75.85,71.95,72.71,2031.0,1,0.0
2024-08-15,73.54,79.28,73.54,79.18,2308.0,1,0.0
2024-08-16,77.8,79.81,77.22,79.41,1600.0,2,0.0
2024-08-19,79.3,83.36,79.1,82.73,1534.0,1,0.0
2024-08-20,83.21,85.72,82.59,84.24,1403.0,1,0.0
2024-08-21,85.2,88.79,84.97,88.61,1859.0,1,0.0
2024-08-22,86.26,87.36,85.52,86.85,2005.0,1,0.0
2024-08-23,87.87,90.79,87.5,90.59,1722.0,1,0.0
2024-08-26,90.77,91.59,88.34,88.87,1662.0,1,0.0
2024-08-27,88.8,89.65,88.5,89.0,1076.0,2,0.0
2024-08-28,87.75,88.59,87.25,87.95,1525.0,1,0.0
2024-08-29,88.47,92.93,86.68,91.6,1967.0,1,0.0
2024-08-30,93.34,94.51,89.46,90.22,1797.0,1,0.0
2024-09-03,86.02,86.64,82.72,84.03,2143.0,1,0.0
2024-09-04,83.5,87.11,83.25,84.75,1392.0,2,0.0
2024-09-05,84.36,84.85,82.5,82.52,1270.0,1,0.0
2024-09-06,79.8,80.42,75.37,76.91,2087.0,1,0.0
2024-09-09,76.76,79.69,76.76,78.46,1347.0,1,0.0
2024-09-10,77.05,78.61,75.43,78.6,1293.0,2,0.0
2024-09-11,91.36,91.36,84.75,89.35,2550.0,1,0.0
2024-09-12,89.1,89.34,86.66,88.5,2060.0,1,0.0
2024-09-13,88.0,89.65,85.8,87.57,1923.0,1,0.0
2024-09-16,88.07,90.08,86.69,89.39,1509.0,1,0.0
2024-09-17,89.93,91.75,89.64,89.8,1983.0,1,0.0
2024-09-18,90.24,90.32,86.05,86.55,2244.0,1,0.0
2024-09-19,89.33,90.0,87.81,89.31,1944.0,1,0.0
2024-09-20,87.78,87.78,85.41,85.75,1631.0,1,0.0
2024-09-23,86.14,90.16,85.8,88.75,1568.0,1,0.0
2024-09-24,92.25,94.64,90.52,90.58,1668.0,1,0.0
2024-09-25,89.0,89.12,86.42,86.64,1399.0,1,0.0
2024-09-26,90.05,95.44,90.05,95.11,2414.0,1,0.0
2024-09-27,96.74,97.97,94.6,96.1,1638.0,1,0.0
2024-09-30,97.53,97.58,94.15,94.73,1904.0,1,0.0
2024-10-01,93.67,94.68,92.6,94.37,1884.0,1,0.0
2024-10-02,93.17,95.49,92.56,94.12,1175.0,3,0.0
2024-10-03,92.0,94.82,91.88,94.36,1358.0,2,0.0
2024-10-04,98.6,101.8,98.5,101.44,2323.0,1,0.0
2024-10-07,101.72,105.13,100.78,104.46,2211.0,1,0.0
2024-10-08,99.92,101.36,98.81,100.4,2658.0,1,0.0
2024-10-09,101.84,103.34,99.76,101.85,2022.0,1,0.0
2024-10-10,101.0,104.58,101.0,103.07,1552.0,2,0.0
2024-10-11,102.06,103.35,100.7,102.01,1597.0,1,0.0
2024-10-14,100.59,100.59,97.99,99.69,1632.0,1,0.0
2024-10-15,97.79,100.0,95.5,95.71,1930.0,1,0.0
2024-10-16,96.93,99.44,96.57,98.15,2020.0,1,0.0
2024-10-17,95.39,96.8,93.17,94.63,1796.0,1,0.0
2024-10-18,96.52,96.52,94.36,95.02,1595.0,1,0.0
2024-10-21,94.24,94.95,92.97,93.91,1546.0,2,0.0
2024-10-22,93.2,96.87,92.92,96.44,1673.0,1,0.0
2024-10-23,94.1,96.18,93.41,93.97,1759.0,2,0.0
2024-10-24,94.8,95.24,93.07,95.15,1354.0,2,0.0
2024-10-25,94.44,96.11,93.03,93.47,1759.0,1,0.0
2024-10-28,94.41,99.45,93.89,98.1,1899.0,1,0.0
2024-10-29,97.05,99.26,96.63,96.68,1679.0,1,0.0
2024-10-30,96.07,98.81,95.33,95.46,1814.0,1,0.0
2024-10-31,96.0,96.0,94.16,94.5,1360.0,1,0.0
2024-11-01,94.91,99.35,94.91,98.22,2117.0,1,0.0
2024-11-04,99.92,102.42,98.72,100.55,1667.0,1,0.0
2024-11-05,99.6,100.23,98.24,99.5,1351.0,1,0.0
2024-11-06,95.43,97.31,93.29,96.82,1742.0,1,0.0
2024-11-07,99.38,103.65,94.14,100.06,1889.0,3,0.0
2024-11-08,100.04,100.73,97.04,100.58,1577.0,2,0.0
2024-11-11,105.04,111.39,104.5,110.1,2355.0,1,0.0
2024-11-12,107.12,107.56,102.75,102.84,1568.0,1,0.0
2024-11-13,109.93,111.1,107.3,108.11,2172.0,2,0.0
2024-11-14,107.47,108.74,101.2,102.08,1864.0,2,0.0
2024-11-15,102.34,103.59,99.5,103.47,1536.0,1,0.0
2024-11-18,102.02,104.79,102.02,103.89,1369.0,1,0.0
2024-11-19,105.0,107.43,103.8,106.71,1601.0,2,0.0
2024-11-20,107.84,110.05,105.83,109.6,1380.0,2,0.0
2024-11-21,107.97,109.93,106.01,108.89,1425.0,2,0.0
2024-11-22,106.39,109.45,104.47,108.5,1439.0,3,0.0
2024-11-25,109.6,111.45,108.5,109.98,1554.0,1,0.0
2024-11-26,108.0,109.57,106.37,106.8,1183.0,1,0.0
2024-11-27,107.05,109.5,106.03,108.08,1163.0,2,0.0
2024-11-29,107.01,108.45,106.97,107.54,690.0,2,0.0
2024-12-02,108.13,111.37,106.78,111.27,1619.0,1,0.0
2024-12-03,109.26,110.68,108.5,109.0,1459.0,1,0.0
2024-12-04,108.61,108.97,101.06,102.55,1679.0,1,0.0
2024-12-05,102.44,103.15,100.75,100.95,1276.0,1,0.0
2024-12-06,102.51,105.16,102.0,104.88,1403.0,1,0.0
2024-12-09,105.42,113.87,105.42,109.72,1617.0,1,0.0
2024-12-10,107.2,107.2,103.39,103.97,1291.0,3,0.0
2024-12-11,103.1,103.73,101.5,103.67,1108.0,2,0.0
2024-12-12,102.5,104.45,102.2,103.2,1179.0,1,0.0
2024-12-13,101.25,101.27,98.01,99.39,1203.0,1,0.0
2024-12-16,98.07,100.84,97.49,99.52,1296.0,3,0.0
2024-12-17,98.98,100.19,96.38,97.46,1194.0,2,0.0
2024-12-18,96.75,97.48,90.09,90.65,1390.0,1,0.0
2024-12-19,92.71,93.4,88.73,88.73,1431.0,1,0.0
2024-12-20,87.57,90.32,87.5,88.41,1480.0,1,0.0
2024-12-23,89.02,89.71,88.06,89.13,1074.0,2,0.0
2024-12-24,88.11,89.94,87.91,89.85,571.0,3,0.0
2024-12-26,88.77,90.34,88.4,89.05,844.0,2,0.0
2024-12-27,88.18,90.75,87.25,88.28,1024.0,3,0.0
2024-12-30,86.5,87.0,85.1,86.14,1280.0,2,0.0
2024-12-31,86.91,88.03,85.25,86.0,1305.0,2,0.0
2025-01-02,86.35,87.69,84.32,85.36,1369.0,2,0.0
2025-01-03,86.46,88.18,85.17,87.82,1286.0,1,0.0
2025-01-06,90.23,92.85,89.85,90.18,1370.0,2,0.0
2025-01-07,90.58,91.55,89.0,89.85,1198.0,1,0.0
2025-01-08,87.87,88.67,86.6,87.2,1234.0,2,0.0
2025-01-10,85.74,87.26,84.81,86.49,1349.0,1,0.0
2025-01-13,85.58,91.39,85.58,91.3,1265.0,1,0.0
2025-01-14,92.45,94.45,91.51,92.68,1351.0,2,0.0
2025-01-15,94.5,96.53,94.1,95.25,1237.0,2,0.0
2025-01-16,93.99,94.66,92.81,94.17,1240.0,2,0.0
2025-01-17,95.0,98.97,95.0,97.47,1395.0,1,0.0
2025-01-21,96.5,96.74,93.86,94.0,1195.0,2,0.0
2025-01-22,92.58,93.2,90.33,90.35,1503.0,1,0.0
2025-01-23,89.45,90.5,88.8,89.83,1345.0,2,0.0
2025-01-24,90.52,91.09,88.45,88.63,1029.0,1,0.0
2025-01-27,87.98,88.71,87.14,88.54,1314.0,3,0.0
2025-01-28,87.01,87.02,85.11,86.02,1128.0,2,0.0
2025-01-29,86.02,87.2,85.4,86.28,1168.0,2,0.0
2025-01-30,86.09,86.7,84.9,85.76,1186.0,1,0.0
2025-01-31,85.01,85.92,83.07,83.92,1390.0,1,0.0
2025-02-03,80.87,82.05,79.67,80.26,1422.0,1,0.0
2025-02-04,80.71,83.36,80.53,82.38,1258.0,2,0.0
2025-02-05,79.53,81.75,79.05,79.96,1301.0,1,0.0
2025-02-06,81.01,81.04,78.5,79.08,1138.0,2,0.0
2025-02-07,78.85,78.89,76.7,77.1,1133.0,1,0.0
2025-02-10,77.37,77.53,74.82,75.06,1630.0,1,0.0
2025-02-11,73.75,75.7,73.59,75.69,1238.0,2,0.0
2025-02-12,75.37,77.11,74.5,76.49,2297.0,1,0.0
2025-02-13,81.86,82.58,74.87,78.85,2002.0,1,0.0
2025-02-14,80.47,82.24,79.55,81.19,1266.0,1,0.0
2025-02-18,80.32,84.11,79.3,83.49,1549.0,1,0.0
2025-02-19,81.01,83.86,81.01,83.54,1343.0,1,0.0
2025-02-20,82.95,84.51,81.93,82.51,1095.0,2,0.0
2025-02-21,82.77,83.53,80.56,81.19,1269.0,2,0.0
2025-02-24,80.82,82.2,79.69,80.97,1169.0,1,0.0
2025-02-25,80.29,80.3,76.64,78.52,1445.0,2,0.0
2025-02-26,78.55,79.1,77.0,77.45,1417.0,2,0.0
2025-02-27,77.28,79.5,76.95,78.91,1674.0,1,0.0
2025-02-28,76.0,77.88,75.6,76.99,1974.0,1,0.0
2025-03-03,77.1,77.37,69.8,69.91,2161.0,1,0.0
2025-03-04,68.21,74.1,67.22,71.97,1755.0,1,0.0
2025-03-05,72.61,74.8,72.35,74.16,1476.0,2,0.0
2025-03-06,73.28,76.83,73.0,76.51,1428.0,1,0.0
2025-03-07,75.14,78.33,75.06,75.28,1971.0,2,0.0
2025-03-10,76.21,79.4,75.31,76.18,1851.0,2,0.0
2025-03-11,77.13,77.13,71.81,72.69,1672.0,2,0.0
2025-03-12,72.15,73.79,71.02,72.85,1987.0,2,0.0
2025-03-13,72.18,74.0,71.05,72.27,1146.0,1,0.0
2025-03-14,72.4,75.53,72.36,75.24,1200.0,2,0.0
2025-03-17,75.51,79.73,75.51,79.13,1428.0,1,0.0
2025-03-18,78.5,78.94,77.04,78.27,1245.0,2,0.0
2025-03-19,78.96,80.12,78.27,79.57,1124.0,1,0.0
2025-03-20,77.31,78.4,76.28,76.84,1135.0,2,0.0
2025-03-21,75.23,77.71,75.1,77.52,1696.0,1,0.0
2025-03-24,78.31,79.19,77.2,77.47,1030.0,2,0.0
2025-03-25,77.72,79.79,77.02,77.69,867.0,2,0.0
2025-03-26,77.55,77.96,74.06,75.66,1083.0,2,0.0
2025-03-27,73.8,75.25,73.15,74.57,1122.0,2,0.0
2025-03-28,74.45,74.68,71.39,71.94,1689.0,1,0.0
2025-03-31,70.84,72.74,69.82,72.07,1439.0,2,0.0
2025-04-01,70.77,72.54,69.95,71.66,1479.0,2,0.0
2025-04-02,70.23,73.52,70.23,72.24,1290.0,2,0.0
2025-04-03,68.76,69.5,66.07,66.39,1747.0,1,0.0
2025-04-04,63.51,63.57,57.5,58.54,3158.0,1,0.0
2025-04-07,56.05,63.72,55.45,57.99,3007.0,1,0.0
2025-04-08,58.5,58.9,49.4,50.42,2872.0,1,0.0
2025-04-09,51.29,61.76,50.13,60.58,3854.0,0,0.0
2025-04-10,56.5,57.32,53.51,54.24,2624.0,1,0.0
2025-04-11,53.7,56.78,52.7,56.57,2467.0,1,0.0
