time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,38.41,39.19,38.26,38.38,4528.0,1,0.0
2024-01-03,37.49,37.75,36.3,36.42,3532.0,1,0.0
2024-01-04,36.53,37.24,36.53,36.8,4056.0,1,0.0
2024-01-05,36.57,38.15,36.56,37.82,3222.0,1,0.0
2024-01-08,35.58,38.09,35.58,37.81,6095.0,1,0.0
2024-01-09,38.23,38.6,37.28,37.41,4209.0,1,0.0
2024-01-10,37.05,37.22,36.71,36.98,3339.0,0,0.0
2024-01-11,36.76,37.24,36.4,36.92,4489.0,1,0.0
2024-01-12,35.95,36.21,34.4,35.11,4795.0,1,0.0
2024-01-16,34.65,34.65,33.76,34.35,4976.0,1,0.0
2024-01-17,33.98,34.34,33.24,33.58,5116.0,1,0.0
2024-01-18,33.66,34.92,33.5,34.9,6031.0,1,0.0
2024-01-19,34.64,34.94,34.17,34.77,5318.0,1,0.0
2024-01-22,35.15,35.54,34.75,34.82,3779.0,1,0.0
2024-01-23,36.0,36.66,35.62,35.81,4740.0,1,0.0
2024-01-24,36.02,36.36,35.59,35.66,4309.0,1,0.0
2024-01-25,37.01,37.83,36.2,37.45,5653.0,1,0.0
2024-01-26,37.19,37.27,36.63,36.8,4158.0,1,0.0
2024-01-29,36.62,37.18,36.08,37.18,5047.0,1,0.0
2024-01-30,36.69,37.23,36.65,36.65,3413.0,1,0.0
2024-01-31,36.42,36.66,35.7,35.83,3638.0,1,0.0
2024-02-01,36.07,36.41,35.26,36.29,4659.0,1,0.0
2024-02-02,35.87,36.58,35.87,36.17,5750.0,0,0.0
2024-02-05,35.47,35.63,35.08,35.29,3862.0,1,0.0
2024-02-06,35.15,36.44,35.15,36.05,4843.0,1,0.0
2024-02-07,36.11,36.17,35.53,35.64,4055.0,1,0.0
2024-02-08,35.74,36.45,35.3,36.39,3934.0,1,0.0
2024-02-09,36.45,37.24,36.38,37.18,4000.0,1,0.0
2024-02-12,36.93,37.66,36.78,37.28,4432.0,1,0.0
2024-02-13,36.64,36.99,36.12,36.6,5425.0,1,0.0
2024-02-14,36.9,37.39,36.71,37.28,5589.0,1,0.0
2024-02-15,37.53,38.02,37.43,37.7,5300.0,1,0.0
2024-02-16,37.17,37.98,36.72,37.51,5020.0,1,0.0
