time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,189.0,195.87,189.0,194.37,662.0,19,0.0
2024-01-03,187.15,195.81,187.15,190.31,708.0,11,0.0
2024-01-04,185.81,193.18,185.81,191.83,567.0,9,0.0
2024-01-05,188.0,190.58,188.0,189.28,449.0,18,0.0
2024-01-08,185.37,196.36,185.0,195.55,432.0,17,0.0
2024-01-09,195.01,199.02,194.31,198.15,571.0,12,0.0
2024-01-10,194.82,196.88,190.0,196.11,633.0,10,0.0
2024-01-11,192.88,196.63,191.17,194.65,459.0,12,0.0
2024-01-12,192.79,195.88,191.86,192.85,462.0,13,0.0
2024-01-16,189.18,190.85,186.0,186.82,666.0,2,0.0
2024-01-17,183.36,188.61,181.81,188.61,688.0,11,0.0
2024-01-18,185.93,187.4,183.25,185.81,695.0,8,0.0
2024-01-19,183.64,185.25,182.22,183.91,427.0,3,0.0
2024-01-22,180.88,189.54,180.88,183.9,515.0,17,0.0
2024-01-23,182.23,190.24,182.23,189.46,802.0,6,0.0
2024-01-24,188.82,190.79,184.7,185.24,392.0,9,0.0
2024-01-25,183.98,187.19,182.74,184.12,471.0,5,0.0
2024-01-26,181.81,183.18,178.56,179.2,433.0,9,0.0
2024-01-29,176.0,181.32,176.0,180.91,744.0,8,0.0
2024-01-30,178.15,181.37,176.53,179.67,424.0,7,0.0
2024-01-31,178.88,179.09,172.0,172.27,751.0,6,0.0
2024-02-01,172.0,176.18,172.0,174.57,651.0,6,0.0
2024-02-02,172.0,174.34,168.6,172.57,680.0,9,0.0
2024-02-05,170.0,172.35,168.0,170.67,527.0,12,0.0
2024-02-06,170.0,172.69,169.1,171.88,579.0,9,0.0
2024-02-07,169.14,170.11,167.38,168.0,662.0,4,0.0
2024-02-08,168.0,169.91,165.34,168.9,775.0,3,0.0
2024-02-09,167.45,171.5,167.45,169.65,612.0,7,0.0
2024-02-12,170.38,171.21,166.8,168.87,624.0,9,0.0
2024-02-13,163.0,165.72,160.21,161.32,605.0,4,0.0
2024-02-14,162.66,164.58,160.5,164.1,916.0,8,0.0
2024-02-15,146.99,152.44,143.0,147.72,1335.0,1,0.0
2024-02-16,148.9,150.0,146.5,147.15,911.0,1,0.0
2024-02-20,146.34,150.0,145.5,148.99,756.0,6,0.0
2024-02-21,148.77,155.28,148.2,154.55,826.0,2,0.0
2024-02-22,153.07,163.91,152.72,162.54,729.0,8,0.0
2024-02-23,161.12,161.95,155.45,156.8,673.0,8,0.0
2024-02-26,155.0,158.77,153.67,158.33,525.0,6,0.0
2024-02-27,159.97,161.17,157.01,158.88,465.0,6,0.0
2024-02-28,157.5,157.5,153.53,154.84,678.0,9,0.0
2024-02-29,155.42,155.42,148.53,151.01,830.0,7,0.0
2024-03-01,150.24,155.62,150.0,152.51,629.0,7,0.0
2024-03-04,151.04,154.06,149.03,149.24,503.0,6,0.0
2024-03-05,148.2,149.75,147.02,148.93,739.0,8,0.0
2024-03-06,149.17,149.46,147.09,148.91,540.0,5,0.0
2024-03-07,149.15,150.42,148.89,149.3,421.0,5,0.0
2024-03-08,150.14,152.26,148.8,149.45,475.0,5,0.0
2024-03-11,149.5,152.0,148.42,148.77,291.0,4,0.0
2024-03-12,148.0,149.62,146.2,146.6,475.0,8,0.0
2024-03-13,148.64,150.51,146.91,148.03,440.0,5,0.0
2024-03-14,147.1,149.42,145.0,147.86,492.0,10,0.0
2024-03-15,147.01,149.32,145.35,149.12,545.0,10,0.0
2024-03-18,147.31,149.74,146.77,147.41,556.0,6,0.0
2024-03-19,145.5,149.56,145.5,148.09,556.0,8,0.0
2024-03-20,146.0,148.19,145.35,147.5,582.0,6,0.0
2024-03-21,147.43,149.65,145.35,146.15,542.0,8,0.0
2024-03-22,145.35,146.9,143.55,146.14,1143.0,7,0.0
2024-03-25,145.44,152.58,145.13,152.0,489.0,3,0.0
2024-03-26,152.0,153.25,150.08,151.82,515.0,6,0.0
2024-03-27,152.45,154.93,150.06,154.07,400.0,10,0.0
2024-03-28,153.88,154.21,148.68,148.94,643.0,7,0.0
2024-04-01,148.0,153.82,146.05,153.21,573.0,8,0.0
2024-04-02,151.17,151.73,149.12,150.79,328.0,8,0.0
2024-04-03,149.0,151.09,147.67,150.58,406.0,7,0.0
2024-04-04,149.55,154.27,149.55,151.54,434.0,4,0.0
2024-04-05,149.0,153.85,149.0,153.26,542.0,5,0.0
2024-04-08,152.3,157.55,151.87,156.15,554.0,5,0.0
2024-04-09,157.13,158.71,154.43,155.63,576.0,10,0.0
2024-04-10,153.0,154.87,151.31,152.11,623.0,4,0.0
2024-04-11,151.23,152.18,149.4,151.68,648.0,6,0.0
2024-04-12,149.88,151.22,148.0,148.35,573.0,5,0.0
2024-04-15,147.78,149.43,146.0,147.67,489.0,9,0.0
2024-04-16,146.0,148.08,146.0,146.22,527.0,8,0.0
2024-04-17,146.53,147.35,145.0,145.0,476.0,9,0.0
2024-04-18,144.2,146.36,144.2,144.85,556.0,9,0.0
2024-04-19,144.2,146.56,143.11,144.22,612.0,7,0.0
2024-04-22,143.15,147.79,142.45,145.07,435.0,11,0.0
2024-04-23,144.0,149.86,143.89,145.44,486.0,13,0.0
2024-04-24,145.5,146.56,143.0,143.35,429.0,12,0.0
2024-04-25,141.68,145.64,141.68,143.63,579.0,8,0.0
2024-04-26,143.01,145.79,142.11,142.74,638.0,10,0.0
2024-04-29,143.57,148.31,142.82,147.09,565.0,10,0.0
2024-04-30,144.64,147.84,143.81,143.81,472.0,8,0.0
2024-05-01,142.6,151.39,142.6,150.09,664.0,10,0.0
2024-05-02,149.41,153.6,145.01,149.85,778.0,8,0.0
2024-05-03,153.9,155.04,151.32,151.89,545.0,0,0.0
2024-05-06,151.32,151.73,149.1,151.06,457.0,10,0.0
2024-05-07,151.08,155.0,149.5,154.28,488.0,7,0.0
2024-05-08,151.77,155.28,151.28,151.71,509.0,6,0.0
2024-05-09,151.21,152.74,150.0,150.98,423.0,10,0.0
2024-05-10,150.2,151.14,148.16,150.22,602.0,7,0.0
2024-05-13,149.57,152.43,148.44,149.53,455.0,5,0.0
2024-05-14,150.74,150.74,146.46,147.54,395.0,10,0.0
2024-05-15,147.75,149.76,146.46,146.68,455.0,11,0.0
2024-05-16,146.43,151.34,144.01,151.19,851.0,3,0.0
2024-05-17,150.0,150.35,147.77,149.0,674.0,6,0.0
2024-05-20,147.62,150.61,146.99,149.53,461.0,4,0.0
2024-05-21,148.38,150.94,147.47,149.35,640.0,6,0.0
2024-05-22,149.02,151.84,149.02,150.46,478.0,8,0.0
2024-05-23,149.5,150.25,147.5,149.13,501.0,5,0.0
2024-05-24,149.0,149.71,147.0,147.33,482.0,6,0.0
2024-05-28,147.61,152.78,147.24,149.73,515.0,7,0.0
2024-05-29,148.69,149.2,146.03,146.82,640.0,6,0.0
2024-05-30,146.83,150.92,146.0,149.5,786.0,7,0.0
2024-05-31,148.22,150.89,146.59,147.56,393.0,4,0.0
2024-06-03,148.43,151.55,148.32,150.2,718.0,8,0.0
2024-06-04,150.43,151.14,148.5,149.59,587.0,12,0.0
2024-06-05,149.09,153.98,148.33,151.37,642.0,8,0.0
2024-06-06,150.55,151.91,148.9,148.94,342.0,9,0.0
2024-06-07,148.0,152.56,146.78,152.53,688.0,10,0.0
2024-06-10,151.5,153.53,150.21,153.42,453.0,7,0.0
2024-06-11,151.16,157.26,151.16,155.75,816.0,6,0.0
2024-06-12,160.06,161.58,156.19,158.91,723.0,6,0.0
2024-06-13,158.3,160.43,157.25,159.49,624.0,4,0.0
2024-06-14,159.94,162.9,159.1,159.82,515.0,7,0.0
2024-06-17,159.45,164.79,156.47,156.61,682.0,7,0.0
2024-06-18,156.53,156.8,152.29,153.58,710.0,7,0.0
2024-06-20,151.79,158.16,151.79,156.93,609.0,5,0.0
2024-06-21,159.23,166.46,157.6,165.16,1260.0,2,0.0
2024-06-24,217.0,231.43,209.0,222.74,1992.0,3,0.0
2024-06-25,220.6,241.28,220.6,239.6,1301.0,4,0.0
2024-06-26,236.36,249.15,236.18,244.83,1612.0,4,0.0
2024-06-27,242.0,252.61,242.0,247.08,1264.0,3,0.0
2024-06-28,245.86,248.0,240.64,240.64,787.0,7,0.0
2024-07-01,240.0,245.85,240.0,242.87,759.0,11,0.0
2024-07-02,241.29,249.92,239.61,247.0,818.0,17,0.0
2024-07-03,245.54,249.32,245.44,249.08,358.0,8,0.0
2024-07-05,245.75,252.27,245.75,251.03,577.0,9,0.0
2024-07-08,249.02,255.01,248.51,254.48,487.0,10,0.0
2024-07-09,252.98,256.04,252.87,254.33,928.0,8,0.0
2024-07-10,254.14,257.53,252.65,257.04,642.0,8,0.0
2024-07-11,255.35,262.66,255.35,260.89,587.0,13,0.0
2024-07-12,260.03,263.46,257.92,258.58,1114.0,3,0.0
2024-07-15,258.1,259.5,255.01,255.58,1036.0,12,0.0
2024-07-16,254.17,259.49,249.0,249.0,681.0,3,0.0
2024-07-17,243.0,246.01,239.0,240.07,815.0,8,0.0
2024-07-18,239.0,240.36,232.21,236.7,803.0,12,0.0
2024-07-19,234.65,240.3,234.64,236.66,391.0,15,0.0
2024-07-22,237.97,239.0,234.0,234.56,623.0,12,0.0
2024-07-23,234.0,237.87,231.0,234.16,679.0,13,0.0
2024-07-24,232.07,239.33,231.0,236.24,945.0,9,0.0
2024-07-25,234.16,242.56,234.16,237.51,581.0,7,0.0
2024-07-26,235.42,239.37,233.11,234.19,502.0,14,0.0
2024-07-29,233.0,236.77,233.0,235.66,425.0,14,0.0
2024-07-30,236.28,237.47,231.81,233.43,535.0,2,0.0
2024-07-31,234.0,239.32,232.87,236.58,497.0,14,0.0
2024-08-01,250.7,270.51,244.11,266.69,996.0,2,0.0
2024-08-02,262.09,274.2,258.0,270.31,730.0,15,0.0
2024-08-05,258.01,265.22,256.19,264.28,679.0,7,0.0
2024-08-06,259.61,264.81,257.6,261.72,796.0,10,0.0
2024-08-07,265.54,267.34,259.24,260.18,754.0,7,0.0
2024-08-08,261.21,271.45,259.99,268.87,608.0,16,0.0
2024-08-09,269.8,269.84,265.0,268.88,476.0,11,0.0
2024-08-12,267.65,274.64,267.65,269.1,641.0,9,0.0
2024-08-13,269.8,271.3,265.54,266.88,686.0,13,0.0
2024-08-14,264.08,267.15,262.0,262.61,392.0,15,0.0
2024-08-15,260.71,263.79,258.65,262.28,480.0,26,0.0
2024-08-16,262.97,271.37,261.0,267.71,536.0,8,0.0
2024-08-19,268.1,274.39,268.1,274.37,486.0,16,0.0
2024-08-20,274.41,282.26,274.41,279.65,689.0,19,0.0
2024-08-21,279.03,283.55,275.54,278.69,534.0,7,0.0
2024-08-22,276.08,278.3,271.58,275.24,415.0,11,0.0
2024-08-23,274.6,276.68,271.0,271.64,374.0,8,0.0
