time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,162.99,164.3,161.65,162.64,1506.0,1,0.0
2024-01-03,161.58,162.05,159.72,160.49,1347.0,1,0.0
2024-01-04,160.21,161.55,159.9,160.23,1474.0,1,0.0
2024-01-05,158.07,160.9,158.07,160.54,1028.0,3,0.0
2024-01-08,160.3,162.02,159.21,161.74,1234.0,1,0.0
2024-01-09,160.5,163.18,159.38,162.6,1205.0,2,0.0
2024-01-10,162.16,163.63,161.71,163.33,869.0,1,0.0
2024-01-11,163.26,164.33,162.36,163.89,1791.0,1,0.0
2024-01-12,163.13,164.45,162.35,163.15,905.0,2,0.0
2024-01-16,162.06,163.67,160.67,163.55,1263.0,1,0.0
2024-01-17,161.58,163.04,159.83,160.09,1183.0,1,0.0
2024-01-18,159.95,162.42,159.95,162.06,1199.0,1,0.0
2024-01-19,162.01,162.89,160.94,161.5,1336.0,1,0.0
2024-01-22,162.16,163.89,162.12,162.88,1358.0,1,0.0
2024-01-23,162.96,165.24,161.99,165.09,1302.0,1,0.0
2024-01-24,165.27,166.0,162.36,162.45,1292.0,2,0.0
2024-01-25,163.64,164.23,163.0,163.98,1217.0,1,0.0
2024-01-26,163.99,164.89,163.06,163.39,819.0,2,0.0
2024-01-29,162.26,165.12,162.26,164.85,1205.0,1,0.0
2024-01-30,164.36,166.6,163.59,165.98,902.0,1,0.0
2024-01-31,164.52,165.4,161.47,161.9,1428.0,3,0.0
2024-02-01,163.23,165.87,162.44,165.73,1604.0,1,0.0
2024-02-02,165.08,168.5,163.8,167.38,1793.0,1,0.0
2024-02-05,165.59,167.53,164.47,166.87,3071.0,1,0.0
2024-02-06,166.38,166.39,162.52,165.96,3310.0,1,0.0
2024-02-07,165.99,168.39,165.78,166.65,2541.0,1,0.0
2024-02-08,166.55,167.43,165.39,166.13,2385.0,2,0.0
2024-02-09,165.94,168.56,165.94,168.37,1797.0,2,0.0
2024-02-12,168.15,169.21,167.42,168.16,2518.0,1,0.0
2024-02-13,165.34,168.05,164.25,168.01,3271.0,1,0.0
2024-02-14,168.25,173.69,167.67,173.29,3503.0,3,0.0
2024-02-15,173.41,174.44,171.24,173.9,2525.0,1,0.0
2024-02-16,173.5,174.92,172.56,173.98,2065.0,0,0.0
2024-02-20,172.14,175.35,172.0,174.45,2357.0,1,0.0
2024-02-21,174.08,175.51,173.14,174.72,2605.0,2,0.0
2024-02-22,175.86,178.2,175.61,177.87,1987.0,3,0.0
2024-02-23,177.93,179.04,176.84,178.45,2305.0,1,0.0
2024-02-26,177.29,180.03,177.29,178.83,1916.0,2,0.0
2024-02-27,178.44,179.47,176.7,177.78,1773.0,2,0.0
2024-02-28,177.29,179.63,177.11,178.67,1455.0,3,0.0
2024-02-29,178.37,180.71,177.88,180.49,1898.0,1,0.0
2024-03-01,179.76,181.37,178.67,180.92,1677.0,1,0.0
2024-03-04,180.69,182.01,180.5,181.08,1702.0,1,0.0
2024-03-05,179.8,180.7,178.13,179.49,1757.0,3,0.0
2024-03-06,179.52,181.22,178.89,180.49,2177.0,2,0.0
2024-03-07,181.17,181.84,179.48,181.57,1575.0,2,0.0
2024-03-08,181.37,182.57,180.99,181.61,1946.0,3,0.0
2024-03-11,179.18,180.98,178.86,180.87,1462.0,1,0.0
2024-03-12,180.36,182.3,179.9,182.11,1527.0,2,0.0
2024-03-13,180.93,182.12,179.67,181.72,1504.0,1,0.0
2024-03-14,181.19,182.22,180.68,181.62,1602.0,2,0.0
2024-03-15,180.48,182.86,180.38,181.27,1761.0,3,0.0
2024-03-18,182.09,183.23,181.7,182.11,1251.0,2,0.0
2024-03-19,181.02,182.44,181.02,182.02,1265.0,1,0.0
2024-03-20,181.3,184.01,180.22,183.92,1517.0,2,0.0
2024-03-21,183.17,186.23,182.27,185.02,1663.0,2,0.0
2024-03-22,184.0,184.97,182.63,183.57,1485.0,1,0.0
2024-03-25,182.45,183.29,181.85,182.82,1392.0,1,0.0
2024-03-26,181.8,183.17,181.1,181.65,1445.0,1,0.0
2024-03-27,181.69,184.16,181.23,183.65,1426.0,3,0.0
2024-03-28,182.82,183.88,181.73,182.97,1490.0,3,0.0
2024-04-01,182.61,182.69,180.19,180.44,1667.0,2,0.0
2024-04-02,180.1,181.12,179.55,180.34,1811.0,2,0.0
2024-04-03,180.1,182.37,180.1,180.95,1460.0,2,0.0
2024-04-04,181.8,182.8,178.83,179.46,2550.0,1,0.0
2024-04-05,179.95,182.58,179.55,182.37,2426.0,2,0.0
2024-04-08,181.94,182.63,180.5,180.68,1424.0,3,0.0
2024-04-09,180.39,181.55,178.4,181.26,1847.0,0,0.0
2024-04-10,178.23,181.5,178.23,179.95,2525.0,2,0.0
2024-04-11,179.8,181.3,178.14,180.7,2392.0,1,0.0
2024-04-12,178.3,179.91,178.3,179.44,2273.0,3,0.0
2024-04-15,180.85,182.39,178.29,179.24,2442.0,1,0.0
2024-04-16,178.76,180.45,176.98,178.93,2614.0,1,0.0
2024-04-17,178.55,179.85,177.01,178.07,2634.0,2,0.0
2024-04-18,178.66,179.44,176.47,176.98,2682.0,2,0.0
2024-04-19,176.62,178.49,175.99,177.71,2125.0,2,0.0
2024-04-22,178.45,179.23,177.04,177.67,2918.0,1,0.0
2024-04-23,178.58,180.29,178.52,179.51,2706.0,1,0.0
2024-04-24,179.89,180.83,176.98,178.14,3323.0,1,0.0
2024-04-25,177.22,178.74,176.1,178.05,3284.0,1,0.0
2024-04-26,177.83,178.88,177.54,177.69,2270.0,2,0.0
2024-04-29,177.39,178.32,176.45,177.55,1649.0,1,0.0
2024-04-30,177.12,177.79,174.32,174.34,2060.0,3,0.0
2024-05-01,174.46,176.1,173.11,173.77,2827.0,2,0.0
2024-05-02,168.99,168.99,161.75,163.26,2842.0,2,0.0
2024-05-03,163.73,166.78,162.29,166.65,2107.0,3,0.0
2024-05-06,166.9,169.11,166.37,168.16,2066.0,2,0.0
2024-05-07,167.76,169.81,167.75,169.7,1657.0,2,0.0
2024-05-08,168.43,169.78,167.36,169.32,1527.0,2,0.0
2024-05-09,168.21,171.19,168.0,169.94,1517.0,2,0.0
2024-05-10,170.1,171.46,169.63,170.81,1521.0,3,0.0
2024-05-13,170.01,171.35,169.21,170.02,1204.0,2,0.0
2024-05-14,169.25,170.5,168.09,168.56,1372.0,1,0.0
2024-05-15,169.85,170.82,168.5,169.7,1361.0,2,0.0
2024-05-16,169.4,169.4,167.67,168.01,1564.0,3,0.0
2024-05-17,167.16,167.86,166.18,166.98,1540.0,2,0.0
2024-05-20,166.15,169.49,166.1,168.53,1264.0,2,0.0
2024-05-21,167.32,169.33,167.09,169.08,969.0,4,0.0
2024-05-22,170.27,174.39,169.38,174.11,1829.0,1,0.0
2024-05-23,174.14,174.49,172.35,172.96,1658.0,1,0.0
2024-05-24,172.59,173.73,171.91,173.54,1102.0,2,0.0
2024-05-28,173.66,173.66,168.16,168.44,1414.0,3,0.0
2024-05-29,167.0,168.44,166.08,166.35,1396.0,3,0.0
