time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,376.3,379.52,375.49,378.26,897.0,9,0.0
2024-01-03,378.29,385.6,378.29,380.68,1096.0,6,0.0
2024-01-04,378.24,385.36,377.83,378.86,1076.0,10,0.0
2024-01-05,375.5,383.69,375.2,381.76,944.0,10,0.0
2024-01-08,380.49,384.34,376.13,383.32,847.0,3,0.0
2024-01-09,378.84,381.12,373.29,375.3,951.0,10,0.0
2024-01-10,376.0,377.93,374.01,377.74,813.0,6,0.0
2024-01-11,375.42,378.69,373.0,378.39,1325.0,6,0.0
2024-01-12,378.29,380.52,373.98,376.19,1103.0,9,0.0
2024-01-16,371.95,373.5,368.1,372.31,1122.0,12,0.0
2024-01-17,369.0,376.16,369.0,371.46,780.0,4,0.0
2024-01-18,370.71,374.73,369.0,374.45,773.0,8,0.0
2024-01-19,374.67,382.12,373.0,380.83,1054.0,4,0.0
2024-01-22,381.99,388.18,381.68,386.5,1018.0,7,0.0
2024-01-23,385.82,387.87,384.0,387.0,873.0,7,0.0
2024-01-24,387.87,393.19,387.2,389.06,865.0,6,0.0
2024-01-25,369.0,402.22,369.0,389.57,1612.0,7,0.0
2024-01-26,390.22,394.29,389.0,390.79,861.0,8,0.0
2024-01-29,388.94,392.65,386.99,391.91,843.0,12,0.0
2024-01-30,389.57,394.29,388.5,393.04,724.0,9,0.0
2024-01-31,389.98,394.65,386.01,387.31,1138.0,3,0.0
2024-02-01,385.0,387.65,378.0,385.76,1127.0,8,0.0
2024-02-02,385.4,392.51,382.17,390.51,1091.0,9,0.0
2024-02-05,384.89,390.81,383.49,389.91,1140.0,4,0.0
2024-02-06,387.81,391.84,385.27,387.36,1336.0,2,0.0
2024-02-07,385.63,393.03,385.6,391.55,1112.0,10,0.0
2024-02-08,387.57,394.37,387.0,394.02,1009.0,6,0.0
2024-02-09,391.6,397.96,390.84,396.76,844.0,10,0.0
2024-02-12,395.67,402.05,393.93,397.37,1174.0,12,0.0
2024-02-13,394.35,395.36,385.0,389.32,1545.0,10,0.0
2024-02-14,390.74,393.17,388.28,390.87,1247.0,11,0.0
2024-02-15,392.45,399.57,389.19,397.26,1373.0,8,0.0
2024-02-16,395.03,400.27,394.5,397.0,1043.0,15,0.0
2024-02-20,392.63,397.76,391.0,395.92,1341.0,16,0.0
2024-02-21,393.14,396.78,390.0,395.09,1453.0,9,0.0
2024-02-22,396.86,403.51,395.36,402.68,1190.0,9,0.0
2024-02-23,402.1,407.69,401.86,407.25,1159.0,11,0.0
2024-02-26,404.13,410.67,404.13,408.25,1515.0,7,0.0
2024-02-27,407.26,408.53,405.0,408.17,1133.0,11,0.0
2024-02-28,405.77,413.2,405.77,410.71,1391.0,4,0.0
2024-02-29,410.32,412.12,405.0,407.47,1735.0,6,0.0
2024-03-01,405.18,410.59,402.5,410.57,1504.0,5,0.0
2024-03-04,409.4,414.2,408.67,412.22,1006.0,7,0.0
2024-03-05,409.89,417.03,408.48,412.56,1388.0,9,0.0
2024-03-06,411.44,415.43,408.86,415.02,1409.0,13,0.0
2024-03-07,415.83,418.93,411.94,412.33,1461.0,9,0.0
2024-03-08,412.87,415.75,408.32,411.42,1782.0,17,0.0
2024-03-11,410.23,412.77,407.0,411.56,1177.0,6,0.0
2024-03-12,413.1,414.4,407.72,413.33,1150.0,12,0.0
2024-03-13,412.2,417.02,412.02,416.08,1019.0,8,0.0
2024-03-14,416.95,416.95,410.0,413.12,1204.0,4,0.0
2024-03-15,413.85,421.72,410.44,418.72,1662.0,6,0.0
2024-03-18,418.05,427.62,416.54,423.56,1353.0,4,0.0
2024-03-19,424.36,429.15,424.36,428.71,1141.0,4,0.0
2024-03-20,425.62,433.59,425.37,430.62,1644.0,5,0.0
2024-03-21,431.0,437.12,429.45,435.86,1226.0,6,0.0
2024-03-22,433.63,434.46,430.07,430.26,822.0,5,0.0
2024-03-25,427.68,433.0,427.1,431.1,825.0,11,0.0
2024-03-26,431.42,434.18,430.11,430.27,924.0,10,0.0
2024-03-27,431.81,437.49,430.86,436.04,1162.0,11,0.0
2024-03-28,436.04,440.5,436.0,438.42,1154.0,8,0.0
2024-04-01,437.08,437.08,430.22,434.55,1084.0,11,0.0
2024-04-02,434.22,435.29,431.0,432.55,971.0,4,0.0
2024-04-03,431.5,437.99,431.5,436.43,945.0,9,0.0
2024-04-04,437.46,440.28,428.53,428.64,1328.0,11,0.0
2024-04-05,427.2,435.28,427.2,434.25,857.0,10,0.0
2024-04-08,435.05,437.45,432.65,435.33,835.0,16,0.0
2024-04-09,435.88,437.62,427.0,429.36,1523.0,5,0.0
2024-04-10,425.0,430.36,423.0,426.55,1209.0,14,0.0
2024-04-11,423.95,425.38,421.0,422.69,1014.0,4,0.0
2024-04-12,418.0,420.9,412.0,413.32,1390.0,6,0.0
2024-04-15,419.44,422.72,409.06,410.56,1226.0,10,0.0
2024-04-16,410.3,413.65,407.28,411.18,1319.0,4,0.0
2024-04-17,411.15,415.95,409.0,411.8,1312.0,6,0.0
2024-04-18,411.77,416.23,410.0,411.95,959.0,7,0.0
2024-04-19,412.63,417.59,412.63,416.3,1068.0,4,0.0
2024-04-22,418.43,425.05,412.5,421.27,1242.0,9,0.0
2024-04-23,417.97,418.83,401.62,406.81,1141.0,8,0.0
2024-04-24,406.0,414.31,405.0,412.2,899.0,6,0.0
2024-04-25,408.4,412.22,401.02,410.55,949.0,5,0.0
2024-04-26,406.03,412.24,405.51,410.11,1018.0,8,0.0
2024-04-29,413.26,418.34,412.53,415.66,982.0,6,0.0
2024-04-30,412.16,414.28,410.78,411.83,755.0,18,0.0
2024-05-01,411.86,420.2,410.08,413.56,1068.0,14,0.0
2024-05-02,414.19,416.43,410.14,415.94,675.0,12,0.0
2024-05-03,415.55,420.08,412.47,418.78,722.0,11,0.0
2024-05-06,420.0,425.16,420.0,424.43,674.0,7,0.0
2024-05-07,425.1,426.26,422.23,424.59,935.0,8,0.0
2024-05-08,424.05,427.12,421.34,425.92,1050.0,17,0.0
2024-05-09,423.0,429.92,423.0,429.56,735.0,9,0.0
2024-05-10,430.21,434.49,430.16,434.16,794.0,13,0.0
2024-05-13,435.1,435.1,430.24,432.15,830.0,16,0.0
2024-05-14,430.45,436.02,430.45,435.83,848.0,9,0.0
2024-05-15,436.58,439.9,435.67,439.5,1017.0,8,0.0
2024-05-16,437.75,441.39,436.27,436.85,1102.0,12,0.0
2024-05-17,436.83,438.92,434.34,435.03,1050.0,8,0.0
2024-05-20,432.87,435.62,431.03,433.06,941.0,5,0.0
2024-05-21,432.2,436.04,431.33,434.22,1113.0,16,0.0
2024-05-22,431.26,437.82,431.16,437.58,1448.0,7,0.0
2024-05-23,435.54,438.32,430.21,434.01,935.0,11,0.0
2024-05-24,433.42,440.75,433.0,440.17,913.0,15,0.0
2024-05-28,438.52,438.86,433.55,434.69,1012.0,2,0.0
2024-05-29,430.0,430.8,425.49,427.31,1218.0,8,0.0
2024-05-30,426.4,431.7,426.4,430.13,952.0,1,0.0
