time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,58.85,61.57,58.8,60.94,1187.0,2,0.0
2024-01-03,60.0,61.5,59.5,59.74,1233.0,2,0.0
2024-01-04,60.0,64.81,58.92,60.7,1591.0,3,0.0
2024-01-05,59.92,60.05,58.05,59.62,1352.0,2,0.0
2024-01-08,58.67,69.18,58.3,67.79,1811.0,1,0.0
2024-01-09,68.38,73.74,67.89,72.27,1580.0,2,0.0
2024-01-10,71.6,72.68,68.55,68.69,975.0,1,0.0
2024-01-11,68.78,69.33,65.11,65.86,1185.0,2,0.0
2024-01-12,66.67,70.99,66.4,70.08,1535.0,1,0.0
2024-01-16,68.85,68.9,66.0,66.18,1248.0,2,0.0
2024-01-17,66.31,67.62,65.1,65.77,1268.0,1,0.0
2024-01-18,66.0,66.0,62.03,63.79,1362.0,2,0.0
2024-01-19,63.81,63.86,62.66,63.69,985.0,2,0.0
2024-01-22,64.67,65.96,63.58,65.3,867.0,1,0.0
2024-01-23,63.23,66.58,62.12,65.91,1347.0,1,0.0
2024-01-24,65.6,67.34,65.5,66.38,1072.0,2,0.0
2024-01-25,66.22,68.07,65.77,66.21,1024.0,1,0.0
2024-01-26,65.75,66.17,63.55,63.78,1202.0,1,0.0
2024-01-29,62.96,65.95,62.47,65.17,1006.0,3,0.0
2024-01-30,64.62,66.6,64.0,65.99,960.0,3,0.0
2024-01-31,65.3,66.3,63.2,63.36,826.0,1,0.0
2024-02-01,63.0,63.45,61.86,61.86,1199.0,1,0.0
2024-02-02,61.0,62.88,60.28,62.49,1192.0,1,0.0
2024-02-05,65.55,68.12,63.13,68.11,1565.0,1,0.0
2024-02-06,68.05,68.16,66.2,67.21,665.0,1,0.0
2024-02-07,66.72,67.03,65.4,66.74,655.0,2,0.0
2024-02-08,66.68,68.53,66.56,68.15,904.0,2,0.0
2024-02-09,68.46,69.28,67.86,68.17,598.0,1,0.0
2024-02-12,68.0,68.81,66.8,67.57,950.0,1,0.0
2024-02-13,65.2,67.33,64.51,66.21,1412.0,2,0.0
2024-02-14,66.75,68.09,66.14,67.29,1162.0,2,0.0
2024-02-15,66.7,68.59,66.7,67.41,998.0,2,0.0
2024-02-16,67.24,69.15,67.0,68.71,1233.0,2,0.0
2024-02-20,68.06,69.66,67.1,67.79,1152.0,2,0.0
2024-02-21,66.6,67.85,66.0,66.64,1040.0,2,0.0
2024-02-22,66.94,68.09,66.5,67.3,1032.0,2,0.0
2024-02-23,67.44,68.7,67.0,68.25,874.0,1,0.0
2024-02-26,68.69,71.81,68.42,71.75,1126.0,1,0.0
2024-02-27,68.1,70.7,66.2,69.06,1329.0,2,0.0
2024-02-28,69.5,69.5,63.5,64.0,1182.0,1,0.0
2024-02-29,64.75,65.14,60.78,61.69,1123.0,2,0.0
2024-03-01,62.55,65.59,61.38,63.91,1382.0,1,0.0
2024-03-04,62.26,65.33,61.6,64.56,1008.0,2,0.0
2024-03-05,64.0,64.0,60.76,62.53,1076.0,1,0.0
2024-03-06,62.25,64.04,60.02,60.8,1007.0,1,0.0
2024-03-07,60.0,62.5,60.0,62.42,1066.0,1,0.0
2024-03-08,62.8,63.18,61.03,61.44,902.0,4,0.0
2024-03-11,61.37,62.75,60.1,60.4,532.0,3,0.0
2024-03-12,60.32,60.34,57.6,58.6,1060.0,1,0.0
2024-03-13,58.34,59.39,56.67,57.26,859.0,2,0.0
2024-03-14,56.66,57.13,55.0,56.25,740.0,2,0.0
2024-03-15,56.3,56.91,55.25,56.54,707.0,1,0.0
2024-03-18,56.73,57.29,55.78,55.97,812.0,2,0.0
2024-03-19,55.76,57.63,55.5,56.74,1068.0,1,0.0
2024-03-20,55.9,55.92,53.25,55.41,980.0,3,0.0
2024-03-21,55.75,57.21,55.49,56.47,890.0,1,0.0
2024-03-22,56.33,56.47,55.0,55.0,617.0,2,0.0
2024-03-25,55.0,56.6,55.0,55.58,774.0,3,0.0
2024-03-26,55.92,59.06,55.52,59.01,1099.0,1,0.0
2024-03-27,58.45,59.1,57.5,58.3,885.0,3,0.0
2024-03-28,58.28,58.88,56.65,58.71,721.0,2,0.0
2024-04-01,57.58,59.85,57.5,59.59,643.0,1,0.0
2024-04-02,58.4,58.65,54.18,55.42,752.0,3,0.0
2024-04-03,54.56,57.34,54.56,56.79,790.0,1,0.0
2024-04-04,56.38,57.93,55.76,55.89,506.0,3,0.0
2024-04-05,54.73,56.0,54.17,55.78,561.0,3,0.0
2024-04-08,55.05,55.26,53.8,53.8,608.0,1,0.0
2024-04-09,53.88,55.02,53.3,54.96,731.0,1,0.0
2024-04-10,53.95,56.99,53.52,56.72,668.0,1,0.0
2024-04-11,56.82,57.31,54.98,55.61,577.0,2,0.0
2024-04-12,54.6,54.6,50.01,51.67,1047.0,1,0.0
2024-04-15,50.16,52.91,50.0,51.28,997.0,1,0.0
2024-04-16,50.98,52.91,50.51,51.72,952.0,1,0.0
2024-04-17,51.04,52.0,48.0,48.01,906.0,2,0.0
2024-04-18,47.81,48.01,46.38,47.24,882.0,1,0.0
2024-04-19,47.49,48.01,46.4,47.49,813.0,2,0.0
2024-04-22,47.82,48.41,46.52,47.39,715.0,2,0.0
2024-04-23,48.0,49.58,47.77,48.51,635.0,1,0.0
2024-04-24,48.48,50.36,48.48,49.97,852.0,2,0.0
2024-04-25,48.99,49.05,47.0,47.84,785.0,2,0.0
2024-04-26,49.0,50.86,48.5,49.57,690.0,1,0.0
2024-04-29,48.61,48.74,47.26,47.61,681.0,1,0.0
2024-04-30,45.5,46.0,38.1,43.92,1666.0,1,0.0
2024-05-01,45.18,46.88,44.13,46.07,1172.0,4,0.0
2024-05-02,45.95,47.62,45.95,47.28,792.0,2,0.0
2024-05-03,47.76,48.62,46.82,47.29,917.0,1,0.0
2024-05-06,46.84,48.96,46.84,48.72,780.0,2,0.0
2024-05-07,46.06,46.6,41.6,43.8,1538.0,1,0.0
2024-05-08,43.22,43.37,41.5,42.19,926.0,1,0.0
2024-05-09,42.31,42.88,41.68,42.36,657.0,3,0.0
2024-05-10,42.5,42.5,41.21,42.07,672.0,1,0.0
2024-05-13,41.9,43.77,41.9,42.84,754.0,1,0.0
2024-05-14,43.01,43.42,41.04,41.23,663.0,2,0.0
2024-05-15,42.29,43.23,41.36,41.84,665.0,3,0.0
2024-05-16,41.3,42.05,40.75,41.87,537.0,1,0.0
2024-05-17,41.16,42.16,41.0,41.31,505.0,1,0.0
2024-05-20,41.27,43.2,40.78,43.2,724.0,2,0.0
2024-05-21,42.82,43.17,41.5,42.53,1140.0,2,0.0
2024-05-22,42.25,43.88,42.25,43.56,779.0,1,0.0
2024-05-23,42.16,42.23,39.18,39.84,941.0,1,0.0
2024-05-24,39.02,42.18,39.02,40.66,814.0,1,0.0
2024-05-28,40.39,40.72,39.11,40.39,775.0,2,0.0
2024-05-29,39.28,41.55,39.28,41.25,783.0,1,0.0
2024-05-30,41.0,41.11,40.35,40.66,722.0,2,0.0
2024-05-31,39.64,40.45,38.18,39.13,858.0,2,0.0
2024-06-03,38.79,41.56,38.75,40.06,704.0,1,0.0
2024-06-04,38.78,40.11,38.6,39.76,660.0,1,0.0
2024-06-05,39.5,41.65,39.5,41.59,771.0,2,0.0
2024-06-06,40.53,41.46,40.46,41.07,709.0,3,0.0
2024-06-07,40.15,41.71,40.04,40.04,538.0,3,0.0
2024-06-10,39.95,41.83,39.65,41.65,759.0,2,0.0
2024-06-11,41.3,42.96,40.56,42.79,794.0,1,0.0
2024-06-12,42.81,43.62,41.8,42.47,675.0,2,0.0
2024-06-13,42.58,43.3,41.8,42.45,682.0,2,0.0
2024-06-14,42.07,42.65,41.55,42.02,566.0,3,0.0
2024-06-17,41.7,42.84,40.0,40.24,675.0,1,0.0
2024-06-18,39.7,41.07,39.42,40.07,708.0,2,0.0
2024-06-20,39.67,40.24,39.0,39.65,694.0,3,0.0
2024-06-21,39.2,39.55,37.68,37.68,1016.0,1,0.0
2024-06-24,37.8,38.62,37.34,38.37,962.0,1,0.0
2024-06-25,38.49,40.53,38.1,40.45,861.0,1,0.0
2024-06-26,39.61,40.87,39.2,40.31,725.0,2,0.0
2024-06-27,39.48,41.59,39.48,41.37,871.0,1,0.0
2024-06-28,39.45,39.45,36.89,38.09,1322.0,1,0.0
2024-07-01,38.49,38.85,36.14,36.39,944.0,1,0.0
2024-07-02,35.53,36.18,34.64,34.98,836.0,1,0.0
2024-07-03,35.08,36.52,35.02,35.29,358.0,5,0.0
2024-07-05,35.04,36.49,35.02,36.03,710.0,1,0.0
2024-07-08,35.68,37.35,35.68,36.67,676.0,2,0.0
2024-07-09,36.95,37.83,36.5,37.31,763.0,1,0.0
2024-07-10,36.57,38.14,36.5,37.26,733.0,3,0.0
2024-07-11,37.71,39.88,37.6,38.79,1170.0,1,0.0
2024-07-12,38.98,40.91,38.55,39.62,876.0,2,0.0
2024-07-15,39.1,40.42,39.0,39.73,790.0,3,0.0
2024-07-16,40.13,42.39,39.72,41.09,718.0,2,0.0
2024-07-17,39.5,41.64,39.32,39.58,641.0,1,0.0
2024-07-18,39.3,39.75,36.51,37.68,876.0,1,0.0
2024-07-19,37.51,38.48,36.97,37.9,570.0,2,0.0
2024-07-22,38.04,38.26,36.22,36.88,710.0,1,0.0
2024-07-23,36.6,37.59,36.5,36.81,730.0,2,0.0
2024-07-24,36.51,38.46,36.44,37.48,709.0,1,0.0
2024-07-25,37.19,39.58,37.01,38.67,774.0,1,0.0
2024-07-26,38.25,39.86,38.01,39.85,642.0,3,0.0
2024-07-29,38.72,40.02,38.51,39.18,554.0,2,0.0
2024-07-30,39.6,39.81,38.42,39.33,496.0,1,0.0
2024-07-31,38.6,41.39,38.21,39.53,772.0,2,0.0
2024-08-01,37.68,37.68,34.95,35.8,1037.0,1,0.0
2024-08-02,35.52,37.06,34.76,36.47,1026.0,1,0.0
2024-08-05,33.63,35.12,33.5,33.69,841.0,2,0.0
2024-08-06,33.52,35.36,33.52,34.83,923.0,2,0.0
2024-08-07,34.9,35.4,33.4,33.5,584.0,2,0.0
2024-08-08,35.48,38.27,33.86,37.55,1186.0,1,0.0
2024-08-09,37.33,38.17,36.27,37.01,936.0,1,0.0
2024-08-12,35.57,36.18,35.06,36.06,666.0,2,0.0
2024-08-13,35.68,36.59,35.18,35.66,500.0,1,0.0
2024-08-14,35.54,36.91,35.54,36.06,696.0,1,0.0
2024-08-15,35.9,38.45,35.9,37.51,729.0,1,0.0
2024-08-16,37.61,37.71,36.59,37.09,832.0,1,0.0
2024-08-19,36.42,38.51,36.42,38.31,556.0,1,0.0
2024-08-20,38.0,39.02,37.42,38.81,462.0,1,0.0
2024-08-21,38.57,40.42,38.55,39.84,672.0,2,0.0
2024-08-22,40.02,40.55,38.65,39.05,579.0,2,0.0
2024-08-23,39.14,40.52,39.14,39.8,522.0,2,0.0
2024-08-26,39.29,40.71,39.29,39.82,424.0,1,0.0
2024-08-27,39.35,39.59,38.27,39.55,465.0,2,0.0
2024-08-28,39.23,39.94,38.0,38.35,621.0,2,0.0
2024-08-29,38.29,39.1,38.0,38.73,472.0,3,0.0
2024-08-30,38.65,39.21,38.41,38.82,467.0,1,0.0
2024-09-03,38.41,40.26,38.02,38.7,1023.0,1,0.0
2024-09-04,38.09,38.95,37.38,37.8,689.0,3,0.0
2024-09-05,37.69,39.26,37.4,38.94,549.0,3,0.0
2024-09-06,39.61,41.64,39.61,41.13,658.0,3,0.0
2024-09-09,40.61,41.83,39.05,39.88,873.0,1,0.0
2024-09-10,39.66,40.55,38.66,39.12,575.0,1,0.0
2024-09-11,38.55,39.22,37.9,38.15,566.0,3,0.0
2024-09-12,38.26,38.35,36.27,36.45,790.0,1,0.0
2024-09-13,36.26,38.46,36.26,37.64,726.0,1,0.0
2024-09-16,37.0,37.25,35.4,36.28,815.0,1,0.0
2024-09-17,36.43,36.82,35.15,35.44,779.0,1,0.0
2024-09-18,35.62,36.98,35.29,35.57,829.0,2,0.0
2024-09-19,35.98,37.71,35.98,36.53,1268.0,1,0.0
2024-09-20,33.27,34.47,30.99,32.25,1608.0,1,0.0
2024-09-23,31.51,32.64,31.51,32.64,1074.0,1,0.0
2024-09-24,32.1,32.61,30.75,30.75,850.0,1,0.0
2024-09-25,30.75,30.92,30.19,30.64,905.0,1,0.0
2024-09-26,30.59,30.66,29.55,29.73,822.0,1,0.0
2024-09-27,30.04,30.21,29.21,29.44,881.0,1,0.0
2024-09-30,28.8,29.31,28.3,28.83,1006.0,1,0.0
2024-10-01,28.55,28.55,26.89,27.65,1031.0,1,0.0
2024-10-02,26.88,28.56,26.66,28.53,1321.0,1,0.0
2024-10-03,28.48,29.35,27.87,27.96,1013.0,1,0.0
2024-10-04,28.0,28.12,27.3,27.51,830.0,1,0.0
2024-10-07,27.1,27.61,26.75,27.41,849.0,1,0.0
2024-10-08,27.02,28.05,27.0,27.22,985.0,1,0.0
2024-10-09,27.1,27.42,26.53,26.61,793.0,1,0.0
2024-10-10,26.5,27.04,26.25,26.61,774.0,1,0.0
2024-10-11,26.35,27.19,26.28,27.06,1242.0,1,0.0
2024-10-14,26.96,28.05,26.87,27.28,1176.0,1,0.0
2024-10-15,27.23,27.92,27.05,27.79,706.0,1,0.0
2024-10-16,28.1,28.51,27.3,27.91,690.0,1,0.0
2024-10-17,27.8,28.14,27.31,27.83,660.0,1,0.0
2024-10-18,27.89,28.3,27.42,28.0,709.0,1,0.0
2024-10-21,27.81,27.81,26.5,26.89,836.0,1,0.0
2024-10-22,26.63,28.1,26.45,27.65,1060.0,1,0.0
2024-10-23,27.45,27.54,26.75,26.9,1072.0,1,0.0
2024-10-24,26.83,28.19,26.8,27.59,840.0,1,0.0
2024-10-25,27.18,27.74,26.64,26.66,717.0,1,0.0
2024-10-28,27.69,27.69,26.65,27.38,851.0,1,0.0
2024-10-29,27.03,28.0,26.83,27.24,695.0,1,0.0
2024-10-30,26.95,27.95,26.9,27.61,807.0,1,0.0
2024-10-31,27.0,28.13,27.0,27.27,782.0,1,0.0
2024-11-01,27.11,28.08,27.03,27.93,773.0,1,0.0
2024-11-04,27.27,30.03,27.27,28.33,1332.0,1,0.0
2024-11-05,25.54,28.28,24.31,28.05,2215.0,1,0.0
2024-11-06,28.85,29.25,27.24,28.74,1365.0,1,0.0
2024-11-07,28.34,28.99,27.71,28.76,763.0,1,0.0
2024-11-08,28.34,30.11,28.34,29.91,1435.0,1,0.0
2024-11-11,29.98,30.42,29.61,29.63,823.0,1,0.0
2024-11-12,28.82,29.58,28.63,29.19,887.0,1,0.0
2024-11-13,28.95,29.77,28.22,28.22,1256.0,1,0.0
2024-11-14,28.22,28.84,27.7,28.07,1124.0,1,0.0
2024-11-15,27.8,27.85,26.0,26.23,1239.0,1,0.0
2024-11-18,26.33,26.63,25.71,26.17,1786.0,1,0.0
2024-11-19,27.72,30.66,27.72,28.76,2032.0,1,0.0
2024-11-20,28.4,28.93,27.31,27.49,1424.0,1,0.0
2024-11-21,27.1,28.07,26.6,27.64,920.0,1,0.0
2024-11-22,27.73,30.97,27.7,30.71,1294.0,1,0.0
2024-11-25,31.19,32.99,31.15,31.99,1350.0,1,0.0
2024-11-26,31.84,32.96,31.48,32.59,1159.0,1,0.0
2024-11-27,32.85,34.34,32.62,34.1,1585.0,1,0.0
2024-11-29,34.25,34.55,33.67,33.76,683.0,1,0.0
2024-12-02,33.8,35.48,33.53,35.42,994.0,1,0.0
2024-12-03,34.86,35.28,33.61,34.58,808.0,1,0.0
2024-12-04,34.25,34.7,33.65,34.04,745.0,1,0.0
2024-12-05,33.86,34.2,32.61,33.29,966.0,1,0.0
2024-12-06,33.72,34.26,33.2,33.5,1105.0,1,0.0
2024-12-09,33.6,35.68,33.52,34.92,939.0,1,0.0
2024-12-10,35.01,35.01,34.2,34.5,869.0,1,0.0
2024-12-11,34.2,34.84,33.87,33.87,782.0,1,0.0
2024-12-12,33.47,34.02,32.21,32.77,877.0,1,0.0
2024-12-13,32.12,33.41,31.63,33.14,1178.0,1,0.0
2024-12-16,32.6,34.87,32.5,33.63,1111.0,2,0.0
2024-12-17,32.44,34.78,32.44,34.38,1440.0,1,0.0
2024-12-18,34.27,35.64,33.73,33.86,1210.0,1,0.0
2024-12-19,33.57,33.93,32.75,33.1,1061.0,1,0.0
2024-12-20,32.88,34.22,32.75,32.87,1046.0,2,0.0
2024-12-23,32.67,33.39,32.53,33.19,719.0,1,0.0
2024-12-24,32.63,33.32,32.35,33.15,502.0,3,0.0
2024-12-26,32.52,33.16,32.32,32.93,646.0,1,0.0
2024-12-27,32.51,33.24,32.4,32.45,728.0,2,0.0
2024-12-30,32.1,32.41,31.75,31.89,629.0,2,0.0
2024-12-31,31.99,32.57,31.35,31.91,785.0,1,0.0
2025-01-02,31.44,33.43,31.44,33.07,713.0,1,0.0
2025-01-03,32.95,34.07,32.95,33.44,676.0,1,0.0
2025-01-06,33.2,35.09,33.06,34.24,1102.0,2,0.0
2025-01-07,33.82,35.5,33.69,34.39,956.0,1,0.0
2025-01-08,33.47,34.08,32.86,32.95,699.0,1,0.0
2025-01-10,29.67,29.68,27.3,27.49,1372.0,1,0.0
2025-01-13,28.15,29.61,27.52,28.48,1279.0,1,0.0
2025-01-14,28.75,29.12,27.54,27.54,971.0,1,0.0
2025-01-15,28.59,30.08,28.12,28.81,931.0,1,0.0
2025-01-16,28.75,30.08,28.75,29.68,890.0,1,0.0
2025-01-17,29.63,30.16,29.49,29.83,762.0,1,0.0
2025-01-21,30.0,30.38,29.3,29.99,928.0,1,0.0
2025-01-22,29.59,30.82,29.59,30.32,768.0,1,0.0
2025-01-23,29.75,31.16,29.75,30.66,867.0,1,0.0
2025-01-24,30.62,30.85,29.44,29.9,896.0,1,0.0
2025-01-27,29.72,30.75,29.08,29.74,944.0,1,0.0
2025-01-28,29.68,29.68,28.71,29.11,906.0,2,0.0
2025-01-29,29.19,29.77,29.02,29.5,760.0,2,0.0
2025-01-30,28.9,30.47,28.9,30.33,642.0,1,0.0
2025-01-31,30.15,30.5,28.86,28.98,787.0,2,0.0
2025-02-03,28.0,28.81,27.8,28.53,790.0,1,0.0
2025-02-04,28.49,29.1,28.12,28.74,904.0,1,0.0
2025-02-05,29.19,30.54,29.19,30.36,679.0,1,0.0
2025-02-06,30.1,30.4,29.52,30.11,622.0,1,0.0
2025-02-07,29.74,30.13,29.03,29.22,519.0,1,0.0
2025-02-10,28.96,29.42,28.5,28.64,586.0,1,0.0
2025-02-11,28.34,29.07,28.28,28.47,536.0,2,0.0
2025-02-12,27.53,28.46,27.45,28.36,602.0,2,0.0
2025-02-13,28.1,28.25,26.8,27.44,939.0,1,0.0
2025-02-14,27.45,28.11,27.01,27.35,654.0,1,0.0
2025-02-18,27.6,28.53,27.4,28.17,736.0,1,0.0
2025-02-19,27.89,28.43,27.82,28.38,638.0,1,0.0
2025-02-20,28.33,28.88,27.76,28.34,755.0,1,0.0
2025-02-21,28.77,28.77,27.33,27.53,807.0,1,0.0
2025-02-24,27.38,27.65,26.91,27.38,615.0,1,0.0
2025-02-25,27.06,27.4,26.54,26.98,889.0,1,0.0
2025-02-26,27.17,28.03,26.2,26.34,712.0,2,0.0
2025-02-27,26.3,27.46,25.96,25.96,956.0,1,0.0
2025-02-28,24.8,25.25,24.19,25.12,1150.0,1,0.0
2025-03-03,24.63,24.98,23.81,24.06,1080.0,1,0.0
2025-03-04,24.22,25.54,23.7,24.95,985.0,1,0.0
2025-03-05,24.92,26.11,24.53,25.99,735.0,1,0.0
2025-03-06,25.37,25.83,25.01,25.32,705.0,2,0.0
2025-03-07,24.5,25.47,24.35,25.07,877.0,1,0.0
2025-03-10,24.99,25.18,24.39,25.11,1006.0,1,0.0
2025-03-11,25.03,25.6,24.63,25.53,1075.0,1,0.0
2025-03-12,25.19,25.89,24.92,25.16,1678.0,1,0.0
2025-03-13,24.71,25.19,24.25,24.36,1070.0,1,0.0
2025-03-14,24.25,24.78,24.12,24.64,816.0,1,0.0
2025-03-17,24.66,25.33,24.25,25.12,792.0,1,0.0
2025-03-18,24.12,24.97,24.12,24.34,735.0,1,0.0
2025-03-19,24.8,25.26,24.11,24.8,768.0,2,0.0
2025-03-20,24.43,25.07,24.0,24.0,676.0,2,0.0
2025-03-21,23.94,24.56,23.86,24.15,778.0,1,0.0
2025-03-24,24.11,24.59,24.0,24.16,827.0,1,0.0
2025-03-25,24.0,24.25,23.3,23.72,702.0,1,0.0
2025-03-26,23.56,23.79,23.21,23.79,710.0,1,0.0
2025-03-27,23.37,24.8,23.33,24.29,1091.0,1,0.0
2025-03-28,24.16,24.35,23.57,24.18,832.0,1,0.0
2025-03-31,23.5,23.81,21.59,21.74,964.0,1,0.0
2025-04-01,22.1,23.72,21.75,22.65,1503.0,1,0.0
2025-04-02,22.08,23.05,21.9,22.89,922.0,2,0.0
2025-04-03,22.0,23.17,22.0,22.41,1015.0,1,0.0
2025-04-04,22.75,22.75,19.73,20.07,1391.0,1,0.0
