time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,27.7,28.23,27.7,27.94,2419.0,1,0.0
2024-01-03,27.57,28.0,27.42,27.75,2922.0,1,0.0
2024-01-04,27.56,28.1,27.56,27.77,2731.0,1,0.0
2024-01-05,27.64,28.22,27.56,28.2,3330.0,1,0.0
2024-01-08,28.32,29.01,28.32,28.87,2186.0,1,0.0
2024-01-09,28.43,28.76,28.25,28.7,1651.0,1,0.0
2024-01-10,28.68,29.03,28.43,28.95,2176.0,1,0.0
2024-01-11,28.82,28.89,28.52,28.86,2718.0,1,0.0
2024-01-12,28.92,29.23,28.7,28.77,2514.0,1,0.0
2024-01-16,28.5,28.95,28.18,28.92,2988.0,1,0.0
2024-01-17,28.19,29.37,28.19,28.87,2791.0,1,0.0
2024-01-18,28.96,29.05,28.46,28.66,2296.0,1,0.0
2024-01-19,28.26,28.86,28.26,28.64,2399.0,1,0.0
2024-01-22,28.3,28.9,28.3,28.66,2273.0,1,0.0
2024-01-23,28.82,28.99,28.45,28.75,2163.0,1,0.0
2024-01-24,28.76,28.83,28.26,28.45,2802.0,1,0.0
2024-01-25,28.43,28.96,28.41,28.75,2970.0,1,0.0
2024-01-26,28.71,28.78,28.5,28.55,2597.0,1,0.0
2024-01-29,28.55,28.93,28.33,28.93,1748.0,1,0.0
2024-01-30,28.6,29.28,28.6,29.21,2424.0,1,0.0
2024-01-31,28.82,29.81,28.82,29.03,3265.0,1,0.0
2024-02-01,29.07,29.78,28.69,29.69,3338.0,1,0.0
2024-02-02,29.35,29.92,29.12,29.73,4938.0,1,0.0
2024-02-05,29.32,29.58,28.68,29.48,4053.0,1,0.0
2024-02-06,29.81,31.06,28.89,29.28,4346.0,1,0.0
2024-02-07,29.92,30.14,28.8,28.95,3253.0,1,0.0
2024-02-08,28.46,29.63,28.46,29.41,3009.0,1,0.0
2024-02-09,29.0,30.52,29.0,30.5,3201.0,1,0.0
2024-02-12,30.55,31.03,30.44,31.01,3187.0,1,0.0
2024-02-13,29.61,30.59,29.61,30.28,3948.0,1,0.0
