time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,30.02,32.0,29.56,30.97,920.0,1,0.0
2024-01-03,32.46,33.86,31.02,31.93,1848.0,1,0.0
2024-01-04,32.85,34.75,32.67,34.52,1987.0,1,0.0
2024-01-05,33.57,35.97,33.3,35.57,1948.0,1,0.0
2024-01-08,34.86,39.42,34.14,39.2,1947.0,1,0.0
2024-01-09,38.88,39.4,37.18,37.9,1510.0,1,0.0
2024-01-10,37.52,39.81,37.52,39.21,1431.0,1,0.0
2024-01-11,38.6,39.25,37.17,37.49,1451.0,1,0.0
2024-01-12,37.0,37.15,35.5,36.37,1275.0,1,0.0
2024-01-16,35.77,35.77,34.22,35.09,1357.0,1,0.0
2024-01-17,34.07,34.51,33.32,33.71,985.0,2,0.0
2024-01-18,34.02,34.02,32.67,33.17,1096.0,1,0.0
2024-01-19,32.96,34.1,32.66,33.61,1128.0,1,0.0
2024-01-22,33.49,33.63,32.5,32.99,1071.0,1,0.0
2024-01-23,33.65,34.47,33.32,34.27,1079.0,1,0.0
2024-01-24,34.3,34.49,32.62,32.62,1139.0,1,0.0
2024-01-25,32.98,33.83,32.75,33.3,1065.0,1,0.0
2024-01-26,33.37,33.73,32.51,32.54,934.0,1,0.0
2024-01-29,32.5,34.35,31.92,34.28,917.0,1,0.0
2024-01-30,33.98,34.11,32.8,33.01,968.0,1,0.0
2024-01-31,32.5,33.28,31.6,31.96,1197.0,1,0.0
2024-02-01,31.5,32.34,31.04,31.95,1146.0,1,0.0
2024-02-02,31.09,32.14,30.5,31.95,1347.0,1,0.0
2024-02-05,30.76,32.43,30.14,31.92,957.0,1,0.0
2024-02-06,31.26,33.23,31.18,33.12,1142.0,1,0.0
2024-02-07,31.2,31.88,29.52,31.63,1556.0,1,0.0
2024-02-08,31.22,32.46,30.63,30.87,1311.0,1,0.0
2024-02-09,30.71,32.66,30.52,32.5,913.0,1,0.0
2024-02-12,32.61,32.76,31.4,32.0,1045.0,1,0.0
2024-02-13,30.57,30.96,29.26,29.76,1131.0,1,0.0
2024-02-14,29.85,30.18,29.28,29.43,1100.0,1,0.0
2024-02-15,29.57,30.34,29.37,29.54,1502.0,1,0.0
2024-02-16,28.81,30.1,28.5,29.5,1011.0,1,0.0
2024-02-20,29.24,29.41,28.71,29.24,861.0,1,0.0
2024-02-21,29.05,29.46,28.82,29.18,782.0,1,0.0
2024-02-22,28.75,30.78,28.4,30.24,1103.0,1,0.0
2024-02-23,30.0,31.83,29.75,31.53,1113.0,1,0.0
2024-02-26,31.74,32.44,30.28,30.43,1134.0,1,0.0
2024-02-27,30.44,31.13,29.28,31.08,1357.0,1,0.0
2024-02-28,30.95,34.64,30.49,34.05,1913.0,1,0.0
2024-02-29,34.59,35.3,31.69,32.08,1537.0,1,0.0
2024-03-01,32.56,36.2,32.56,35.92,1609.0,1,0.0
2024-03-04,36.25,36.61,34.6,35.12,1281.0,1,0.0
2024-03-05,35.23,35.23,33.7,34.07,1005.0,1,0.0
2024-03-06,34.18,35.59,34.0,35.41,1089.0,1,0.0
2024-03-07,35.05,35.46,33.1,33.11,1278.0,1,0.0
2024-03-08,33.46,35.44,33.29,33.35,1161.0,1,0.0
2024-03-11,32.5,32.7,29.2,29.36,1444.0,1,0.0
2024-03-12,28.95,29.34,28.17,28.54,899.0,1,0.0
2024-03-13,28.69,29.07,28.18,28.47,851.0,1,0.0
2024-03-14,27.9,28.21,27.0,27.28,1007.0,1,0.0
2024-03-15,27.66,29.0,27.0,28.12,1180.0,1,0.0
2024-03-18,27.75,28.35,27.12,28.11,1195.0,1,0.0
2024-03-19,27.99,28.33,27.5,27.68,906.0,1,0.0
2024-03-20,27.31,28.35,27.0,28.14,875.0,1,0.0
2024-03-21,28.47,29.78,28.05,28.26,977.0,1,0.0
2024-03-22,27.94,28.18,27.12,27.12,835.0,1,0.0
2024-03-25,27.21,27.94,27.1,27.77,636.0,1,0.0
2024-03-26,28.07,28.41,27.42,27.82,766.0,1,0.0
2024-03-27,27.8,28.82,27.67,28.53,554.0,1,0.0
2024-03-28,28.41,29.05,27.95,28.5,643.0,1,0.0
2024-04-01,28.18,28.47,27.57,28.17,810.0,1,0.0
2024-04-02,27.2,27.32,25.9,26.09,685.0,1,0.0
2024-04-03,25.75,26.51,25.65,26.39,744.0,1,0.0
2024-04-04,26.35,26.97,25.77,26.04,665.0,1,0.0
2024-04-05,25.33,26.4,25.1,25.66,912.0,1,0.0
2024-04-08,25.6,26.3,25.32,25.66,774.0,1,0.0
2024-04-09,25.62,26.45,25.53,26.18,761.0,1,0.0
2024-04-10,25.1,25.43,24.75,25.31,730.0,1,0.0
2024-04-11,25.63,25.67,25.13,25.5,779.0,1,0.0
2024-04-12,25.08,25.31,24.35,24.6,678.0,1,0.0
2024-04-15,24.5,24.7,23.65,23.94,994.0,1,0.0
2024-04-16,23.63,24.26,23.53,23.58,803.0,1,0.0
2024-04-17,23.61,23.81,22.39,22.45,979.0,1,0.0
2024-04-18,22.22,22.78,21.86,22.63,979.0,1,0.0
2024-04-19,22.43,22.55,21.7,22.23,1081.0,1,0.0
2024-04-22,22.14,24.27,22.14,23.77,983.0,1,0.0
2024-04-23,23.8,24.64,23.61,23.68,1040.0,1,0.0
2024-04-24,23.07,23.48,22.8,23.25,815.0,1,0.0
2024-04-25,22.5,22.64,21.28,21.85,1128.0,1,0.0
2024-04-26,21.62,22.33,21.47,22.11,662.0,1,0.0
2024-04-29,22.29,23.45,22.12,22.99,1225.0,1,0.0
2024-04-30,22.63,23.13,22.53,22.53,691.0,1,0.0
2024-05-01,22.58,23.8,22.54,23.17,1152.0,1,0.0
2024-05-02,23.24,24.28,22.53,24.11,864.0,1,0.0
2024-05-03,24.8,25.15,24.01,24.33,1075.0,1,0.0
2024-05-06,24.5,25.18,24.17,25.06,807.0,1,0.0
2024-05-07,24.88,25.34,24.73,24.97,997.0,1,0.0
2024-05-08,24.51,25.23,24.22,25.12,1088.0,1,0.0
2024-05-09,25.08,25.18,24.51,24.66,791.0,1,0.0
2024-05-10,25.18,25.18,21.75,21.96,1254.0,1,0.0
2024-05-13,22.23,22.67,21.5,22.06,906.0,1,0.0
2024-05-14,22.63,24.11,22.48,22.93,1258.0,1,0.0
2024-05-15,23.75,25.2,23.75,25.01,1029.0,1,0.0
2024-05-16,24.77,25.2,24.15,25.02,928.0,1,0.0
2024-05-17,24.44,25.55,24.37,24.75,657.0,1,0.0
2024-05-20,24.5,24.98,24.34,24.69,594.0,1,0.0
2024-05-21,24.34,25.2,24.3,24.98,691.0,1,0.0
2024-05-22,24.56,26.08,24.56,25.04,917.0,1,0.0
2024-05-23,24.66,24.96,24.28,24.54,727.0,1,0.0
2024-05-24,24.4,25.28,24.4,24.77,742.0,1,0.0
2024-05-28,24.89,24.89,23.3,23.79,817.0,1,0.0
2024-05-29,23.25,23.42,22.74,22.88,758.0,1,0.0
2024-05-30,23.01,23.53,22.29,22.67,778.0,1,0.0
2024-05-31,22.5,23.23,22.5,22.85,668.0,1,0.0
2024-06-03,23.1,25.45,23.1,24.46,936.0,1,0.0
2024-06-04,24.2,25.37,24.2,25.19,961.0,1,0.0
2024-06-05,25.02,25.34,24.02,25.13,1000.0,1,0.0
2024-06-06,24.83,24.94,23.9,24.63,855.0,1,0.0
2024-06-07,24.1,24.1,23.4,23.88,731.0,1,0.0
2024-06-10,23.19,24.61,22.98,24.41,780.0,1,0.0
2024-06-11,23.86,24.73,23.78,24.45,508.0,1,0.0
2024-06-12,25.7,26.3,25.01,25.8,1119.0,1,0.0
2024-06-13,25.53,26.8,25.47,26.26,915.0,1,0.0
2024-06-14,25.93,26.09,25.19,25.45,788.0,1,0.0
2024-06-17,25.49,25.62,24.5,25.07,695.0,1,0.0
2024-06-18,24.61,24.78,23.39,23.39,713.0,1,0.0
2024-06-20,23.1,24.06,22.74,23.59,766.0,1,0.0
2024-06-21,23.27,25.65,23.2,25.17,1071.0,1,0.0
2024-06-24,26.3,27.73,25.86,27.16,979.0,1,0.0
2024-06-25,26.65,27.74,26.65,26.88,891.0,1,0.0
2024-06-26,26.34,26.7,25.88,26.04,810.0,1,0.0
2024-06-27,25.8,26.31,25.5,25.5,692.0,1,0.0
2024-06-28,25.51,26.02,24.83,25.73,803.0,2,0.0
2024-07-01,25.61,26.86,25.49,25.83,878.0,1,0.0
2024-07-02,25.48,25.64,24.76,25.22,768.0,1,0.0
2024-07-03,25.5,25.95,24.8,24.92,377.0,1,0.0
2024-07-05,24.78,25.68,24.57,25.35,551.0,1,0.0
2024-07-08,25.6,26.22,25.16,25.53,708.0,1,0.0
2024-07-09,25.17,26.1,25.11,25.31,615.0,1,0.0
2024-07-10,25.18,26.78,25.01,26.72,702.0,1,0.0
2024-07-11,27.41,28.78,26.85,28.27,1041.0,2,0.0
2024-07-12,28.21,28.58,27.73,28.14,741.0,1,0.0
2024-07-15,27.62,29.06,27.62,28.55,700.0,1,0.0
2024-07-16,29.2,30.35,28.77,29.5,861.0,1,0.0
2024-07-17,28.28,28.9,27.65,27.96,983.0,1,0.0
2024-07-18,27.81,28.82,27.13,27.66,816.0,1,0.0
2024-07-19,27.15,28.3,27.0,28.07,760.0,1,0.0
2024-07-22,28.03,28.88,27.66,28.53,746.0,1,0.0
2024-07-23,28.55,29.19,28.18,28.87,736.0,1,0.0
2024-07-24,28.3,29.0,28.09,28.7,657.0,1,0.0
