time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,1.07926,1.0832,1.07628,1.08145,127220.0,6,0.0
2024-01-03,1.08076,1.08277,1.07612,1.0776,147367.0,6,0.0
2024-01-04,1.07528,1.0788,1.07507,1.0755,136190.0,6,0.0
2024-01-05,1.07556,1.07663,1.07301,1.07532,166913.0,6,0.0
2024-01-08,1.07525,1.0759,1.07348,1.07503,129761.0,6,0.0
2024-01-09,1.07459,1.07579,1.07108,1.07167,128604.0,6,0.0
2024-01-10,1.07099,1.07721,1.07021,1.07601,108952.0,6,0.0
2024-01-11,1.07465,1.07649,1.07079,1.0728,171226.0,6,0.0
2024-01-12,1.07221,1.07397,1.0704,1.07129,145378.0,6,0.0
2024-01-15,1.07021,1.07628,1.07012,1.07411,78813.0,6,0.0
2024-01-16,1.07235,1.07512,1.07167,1.07256,171319.0,6,0.0
2024-01-17,1.07199,1.07361,1.06989,1.07122,159343.0,6,0.0
2024-01-18,1.07088,1.07531,1.06887,1.07467,133111.0,6,0.0
2024-01-19,1.07455,1.07941,1.07401,1.07877,110225.0,6,0.0
2024-01-22,1.07795,1.08185,1.07672,1.08115,127396.0,6,0.0
2024-01-23,1.08097,1.0833,1.07726,1.07818,140328.0,6,0.0
2024-01-24,1.07743,1.07958,1.07521,1.07621,147868.0,6,0.0
2024-01-25,1.07539,1.07813,1.07475,1.0775,155943.0,6,0.0
2024-01-26,1.07669,1.08034,1.07669,1.07997,103919.0,6,0.0
2024-01-29,1.07869,1.08113,1.07657,1.07784,104544.0,6,0.0
2024-01-30,1.07695,1.07872,1.07444,1.07598,124416.0,6,0.0
2024-01-31,1.07557,1.07629,1.07224,1.07359,175210.0,6,0.0
2024-02-01,1.07295,1.07424,1.06902,1.06966,179438.0,6,0.0
2024-02-02,1.06961,1.07404,1.06905,1.07376,128089.0,6,0.0
2024-02-05,1.0729,1.07414,1.07041,1.07067,123008.0,6,0.0
2024-02-06,1.0703,1.07369,1.06933,1.06963,128023.0,6,0.0
2024-02-07,1.06956,1.0713,1.06625,1.06672,118288.0,6,0.0
2024-02-08,1.06635,1.06778,1.06442,1.06473,100500.0,6,0.0
2024-02-09,1.06417,1.06533,1.05855,1.06048,103349.0,6,0.0
2024-02-12,1.05945,1.06585,1.05917,1.06534,82916.0,6,0.0
