time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,22.56,23.27,22.44,22.76,4546.0,1,0.0
2024-01-03,22.5,22.57,22.0,22.03,4193.0,1,0.0
2024-01-04,21.94,22.3,21.85,21.91,3524.0,1,0.0
2024-01-05,21.5,21.99,21.5,21.81,3393.0,1,0.0
2024-01-08,21.73,22.12,21.32,21.65,3784.0,1,0.0
2024-01-09,21.62,22.97,21.54,22.06,5300.0,1,0.0
2024-01-10,21.85,22.5,21.7,22.47,3407.0,1,0.0
2024-01-11,22.19,22.53,22.04,22.43,3388.0,1,0.0
2024-01-12,22.47,22.67,21.98,22.01,2760.0,1,0.0
2024-01-16,21.78,21.97,21.52,21.81,2923.0,0,0.0
2024-01-17,21.5,21.77,21.21,21.38,2662.0,1,0.0
2024-01-18,21.4,21.81,21.26,21.6,3115.0,1,0.0
2024-01-19,21.34,21.75,21.26,21.55,2513.0,1,0.0
2024-01-22,21.54,22.04,21.48,21.99,3131.0,1,0.0
2024-01-23,22.11,22.35,21.82,22.05,3037.0,1,0.0
2024-01-24,22.1,22.3,21.84,22.04,3251.0,1,0.0
2024-01-25,21.92,22.18,21.61,21.95,3023.0,1,0.0
2024-01-26,23.35,23.51,22.59,22.64,4333.0,1,0.0
2024-01-29,22.57,23.11,22.43,23.05,1953.0,1,0.0
2024-01-30,23.28,23.69,23.14,23.41,2956.0,1,0.0
2024-01-31,23.25,23.41,22.86,23.0,4319.0,1,0.0
2024-02-01,23.25,23.53,22.8,23.53,2699.0,1,0.0
2024-02-02,23.33,23.62,23.04,23.47,3209.0,1,0.0
2024-02-05,23.1,23.75,23.1,23.74,3099.0,1,0.0
2024-02-06,23.53,23.82,23.34,23.68,3289.0,1,0.0
2024-02-07,23.87,23.92,23.52,23.67,2668.0,1,0.0
2024-02-08,23.57,23.58,23.14,23.29,2702.0,1,0.0
2024-02-09,23.08,23.52,23.07,23.19,2850.0,1,0.0
2024-02-12,23.03,23.05,22.3,22.55,3458.0,1,0.0
2024-02-13,22.21,22.35,21.68,22.12,3526.0,1,0.0
2024-02-14,23.89,24.54,23.04,24.39,5237.0,1,0.0
2024-02-15,24.4,24.75,24.02,24.06,3674.0,1,0.0
2024-02-16,24.18,24.43,23.68,23.71,3018.0,1,0.0
2024-02-20,23.7,24.08,23.7,24.0,2861.0,1,0.0
2024-02-21,23.97,24.47,23.83,24.43,2731.0,1,0.0
2024-02-22,24.34,24.72,24.23,24.53,2642.0,1,0.0
2024-02-23,24.58,24.65,24.14,24.34,2811.0,1,0.0
2024-02-26,24.24,24.56,24.21,24.48,2310.0,1,0.0
2024-02-27,24.42,24.65,24.31,24.42,2217.0,1,0.0
2024-02-28,24.22,24.85,24.1,24.6,2466.0,1,0.0
2024-02-29,24.41,24.84,24.41,24.65,1582.0,1,0.0
2024-03-01,24.3,25.12,24.28,25.01,2533.0,1,0.0
2024-03-04,25.04,25.13,24.81,25.0,2370.0,1,0.0
2024-03-05,25.07,25.22,24.94,25.0,2444.0,1,0.0
2024-03-06,24.95,25.69,24.9,25.39,3418.0,1,0.0
2024-03-07,25.32,25.66,25.32,25.58,2501.0,1,0.0
2024-03-08,25.69,25.85,25.55,25.62,3416.0,1,0.0
2024-03-11,25.65,25.74,25.18,25.26,2010.0,1,0.0
2024-03-12,25.33,25.52,25.14,25.5,2045.0,0,0.0
2024-03-13,25.32,25.61,25.3,25.43,2297.0,1,0.0
2024-03-14,25.31,25.4,25.06,25.28,2481.0,1,0.0
2024-03-15,25.07,25.46,24.98,25.07,3062.0,1,0.0
2024-03-18,25.09,25.56,25.01,25.48,1767.0,1,0.0
2024-03-19,25.41,25.59,25.24,25.44,1527.0,1,0.0
2024-03-20,25.21,25.83,25.21,25.79,2411.0,1,0.0
