time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,251.14,255.0,249.5,251.55,858.0,10,0.0
2024-01-03,249.0,252.06,246.81,246.81,543.0,10,0.0
2024-01-04,247.4,249.22,243.89,244.13,583.0,6,0.0
2024-01-05,243.0,245.88,240.2,243.59,991.0,14,0.0
2024-01-08,244.2,251.55,244.2,251.49,622.0,8,0.0
2024-01-09,248.0,249.36,247.1,248.58,770.0,6,0.0
2024-01-10,248.67,250.25,247.14,248.59,848.0,5,0.0
2024-01-11,249.05,250.71,247.0,249.51,756.0,8,0.0
2024-01-12,249.36,253.11,247.98,250.11,566.0,10,0.0
2024-01-16,249.74,251.27,246.75,248.98,722.0,10,0.0
2024-01-17,246.0,250.48,246.0,249.83,762.0,13,0.0
2024-01-18,250.7,254.0,250.0,254.0,801.0,6,0.0
2024-01-19,253.92,256.5,251.56,255.76,1046.0,6,0.0
2024-01-22,257.05,262.65,256.8,259.21,1116.0,6,0.0
2024-01-23,259.0,259.0,254.79,255.02,480.0,8,0.0
2024-01-24,255.68,255.68,250.1,250.36,694.0,6,0.0
2024-01-25,251.75,253.66,250.5,252.14,1161.0,14,0.0
2024-01-26,252.6,253.79,248.47,251.07,563.0,7,0.0
2024-01-29,252.11,254.42,251.38,254.0,441.0,4,0.0
2024-01-30,252.95,255.48,251.74,253.48,358.0,12,0.0
2024-01-31,253.5,254.76,248.25,249.21,782.0,8,0.0
2024-02-01,250.0,253.96,247.0,252.19,519.0,15,0.0
2024-02-02,250.55,258.39,250.55,256.52,661.0,13,0.0
2024-02-05,256.01,257.6,252.17,256.89,575.0,6,0.0
2024-02-06,257.78,259.53,255.25,258.78,562.0,8,0.0
2024-02-07,260.26,270.73,257.0,265.0,815.0,9,0.0
2024-02-08,264.8,268.88,263.55,268.24,724.0,10,0.0
2024-02-09,268.01,271.06,268.01,270.16,493.0,8,0.0
2024-02-12,269.62,273.29,265.01,265.93,640.0,8,0.0
2024-02-13,259.24,268.85,257.1,263.91,641.0,11,0.0
2024-02-14,265.36,270.82,264.0,269.9,622.0,12,0.0
2024-02-15,273.38,273.38,267.88,271.93,523.0,15,0.0
2024-02-16,272.08,272.64,269.14,269.36,666.0,11,0.0
2024-02-20,268.0,268.42,265.19,266.9,469.0,10,0.0
2024-02-21,265.11,267.03,260.02,262.82,569.0,10,0.0
2024-02-22,266.46,272.06,266.0,270.99,606.0,2,0.0
2024-02-23,271.6,272.67,268.87,270.15,563.0,11,0.0
2024-02-26,270.22,273.85,270.22,271.8,567.0,3,0.0
2024-02-27,271.0,273.19,265.7,271.76,792.0,1,0.0
2024-02-28,276.12,317.6,275.0,307.96,1687.0,8,0.0
2024-02-29,301.18,310.11,299.0,307.7,1039.0,7,0.0
2024-03-01,303.19,314.1,303.0,314.1,849.0,16,0.0
2024-03-04,315.42,325.07,314.35,319.93,1053.0,14,0.0
2024-03-05,315.8,318.42,310.8,314.76,1113.0,9,0.0
2024-03-06,316.5,317.95,310.0,313.83,954.0,6,0.0
