time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,63.61,65.52,63.45,64.66,646.0,3,0.0
2024-01-03,63.23,63.39,61.17,61.77,1035.0,1,0.0
2024-01-04,60.67,62.93,60.07,62.64,511.0,2,0.0
2024-01-05,60.72,64.5,60.09,64.1,560.0,2,0.0
2024-01-08,63.9,65.31,63.9,64.53,586.0,3,0.0
2024-01-09,62.7,65.73,62.59,64.6,594.0,2,0.0
2024-01-10,63.92,64.66,63.3,64.54,776.0,5,0.0
2024-01-11,64.0,64.06,62.81,63.79,525.0,3,0.0
2024-01-12,62.83,65.36,62.83,64.9,592.0,4,0.0
2024-01-16,62.61,65.86,62.37,65.66,579.0,3,0.0
2024-01-17,63.42,64.84,63.42,64.53,588.0,1,0.0
2024-01-18,63.87,66.3,63.49,65.94,668.0,2,0.0
2024-01-19,65.71,67.43,65.11,67.24,534.0,2,0.0
2024-01-22,67.35,68.79,66.93,67.31,557.0,4,0.0
2024-01-23,67.27,67.27,65.99,66.44,505.0,2,0.0
2024-01-24,65.63,66.35,64.67,65.1,605.0,2,0.0
2024-01-25,64.76,65.94,64.61,65.35,700.0,2,0.0
2024-01-26,65.81,66.5,65.08,65.33,466.0,4,0.0
2024-01-29,64.4,67.44,64.1,67.39,817.0,3,0.0
2024-01-30,66.26,67.75,65.87,67.23,447.0,3,0.0
2024-01-31,65.93,67.41,64.84,65.03,715.0,4,0.0
2024-02-01,65.25,66.8,64.7,65.56,629.0,2,0.0
2024-02-02,64.0,66.39,64.0,65.98,677.0,2,0.0
2024-02-05,63.89,65.87,63.38,65.72,561.0,2,0.0
2024-02-06,64.72,66.93,64.58,66.44,508.0,4,0.0
2024-02-07,65.69,66.78,64.31,64.65,999.0,1,0.0
2024-02-08,62.38,64.66,61.57,64.01,658.0,3,0.0
2024-02-09,62.64,66.87,62.59,64.93,635.0,2,0.0
2024-02-12,64.21,66.03,63.82,65.86,576.0,2,0.0
2024-02-13,62.56,65.39,62.56,63.88,777.0,3,0.0
2024-02-14,64.43,66.0,63.67,65.54,676.0,2,0.0
2024-02-15,65.12,65.87,64.27,64.52,488.0,1,0.0
2024-02-16,63.24,65.94,62.79,63.99,468.0,2,0.0
2024-02-20,62.55,64.39,62.55,63.97,800.0,1,0.0
2024-02-21,62.87,63.44,62.1,63.16,646.0,2,0.0
2024-02-22,62.86,63.96,62.46,63.13,638.0,2,0.0
2024-02-23,62.72,63.98,62.23,63.37,578.0,1,0.0
2024-02-26,62.13,64.58,62.13,64.28,481.0,3,0.0
2024-02-27,63.48,65.24,63.46,64.99,639.0,2,0.0
2024-02-28,64.63,65.94,64.33,65.05,617.0,1,0.0
2024-02-29,64.68,65.84,64.44,65.12,644.0,2,0.0
2024-03-01,64.22,67.27,64.22,67.26,515.0,2,0.0
2024-03-04,66.33,67.3,65.5,65.95,521.0,1,0.0
2024-03-05,64.86,66.07,64.22,65.19,510.0,3,0.0
2024-03-06,64.54,65.71,63.95,64.88,569.0,1,0.0
2024-03-07,64.67,67.18,64.18,67.18,515.0,3,0.0
2024-03-08,66.87,67.6,65.04,65.24,544.0,2,0.0
2024-03-11,65.0,65.42,64.55,65.08,353.0,2,0.0
2024-03-12,64.15,65.04,63.88,64.57,663.0,2,0.0
2024-03-13,63.33,65.01,63.33,63.87,602.0,1,0.0
2024-03-14,63.5,63.52,58.84,58.99,706.0,3,0.0
2024-03-15,58.94,60.71,58.27,59.18,763.0,1,0.0
2024-03-18,59.36,59.59,57.87,58.12,751.0,2,0.0
2024-03-19,56.95,59.38,56.84,58.5,630.0,1,0.0
2024-03-20,57.45,59.21,57.45,58.53,701.0,2,0.0
2024-03-21,59.0,60.09,59.0,59.08,549.0,1,0.0
2024-03-22,58.48,59.31,58.26,59.26,438.0,1,0.0
2024-03-25,58.31,58.79,57.47,57.66,449.0,1,0.0
2024-03-26,58.07,58.33,57.28,58.17,488.0,1,0.0
2024-03-27,58.24,59.68,58.24,59.29,612.0,1,0.0
2024-03-28,59.11,61.11,59.11,60.19,504.0,1,0.0
2024-04-01,58.91,59.82,58.45,58.81,461.0,3,0.0
2024-04-02,57.3,59.0,57.23,58.71,449.0,2,0.0
2024-04-03,58.26,59.01,57.78,59.0,416.0,1,0.0
2024-04-04,58.67,59.95,57.72,57.97,594.0,2,0.0
2024-04-05,57.39,58.27,56.95,57.45,440.0,2,0.0
2024-04-08,56.7,57.54,56.27,56.43,569.0,2,0.0
2024-04-09,56.4,58.05,56.26,57.72,480.0,1,0.0
2024-04-10,55.4,56.77,55.4,56.07,583.0,2,0.0
2024-04-11,56.32,56.57,55.39,56.28,442.0,2,0.0
2024-04-12,55.22,55.95,54.57,54.71,391.0,1,0.0
2024-04-15,54.72,54.97,53.02,53.51,474.0,2,0.0
2024-04-16,52.67,52.69,51.65,52.05,662.0,2,0.0
2024-04-17,52.24,52.24,50.91,51.01,605.0,3,0.0
2024-04-18,49.88,51.4,49.74,50.39,618.0,2,0.0
2024-04-19,50.06,50.92,49.95,50.7,438.0,2,0.0
2024-04-22,50.65,51.62,50.0,50.77,547.0,3,0.0
2024-04-23,51.2,52.96,50.88,52.31,376.0,2,0.0
2024-04-24,52.16,52.84,51.82,52.07,519.0,2,0.0
2024-04-25,51.08,51.62,50.5,51.29,421.0,1,0.0
2024-04-26,51.24,52.44,51.03,52.08,383.0,2,0.0
2024-04-29,52.0,54.31,52.0,53.09,465.0,2,0.0
2024-04-30,51.86,53.16,51.86,52.24,473.0,1,0.0
2024-05-01,51.81,53.53,51.64,52.04,474.0,2,0.0
2024-05-02,51.96,52.94,51.59,52.53,785.0,1,0.0
2024-05-03,51.97,54.06,51.97,53.35,385.0,2,0.0
2024-05-06,53.14,55.24,53.04,55.22,537.0,1,0.0
2024-05-07,55.31,55.94,54.84,54.98,468.0,2,0.0
2024-05-08,53.91,55.03,53.91,54.03,465.0,1,0.0
2024-05-09,48.58,52.82,48.58,52.39,921.0,1,0.0
2024-05-10,51.13,53.29,50.64,51.35,654.0,1,0.0
2024-05-13,51.72,52.84,51.22,51.22,487.0,1,0.0
2024-05-14,51.31,51.75,50.73,51.17,608.0,1,0.0
