time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,137.2,140.49,137.2,138.67,5379.0,1,0.0
2024-01-03,136.55,136.94,131.0,131.11,5884.0,1,0.0
2024-01-04,130.43,131.45,130.0,130.96,4036.0,1,0.0
2024-01-05,128.56,131.92,128.56,130.56,5495.0,1,0.0
2024-01-08,129.18,133.37,129.12,133.35,4417.0,0,0.0
2024-01-09,131.02,135.6,129.95,130.45,2766.0,1,0.0
2024-01-10,129.9,131.05,128.14,130.86,3500.0,1,0.0
2024-01-11,129.34,130.22,127.89,129.64,4035.0,1,0.0
2024-01-12,130.2,131.45,129.83,130.37,3173.0,1,0.0
2024-01-16,129.0,130.74,128.28,130.63,2462.0,2,0.0
2024-01-17,128.79,130.2,126.65,128.16,2130.0,1,0.0
2024-01-18,127.78,130.71,127.35,130.37,1533.0,1,0.0
2024-01-19,130.0,131.91,128.82,130.8,1400.0,1,0.0
2024-01-22,131.36,132.72,131.22,132.49,1546.0,1,0.0
2024-01-23,132.79,132.79,130.28,131.42,1326.0,1,0.0
2024-01-24,131.7,132.28,129.31,129.52,1239.0,1,0.0
2024-01-25,130.81,131.32,129.25,129.95,1319.0,1,0.0
2024-01-26,132.71,132.94,130.37,130.64,1139.0,1,0.0
2024-01-29,131.61,132.88,130.85,132.58,1309.0,1,0.0
2024-01-30,132.34,134.45,132.34,134.33,1103.0,1,0.0
2024-01-31,133.41,133.41,129.82,130.06,1392.0,2,0.0
2024-02-01,129.29,132.89,129.25,132.85,1225.0,1,0.0
2024-02-02,131.79,133.87,130.0,133.02,1418.0,2,0.0
2024-02-05,131.49,134.86,131.48,133.04,3741.0,1,0.0
2024-02-06,131.8,136.06,130.5,135.83,3143.0,1,0.0
2024-02-07,136.5,136.56,132.28,132.78,2323.0,2,0.0
2024-02-08,132.0,134.77,132.0,134.03,2084.0,1,0.0
2024-02-09,133.62,134.97,132.69,133.31,2184.0,2,0.0
2024-02-12,132.21,132.6,130.15,132.3,2397.0,1,0.0
2024-02-13,129.29,131.17,128.19,129.71,3229.0,2,0.0
2024-02-14,130.34,132.31,130.0,132.28,2163.0,2,0.0
2024-02-15,132.61,135.55,132.2,134.81,2631.0,1,0.0
2024-02-16,133.99,136.21,133.39,134.93,3064.0,1,0.0
2024-02-20,133.62,135.24,133.06,134.08,3046.0,1,0.0
2024-02-21,133.39,135.42,132.85,135.3,2814.0,1,0.0
2024-02-22,131.25,132.45,128.62,131.95,2860.0,1,0.0
2024-02-23,132.94,133.26,131.5,132.18,2858.0,1,0.0
2024-02-26,131.99,132.76,130.79,131.48,2836.0,1,0.0
2024-02-27,131.45,133.15,130.4,132.62,2870.0,1,0.0
2024-02-28,137.7,139.4,136.12,136.78,2436.0,1,0.0
2024-02-29,137.05,138.0,135.82,137.33,3706.0,1,0.0
2024-03-01,136.2,139.11,134.5,138.96,3856.0,1,0.0
2024-03-04,138.45,143.43,138.3,142.95,3229.0,1,0.0
2024-03-05,143.85,146.27,142.86,144.43,3937.0,1,0.0
2024-03-06,145.6,147.23,144.67,146.28,3509.0,1,0.0
2024-03-07,147.19,149.6,147.17,149.47,2690.0,1,0.0
2024-03-08,150.75,151.41,147.91,147.92,4719.0,1,0.0
2024-03-11,147.8,148.57,146.02,147.3,2956.0,1,0.0
2024-03-12,148.02,148.88,147.0,148.04,3751.0,1,0.0
2024-03-13,147.86,149.02,147.3,147.88,2639.0,1,0.0
2024-03-14,146.87,147.5,144.22,145.09,3078.0,2,0.0
2024-03-15,144.01,148.6,143.54,147.51,4893.0,1,0.0
2024-03-18,147.27,148.17,145.84,145.87,4757.0,1,0.0
2024-03-19,145.22,147.55,145.22,147.39,4234.0,1,0.0
2024-03-20,145.84,147.68,145.84,147.25,3830.0,1,0.0
2024-03-21,147.85,150.08,147.85,148.68,4579.0,1,0.0
2024-03-22,148.28,149.14,146.37,147.53,2347.0,1,0.0
2024-03-25,146.58,147.78,143.61,145.54,2944.0,1,0.0
2024-03-26,145.1,146.23,144.44,144.73,3460.0,1,0.0
2024-03-27,145.53,147.45,144.41,147.41,2789.0,2,0.0
2024-03-28,146.78,147.24,145.54,145.57,3652.0,1,0.0
2024-04-01,144.75,145.7,144.36,145.36,2735.0,1,0.0
2024-04-02,143.5,144.3,142.29,144.13,3157.0,1,0.0
2024-04-03,143.55,144.47,142.69,143.68,2099.0,1,0.0
2024-04-04,143.73,145.02,141.31,141.48,2222.0,2,0.0
2024-04-05,144.21,145.46,142.57,143.92,3668.0,1,0.0
2024-04-08,143.0,145.24,143.0,144.64,1848.0,3,0.0
2024-04-09,145.53,147.29,144.71,147.23,2259.0,2,0.0
2024-04-10,143.34,144.99,143.34,144.17,3180.0,1,0.0
2024-04-11,144.16,145.81,143.36,145.02,2341.0,1,0.0
2024-04-12,143.1,144.57,140.18,140.46,3118.0,1,0.0
2024-04-15,142.0,142.46,139.0,139.92,4407.0,1,0.0
2024-04-16,138.99,139.46,136.65,136.66,3884.0,1,0.0
2024-04-17,136.31,136.31,132.5,134.61,3425.0,1,0.0
2024-04-18,128.55,134.42,128.0,132.11,3174.0,0,0.0
2024-04-19,132.19,133.65,132.1,132.61,3508.0,2,0.0
2024-04-22,132.21,134.95,131.25,133.72,2558.0,1,0.0
2024-04-23,136.76,139.64,135.49,139.1,3169.0,1,0.0
2024-04-24,137.95,139.64,136.05,137.49,2982.0,1,0.0
2024-04-25,135.78,137.08,134.01,136.4,2448.0,2,0.0
2024-04-26,134.37,138.33,134.37,137.75,2133.0,1,0.0
2024-04-29,137.88,139.79,137.75,139.45,1859.0,1,0.0
2024-04-30,137.16,139.45,137.0,137.07,2549.0,1,0.0
2024-05-01,137.05,140.49,136.21,138.46,2616.0,1,0.0
2024-05-02,137.89,138.32,136.28,137.29,2341.0,2,0.0
2024-05-03,138.57,140.67,137.75,139.54,2917.0,1,0.0
2024-05-06,138.75,141.4,137.4,140.73,2140.0,1,0.0
2024-05-07,141.01,141.88,139.46,141.32,3034.0,1,0.0
2024-05-08,140.33,142.93,140.0,142.65,2253.0,1,0.0
2024-05-09,141.93,145.42,141.84,145.37,1916.0,1,0.0
2024-05-10,145.12,152.22,145.12,149.75,2210.0,1,0.0
2024-05-13,149.2,150.15,147.13,147.51,1544.0,1,0.0
2024-05-14,148.72,151.52,148.0,151.33,2265.0,1,0.0
2024-05-15,153.2,154.38,152.26,154.3,1969.0,1,0.0
2024-05-16,152.67,154.75,151.82,154.26,1917.0,2,0.0
2024-05-17,153.03,155.25,152.88,154.21,1844.0,2,0.0
2024-05-20,153.53,154.83,153.34,154.43,1438.0,1,0.0
2024-05-21,152.77,154.44,152.01,153.77,1998.0,1,0.0
2024-05-22,153.45,154.36,152.35,152.7,1364.0,2,0.0
2024-05-23,151.88,152.27,150.01,150.39,1880.0,2,0.0
2024-05-24,150.51,151.0,149.35,150.48,1636.0,1,0.0
2024-05-28,150.36,150.65,147.45,147.87,1542.0,1,0.0
2024-05-29,145.88,146.55,144.68,144.9,3339.0,2,0.0
2024-05-30,129.2,135.07,126.48,131.53,2829.0,1,0.0
2024-05-31,131.17,133.99,129.91,129.93,2667.0,1,0.0
2024-06-03,130.22,132.48,130.01,131.43,1995.0,1,0.0
2024-06-04,130.25,132.15,130.13,130.84,1841.0,1,0.0
2024-06-05,130.47,134.13,130.0,133.62,1783.0,2,0.0
2024-06-06,132.0,134.27,132.0,132.8,1649.0,1,0.0
2024-06-07,131.14,133.21,131.14,132.94,1517.0,2,0.0
2024-06-10,132.64,133.54,132.18,133.0,1342.0,1,0.0
2024-06-11,132.0,132.95,131.3,132.28,1350.0,1,0.0
2024-06-12,132.16,133.54,132.13,133.32,1654.0,1,0.0
2024-06-13,132.04,132.41,130.0,130.66,1687.0,1,0.0
2024-06-14,129.23,130.32,129.15,129.73,1797.0,1,0.0
2024-06-17,129.93,132.05,129.15,131.98,1382.0,1,0.0
2024-06-18,131.83,135.11,131.25,134.98,1877.0,0,0.0
2024-06-20,133.18,134.33,132.39,132.61,1972.0,2,0.0
2024-06-21,133.29,134.15,132.49,133.22,2148.0,2,0.0
2024-06-24,135.54,137.55,134.02,135.21,2239.0,1,0.0
2024-06-25,134.53,135.93,134.28,134.88,1539.0,1,0.0
2024-06-26,133.25,135.13,132.75,133.16,1608.0,1,0.0
2024-06-27,131.66,132.88,130.5,130.75,1558.0,1,0.0
2024-06-28,131.51,132.86,128.21,129.41,2621.0,1,0.0
2024-07-01,129.65,131.56,127.04,127.67,1997.0,1,0.0
2024-07-02,127.0,128.19,125.41,125.71,1866.0,1,0.0
2024-07-03,125.79,127.52,125.78,126.35,1015.0,1,0.0
