time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,33.35,34.06,33.26,33.91,2601.0,1,0.0
2024-01-03,33.59,33.76,33.24,33.51,2965.0,1,0.0
2024-01-04,33.55,34.3,33.54,33.81,2595.0,1,0.0
2024-01-05,33.77,34.68,33.7,34.43,2696.0,1,0.0
2024-01-08,34.22,34.25,33.64,34.16,2496.0,1,0.0
2024-01-09,33.72,33.77,33.51,33.64,2292.0,1,0.0
2024-01-10,33.32,33.6,33.24,33.58,1775.0,1,0.0
2024-01-11,33.24,33.3,32.78,33.17,2537.0,1,0.0
2024-01-12,32.28,33.18,31.98,32.8,6226.0,1,0.0
2024-01-16,32.36,32.49,31.82,32.08,2693.0,1,0.0
2024-01-17,31.43,31.98,31.28,31.82,2799.0,1,0.0
2024-01-18,31.72,31.75,31.4,31.7,2302.0,0,0.0
2024-01-19,31.71,32.22,31.57,32.2,2147.0,1,0.0
2024-01-22,32.33,32.98,32.32,32.57,2050.0,1,0.0
2024-01-23,32.62,32.79,32.39,32.78,1830.0,1,0.0
2024-01-24,32.99,33.33,32.91,32.96,1930.0,1,0.0
2024-01-25,33.22,33.43,32.83,33.43,2201.0,1,0.0
2024-01-26,33.35,33.66,33.32,33.4,1681.0,1,0.0
2024-01-29,33.41,33.64,33.23,33.61,1289.0,1,0.0
2024-01-30,34.04,34.88,33.97,34.77,2137.0,1,0.0
2024-01-31,34.65,35.09,34.02,34.04,4776.0,1,0.0
2024-02-01,34.23,34.24,32.93,33.53,4059.0,1,0.0
2024-02-02,33.42,33.7,33.17,33.48,3932.0,1,0.0
2024-02-05,33.13,33.28,32.86,33.03,2703.0,1,0.0
2024-02-06,33.01,33.35,32.88,33.0,2441.0,1,0.0
2024-02-07,33.16,33.25,32.63,33.16,2593.0,1,0.0
2024-02-08,33.05,33.27,32.8,33.12,2023.0,1,0.0
2024-02-09,33.0,33.24,32.83,33.03,1967.0,1,0.0
2024-02-12,33.18,33.96,32.98,33.62,2251.0,1,0.0
2024-02-13,33.14,33.17,32.35,32.72,3208.0,0,0.0
2024-02-14,33.06,33.17,32.86,33.09,2234.0,1,0.0
2024-02-15,33.53,34.23,33.5,34.04,3360.0,1,0.0
2024-02-16,33.87,34.14,33.26,34.08,2634.0,0,0.0
2024-02-20,33.8,34.08,33.79,33.96,2261.0,1,0.0
2024-02-21,33.51,33.73,33.17,33.69,2850.0,1,0.0
2024-02-22,33.59,34.06,33.45,33.59,3110.0,1,0.0
2024-02-23,33.58,34.04,33.48,33.93,2199.0,1,0.0
2024-02-26,33.89,34.21,33.53,33.65,1747.0,1,0.0
2024-02-27,33.77,34.42,33.71,34.28,2364.0,1,0.0
2024-02-28,34.21,34.59,34.15,34.27,1891.0,1,0.0
2024-02-29,34.39,34.64,34.15,34.5,2234.0,1,0.0
2024-03-01,34.53,34.56,34.03,34.38,2923.0,0,0.0
