time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,242.72,248.64,240.0,245.41,2207.0,3,0.0
2024-01-03,245.0,245.21,240.0,240.79,2393.0,2,0.0
2024-01-04,240.5,243.36,240.47,242.76,2056.0,4,0.0
2024-01-05,240.0,243.68,240.0,241.98,2631.0,2,0.0
2024-01-08,242.0,248.61,242.0,247.74,2402.0,3,0.0
2024-01-09,246.3,249.73,237.62,237.98,2155.0,3,0.0
2024-01-10,238.11,239.49,232.57,238.07,2389.0,1,0.0
2024-01-11,237.01,237.32,234.0,235.52,2165.0,2,0.0
2024-01-12,236.36,237.59,234.82,236.14,1776.0,2,0.0
2024-01-16,235.05,237.4,232.56,234.98,1868.0,1,0.0
2024-01-17,233.0,236.62,233.0,234.17,1544.0,2,0.0
2024-01-18,235.0,235.78,233.3,234.89,1613.0,3,0.0
2024-01-19,234.15,236.05,233.37,235.66,1581.0,2,0.0
2024-01-22,236.02,238.87,235.01,235.72,1415.0,1,0.0
2024-01-23,236.0,238.2,235.75,237.93,1468.0,2,0.0
2024-01-24,237.34,238.78,234.65,234.71,1972.0,3,0.0
2024-01-25,236.0,236.39,233.5,236.23,1824.0,3,0.0
2024-01-26,237.0,237.08,235.28,236.44,1145.0,1,0.0
2024-01-29,235.0,237.78,235.0,237.23,2520.0,3,0.0
2024-01-30,236.64,238.73,235.86,236.17,1923.0,2,0.0
2024-01-31,236.11,240.97,236.11,239.35,3019.0,1,0.0
2024-02-01,234.33,241.99,232.0,241.94,4518.0,1,0.0
2024-02-02,244.64,245.82,236.51,237.58,2271.0,2,0.0
2024-02-05,236.5,238.45,234.57,234.86,1586.0,3,0.0
2024-02-06,235.13,240.57,235.11,238.49,1921.0,4,0.0
2024-02-07,238.35,242.25,237.51,239.2,1829.0,3,0.0
2024-02-08,238.0,242.82,238.0,240.61,1791.0,2,0.0
2024-02-09,240.0,244.0,239.73,243.56,2228.0,1,0.0
2024-02-12,242.74,245.91,241.28,243.49,1863.0,2,0.0
2024-02-13,242.23,244.69,237.34,238.93,2066.0,4,0.0
2024-02-14,238.39,239.33,236.83,238.15,1909.0,2,0.0
2024-02-15,238.56,242.07,238.09,239.59,2544.0,1,0.0
2024-02-16,238.95,243.72,238.28,240.51,1810.0,3,0.0
2024-02-20,239.87,243.24,239.21,240.31,2112.0,3,0.0
2024-02-21,240.49,245.46,240.0,245.0,2100.0,2,0.0
2024-02-22,243.7,244.32,240.1,243.41,2205.0,2,0.0
2024-02-23,243.6,246.56,241.72,246.29,1782.0,2,0.0
2024-02-26,244.55,245.87,241.71,241.76,1721.0,2,0.0
2024-02-27,240.85,242.63,240.0,240.98,1333.0,2,0.0
2024-02-28,240.34,241.91,238.79,239.12,1640.0,2,0.0
