time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,256.51,267.8,255.02,267.66,1518.0,8,0.0
2024-01-03,265.0,266.77,262.37,263.6,1104.0,7,0.0
2024-01-04,263.57,263.57,259.4,260.41,1622.0,9,0.0
2024-01-05,256.33,259.86,255.0,257.72,1651.0,5,0.0
2024-01-08,253.58,258.47,251.43,257.8,1752.0,5,0.0
2024-01-09,251.2,257.11,251.2,255.84,1232.0,8,0.0
2024-01-10,253.0,254.8,251.0,254.24,1165.0,6,0.0
2024-01-11,250.21,250.9,245.0,247.1,1609.0,5,0.0
2024-01-12,249.18,249.99,246.16,248.05,1443.0,4,0.0
2024-01-16,245.25,246.22,243.83,245.79,1512.0,3,0.0
2024-01-17,244.28,245.94,242.0,245.14,1276.0,4,0.0
2024-01-18,242.0,247.65,240.81,246.87,1650.0,5,0.0
2024-01-19,244.48,251.22,243.31,249.83,2063.0,4,0.0
2024-01-22,249.03,251.99,246.71,248.3,1404.0,4,0.0
2024-01-23,249.71,251.78,248.0,251.53,1661.0,7,0.0
2024-01-24,247.8,250.65,247.01,247.21,2399.0,5,0.0
2024-01-25,247.2,249.09,245.02,246.08,1190.0,5,0.0
2024-01-26,246.2,247.66,244.36,244.74,1099.0,7,0.0
2024-01-29,243.0,248.18,242.45,247.44,1182.0,4,0.0
2024-01-30,245.96,248.17,243.53,247.19,1620.0,5,0.0
2024-01-31,246.0,251.66,246.0,246.39,1606.0,3,0.0
2024-02-01,245.18,249.11,239.65,247.7,1752.0,3,0.0
2024-02-02,244.41,245.11,241.5,243.72,1399.0,4,0.0
2024-02-05,240.65,244.62,240.33,241.98,1455.0,3,0.0
2024-02-06,240.01,245.74,239.51,245.42,1458.0,6,0.0
2024-02-07,245.0,245.0,240.5,240.6,1462.0,4,0.0
2024-02-08,239.59,240.45,237.51,240.16,1086.0,5,0.0
2024-02-09,239.0,241.29,238.0,241.02,1359.0,3,0.0
2024-02-12,239.62,244.59,238.97,244.55,1488.0,4,0.0
2024-02-13,236.1,236.1,225.25,226.71,1814.0,4,0.0
2024-02-14,225.74,226.25,220.55,220.57,1773.0,2,0.0
2024-02-15,220.94,224.8,220.1,223.26,1817.0,6,0.0
2024-02-16,221.07,221.07,217.52,218.92,1321.0,6,0.0
2024-02-20,216.8,220.12,215.66,219.3,1382.0,3,0.0
2024-02-21,220.24,223.24,218.93,221.14,1567.0,7,0.0
2024-02-22,219.13,223.1,218.26,222.32,1183.0,6,0.0
2024-02-23,222.48,225.68,220.45,223.31,1131.0,7,0.0
2024-02-26,222.26,224.36,222.0,223.6,1193.0,6,0.0
2024-02-27,223.34,224.75,220.3,223.46,1061.0,5,0.0
2024-02-28,221.74,223.98,221.0,221.65,1067.0,5,0.0
2024-02-29,221.05,222.17,216.0,216.18,1045.0,7,0.0
2024-03-01,215.7,221.84,215.0,220.72,1247.0,6,0.0
2024-03-04,222.13,222.83,219.56,220.47,1295.0,5,0.0
2024-03-05,220.91,220.91,216.46,217.19,1028.0,5,0.0
2024-03-06,217.51,219.86,216.77,217.51,888.0,5,0.0
2024-03-07,219.01,219.66,216.5,219.37,1054.0,5,0.0
2024-03-08,222.63,227.9,222.02,223.24,1314.0,4,0.0
2024-03-11,223.24,230.04,223.24,229.96,1079.0,5,0.0
2024-03-12,228.06,228.55,225.2,227.53,1050.0,7,0.0
2024-03-13,227.76,229.68,224.96,226.57,1062.0,9,0.0
2024-03-14,223.45,225.64,218.51,219.29,1220.0,5,0.0
2024-03-15,219.85,220.3,216.8,219.17,1481.0,5,0.0
2024-03-18,218.95,220.25,217.47,219.17,1157.0,6,0.0
2024-03-19,217.28,218.93,215.6,218.65,1296.0,5,0.0
2024-03-20,216.19,219.25,216.19,218.02,1143.0,6,0.0
2024-03-21,218.0,221.55,217.88,220.5,931.0,3,0.0
2024-03-22,220.19,220.19,215.35,218.21,1146.0,3,0.0
2024-03-25,216.7,218.12,215.55,216.53,826.0,5,0.0
2024-03-26,215.85,216.16,211.05,212.21,1134.0,5,0.0
2024-03-27,212.99,216.16,212.5,216.15,1254.0,5,0.0
2024-03-28,215.67,216.99,213.86,215.52,1054.0,4,0.0
2024-04-01,214.25,215.41,212.53,214.63,1148.0,5,0.0
2024-04-02,211.56,211.56,207.53,207.7,1053.0,4,0.0
2024-04-03,208.06,208.06,205.35,205.83,916.0,4,0.0
2024-04-04,207.12,209.71,205.05,205.05,1386.0,7,0.0
2024-04-05,203.0,204.99,202.11,203.73,1051.0,3,0.0
2024-04-08,202.75,205.57,202.75,204.54,941.0,5,0.0
2024-04-09,205.08,208.97,205.08,206.4,1368.0,4,0.0
2024-04-10,202.0,203.35,200.58,201.74,1164.0,4,0.0
2024-04-11,201.5,204.64,200.62,203.44,1496.0,5,0.0
2024-04-12,203.86,204.74,197.53,197.78,1137.0,5,0.0
2024-04-15,197.78,199.4,196.33,196.84,1462.0,4,0.0
2024-04-16,195.55,197.59,195.0,195.0,1331.0,2,0.0
2024-04-17,195.0,195.09,192.01,192.21,1259.0,3,0.0
2024-04-18,191.0,192.34,189.5,190.42,1404.0,4,0.0
2024-04-19,190.0,194.42,189.0,194.31,3080.0,4,0.0
2024-04-22,194.54,195.56,192.21,193.95,4228.0,4,0.0
2024-04-23,193.08,195.58,192.45,193.11,2236.0,3,0.0
2024-04-24,201.08,205.27,199.09,202.11,2365.0,4,0.0
2024-04-25,201.64,205.03,198.0,202.34,1550.0,6,0.0
2024-04-26,198.55,210.78,198.54,208.77,1893.0,4,0.0
2024-04-29,209.13,218.73,208.22,215.16,1796.0,4,0.0
2024-04-30,214.01,217.42,213.25,214.99,1822.0,8,0.0
2024-05-01,216.26,218.45,214.19,216.23,1434.0,8,0.0
2024-05-02,217.19,217.75,212.96,212.96,1310.0,5,0.0
2024-05-03,215.59,217.79,212.75,217.53,1480.0,3,0.0
2024-05-06,219.1,222.23,218.0,221.19,1417.0,5,0.0
2024-05-07,219.0,221.4,215.75,218.68,1388.0,8,0.0
2024-05-08,217.15,221.33,216.85,219.92,917.0,8,0.0
2024-05-09,218.5,222.72,217.6,222.63,1438.0,6,0.0
2024-05-10,221.0,223.77,218.28,221.46,942.0,11,0.0
