time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,79.19,79.91,76.15,77.46,1677.0,1,0.0
2024-01-03,74.28,75.71,73.6,74.52,1668.0,2,0.0
2024-01-04,73.07,75.0,71.2,74.2,2164.0,1,0.0
2024-01-05,73.16,76.06,73.16,74.83,1971.0,1,0.0
2024-01-08,75.15,78.63,75.15,77.97,1467.0,1,0.0
2024-01-09,77.63,79.19,76.28,76.28,1305.0,1,0.0
2024-01-10,76.3,77.53,74.0,75.89,1715.0,2,0.0
2024-01-11,75.8,76.06,73.64,74.84,1507.0,1,0.0
2024-01-12,75.45,76.46,74.34,74.92,1689.0,1,0.0
2024-01-16,74.24,75.37,73.19,73.78,1475.0,1,0.0
2024-01-17,72.5,73.81,70.69,73.65,1296.0,1,0.0
2024-01-18,74.89,74.89,72.05,72.61,1763.0,1,0.0
2024-01-19,72.55,72.63,70.2,72.37,1306.0,1,0.0
2024-01-22,73.9,76.48,73.02,75.06,1335.0,1,0.0
2024-01-23,73.77,77.0,73.02,74.89,1314.0,1,0.0
2024-01-24,76.14,76.22,73.0,73.12,1629.0,2,0.0
2024-01-25,73.39,74.61,73.18,73.99,1105.0,1,0.0
2024-01-26,73.86,75.53,73.33,74.41,1448.0,1,0.0
2024-01-29,74.53,79.89,74.38,79.64,1142.0,1,0.0
2024-01-30,79.25,79.83,77.77,78.18,1603.0,1,0.0
2024-01-31,77.2,80.57,77.2,78.13,1594.0,1,0.0
2024-02-01,78.33,79.26,76.0,78.11,1354.0,1,0.0
2024-02-02,77.34,80.1,76.22,79.5,1498.0,2,0.0
2024-02-05,78.78,78.95,74.68,76.18,1944.0,1,0.0
2024-02-06,76.04,77.05,73.64,76.73,2112.0,1,0.0
2024-02-07,76.48,76.55,73.28,74.7,1939.0,1,0.0
2024-02-08,75.37,77.22,73.5,75.6,2210.0,1,0.0
2024-02-09,70.86,71.83,63.54,65.12,3550.0,1,0.0
2024-02-12,65.65,66.72,64.38,66.06,2751.0,1,0.0
2024-02-13,63.54,65.34,62.33,62.63,2040.0,1,0.0
2024-02-14,63.03,65.98,62.8,64.74,1876.0,1,0.0
2024-02-15,65.1,66.21,64.73,64.93,1623.0,1,0.0
2024-02-16,64.2,65.29,63.46,63.46,1744.0,1,0.0
2024-02-20,62.55,63.52,61.55,62.89,1859.0,1,0.0
2024-02-21,61.92,62.1,60.6,61.29,2078.0,1,0.0
2024-02-22,61.35,62.14,61.28,61.46,1481.0,1,0.0
2024-02-23,61.35,63.52,61.2,63.22,1526.0,1,0.0
2024-02-26,62.66,65.04,62.0,63.71,1357.0,2,0.0
2024-02-27,64.17,65.13,64.07,64.46,1412.0,1,0.0
2024-02-28,63.6,65.07,63.56,63.66,1125.0,1,0.0
2024-02-29,64.0,64.78,62.5,63.17,1591.0,1,0.0
2024-03-01,63.0,66.22,63.0,65.76,2120.0,1,0.0
2024-03-04,66.11,66.33,63.57,65.42,1570.0,1,0.0
2024-03-05,63.8,63.8,61.2,61.61,1734.0,1,0.0
2024-03-06,62.0,63.43,60.72,63.22,2048.0,1,0.0
2024-03-07,64.92,66.31,64.23,65.51,2066.0,1,0.0
2024-03-08,66.9,68.75,66.11,68.55,3049.0,1,0.0
2024-03-11,67.63,69.18,67.0,67.66,1636.0,1,0.0
2024-03-12,67.12,67.23,65.5,66.38,1244.0,1,0.0
2024-03-13,66.6,68.91,66.6,67.56,1677.0,1,0.0
2024-03-14,67.17,67.18,64.3,64.95,1537.0,1,0.0
2024-03-15,64.38,64.8,63.0,64.8,1543.0,2,0.0
2024-03-18,64.91,68.46,64.7,67.22,1842.0,1,0.0
2024-03-19,66.83,68.23,66.19,66.52,1238.0,1,0.0
2024-03-20,66.81,67.37,66.0,66.35,1283.0,1,0.0
2024-03-21,66.5,68.66,66.5,66.59,1280.0,1,0.0
2024-03-22,66.47,69.36,66.1,67.88,1612.0,1,0.0
