time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,319.0,330.04,319.0,327.2,580.0,27,0.0
2024-01-03,325.0,325.0,315.68,318.16,682.0,15,0.0
2024-01-04,317.88,319.28,312.88,315.46,408.0,19,0.0
2024-01-05,310.0,318.51,310.0,315.24,336.0,34,0.0
2024-01-08,314.43,322.44,309.27,320.72,408.0,47,0.0
2024-01-09,317.57,328.87,314.2,316.05,503.0,31,0.0
2024-01-10,313.18,320.75,313.18,318.93,524.0,28,0.0
2024-01-11,315.0,322.9,315.0,320.79,756.0,11,0.0
2024-01-12,320.67,323.79,315.37,317.05,493.0,25,0.0
2024-01-16,315.0,317.06,310.4,314.55,1244.0,28,0.0
2024-01-17,310.0,315.85,302.0,303.46,336.0,22,0.0
2024-01-18,304.0,306.9,302.0,303.58,666.0,12,0.0
2024-01-19,303.39,306.92,300.0,305.24,933.0,5,0.0
2024-01-22,304.83,314.01,304.0,312.55,754.0,18,0.0
2024-01-23,312.8,315.92,310.01,314.07,732.0,25,0.0
2024-01-24,311.43,317.52,311.1,315.25,600.0,17,0.0
2024-01-25,317.45,323.45,314.97,316.67,799.0,16,0.0
2024-01-26,328.5,337.77,326.04,328.55,558.0,24,0.0
2024-01-29,326.35,331.67,324.5,329.3,706.0,19,0.0
2024-01-30,328.97,332.95,328.08,331.52,524.0,24,0.0
2024-01-31,333.82,333.82,319.68,321.01,681.0,16,0.0
2024-02-01,317.7,329.29,315.2,328.09,570.0,24,0.0
2024-02-02,322.05,324.93,317.3,320.47,686.0,24,0.0
2024-02-05,315.0,321.83,315.0,318.66,414.0,30,0.0
2024-02-06,319.94,325.03,316.02,323.42,482.0,25,0.0
2024-02-07,325.0,327.7,317.26,324.9,490.0,25,0.0
2024-02-08,322.04,328.44,320.0,325.68,502.0,17,0.0
2024-02-09,321.83,327.01,320.01,323.95,691.0,28,0.0
2024-02-12,321.96,327.97,321.96,326.34,561.0,18,0.0
2024-02-13,318.07,321.5,311.89,314.64,626.0,22,0.0
2024-02-14,315.99,327.02,315.38,326.33,359.0,14,0.0
2024-02-15,324.22,332.81,319.2,328.03,668.0,11,0.0
2024-02-16,341.92,361.61,335.0,338.51,598.0,41,0.0
2024-02-20,335.79,344.73,335.12,343.18,1747.0,3,0.0
2024-02-21,342.16,346.9,335.0,337.36,783.0,22,0.0
2024-02-22,335.97,341.34,335.0,338.11,673.0,12,0.0
2024-02-23,336.4,339.23,335.0,336.98,566.0,30,0.0
2024-02-26,335.5,338.73,335.0,338.33,559.0,23,0.0
2024-02-27,337.5,337.5,326.71,329.45,529.0,1,0.0
2024-02-28,327.0,331.47,323.5,328.89,440.0,19,0.0
2024-02-29,329.5,332.94,324.66,324.66,661.0,22,0.0
2024-03-01,323.25,335.25,321.0,331.94,830.0,9,0.0
2024-03-04,330.03,338.26,327.0,334.1,958.0,16,0.0
2024-03-05,330.64,333.87,327.55,330.78,552.0,18,0.0
2024-03-06,330.21,337.33,329.99,332.21,735.0,30,0.0
2024-03-07,334.65,338.96,331.22,337.79,529.0,31,0.0
2024-03-08,338.89,344.71,337.5,342.44,679.0,24,0.0
2024-03-11,339.38,345.66,339.38,343.32,914.0,19,0.0
2024-03-12,340.72,343.65,335.02,336.48,574.0,22,0.0
2024-03-13,333.91,339.75,333.17,335.77,361.0,20,0.0
2024-03-14,333.83,334.0,327.57,332.83,456.0,20,0.0
2024-03-15,323.23,335.03,323.23,333.04,743.0,19,0.0
2024-03-18,333.0,335.79,328.7,332.89,352.0,8,0.0
2024-03-19,330.4,337.03,328.18,335.69,589.0,12,0.0
2024-03-20,333.25,337.05,331.0,335.41,724.0,9,0.0
2024-03-21,335.0,352.12,334.3,352.05,632.0,14,0.0
2024-03-22,352.0,359.14,349.77,350.62,1042.0,13,0.0
2024-03-25,347.05,347.05,336.0,340.62,710.0,20,0.0
2024-03-26,339.44,342.92,338.78,339.42,328.0,16,0.0
2024-03-27,339.16,349.6,336.36,349.53,1080.0,15,0.0
2024-03-28,347.29,348.9,343.37,345.61,547.0,19,0.0
2024-04-01,342.14,344.04,335.93,336.5,727.0,22,0.0
2024-04-02,333.37,334.05,327.87,327.87,554.0,14,0.0
2024-04-03,322.98,332.14,322.0,327.54,489.0,13,0.0
2024-04-04,328.18,331.05,321.25,322.02,342.0,13,0.0
2024-04-05,322.25,328.31,321.41,322.98,359.0,28,0.0
2024-04-08,322.22,328.91,322.22,325.66,416.0,25,0.0
2024-04-09,328.19,339.05,327.06,339.05,331.0,31,0.0
2024-04-10,321.81,331.39,321.81,330.06,466.0,31,0.0
2024-04-11,323.83,325.6,311.71,312.0,565.0,6,0.0
2024-04-12,307.55,309.8,298.48,298.48,405.0,21,0.0
2024-04-15,303.0,303.9,296.78,299.14,345.0,33,0.0
2024-04-16,297.8,297.8,292.68,292.68,387.0,27,0.0
2024-04-17,291.64,294.07,290.09,290.58,425.0,16,0.0
2024-04-18,276.02,286.04,268.0,279.96,844.0,20,0.0
2024-04-19,277.87,282.86,275.9,279.87,366.0,33,0.0
2024-04-22,276.26,282.7,275.9,278.95,463.0,14,0.0
2024-04-23,288.22,293.3,282.45,282.46,499.0,30,0.0
2024-04-24,282.01,283.37,276.81,277.65,802.0,13,0.0
2024-04-25,273.0,277.74,271.89,275.02,436.0,24,0.0
2024-04-26,272.8,278.88,272.8,275.56,532.0,17,0.0
2024-04-29,276.5,280.32,274.73,275.78,400.0,16,0.0
2024-04-30,270.99,274.0,268.69,269.22,536.0,8,0.0
2024-05-01,267.02,279.25,266.89,272.7,644.0,13,0.0
2024-05-02,274.1,278.5,271.8,277.75,523.0,9,0.0
2024-05-03,280.51,283.19,278.51,278.87,376.0,20,0.0
2024-05-06,279.14,284.28,277.76,280.4,283.0,27,0.0
2024-05-07,280.1,281.5,277.52,279.17,346.0,15,0.0
2024-05-08,272.0,274.39,267.45,267.5,481.0,9,0.0
2024-05-09,268.26,277.1,266.0,276.22,941.0,10,0.0
2024-05-10,277.76,284.4,277.46,281.92,433.0,9,0.0
2024-05-13,278.22,286.03,278.22,285.01,536.0,14,0.0
2024-05-14,283.2,294.48,282.82,293.48,602.0,14,0.0
2024-05-15,295.0,302.08,294.46,300.34,337.0,5,0.0
2024-05-16,299.2,301.62,295.42,295.42,363.0,25,0.0
2024-05-17,291.09,295.46,289.0,292.83,419.0,11,0.0
2024-05-20,292.15,294.52,290.0,291.65,320.0,14,0.0
2024-05-21,287.95,292.18,287.5,289.07,400.0,17,0.0
2024-05-22,288.88,295.34,286.5,291.41,521.0,21,0.0
2024-05-23,290.7,291.5,287.5,289.68,623.0,10,0.0
2024-05-24,291.18,291.18,284.86,286.76,572.0,17,0.0
2024-05-28,287.32,287.99,283.58,285.5,524.0,10,0.0
2024-05-29,280.97,285.9,280.28,285.24,882.0,15,0.0
2024-05-30,281.0,284.79,279.84,282.14,678.0,11,0.0
2024-05-31,280.0,287.53,280.0,286.92,667.0,17,0.0
2024-06-03,284.47,291.82,284.47,287.66,454.0,17,0.0
2024-06-04,284.56,289.02,282.25,288.59,740.0,13,0.0
2024-06-05,286.74,288.82,280.97,287.85,522.0,11,0.0
2024-06-06,283.51,294.46,283.42,287.52,446.0,12,0.0
2024-06-07,285.22,288.47,283.71,284.82,517.0,15,0.0
2024-06-10,283.5,288.04,282.8,284.44,617.0,22,0.0
2024-06-11,280.22,282.87,280.22,281.0,386.0,10,0.0
