time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,34.44,34.63,33.74,33.93,5836.0,1,0.0
2024-01-03,33.96,34.19,33.7,33.88,3879.0,1,0.0
2024-01-04,34.01,34.2,33.18,33.24,3276.0,1,0.0
2024-01-05,33.39,33.55,33.11,33.4,4278.0,1,0.0
2024-01-08,32.62,32.63,31.91,32.44,3436.0,1,0.0
2024-01-09,32.16,32.16,31.49,31.6,4365.0,1,0.0
2024-01-10,31.24,31.47,30.95,31.21,3767.0,1,0.0
2024-01-11,31.32,31.49,31.02,31.15,4186.0,1,0.0
2024-01-12,31.66,31.69,30.87,31.49,4388.0,1,0.0
2024-01-16,31.27,31.3,30.61,30.67,3043.0,1,0.0
2024-01-17,30.2,30.91,30.12,30.82,3132.0,1,0.0
2024-01-18,30.67,30.97,30.5,30.89,2890.0,0,0.0
2024-01-19,30.84,31.01,30.56,30.69,4118.0,1,0.0
2024-01-22,30.55,31.14,30.43,30.95,3693.0,1,0.0
2024-01-23,30.76,31.65,30.76,31.5,4180.0,1,0.0
2024-01-24,30.13,31.02,29.65,30.03,5232.0,1,0.0
2024-01-25,30.43,30.59,29.71,30.3,4875.0,1,0.0
2024-01-26,30.17,30.58,29.85,30.47,3600.0,1,0.0
2024-01-29,30.2,30.28,29.81,30.0,3093.0,1,0.0
2024-01-30,28.62,29.52,28.32,29.34,5181.0,1,0.0
2024-01-31,29.27,29.37,28.43,28.49,3979.0,1,0.0
2024-02-01,28.85,28.86,28.37,28.61,5603.0,1,0.0
2024-02-02,28.57,29.13,28.56,29.01,5684.0,0,0.0
2024-02-05,28.65,28.93,28.31,28.79,3238.0,1,0.0
2024-02-06,28.82,29.61,28.73,29.39,4302.0,1,0.0
2024-02-07,29.5,29.68,29.09,29.09,4251.0,1,0.0
2024-02-08,29.03,29.45,28.99,29.29,3694.0,1,0.0
2024-02-09,29.29,29.45,28.82,29.06,2689.0,0,0.0
2024-02-12,29.1,29.59,29.08,29.46,2781.0,1,0.0
2024-02-13,29.45,29.51,28.7,29.0,4098.0,1,0.0
2024-02-14,29.04,29.21,28.61,28.8,3211.0,1,0.0
2024-02-15,28.99,29.38,28.78,29.18,4073.0,1,0.0
2024-02-16,29.13,29.3,28.91,29.12,3086.0,1,0.0
2024-02-20,28.67,29.08,28.61,29.03,3540.0,1,0.0
2024-02-21,29.0,29.39,28.94,29.3,3243.0,1,0.0
2024-02-22,29.18,29.45,29.0,29.17,3769.0,1,0.0
2024-02-23,28.91,30.08,28.88,29.89,3038.0,1,0.0
2024-02-26,29.71,30.38,29.62,29.83,3128.0,1,0.0
2024-02-27,29.88,29.99,29.51,29.72,2605.0,1,0.0
2024-02-28,29.55,29.74,29.19,29.47,2635.0,1,0.0
2024-02-29,29.72,29.86,29.35,29.62,2445.0,1,0.0
2024-03-01,29.67,30.12,29.58,29.93,2745.0,1,0.0
2024-03-04,29.94,30.0,29.35,29.41,3372.0,1,0.0
2024-03-05,29.43,30.15,29.33,30.14,2747.0,1,0.0
2024-03-06,30.57,30.85,30.41,30.56,4023.0,1,0.0
2024-03-07,30.65,31.05,30.65,30.86,2897.0,0,0.0
2024-03-08,30.64,30.91,30.43,30.6,3513.0,1,0.0
2024-03-11,30.8,31.38,30.51,31.31,3011.0,1,0.0
2024-03-12,31.57,31.58,31.08,31.52,3067.0,1,0.0
2024-03-13,31.67,31.94,31.35,31.73,3363.0,1,0.0
2024-03-14,31.98,32.2,31.8,31.94,2871.0,0,0.0
2024-03-15,31.99,32.44,31.92,32.33,3119.0,1,0.0
2024-03-18,32.34,32.51,32.04,32.37,3154.0,1,0.0
2024-03-19,32.35,33.31,32.29,33.21,2924.0,1,0.0
2024-03-20,33.01,33.54,33.0,33.4,3487.0,1,0.0
2024-03-21,33.45,34.12,33.37,33.79,2793.0,1,0.0
2024-03-22,33.79,33.89,33.41,33.46,2119.0,1,0.0
2024-03-25,33.66,33.73,33.24,33.25,3120.0,1,0.0
2024-03-26,33.3,33.33,32.7,32.79,2105.0,1,0.0
2024-03-27,32.79,33.21,32.76,33.1,3002.0,0,0.0
2024-03-28,33.32,33.68,33.1,33.49,2585.0,1,0.0
2024-04-01,33.41,33.65,33.23,33.43,2405.0,1,0.0
2024-04-02,33.66,33.71,33.29,33.59,3377.0,1,0.0
2024-04-03,33.8,34.14,33.65,33.88,3697.0,1,0.0
2024-04-04,33.98,34.31,33.67,33.92,3645.0,1,0.0
2024-04-05,33.82,34.61,33.61,34.31,2899.0,1,0.0
2024-04-08,34.36,34.5,34.13,34.22,3120.0,1,0.0
2024-04-09,34.37,34.5,34.0,34.16,3314.0,0,0.0
2024-04-10,33.85,34.26,33.7,34.17,4788.0,1,0.0
2024-04-11,34.13,34.15,33.52,33.96,3177.0,1,0.0
2024-04-12,34.1,34.2,33.0,33.05,5430.0,1,0.0
2024-04-15,33.21,33.36,32.32,32.44,3962.0,1,0.0
2024-04-16,32.25,32.34,31.91,32.09,4701.0,1,0.0
2024-04-17,32.09,32.54,31.94,32.04,4317.0,1,0.0
2024-04-18,32.09,32.56,32.04,32.16,4435.0,0,0.0
2024-04-19,32.39,32.78,32.26,32.6,4955.0,1,0.0
2024-04-22,32.18,32.75,31.85,32.43,3621.0,1,0.0
2024-04-23,32.24,33.14,32.1,32.98,4436.0,1,0.0
2024-04-24,32.34,33.76,32.32,32.67,5954.0,1,0.0
2024-04-25,33.26,33.44,32.61,33.29,4424.0,1,0.0
2024-04-26,33.02,33.22,32.41,32.83,4043.0,1,0.0
2024-04-29,32.74,33.22,32.66,33.2,3117.0,1,0.0
2024-04-30,32.85,33.01,32.46,32.64,4368.0,1,0.0
2024-05-01,32.54,32.7,31.75,31.9,7640.0,1,0.0
2024-05-02,32.19,32.34,31.76,31.91,3719.0,1,0.0
2024-05-03,31.86,32.03,31.5,31.89,2871.0,1,0.0
2024-05-06,32.23,32.33,31.9,31.97,3997.0,1,0.0
2024-05-07,31.8,32.25,31.8,32.13,3843.0,1,0.0
2024-05-08,31.88,32.46,31.72,31.86,3300.0,1,0.0
2024-05-09,32.13,32.73,32.07,32.73,2113.0,1,0.0
2024-05-10,32.8,32.89,32.19,32.39,2801.0,1,0.0
2024-05-13,32.55,32.72,32.24,32.38,2661.0,1,0.0
2024-05-14,32.59,32.77,32.31,32.64,2281.0,1,0.0
2024-05-15,32.28,32.93,31.83,32.92,3731.0,1,0.0
2024-05-16,32.91,33.23,32.75,33.03,2909.0,1,0.0
2024-05-17,32.82,33.54,32.76,33.42,3186.0,1,0.0
2024-05-20,33.34,33.42,33.03,33.09,2882.0,1,0.0
2024-05-21,33.05,33.52,32.98,33.02,2884.0,1,0.0
2024-05-22,32.73,32.89,31.9,32.07,3211.0,1,0.0
2024-05-23,32.23,32.33,31.75,31.8,3646.0,1,0.0
2024-05-24,31.96,32.42,31.8,32.35,2036.0,1,0.0
2024-05-28,32.28,32.68,32.15,32.37,3839.0,1,0.0
2024-05-29,32.25,32.31,31.73,31.94,3704.0,1,0.0
2024-05-30,31.97,32.52,31.93,32.46,3440.0,1,0.0
2024-05-31,32.37,33.52,32.3,33.47,4165.0,0,0.0
2024-06-03,33.32,33.32,31.85,32.14,5126.0,1,0.0
2024-06-04,31.8,31.86,31.23,31.64,4657.0,1,0.0
2024-06-05,31.74,31.9,31.5,31.74,3659.0,1,0.0
2024-06-06,31.49,31.83,31.38,31.74,3568.0,1,0.0
2024-06-07,31.66,31.83,31.5,31.64,3349.0,1,0.0
2024-06-10,31.76,32.58,31.71,32.41,3186.0,1,0.0
2024-06-11,32.04,32.28,31.71,32.24,3399.0,1,0.0
2024-06-12,32.39,32.54,31.89,32.24,4479.0,1,0.0
2024-06-13,31.87,32.05,31.26,31.64,3138.0,0,0.0
2024-06-14,31.45,31.5,30.89,31.05,3158.0,1,0.0
2024-06-17,30.9,32.12,30.9,32.0,4114.0,1,0.0
2024-06-18,32.05,32.48,31.89,32.14,2948.0,1,0.0
2024-06-20,32.13,33.03,32.1,32.96,4097.0,1,0.0
2024-06-21,33.06,33.11,32.61,32.92,3473.0,1,0.0
2024-06-24,33.16,34.53,33.16,34.42,3913.0,1,0.0
2024-06-25,34.68,34.9,34.19,34.85,3610.0,1,0.0
2024-06-26,34.76,34.82,34.28,34.47,3234.0,1,0.0
2024-06-27,34.5,34.74,34.23,34.4,3539.0,1,0.0
2024-06-28,34.72,35.29,34.64,35.19,2979.0,1,0.0
2024-07-01,35.08,35.43,34.65,34.94,3012.0,1,0.0
2024-07-02,35.04,35.29,34.52,34.67,3356.0,1,0.0
2024-07-03,34.62,34.93,34.29,34.42,2851.0,1,0.0
2024-07-05,34.36,34.63,33.91,34.23,2996.0,1,0.0
2024-07-08,34.04,34.23,33.85,34.16,2934.0,1,0.0
2024-07-09,33.85,34.17,33.36,33.46,3904.0,1,0.0
