time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,52.03,52.57,51.84,52.32,5736.0,1,0.0
2024-01-03,52.18,52.29,51.8,51.82,6292.0,1,0.0
2024-01-04,51.81,52.53,51.81,52.03,5443.0,1,0.0
2024-01-05,51.89,52.75,51.82,52.42,7452.0,1,0.0
2024-01-08,52.33,52.77,52.06,52.68,5435.0,1,0.0
2024-01-09,52.38,53.16,52.31,52.88,6100.0,1,0.0
2024-01-10,52.54,52.78,52.41,52.64,4511.0,1,0.0
2024-01-11,52.54,52.8,52.11,52.75,6239.0,1,0.0
2024-01-12,55.1,55.21,54.02,54.74,9510.0,1,0.0
2024-01-16,55.28,55.4,54.53,55.24,6816.0,1,0.0
2024-01-17,54.71,55.31,54.66,54.81,6041.0,1,0.0
2024-01-18,54.87,54.97,53.99,54.6,5450.0,0,0.0
2024-01-19,54.48,55.18,54.28,54.96,6534.0,1,0.0
2024-01-22,55.0,55.56,54.72,54.94,4586.0,1,0.0
2024-01-23,54.71,55.01,54.5,54.82,3535.0,1,0.0
2024-01-24,54.92,55.3,54.7,54.87,5146.0,1,0.0
2024-01-25,55.18,55.55,54.8,55.32,5289.0,1,0.0
2024-01-26,55.34,55.83,55.09,55.28,4435.0,1,0.0
2024-01-29,55.36,55.88,55.17,55.88,4432.0,1,0.0
2024-01-30,56.2,56.22,55.71,56.06,3792.0,1,0.0
2024-01-31,55.81,56.42,55.41,55.51,8147.0,1,0.0
2024-02-01,55.69,55.82,54.59,55.48,6679.0,1,0.0
2024-02-02,55.51,56.08,55.41,55.64,8122.0,1,0.0
2024-02-05,55.11,55.36,54.71,55.1,5165.0,1,0.0
2024-02-06,53.0,55.32,53.0,55.05,3211.0,1,0.0
2024-02-07,55.06,55.44,54.63,55.23,5171.0,1,0.0
2024-02-08,55.04,55.38,54.67,55.14,4156.0,1,0.0
2024-02-09,54.89,55.35,54.8,55.25,3857.0,1,0.0
2024-02-12,55.32,56.04,54.95,55.67,4625.0,1,0.0
2024-02-13,54.9,54.97,53.34,53.83,7850.0,0,0.0
2024-02-14,54.25,54.6,54.04,54.44,5301.0,1,0.0
2024-02-15,54.73,55.41,54.72,55.25,5732.0,1,0.0
2024-02-16,54.93,55.68,54.76,55.12,4812.0,0,0.0
2024-02-20,54.1,55.18,54.07,54.88,6159.0,1,0.0
2024-02-21,54.55,55.29,54.49,55.09,5205.0,1,0.0
2024-02-22,55.18,55.62,54.82,55.4,5339.0,0,0.0
2024-02-23,55.54,56.06,55.18,55.72,4399.0,0,0.0
2024-02-26,55.35,56.18,55.23,55.27,4415.0,1,0.0
2024-02-27,55.36,55.58,55.17,55.55,3744.0,1,0.0
2024-02-28,55.43,56.1,55.34,55.6,3734.0,1,0.0
2024-02-29,55.85,56.24,55.61,56.09,3984.0,1,0.0
2024-03-01,55.8,56.02,55.27,55.52,4132.0,1,0.0
