time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,51.41,53.44,51.39,52.79,7775.0,1,0.0
2024-01-03,52.68,52.89,51.47,52.34,6985.0,1,0.0
2024-01-04,51.82,52.17,51.45,52.04,5705.0,1,0.0
2024-01-05,51.79,52.56,51.65,52.18,5202.0,1,0.0
2024-01-08,51.81,51.87,51.28,51.76,5486.0,1,0.0
2024-01-09,51.88,52.09,51.25,51.26,5906.0,1,0.0
2024-01-10,50.91,51.24,50.41,50.64,5211.0,1,0.0
2024-01-11,50.56,50.66,50.01,50.22,5507.0,1,0.0
2024-01-12,50.44,50.7,50.07,50.31,4630.0,1,0.0
2024-01-16,50.21,50.38,49.81,50.01,4769.0,1,0.0
2024-01-17,49.32,50.06,48.94,50.05,5196.0,1,0.0
2024-01-18,49.4,50.13,48.63,50.13,4933.0,1,0.0
2024-01-19,49.84,50.2,49.42,50.1,5231.0,1,0.0
2024-01-22,49.99,50.31,49.5,49.64,4811.0,1,0.0
2024-01-23,49.6,50.41,49.48,50.06,3909.0,1,0.0
2024-01-24,50.06,50.61,50.06,50.32,3516.0,1,0.0
2024-01-25,50.25,50.32,49.43,49.5,3850.0,1,0.0
2024-01-26,50.0,50.18,49.65,49.7,3548.0,1,0.0
2024-01-29,49.65,49.83,49.45,49.83,3506.0,1,0.0
2024-01-30,50.12,50.13,49.25,49.37,3579.0,1,0.0
2024-01-31,49.82,50.01,48.89,48.9,6509.0,1,0.0
2024-02-01,48.71,48.81,48.12,48.59,5092.0,1,0.0
2024-02-02,49.94,49.97,48.08,48.72,8490.0,1,0.0
2024-02-05,48.31,48.53,47.68,47.98,4973.0,1,0.0
2024-02-06,47.92,49.97,47.58,49.18,6798.0,0,0.0
2024-02-07,49.33,49.33,48.02,48.62,4647.0,1,0.0
2024-02-08,48.3,48.73,48.11,48.7,4081.0,1,0.0
2024-02-09,48.51,49.82,48.48,49.75,5061.0,1,0.0
2024-02-12,49.93,50.05,49.2,49.79,5331.0,1,0.0
2024-02-13,49.72,49.89,48.3,48.74,4923.0,1,0.0
2024-02-14,48.8,49.02,48.45,48.84,4101.0,1,0.0
2024-02-15,49.16,50.28,49.12,49.41,4351.0,1,0.0
2024-02-16,49.12,49.86,48.93,49.83,4408.0,1,0.0
2024-02-20,49.75,50.44,49.64,49.86,4536.0,1,0.0
2024-02-21,49.8,50.88,49.52,50.88,4600.0,1,0.0
2024-02-22,50.58,51.39,50.32,51.3,5085.0,1,0.0
2024-02-23,51.17,51.91,50.72,51.69,4469.0,1,0.0
2024-02-26,51.33,51.57,50.46,50.53,3471.0,1,0.0
2024-02-27,50.61,50.71,50.15,50.5,3712.0,1,0.0
2024-02-28,50.54,50.96,50.37,50.9,3167.0,1,0.0
2024-02-29,50.79,51.16,50.27,50.8,3196.0,1,0.0
2024-03-01,50.72,51.07,50.43,50.93,4429.0,1,0.0
2024-03-04,51.31,52.18,50.71,50.91,7030.0,1,0.0
2024-03-05,51.12,52.1,51.06,51.81,5460.0,1,0.0
2024-03-06,52.61,53.8,52.6,53.36,6557.0,1,0.0
2024-03-07,53.51,53.74,52.97,53.31,5360.0,0,0.0
2024-03-08,53.43,54.25,53.37,53.8,6214.0,1,0.0
2024-03-11,54.29,54.56,53.82,54.38,5828.0,1,0.0
2024-03-12,54.32,54.59,53.8,54.52,5579.0,1,0.0
2024-03-13,54.7,55.0,52.59,52.67,5925.0,1,0.0
2024-03-14,52.45,52.66,51.8,52.51,6200.0,0,0.0
2024-03-15,52.83,53.19,52.32,52.4,8431.0,1,0.0
2024-03-18,52.25,52.42,51.53,51.71,4335.0,1,0.0
2024-03-19,51.51,51.92,51.39,51.88,4250.0,1,0.0
2024-03-20,51.27,52.15,51.27,51.89,4863.0,1,0.0
2024-03-21,51.9,52.64,51.56,51.61,4378.0,1,0.0
2024-03-22,51.69,52.44,51.67,51.98,4672.0,1,0.0
2024-03-25,52.11,52.73,51.99,52.21,4188.0,1,0.0
2024-03-26,52.31,52.64,52.03,52.61,3079.0,1,0.0
2024-03-27,53.01,53.68,52.85,53.23,5388.0,1,0.0
2024-03-28,53.59,54.47,53.4,54.34,4260.0,1,0.0
2024-04-01,54.01,54.02,52.96,52.98,2832.0,1,0.0
2024-04-02,52.87,53.34,52.53,52.76,4406.0,1,0.0
2024-04-03,52.79,52.84,52.09,52.25,3819.0,1,0.0
2024-04-04,51.81,52.08,51.2,51.5,4057.0,1,0.0
2024-04-05,51.05,51.44,50.82,51.34,4380.0,1,0.0
2024-04-08,51.16,51.29,50.85,51.06,3112.0,1,0.0
2024-04-09,51.17,51.67,51.15,51.57,4136.0,1,0.0
2024-04-10,51.03,51.17,50.33,50.38,5480.0,1,0.0
2024-04-11,50.52,50.54,49.16,49.19,4855.0,1,0.0
2024-04-12,48.74,49.08,48.3,48.3,4224.0,0,0.0
2024-04-15,48.23,49.09,48.23,48.58,4907.0,1,0.0
2024-04-16,48.37,48.59,48.23,48.27,6056.0,1,0.0
2024-04-17,48.37,48.53,47.7,47.88,4398.0,1,0.0
2024-04-18,47.84,48.4,47.61,48.32,4079.0,1,0.0
2024-04-19,48.28,49.04,48.11,48.92,4405.0,1,0.0
2024-04-22,48.93,49.55,48.87,49.1,4267.0,1,0.0
2024-04-23,48.97,49.46,48.95,48.96,3276.0,0,0.0
2024-04-24,48.78,49.03,48.55,48.88,4480.0,1,0.0
2024-04-25,47.19,47.31,44.37,44.74,9448.0,1,0.0
2024-04-26,44.43,45.36,44.33,44.89,5712.0,1,0.0
2024-04-29,45.12,45.37,44.52,44.63,3816.0,1,0.0
2024-04-30,44.29,44.75,43.98,44.01,4920.0,1,0.0
2024-05-01,44.19,44.45,43.72,44.22,5986.0,1,0.0
2024-05-02,44.16,44.29,43.33,43.6,4419.0,1,0.0
2024-05-03,44.04,44.31,43.68,43.94,3800.0,1,0.0
2024-05-06,44.24,44.61,43.78,43.87,3340.0,1,0.0
2024-05-07,44.08,44.25,43.83,44.01,3660.0,1,0.0
2024-05-08,44.16,44.17,43.55,43.66,2792.0,1,0.0
2024-05-09,43.61,44.8,43.49,44.79,2728.0,1,0.0
2024-05-10,44.74,44.96,44.32,44.96,2758.0,1,0.0
2024-05-13,45.09,45.31,44.87,45.04,3098.0,1,0.0
2024-05-14,45.47,45.69,44.52,44.81,3143.0,1,0.0
2024-05-15,45.04,45.07,44.48,44.62,3391.0,1,0.0
2024-05-16,44.43,44.45,43.68,44.17,4446.0,1,0.0
2024-05-17,44.1,44.21,43.72,44.03,2742.0,1,0.0
2024-05-20,43.86,44.04,43.3,43.31,2219.0,1,0.0
2024-05-21,43.3,43.34,42.25,42.28,1991.0,1,0.0
2024-05-22,42.05,42.99,41.91,42.33,3528.0,1,0.0
2024-05-23,41.75,41.98,41.46,41.52,3807.0,1,0.0
2024-05-24,41.37,41.67,41.07,41.26,3770.0,1,0.0
2024-05-28,41.11,41.31,40.38,40.44,2613.0,1,0.0
2024-05-29,40.19,40.69,39.93,40.24,2969.0,1,0.0
2024-05-30,40.1,40.59,39.91,40.19,2826.0,1,0.0
2024-05-31,40.13,41.15,40.12,41.06,2578.0,1,0.0
2024-06-03,41.16,42.38,41.12,41.77,3924.0,1,0.0
2024-06-04,41.58,42.07,41.37,41.76,2755.0,1,0.0
2024-06-05,41.51,41.63,40.91,41.22,2233.0,1,0.0
2024-06-06,40.89,41.28,40.7,40.89,3241.0,1,0.0
2024-06-07,40.83,41.56,40.83,41.51,2962.0,1,0.0
2024-06-10,41.48,42.71,41.35,42.57,3841.0,1,0.0
2024-06-11,42.33,43.04,41.87,43.01,4749.0,1,0.0
2024-06-12,42.72,42.82,42.22,42.45,4482.0,1,0.0
2024-06-13,42.29,42.38,41.06,41.45,3655.0,1,0.0
2024-06-14,41.43,41.85,40.75,41.28,3576.0,1,0.0
2024-06-17,41.1,41.33,40.44,41.05,2909.0,1,0.0
2024-06-18,41.08,41.21,40.09,40.82,3383.0,1,0.0
2024-06-20,40.67,41.18,39.88,41.05,4505.0,1,0.0
2024-06-21,41.32,41.9,41.06,41.85,4022.0,1,0.0
2024-06-24,41.91,42.34,41.83,42.25,3596.0,1,0.0
2024-06-25,41.72,42.36,41.57,42.29,3854.0,1,0.0
2024-06-26,41.76,43.03,41.76,42.6,4679.0,1,0.0
2024-06-27,42.22,42.39,41.51,41.52,3121.0,1,0.0
2024-06-28,41.74,42.48,41.45,41.5,4537.0,1,0.0
2024-07-01,41.65,42.26,41.14,41.28,2892.0,1,0.0
2024-07-02,41.19,41.32,40.41,40.48,3275.0,1,0.0
2024-07-03,40.36,40.64,40.04,40.1,1892.0,1,0.0
2024-07-05,39.42,39.74,39.35,39.69,2463.0,1,0.0
2024-07-08,39.6,40.11,39.5,40.06,2825.0,1,0.0
2024-07-09,39.79,40.89,39.71,40.81,4518.0,1,0.0
2024-07-10,40.69,41.16,40.44,41.15,3490.0,1,0.0
2024-07-11,41.3,41.64,40.68,40.74,4188.0,1,0.0
2024-07-12,40.9,40.9,40.35,40.46,3238.0,1,0.0
2024-07-15,40.46,40.46,39.92,40.11,3415.0,1,0.0
2024-07-16,40.14,41.26,40.1,41.13,4986.0,1,0.0
2024-07-17,41.43,43.5,41.39,43.14,6461.0,1,0.0
2024-07-18,42.64,44.22,42.4,42.4,7049.0,1,0.0
2024-07-19,42.6,42.82,41.6,42.63,4754.0,1,0.0
2024-07-22,42.56,42.97,42.37,42.57,5465.0,1,0.0
2024-07-23,42.43,43.02,41.9,43.02,3298.0,1,0.0
2024-07-24,43.45,44.77,43.38,44.71,4895.0,1,0.0
2024-07-25,44.76,45.96,44.71,45.32,7184.0,1,0.0
2024-07-26,47.98,50.6,47.71,50.42,9622.0,1,0.0
2024-07-29,50.5,51.17,49.08,49.09,6823.0,1,0.0
2024-07-30,49.21,49.28,47.84,49.14,7892.0,1,0.0
2024-07-31,48.46,49.09,47.36,47.43,7371.0,1,0.0
2024-08-01,47.67,48.5,47.21,48.2,6647.0,1,0.0
2024-08-02,49.01,49.52,48.31,48.8,10287.0,1,0.0
2024-08-05,48.33,48.71,47.2,47.49,7608.0,1,0.0
2024-08-06,47.89,47.94,47.11,47.29,6648.0,1,0.0
2024-08-07,47.36,48.46,46.39,46.43,5406.0,1,0.0
2024-08-08,46.37,47.13,46.15,46.77,5391.0,1,0.0
2024-08-09,46.69,47.64,46.64,46.78,3844.0,1,0.0
2024-08-12,46.73,47.45,46.46,47.05,4768.0,1,0.0
2024-08-13,47.93,49.15,47.78,49.06,5568.0,1,0.0
2024-08-14,49.1,49.28,48.1,48.43,5289.0,1,0.0
2024-08-15,49.41,49.42,48.47,49.06,4503.0,1,0.0
