time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,72.03,73.8,71.54,72.23,754.0,1,0.0
2024-01-03,70.66,71.01,68.56,69.07,1064.0,1,0.0
2024-01-04,67.88,70.84,67.88,70.29,1102.0,1,0.0
2024-01-05,68.62,70.26,68.46,69.37,655.0,2,0.0
2024-01-08,68.68,72.55,67.93,72.55,1142.0,1,0.0
2024-01-09,70.98,73.22,70.98,71.47,1094.0,2,0.0
2024-01-10,71.58,71.83,70.44,71.77,900.0,1,0.0
2024-01-11,70.79,71.82,70.37,71.19,1084.0,2,0.0
2024-01-12,72.0,72.15,70.82,71.15,741.0,2,0.0
2024-01-16,70.62,71.54,69.58,70.85,923.0,1,0.0
2024-01-17,70.23,71.17,69.0,69.63,890.0,1,0.0
2024-01-18,69.9,71.64,69.65,71.41,925.0,1,0.0
2024-01-19,70.37,72.39,70.37,71.87,651.0,1,0.0
2024-01-22,71.89,73.3,71.89,72.78,856.0,2,0.0
2024-01-23,72.46,72.82,71.45,71.94,727.0,1,0.0
2024-01-24,72.15,72.42,70.69,71.5,670.0,1,0.0
2024-01-25,71.32,72.62,71.03,71.54,683.0,1,0.0
2024-01-26,72.62,72.79,71.64,71.92,516.0,3,0.0
2024-01-29,71.65,73.36,70.91,73.11,654.0,1,0.0
2024-01-30,72.56,73.86,72.28,73.25,599.0,1,0.0
2024-01-31,72.88,73.63,71.33,71.57,912.0,2,0.0
2024-02-01,71.42,72.73,70.74,72.43,803.0,2,0.0
2024-02-02,70.43,72.65,70.06,72.22,968.0,2,0.0
2024-02-05,71.67,72.37,70.87,71.73,774.0,1,0.0
2024-02-06,71.51,74.14,70.89,73.91,1432.0,1,0.0
2024-02-07,73.94,74.6,70.29,70.64,1076.0,2,0.0
2024-02-08,69.81,71.25,69.54,70.89,777.0,1,0.0
2024-02-09,70.27,71.45,70.01,70.29,925.0,1,0.0
2024-02-12,69.48,70.53,68.31,70.31,1195.0,2,0.0
2024-02-13,75.32,79.23,74.88,76.83,1946.0,1,0.0
2024-02-14,78.51,80.41,78.07,79.97,1229.0,1,0.0
2024-02-15,79.72,80.34,78.08,80.1,1320.0,1,0.0
2024-02-16,80.04,82.19,79.69,81.77,789.0,1,0.0
2024-02-20,80.96,81.46,79.79,80.9,778.0,2,0.0
2024-02-21,79.86,81.89,79.7,81.84,1219.0,2,0.0
2024-02-22,81.77,83.79,81.11,83.57,1061.0,1,0.0
2024-02-23,82.79,84.83,82.79,84.48,779.0,2,0.0
2024-02-26,83.98,84.69,83.07,83.55,883.0,1,0.0
