time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,70.47,71.44,70.47,70.69,1085.0,1,0.0
2024-01-03,70.5,70.74,69.15,69.39,1472.0,1,0.0
2024-01-04,69.55,70.65,69.55,70.39,1051.0,1,0.0
2024-01-05,70.25,70.49,69.2,69.56,1136.0,1,0.0
2024-01-08,70.95,72.12,70.5,72.11,1269.0,1,0.0
2024-01-09,71.5,71.89,70.68,71.76,1042.0,1,0.0
2024-01-10,71.65,72.93,71.55,72.79,849.0,1,0.0
2024-01-11,72.67,73.0,72.09,72.89,1231.0,1,0.0
2024-01-12,72.77,74.91,72.77,74.34,1214.0,1,0.0
2024-01-16,74.36,74.95,74.04,74.53,1227.0,1,0.0
2024-01-17,74.29,75.35,74.12,74.52,878.0,1,0.0
2024-01-18,73.19,74.28,73.09,74.14,1352.0,1,0.0
2024-01-19,74.48,75.18,74.3,74.8,1179.0,1,0.0
2024-01-22,74.74,75.41,74.6,75.32,1061.0,1,0.0
2024-01-23,78.76,79.31,77.96,78.75,1217.0,1,0.0
2024-01-24,78.88,78.94,77.23,77.5,1237.0,1,0.0
2024-01-25,76.88,77.69,76.01,77.18,1038.0,1,0.0
2024-01-26,76.2,76.97,76.01,76.72,982.0,1,0.0
2024-01-29,76.54,77.19,76.15,77.02,1046.0,1,0.0
2024-01-30,77.08,78.32,77.08,78.17,1257.0,1,0.0
2024-01-31,78.41,78.74,77.36,77.58,1497.0,1,0.0
2024-02-01,76.96,77.87,75.7,77.75,1002.0,1,0.0
2024-02-02,77.85,78.35,77.47,77.73,1135.0,1,0.0
2024-02-05,77.19,77.81,77.06,77.62,988.0,1,0.0
2024-02-06,77.34,78.63,77.16,78.44,1179.0,1,0.0
2024-02-07,78.38,79.4,78.38,78.81,1146.0,1,0.0
2024-02-08,78.5,80.14,78.39,79.87,1245.0,1,0.0
2024-02-09,79.82,80.96,79.41,80.93,961.0,1,0.0
2024-02-12,80.72,81.09,80.19,80.98,1055.0,1,0.0
2024-02-13,80.92,81.47,80.3,80.96,1214.0,1,0.0
2024-02-14,80.59,82.23,80.59,82.08,1018.0,1,0.0
2024-02-15,81.88,82.88,81.88,82.56,1195.0,1,0.0
2024-02-16,82.73,83.28,82.19,82.53,835.0,1,0.0
2024-02-20,81.81,83.14,81.81,82.7,845.0,1,0.0
2024-02-21,82.17,82.93,82.07,82.8,872.0,1,0.0
2024-02-22,83.0,84.22,82.81,84.02,976.0,1,0.0
2024-02-23,83.78,84.33,83.73,84.19,897.0,1,0.0
2024-02-26,84.0,84.62,84.0,84.12,998.0,1,0.0
2024-02-27,83.06,84.19,82.85,84.07,953.0,1,0.0
2024-02-28,84.11,84.85,84.11,84.64,758.0,0,0.0
2024-02-29,84.64,84.82,83.66,84.28,1083.0,1,0.0
2024-03-01,83.45,83.93,83.01,83.84,1179.0,1,0.0
2024-03-04,83.34,84.13,83.0,83.8,911.0,1,0.0
2024-03-05,83.36,84.16,83.21,84.04,905.0,1,0.0
2024-03-06,84.01,85.19,83.73,84.97,1228.0,1,0.0
2024-03-07,84.65,86.52,84.49,85.86,1462.0,1,0.0
2024-03-08,85.04,85.79,84.8,85.22,1144.0,1,0.0
2024-03-11,84.84,85.45,84.58,84.71,963.0,1,0.0
2024-03-12,84.7,86.2,84.62,85.78,1146.0,1,0.0
2024-03-13,85.4,85.65,84.8,85.35,1118.0,1,0.0
2024-03-14,85.14,85.69,84.41,84.77,1044.0,1,0.0
2024-03-15,83.9,85.08,83.88,84.71,1208.0,1,0.0
2024-03-18,84.44,85.46,84.44,84.96,1020.0,1,0.0
2024-03-19,84.59,85.58,84.34,85.41,913.0,1,0.0
2024-03-20,85.79,86.93,85.09,86.51,1236.0,1,0.0
2024-03-21,86.43,86.92,85.87,86.11,1156.0,1,0.0
2024-03-22,86.04,86.58,85.87,85.87,796.0,1,0.0
2024-03-25,85.45,86.11,85.45,85.76,709.0,1,0.0
2024-03-26,85.45,86.53,85.3,86.35,839.0,1,0.0
2024-03-27,86.7,87.31,86.45,87.3,1343.0,1,0.0
2024-03-28,87.43,87.94,87.06,87.36,870.0,1,0.0
2024-04-01,86.73,87.22,86.23,86.36,959.0,1,0.0
2024-04-02,86.01,86.5,85.26,85.38,1074.0,1,0.0
2024-04-03,85.26,86.07,85.26,85.47,1012.0,1,0.0
2024-04-04,85.22,85.87,83.66,83.73,1187.0,1,0.0
2024-04-05,83.94,85.56,83.94,84.99,1031.0,1,0.0
2024-04-08,84.58,86.02,84.35,85.5,836.0,1,0.0
2024-04-09,85.36,85.36,83.7,84.42,1000.0,1,0.0
2024-04-10,83.5,84.26,83.4,83.54,1258.0,1,0.0
2024-04-11,82.56,83.29,82.24,82.69,1209.0,1,0.0
2024-04-12,82.07,82.79,81.47,81.77,1045.0,1,0.0
2024-04-15,82.36,83.0,81.0,81.0,1176.0,1,0.0
2024-04-16,81.05,81.6,80.81,80.82,1167.0,1,0.0
2024-04-17,80.9,81.25,80.21,80.69,1117.0,1,0.0
2024-04-18,81.59,81.82,80.8,80.88,971.0,1,0.0
2024-04-19,81.27,82.08,80.88,81.9,1119.0,1,0.0
2024-04-22,82.46,83.12,82.23,82.35,900.0,1,0.0
2024-04-23,82.34,83.46,81.15,82.91,1010.0,1,0.0
2024-04-24,82.03,82.8,81.69,82.15,883.0,1,0.0
2024-04-25,81.77,82.58,81.26,82.27,956.0,1,0.0
2024-04-26,81.15,81.86,80.68,81.37,975.0,1,0.0
2024-04-29,81.29,81.74,80.78,81.3,733.0,1,0.0
2024-04-30,81.56,82.11,80.94,81.46,1012.0,1,0.0
