time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,27.0,27.69,26.9,27.38,0,0,0
2024-01-03,26.68,26.84,26.09,26.14,0,0,0
2024-01-04,25.2,25.59,24.6,25.21,0,0,0
2024-01-05,25.0,25.96,25.0,25.63,0,0,0
2024-01-08,25.44,26.09,25.38,26.04,0,0,0
2024-01-09,25.55,25.61,25.1,25.58,0,0,0
2024-01-10,25.25,25.75,25.25,25.75,0,0,0
2024-01-11,25.54,25.95,25.28,25.9,0,0,0
2024-01-12,25.92,26.21,25.58,25.71,0,0,0
2024-01-16,25.28,25.85,25.13,25.84,0,0,0
2024-01-17,25.39,25.75,25.25,25.67,0,0,0
2024-01-18,25.69,26.26,25.69,26.25,0,0,0
2024-01-19,26.28,26.28,25.52,25.98,0,0,0
2024-01-22,26.23,26.53,26.01,26.19,0,0,0
2024-01-23,26.35,26.74,26.27,26.7,0,0,0
2024-01-24,27.0,27.01,26.13,26.19,0,0,0
2024-01-25,26.12,26.88,26.12,26.49,0,0,0
2024-01-26,26.74,26.8,26.38,26.67,0,0,0
2024-01-29,26.36,26.98,26.36,26.92,0,0,0
2024-01-30,26.5,26.75,26.3,26.51,0,0,0
2024-01-31,26.25,26.7,25.86,25.97,0,0,0
2024-02-01,25.97,26.58,25.97,26.45,0,0,0
2024-02-02,25.92,26.36,25.65,26.1,0,0,0
2024-02-05,25.79,25.81,25.29,25.66,0,0,0
2024-02-06,25.39,26.22,25.39,25.82,0,0,0
2024-02-07,25.94,26.08,25.68,25.88,0,0,0
2024-02-08,25.91,26.18,25.82,25.93,0,0,0
2024-02-09,25.9,26.73,25.51,26.71,0,0,0
2024-02-12,26.61,27.19,26.5,27.07,0,0,0
2024-02-13,25.68,26.18,25.55,25.93,0,0,0
2024-02-14,26.0,26.51,25.77,26.47,0,0,0
2024-02-15,26.16,26.72,26.03,26.39,0,0,0
2024-02-16,26.0,26.35,25.7,26.05,0,0,0
2024-02-20,25.59,26.05,25.52,26.03,0,0,0
2024-02-21,25.8,26.13,25.8,25.89,0,0,0
2024-02-22,25.89,26.06,25.66,25.72,0,0,0
2024-02-23,25.56,26.25,25.56,26.03,0,0,0
2024-02-26,25.8,26.16,25.42,25.47,0,0,0
2024-02-27,25.66,25.97,25.47,25.6,0,0,0
2024-02-28,25.45,25.95,25.3,25.66,0,0,0
2024-02-29,25.95,27.26,25.9,27.21,0,0,0
2024-03-01,26.4,27.05,26.03,26.57,0,0,0
2024-03-04,26.25,26.35,24.26,24.35,0,0,0
2024-03-05,23.96,25.4,23.96,24.75,0,0,0
2024-03-06,24.68,24.88,24.31,24.72,0,0,0
2024-03-07,24.88,25.49,24.73,25.17,0,0,0
2024-03-08,25.2,25.58,24.75,25.07,0,0,0
2024-03-11,24.9,25.26,24.9,25.12,0,0,0
2024-03-12,23.95,24.63,23.39,23.53,0,0,0
2024-03-13,22.9,23.55,21.61,21.66,0,0,0
2024-03-14,21.39,21.53,20.45,20.73,0,0,0
2024-03-15,20.67,20.99,20.42,20.5,0,0,0
2024-03-18,20.54,20.62,19.91,20.26,0,0,0
2024-03-19,20.3,20.82,20.03,20.69,0,0,0
2024-03-20,20.63,22.07,20.5,21.94,0,0,0
2024-03-21,22.33,22.57,21.8,22.12,0,0,0
2024-03-22,22.03,22.04,21.38,21.48,0,0,0
2024-03-25,21.32,21.71,21.25,21.45,0,0,0
2024-03-26,21.62,21.8,21.26,21.33,0,0,0
2024-03-27,21.62,22.12,21.5,22.05,0,0,0
2024-03-28,22.18,22.85,22.0,22.57,0,0,0
2024-04-01,22.33,22.58,21.92,22.02,0,0,0
2024-04-02,21.54,22.04,21.54,21.61,0,0,0
2024-04-03,21.54,22.17,21.5,22.01,0,0,0
2024-04-04,22.05,22.18,21.2,21.2,0,0,0
2024-04-05,21.12,21.6,21.12,21.26,0,0,0
2024-04-08,21.4,21.54,21.25,21.38,0,0,0
2024-04-09,21.52,21.71,21.35,21.51,0,0,0
2024-04-10,20.8,21.12,20.58,20.75,0,0,0
2024-04-11,20.66,20.96,20.57,20.78,0,0,0
2024-04-12,20.47,20.54,19.94,19.94,0,0,0
