time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,62.0,64.06,62.0,63.62,1138.0,1,0.0
2024-01-03,62.75,62.75,61.4,61.45,977.0,1,0.0
2024-01-04,61.0,62.07,61.0,61.82,1127.0,1,0.0
2024-01-05,60.85,62.58,60.85,62.17,1109.0,1,0.0
2024-01-08,62.31,63.75,62.0,63.44,1083.0,1,0.0
2024-01-09,62.45,62.87,61.88,62.52,1085.0,1,0.0
2024-01-10,62.35,62.62,61.85,62.44,694.0,1,0.0
2024-01-11,62.0,62.71,61.78,62.65,943.0,1,0.0
2024-01-12,62.69,63.06,61.96,62.31,943.0,1,0.0
2024-01-16,61.97,62.95,61.97,62.85,1073.0,1,0.0
2024-01-17,62.0,62.45,61.65,62.08,828.0,1,0.0
2024-01-18,62.16,63.67,62.16,63.57,1279.0,1,0.0
2024-01-19,63.76,64.37,63.35,64.17,1064.0,1,0.0
2024-01-22,64.47,64.83,64.0,64.1,893.0,1,0.0
2024-01-23,64.12,65.24,64.12,64.45,991.0,1,0.0
2024-01-24,65.05,65.07,63.16,63.24,917.0,1,0.0
2024-01-25,63.58,64.08,63.41,63.86,982.0,1,0.0
2024-01-26,63.83,64.47,63.83,64.27,868.0,1,0.0
2024-01-29,64.4,64.73,64.0,64.59,745.0,1,0.0
2024-01-30,64.31,64.77,63.94,64.55,891.0,1,0.0
2024-01-31,64.09,64.73,63.36,63.44,930.0,1,0.0
2024-02-01,63.64,64.56,63.3,64.45,938.0,1,0.0
2024-02-02,63.64,64.5,63.3,64.19,934.0,1,0.0
2024-02-05,63.18,63.89,62.76,63.43,883.0,2,0.0
2024-02-06,63.0,64.56,63.0,63.97,700.0,1,0.0
2024-02-07,63.96,64.29,63.31,63.94,761.0,1,0.0
2024-02-08,64.54,65.77,64.47,65.45,1189.0,1,0.0
2024-02-09,66.03,67.98,64.0,66.93,1349.0,1,0.0
2024-02-12,65.8,66.89,65.2,66.6,1224.0,1,0.0
2024-02-13,64.3,65.37,64.21,64.68,1045.0,1,0.0
2024-02-14,64.52,65.16,64.3,64.74,945.0,1,0.0
2024-02-15,64.64,65.14,64.0,64.67,1270.0,1,0.0
2024-02-16,63.78,64.36,63.31,63.34,945.0,1,0.0
2024-02-20,62.57,62.71,61.8,62.16,1062.0,1,0.0
