time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,517.34,539.93,517.24,536.21,241.0,69,0.0
2024-01-03,534.74,534.74,518.27,521.01,378.0,44,0.0
2024-01-04,518.74,525.04,515.43,520.41,259.0,71,0.0
2024-01-05,517.24,536.53,517.24,531.95,328.0,75,0.0
2024-01-08,530.74,542.93,530.74,536.66,296.0,114,0.0
2024-01-09,534.5,539.08,518.18,532.71,460.0,101,0.0
2024-01-10,533.96,537.4,528.44,535.03,262.0,76,0.0
2024-01-11,522.76,540.02,522.76,533.57,276.0,37,0.0
2024-01-12,525.21,536.64,519.79,522.47,344.0,94,0.0
2024-01-16,518.0,522.38,508.91,518.58,268.0,93,0.0
2024-01-17,503.95,515.87,503.95,515.69,188.0,77,0.0
2024-01-18,508.0,517.64,506.02,516.03,296.0,86,0.0
2024-01-19,511.53,533.08,508.99,529.21,202.0,62,0.0
2024-01-22,530.47,547.22,530.47,535.92,347.0,66,0.0
2024-01-23,534.69,545.25,528.11,542.98,350.0,47,0.0
2024-01-24,533.39,552.2,533.39,547.5,390.0,46,0.0
2024-01-25,542.01,556.42,541.18,550.84,248.0,64,0.0
2024-01-26,543.62,555.49,543.62,548.54,281.0,52,0.0
2024-01-29,541.34,556.45,541.34,554.82,339.0,47,0.0
2024-01-30,538.69,555.79,538.69,551.73,385.0,42,0.0
2024-01-31,541.01,557.16,537.54,540.0,507.0,43,0.0
2024-02-01,566.37,609.49,558.57,575.68,690.0,112,0.0
2024-02-02,564.73,588.64,564.73,579.08,396.0,73,0.0
2024-02-05,566.67,571.85,558.05,562.47,407.0,42,0.0
2024-02-06,545.85,570.94,545.03,554.02,279.0,83,0.0
2024-02-07,544.02,558.14,540.0,551.76,303.0,91,0.0
2024-02-08,539.96,556.59,539.96,551.6,332.0,41,0.0
2024-02-09,548.31,557.46,544.96,550.58,210.0,104,0.0
2024-02-12,549.96,564.84,549.95,558.64,344.0,81,0.0
2024-02-13,544.11,561.0,540.0,552.02,313.0,60,0.0
2024-02-14,555.0,561.92,551.5,556.46,396.0,70,0.0
2024-02-15,551.5,574.52,551.5,564.78,316.0,65,0.0
2024-02-16,562.6,568.85,554.89,557.57,353.0,52,0.0
2024-02-20,545.95,556.48,543.13,550.02,311.0,63,0.0
2024-02-21,538.95,550.48,538.95,545.97,392.0,76,0.0
2024-02-22,548.0,554.02,545.33,547.31,203.0,81,0.0
2024-02-23,549.0,555.1,546.82,549.11,279.0,15,0.0
2024-02-26,546.51,555.63,543.76,543.76,340.0,78,0.0
2024-02-27,541.25,553.0,535.49,550.18,275.0,52,0.0
2024-02-28,542.74,556.25,542.74,546.7,386.0,39,0.0
2024-02-29,545.1,554.66,540.15,552.0,314.0,67,0.0
2024-03-01,547.08,556.4,540.27,549.71,408.0,35,0.0
2024-03-04,539.44,550.2,539.44,544.28,307.0,60,0.0
2024-03-05,530.21,552.02,530.21,546.37,324.0,63,0.0
2024-03-06,540.04,555.42,540.04,547.26,388.0,74,0.0
2024-03-07,547.19,560.29,544.92,558.3,338.0,115,0.0
2024-03-08,554.53,564.32,552.18,554.3,358.0,105,0.0
2024-03-11,552.93,553.95,546.6,547.38,209.0,42,0.0
2024-03-12,547.3,555.61,540.83,554.84,194.0,74,0.0
2024-03-13,554.01,559.89,550.75,553.48,402.0,63,0.0
2024-03-14,553.0,555.24,545.3,547.85,280.0,52,0.0
2024-03-15,542.75,551.8,541.1,546.03,226.0,111,0.0
2024-03-18,542.0,553.2,541.16,545.67,277.0,36,0.0
2024-03-19,541.74,556.29,541.57,553.44,165.0,58,0.0
2024-03-20,550.02,569.15,550.0,560.72,332.0,98,0.0
2024-03-21,564.69,575.42,561.21,563.34,352.0,66,0.0
2024-03-22,559.74,563.5,550.05,551.69,265.0,68,0.0
2024-03-25,543.17,552.92,543.17,547.23,264.0,56,0.0
2024-03-26,549.25,551.41,546.45,548.04,212.0,34,0.0
2024-03-27,553.5,555.38,548.9,550.34,313.0,10,0.0
2024-03-28,548.9,553.89,545.0,548.61,254.0,48,0.0
2024-04-01,545.0,550.79,540.83,543.47,340.0,53,0.0
2024-04-02,529.8,538.2,529.8,536.37,290.0,16,0.0
2024-04-03,535.06,544.17,535.06,540.99,267.0,68,0.0
2024-04-04,543.68,549.0,533.01,533.3,274.0,30,0.0
2024-04-05,528.95,542.72,528.95,540.51,243.0,46,0.0
2024-04-08,544.04,555.09,544.01,554.29,211.0,28,0.0
2024-04-09,553.01,558.66,550.87,556.03,275.0,72,0.0
2024-04-10,542.02,550.64,538.39,542.18,401.0,63,0.0
2024-04-11,545.0,571.86,543.0,571.86,317.0,64,0.0
2024-04-12,564.53,564.53,549.2,551.92,323.0,56,0.0
2024-04-15,554.0,559.42,541.91,547.01,298.0,52,0.0
2024-04-16,535.56,540.1,530.71,535.91,277.0,57,0.0
2024-04-17,533.39,542.28,530.0,530.73,375.0,39,0.0
2024-04-18,528.96,542.6,527.92,533.28,252.0,52,0.0
2024-04-19,528.69,542.75,527.85,535.0,277.0,46,0.0
2024-04-22,531.4,532.76,517.13,519.24,266.0,55,0.0
2024-04-23,517.13,525.66,517.13,521.56,220.0,98,0.0
2024-04-24,518.32,523.2,517.13,519.14,217.0,101,0.0
2024-04-25,515.1,516.44,506.16,513.21,210.0,37,0.0
2024-04-26,517.09,528.5,513.8,524.87,130.0,62,0.0
2024-04-29,524.22,531.5,523.05,525.99,289.0,59,0.0
2024-04-30,517.17,523.46,508.92,509.09,400.0,27,0.0
2024-05-01,489.71,503.76,480.93,489.7,428.0,45,0.0
2024-05-02,481.68,502.23,480.18,499.65,358.0,47,0.0
2024-05-03,501.37,511.41,500.46,504.96,244.0,72,0.0
2024-05-06,502.11,519.25,502.11,518.63,257.0,49,0.0
2024-05-07,521.0,529.39,519.41,526.89,214.0,36,0.0
2024-05-08,516.34,522.0,510.53,511.94,212.0,57,0.0
2024-05-09,506.16,522.71,506.16,521.2,160.0,34,0.0
2024-05-10,514.99,521.24,506.28,509.12,245.0,60,0.0
2024-05-13,515.84,527.4,511.71,515.81,293.0,45,0.0
2024-05-14,516.67,528.68,515.7,523.38,216.0,42,0.0
2024-05-15,525.0,527.4,515.08,517.75,218.0,65,0.0
2024-05-16,512.53,516.61,490.0,495.99,301.0,61,0.0
2024-05-17,488.68,497.71,486.44,494.3,258.0,16,0.0
2024-05-20,490.01,495.05,490.01,492.22,121.0,63,0.0
2024-05-21,492.96,495.2,490.0,491.67,223.0,46,0.0
2024-05-22,490.82,492.63,482.31,484.7,301.0,36,0.0
2024-05-23,480.11,481.22,471.92,474.08,328.0,67,0.0
2024-05-24,473.95,481.36,473.95,478.85,309.0,39,0.0
2024-05-28,479.34,493.0,476.51,484.99,284.0,53,0.0
2024-05-29,477.92,480.97,475.49,475.49,273.0,53,0.0
2024-05-30,479.67,491.0,477.31,484.49,212.0,51,0.0
2024-05-31,484.3,488.56,479.91,487.79,162.0,77,0.0
2024-06-03,490.73,490.73,481.42,485.14,326.0,44,0.0
2024-06-04,485.35,487.8,479.5,487.8,238.0,73,0.0
2024-06-05,480.7,495.4,480.0,493.7,213.0,49,0.0
2024-06-06,484.56,491.34,482.91,482.91,218.0,58,0.0
2024-06-07,479.9,481.17,475.0,477.39,354.0,60,0.0
2024-06-10,479.4,479.4,468.37,472.97,216.0,73,0.0
2024-06-11,466.05,474.7,466.05,470.53,218.0,46,0.0
2024-06-12,473.89,488.6,473.27,479.03,300.0,58,0.0
2024-06-13,477.44,479.4,470.15,472.58,205.0,49,0.0
2024-06-14,464.66,470.2,462.23,469.69,277.0,80,0.0
2024-06-17,470.6,482.2,465.07,480.73,228.0,72,0.0
2024-06-18,473.89,485.4,473.89,481.08,278.0,40,0.0
