time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,56.7,57.32,56.06,56.31,2098.0,1,0.0
2024-01-03,55.4,55.73,54.75,54.92,1801.0,1,0.0
2024-01-04,54.88,56.09,54.67,55.46,9956.0,1,0.0
2024-01-05,55.3,56.16,55.3,55.73,1991.0,1,0.0
2024-01-08,55.95,56.45,55.63,56.4,2086.0,1,0.0
2024-01-09,55.69,56.89,55.6,56.64,2280.0,1,0.0
2024-01-10,56.76,57.06,56.25,56.93,1528.0,1,0.0
2024-01-11,56.9,57.03,56.0,56.88,1910.0,1,0.0
2024-01-12,57.21,57.21,55.9,56.07,1832.0,1,0.0
2024-01-16,55.2,56.02,55.1,55.73,1593.0,1,0.0
2024-01-17,55.3,55.75,54.95,55.04,1506.0,1,0.0
2024-01-18,55.44,55.77,54.82,55.41,1862.0,0,0.0
2024-01-19,55.04,56.03,54.7,55.81,2080.0,1,0.0
2024-01-22,56.12,56.72,55.9,56.21,5221.0,1,0.0
2024-01-23,56.34,56.43,55.55,55.91,5870.0,1,0.0
2024-01-24,56.21,56.21,54.92,54.92,6211.0,1,0.0
2024-01-25,55.72,56.35,55.44,56.3,7098.0,1,0.0
2024-01-26,56.17,56.4,55.25,55.49,7595.0,1,0.0
2024-01-29,55.53,56.26,55.14,56.25,1562.0,1,0.0
2024-01-30,55.89,56.51,55.33,56.22,1499.0,1,0.0
2024-01-31,56.0,56.3,54.65,54.66,2216.0,1,0.0
2024-02-01,55.41,55.67,54.51,55.48,6179.0,1,0.0
2024-02-02,54.77,56.97,54.67,56.78,5842.0,1,0.0
2024-02-05,56.23,57.46,55.92,56.37,6774.0,1,0.0
2024-02-06,54.66,56.01,54.27,54.34,2706.0,1,0.0
2024-02-07,55.1,55.26,53.21,53.84,4914.0,1,0.0
2024-02-08,53.83,55.07,53.5,54.98,2303.0,1,0.0
2024-02-09,54.68,55.99,54.68,55.89,2126.0,0,0.0
2024-02-12,55.79,56.39,55.25,55.96,1885.0,1,0.0
2024-02-13,54.35,54.64,53.29,54.03,2947.0,1,0.0
2024-02-14,54.56,55.1,54.07,54.97,2032.0,1,0.0
2024-02-15,55.22,56.07,55.01,56.02,1826.0,1,0.0
2024-02-16,55.53,55.56,53.85,53.98,2141.0,1,0.0
2024-02-20,53.25,53.71,53.13,53.39,2292.0,1,0.0
2024-02-21,53.56,54.07,53.43,53.79,2228.0,1,0.0
2024-02-22,53.9,54.19,53.35,53.84,2114.0,1,0.0
2024-02-23,53.91,54.54,53.35,54.22,2131.0,1,0.0
2024-02-26,53.9,54.34,53.63,54.0,1722.0,1,0.0
2024-02-27,54.13,55.12,53.91,55.01,2205.0,1,0.0
2024-02-28,55.08,55.6,54.52,54.78,2004.0,1,0.0
2024-02-29,54.88,55.75,54.76,55.55,2506.0,1,0.0
2024-03-01,55.37,56.48,55.29,56.43,2329.0,1,0.0
2024-03-04,56.48,57.52,55.34,57.16,2520.0,1,0.0
2024-03-05,56.66,57.16,56.1,56.63,2593.0,1,0.0
2024-03-06,57.38,58.74,57.32,57.76,2698.0,1,0.0
2024-03-07,58.05,59.67,58.04,59.56,2642.0,1,0.0
2024-03-08,59.79,60.81,58.04,58.06,3284.0,1,0.0
2024-03-11,57.4,57.51,56.44,57.17,2301.0,1,0.0
2024-03-12,57.31,58.17,56.82,57.91,2166.0,0,0.0
2024-03-13,57.95,58.7,57.65,57.83,2003.0,1,0.0
2024-03-14,57.86,58.39,56.72,57.18,2685.0,1,0.0
2024-03-15,56.71,57.72,56.71,56.99,1916.0,1,0.0
2024-03-18,57.44,57.71,56.78,57.02,1589.0,1,0.0
2024-03-19,57.01,58.49,57.01,58.45,1737.0,1,0.0
2024-03-20,58.25,58.81,58.0,58.55,1950.0,1,0.0
2024-03-21,58.91,60.46,58.82,59.89,2030.0,1,0.0
2024-03-22,59.85,59.85,57.87,57.97,1702.0,1,0.0
2024-03-25,57.8,57.85,57.06,57.3,1444.0,1,0.0
2024-03-26,57.29,57.72,57.22,57.46,1386.0,1,0.0
2024-03-27,57.63,57.72,57.01,57.62,1511.0,0,0.0
2024-03-28,57.59,58.21,57.42,58.1,1378.0,1,0.0
2024-04-01,58.01,58.57,57.29,57.39,1546.0,1,0.0
2024-04-02,57.26,57.49,56.77,56.79,1833.0,1,0.0
2024-04-03,56.62,57.53,56.54,56.9,1610.0,1,0.0
2024-04-04,57.51,57.75,55.65,55.94,2150.0,1,0.0
2024-04-05,55.98,57.0,55.8,56.44,1942.0,1,0.0
2024-04-08,57.04,57.95,56.7,57.71,2047.0,1,0.0
