time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,176.51,181.1,174.53,175.86,786.0,10,0.0
2024-01-03,171.56,172.5,165.99,166.0,881.0,8,0.0
2024-01-04,165.1,168.37,165.1,165.51,685.0,9,0.0
2024-01-05,163.45,169.22,163.45,165.47,545.0,11,0.0
2024-01-08,165.48,170.22,163.79,169.77,701.0,5,0.0
2024-01-09,167.25,170.49,166.0,169.53,650.0,11,0.0
2024-01-10,168.72,170.57,168.0,168.92,583.0,0,0.0
2024-01-11,166.41,167.0,162.0,165.92,726.0,8,0.0
2024-01-12,166.36,167.0,159.55,160.0,698.0,5,0.0
2024-01-16,159.6,159.92,156.68,159.12,825.0,7,0.0
2024-01-17,158.01,159.13,157.0,158.77,705.0,3,0.0
2024-01-18,160.64,164.19,160.29,163.35,940.0,9,0.0
2024-01-19,161.31,165.21,159.85,164.15,774.0,6,0.0
2024-01-22,164.35,170.93,164.31,169.53,793.0,8,0.0
2024-01-23,171.53,171.94,165.23,167.48,827.0,8,0.0
2024-01-24,167.9,168.31,165.3,166.53,580.0,11,0.0
2024-01-25,172.17,175.57,170.14,172.86,753.0,3,0.0
2024-01-26,173.29,175.73,171.61,173.84,926.0,4,0.0
2024-01-29,172.0,176.64,172.0,175.07,861.0,3,0.0
2024-01-30,172.66,174.77,169.81,170.9,685.0,9,0.0
2024-01-31,170.12,171.58,163.38,163.62,826.0,10,0.0
2024-02-01,164.8,168.21,161.23,162.53,734.0,7,0.0
2024-02-02,159.0,164.08,157.8,161.56,945.0,10,0.0
2024-02-05,158.25,158.84,154.9,155.4,778.0,6,0.0
2024-02-06,153.0,167.06,153.0,165.1,724.0,10,0.0
2024-02-07,165.23,166.96,162.5,166.14,665.0,7,0.0
2024-02-08,165.49,166.56,161.0,165.46,469.0,6,0.0
2024-02-09,164.2,168.72,164.19,168.42,642.0,5,0.0
2024-02-12,169.64,171.31,167.2,167.89,949.0,6,0.0
2024-02-13,152.17,153.6,128.08,129.78,2072.0,1,0.0
2024-02-14,132.85,133.2,118.96,118.96,2071.0,1,0.0
2024-02-15,119.01,123.35,117.0,120.74,1267.0,1,0.0
2024-02-16,119.9,119.9,112.0,112.0,1198.0,3,0.0
2024-02-20,108.87,110.0,105.91,106.24,1338.0,3,0.0
2024-02-21,104.64,106.82,100.4,101.0,1142.0,2,0.0
2024-02-22,100.3,102.85,99.41,100.0,1311.0,3,0.0
2024-02-23,100.18,107.76,99.63,104.66,1261.0,3,0.0
2024-02-26,102.6,109.03,102.6,106.82,1638.0,2,0.0
2024-02-27,108.18,110.03,105.38,106.96,1109.0,2,0.0
2024-02-28,105.65,108.04,105.65,107.58,1084.0,2,0.0
2024-02-29,107.61,110.28,106.57,108.07,917.0,3,0.0
2024-03-01,107.02,112.17,106.5,110.42,805.0,5,0.0
2024-03-04,110.0,110.2,106.05,106.33,713.0,1,0.0
2024-03-05,105.19,106.03,103.5,104.93,783.0,1,0.0
2024-03-06,106.16,106.43,104.0,104.61,632.0,5,0.0
2024-03-07,105.02,112.41,105.0,111.41,945.0,2,0.0
2024-03-08,113.4,117.39,110.0,111.42,1062.0,3,0.0
2024-03-11,111.04,112.5,110.45,111.4,500.0,6,0.0
2024-03-12,110.85,113.65,109.02,112.88,572.0,2,0.0
2024-03-13,113.51,116.25,111.9,113.03,806.0,6,0.0
2024-03-14,112.7,113.0,106.74,107.45,753.0,5,0.0
2024-03-15,107.07,108.72,106.25,107.32,668.0,6,0.0
2024-03-18,106.02,109.45,104.75,107.67,850.0,4,0.0
2024-03-19,110.55,116.04,110.1,115.23,994.0,3,0.0
2024-03-20,113.9,117.26,113.5,116.44,830.0,5,0.0
2024-03-21,115.97,119.0,115.0,115.0,949.0,5,0.0
2024-03-22,114.88,114.88,112.17,113.55,518.0,3,0.0
2024-03-25,117.25,119.58,116.0,118.23,766.0,4,0.0
2024-03-26,118.53,119.83,116.01,118.4,590.0,5,0.0
2024-03-27,118.99,123.62,118.51,123.27,737.0,3,0.0
2024-03-28,123.81,124.02,121.28,122.48,677.0,3,0.0
2024-04-01,121.01,125.9,120.05,125.4,702.0,5,0.0
2024-04-02,121.73,123.31,120.0,122.21,680.0,9,0.0
2024-04-03,121.33,122.89,119.04,120.99,639.0,7,0.0
2024-04-04,122.2,125.76,119.27,120.04,641.0,5,0.0
2024-04-05,118.46,122.37,118.02,121.3,512.0,7,0.0
2024-04-08,121.48,122.81,119.52,122.02,595.0,4,0.0
2024-04-09,121.96,126.51,121.96,123.37,711.0,1,0.0
2024-04-10,118.74,120.47,118.49,119.73,588.0,4,0.0
2024-04-11,119.23,121.82,117.4,121.0,535.0,6,0.0
2024-04-12,119.6,120.0,113.52,114.65,642.0,4,0.0
2024-04-15,115.17,115.87,111.38,111.38,910.0,5,0.0
2024-04-16,109.69,110.4,107.5,107.82,916.0,1,0.0
2024-04-17,108.11,109.72,105.15,105.15,775.0,6,0.0
2024-04-18,104.0,104.19,100.0,101.86,1250.0,3,0.0
2024-04-19,100.01,103.75,100.01,101.77,1034.0,5,0.0
2024-04-22,101.95,103.18,98.66,101.79,836.0,3,0.0
2024-04-23,100.0,104.22,100.0,102.5,781.0,5,0.0
2024-04-24,101.92,103.63,100.62,103.06,846.0,5,0.0
2024-04-25,100.5,100.5,93.12,99.26,1184.0,4,0.0
2024-04-26,98.72,102.06,98.28,100.1,1054.0,4,0.0
2024-04-29,101.04,105.0,100.8,103.28,890.0,4,0.0
2024-04-30,100.36,100.8,94.7,95.46,996.0,3,0.0
2024-05-01,95.47,97.64,93.75,94.74,1069.0,3,0.0
2024-05-02,110.12,118.3,109.5,113.91,1314.0,6,0.0
2024-05-03,115.33,117.94,111.37,115.39,1046.0,5,0.0
2024-05-06,116.81,121.83,116.6,121.46,759.0,2,0.0
2024-05-07,121.18,123.69,120.4,121.2,671.0,6,0.0
2024-05-08,120.0,121.1,118.53,120.22,602.0,5,0.0
2024-05-09,119.49,122.28,119.2,120.14,811.0,5,0.0
2024-05-10,119.44,119.77,116.81,119.01,647.0,6,0.0
2024-05-13,120.05,126.1,118.85,123.66,984.0,5,0.0
2024-05-14,127.54,131.03,125.5,127.79,973.0,9,0.0
2024-05-15,128.36,129.4,121.19,121.55,612.0,4,0.0
2024-05-16,121.52,122.48,119.75,121.76,932.0,4,0.0
2024-05-17,120.5,121.57,117.03,118.01,831.0,6,0.0
2024-05-20,117.05,119.23,116.53,117.84,528.0,5,0.0
2024-05-21,116.53,117.25,113.18,113.43,579.0,4,0.0
2024-05-22,113.0,115.43,112.89,113.2,529.0,6,0.0
2024-05-23,113.54,113.54,107.67,109.76,720.0,4,0.0
2024-05-24,110.0,111.95,108.2,111.9,553.0,6,0.0
2024-05-28,111.47,113.4,110.0,110.85,495.0,3,0.0
2024-05-29,109.0,110.72,108.84,109.03,458.0,6,0.0
2024-05-30,109.51,112.22,108.99,110.81,618.0,3,0.0
2024-05-31,111.06,113.84,110.2,113.56,602.0,3,0.0
2024-06-03,112.95,114.68,111.6,112.32,569.0,7,0.0
2024-06-04,112.12,112.26,108.28,108.53,583.0,6,0.0
2024-06-05,109.21,111.01,108.49,110.6,651.0,5,0.0
2024-06-06,109.16,110.22,106.0,108.15,621.0,8,0.0
2024-06-07,105.42,109.2,105.25,108.03,729.0,4,0.0
2024-06-10,105.6,108.5,105.0,106.94,604.0,8,0.0
2024-06-11,104.53,105.61,103.53,103.86,689.0,5,0.0
2024-06-12,107.16,113.57,106.81,111.21,1163.0,8,0.0
2024-06-13,110.0,110.0,107.0,108.22,563.0,6,0.0
2024-06-14,106.45,106.45,103.23,104.92,758.0,4,0.0
2024-06-17,104.34,105.83,102.27,105.5,496.0,7,0.0
2024-06-18,105.0,106.49,103.83,103.83,735.0,4,0.0
2024-06-20,103.0,112.61,102.3,111.64,1005.0,6,0.0
2024-06-21,110.47,113.82,109.18,111.91,595.0,9,0.0
2024-06-24,111.56,115.4,111.54,112.64,680.0,2,0.0
2024-06-25,111.03,111.47,108.02,110.47,574.0,3,0.0
2024-06-26,107.74,109.86,107.49,107.84,428.0,7,0.0
2024-06-27,107.53,108.91,105.0,105.52,526.0,6,0.0
2024-06-28,105.5,107.3,102.25,104.46,610.0,7,0.0
2024-07-01,105.18,107.59,100.65,100.95,571.0,10,0.0
2024-07-02,101.5,104.91,101.46,104.91,559.0,7,0.0
2024-07-03,105.59,109.23,105.0,107.26,419.0,8,0.0
2024-07-05,105.25,106.66,104.46,104.82,424.0,5,0.0
2024-07-08,105.2,106.42,101.33,101.33,683.0,3,0.0
2024-07-09,100.17,102.47,99.0,101.65,683.0,3,0.0
2024-07-10,100.54,100.58,98.21,99.01,648.0,6,0.0
2024-07-11,100.59,104.51,100.59,103.41,817.0,1,0.0
2024-07-12,104.08,107.8,103.04,107.18,790.0,4,0.0
2024-07-15,106.02,111.35,104.75,107.84,756.0,8,0.0
2024-07-16,107.97,110.92,107.06,110.26,573.0,6,0.0
2024-07-17,108.83,113.48,108.83,111.97,665.0,2,0.0
2024-07-18,109.91,112.91,108.47,109.05,642.0,7,0.0
2024-07-19,107.0,107.91,101.44,101.85,584.0,5,0.0
2024-07-22,102.1,106.46,99.5,105.61,653.0,4,0.0
2024-07-23,103.14,105.35,103.0,104.19,572.0,2,0.0
2024-07-24,101.47,103.5,97.0,97.0,547.0,6,0.0
2024-07-25,97.1,103.54,96.5,101.56,642.0,6,0.0
2024-07-26,102.63,104.51,100.88,103.95,513.0,7,0.0
2024-07-29,102.5,103.7,99.55,100.44,427.0,9,0.0
2024-07-30,101.23,101.61,96.2,98.79,539.0,7,0.0
2024-07-31,99.0,105.16,98.0,100.9,760.0,10,0.0
2024-08-01,100.69,101.93,93.68,94.55,616.0,6,0.0
2024-08-02,88.0,88.99,84.2,84.2,936.0,1,0.0
2024-08-05,79.21,86.38,79.0,83.42,995.0,1,0.0
2024-08-06,84.41,89.54,82.02,86.22,929.0,10,0.0
2024-08-07,87.13,90.11,83.69,86.71,920.0,4,0.0
2024-08-08,86.26,91.2,86.26,88.86,658.0,6,0.0
2024-08-09,87.41,87.57,84.36,86.91,622.0,7,0.0
2024-08-12,85.5,85.72,82.16,82.8,673.0,6,0.0
2024-08-13,82.25,85.06,82.25,84.25,545.0,4,0.0
2024-08-14,84.63,85.15,82.88,84.0,391.0,7,0.0
2024-08-15,85.79,89.36,85.79,87.43,507.0,12,0.0
2024-08-16,86.41,88.34,86.3,87.28,453.0,3,0.0
2024-08-19,87.6,89.77,87.6,88.37,381.0,3,0.0
2024-08-20,88.0,89.69,87.21,88.84,502.0,5,0.0
2024-08-21,88.76,91.32,87.84,90.86,409.0,8,0.0
2024-08-22,90.0,90.02,84.0,84.04,433.0,4,0.0
2024-08-23,86.04,89.11,85.39,87.91,791.0,6,0.0
2024-08-26,88.5,89.88,87.8,88.56,368.0,6,0.0
2024-08-27,87.0,87.16,85.0,85.99,475.0,4,0.0
2024-08-28,85.32,85.54,81.09,81.09,605.0,5,0.0
2024-08-29,81.33,83.64,81.15,82.39,394.0,6,0.0
2024-08-30,83.0,83.08,81.1,81.76,360.0,6,0.0
2024-09-03,79.5,80.5,75.0,75.0,685.0,3,0.0
2024-09-04,74.13,78.32,74.13,74.59,592.0,2,0.0
2024-09-05,73.88,74.44,71.0,71.0,611.0,3,0.0
2024-09-06,70.55,72.25,68.67,68.88,616.0,4,0.0
2024-09-09,69.07,70.1,66.0,69.53,728.0,9,0.0
2024-09-10,68.35,68.35,65.66,67.43,700.0,5,0.0
2024-09-11,66.62,69.26,66.0,68.92,645.0,5,0.0
2024-09-12,69.34,70.69,67.43,70.13,563.0,4,0.0
