time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,226.66,228.36,225.9,226.98,5747.0,1,0.0
2024-01-03,228.42,229.39,226.12,226.6,5807.0,1,0.0
2024-01-04,228.46,230.12,227.07,227.39,4732.0,1,0.0
2024-01-05,228.43,229.02,226.57,227.52,5070.0,1,0.0
2024-01-08,226.9,227.63,223.32,226.27,6567.0,1,0.0
2024-01-09,225.49,225.49,222.15,225.2,5424.0,1,0.0
2024-01-10,224.69,225.96,223.45,225.02,3417.0,1,0.0
2024-01-11,225.88,228.06,224.64,228.02,5772.0,1,0.0
2024-01-12,228.54,228.54,225.85,227.57,4307.0,2,0.0
2024-01-16,227.02,228.56,225.13,227.54,5839.0,1,0.0
2024-01-17,227.98,231.99,227.44,227.98,6097.0,2,0.0
2024-01-18,226.5,230.11,226.4,230.04,5185.0,1,0.0
2024-01-19,233.66,237.98,233.57,237.23,6513.0,1,0.0
2024-01-22,238.03,240.16,237.64,238.88,5776.0,1,0.0
2024-01-23,239.09,241.32,238.84,240.2,4681.0,1,0.0
2024-01-24,242.86,244.28,241.0,241.47,4075.0,2,0.0
2024-01-25,241.88,242.83,239.1,241.22,5144.0,1,0.0
2024-01-26,240.0,241.47,239.46,241.07,4122.0,1,0.0
2024-01-29,240.3,242.8,239.88,242.65,4584.0,1,0.0
2024-01-30,242.38,243.61,242.0,242.98,5197.0,1,0.0
2024-01-31,246.5,248.47,244.01,244.98,7544.0,1,0.0
2024-02-01,244.0,245.78,242.0,244.75,5670.0,1,0.0
2024-02-02,245.9,248.05,245.02,246.81,6589.0,1,0.0
2024-02-05,245.56,249.48,245.21,248.97,4986.0,1,0.0
2024-02-06,248.58,249.33,246.87,247.76,4397.0,2,0.0
2024-02-07,247.15,248.04,245.62,246.81,4303.0,1,0.0
2024-02-08,245.08,245.92,242.27,244.26,2685.0,2,0.0
2024-02-09,243.6,247.22,242.88,247.16,2524.0,2,0.0
2024-02-12,246.27,249.15,245.95,247.8,3808.0,2,0.0
2024-02-13,248.94,249.72,244.88,246.61,4462.0,1,0.0
2024-02-14,246.11,248.5,245.71,247.95,3597.0,1,0.0
2024-02-15,248.31,251.71,248.0,250.72,3177.0,1,0.0
2024-02-16,250.16,252.46,250.0,250.77,3460.0,1,0.0
2024-02-20,250.0,252.33,250.0,250.34,3869.0,1,0.0
2024-02-21,250.92,252.35,250.09,251.79,3338.0,1,0.0
2024-02-22,251.0,255.66,250.51,255.2,3300.0,2,0.0
2024-02-23,255.34,257.45,254.65,256.2,3351.0,1,0.0
2024-02-26,255.2,257.63,254.34,255.0,2892.0,2,0.0
2024-02-27,253.28,254.86,253.0,254.86,2496.0,1,0.0
2024-02-28,254.15,254.52,253.31,253.46,2559.0,1,0.0
2024-02-29,252.6,253.29,250.33,251.89,3426.0,1,0.0
2024-03-01,250.64,251.65,249.83,250.86,3151.0,1,0.0
2024-03-04,249.49,250.46,248.0,248.35,2974.0,1,0.0
2024-03-05,247.7,249.72,247.7,249.56,3879.0,2,0.0
2024-03-06,249.48,251.06,247.0,250.7,4038.0,1,0.0
2024-03-07,250.0,251.36,248.17,249.02,3146.0,2,0.0
2024-03-08,247.3,249.67,246.67,248.84,3425.0,2,0.0
2024-03-11,248.7,255.85,248.0,255.01,3451.0,1,0.0
2024-03-12,254.38,258.13,253.53,257.86,3421.0,1,0.0
2024-03-13,258.26,260.58,257.1,260.39,3839.0,2,0.0
2024-03-14,257.53,258.12,255.03,257.55,4397.0,3,0.0
2024-03-15,256.6,258.04,255.22,255.99,3240.0,1,0.0
2024-03-18,255.44,258.25,255.07,257.45,2777.0,1,0.0
2024-03-19,257.16,259.62,257.04,258.46,2817.0,1,0.0
2024-03-20,257.04,259.97,257.0,258.45,2728.0,2,0.0
2024-03-21,257.54,257.82,255.53,256.07,2930.0,1,0.0
2024-03-22,256.31,257.1,255.38,255.69,2599.0,1,0.0
2024-03-25,255.5,256.63,255.0,255.29,2598.0,1,0.0
2024-03-26,254.53,257.51,254.53,255.93,3218.0,1,0.0
2024-03-27,256.0,258.34,256.0,258.07,3309.0,1,0.0
2024-03-28,257.98,259.89,257.2,259.53,2952.0,2,0.0
2024-04-01,258.53,258.86,256.01,257.55,2993.0,1,0.0
2024-04-02,257.88,257.93,256.01,256.14,2931.0,1,0.0
2024-04-03,255.57,256.93,254.44,254.92,3273.0,1,0.0
2024-04-04,254.0,257.01,252.0,252.12,3895.0,1,0.0
2024-04-05,252.49,254.49,252.33,252.95,3608.0,1,0.0
