time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,114.34,116.98,114.02,116.56,4260.0,1,0.0
2024-01-03,115.0,115.69,113.5,113.63,3552.0,1,0.0
2024-01-04,112.75,114.91,112.75,114.02,3465.0,1,0.0
2024-01-05,112.75,114.76,112.54,113.89,4202.0,1,0.0
2024-01-08,112.76,115.49,112.51,114.7,3691.0,1,0.0
2024-01-09,113.25,114.43,113.0,113.68,3082.0,1,0.0
2024-01-10,113.09,114.21,113.0,113.35,4356.0,1,0.0
2024-01-11,112.67,113.21,111.55,112.75,5452.0,1,0.0
2024-01-12,112.83,114.42,112.54,112.72,3007.0,1,0.0
2024-01-16,111.69,112.72,110.55,110.77,2853.0,1,0.0
2024-01-17,109.0,110.85,107.3,108.46,3551.0,1,0.0
2024-01-18,108.5,109.38,107.35,107.7,2683.0,1,0.0
2024-01-19,107.8,108.88,106.88,107.88,3704.0,1,0.0
2024-01-22,108.37,110.07,107.97,108.77,3711.0,1,0.0
2024-01-23,109.0,109.91,107.8,107.9,2160.0,1,0.0
2024-01-24,108.39,108.77,105.41,105.5,3137.0,1,0.0
2024-01-25,109.53,110.94,108.09,110.77,4159.0,1,0.0
2024-01-26,110.34,110.67,108.27,108.51,3952.0,1,0.0
2024-01-29,108.11,109.04,106.9,108.81,2987.0,1,0.0
2024-01-30,107.72,108.79,107.5,107.88,3743.0,1,0.0
2024-01-31,107.77,110.61,107.1,108.39,4123.0,1,0.0
2024-02-01,107.98,110.97,107.6,110.94,4088.0,1,0.0
2024-02-02,109.05,109.5,105.88,108.22,5349.0,1,0.0
2024-02-05,106.38,106.64,104.94,105.76,4483.0,1,0.0
2024-02-06,105.1,107.79,105.01,107.55,4757.0,1,0.0
2024-02-07,107.31,107.8,106.51,106.78,4417.0,1,0.0
2024-02-08,106.33,107.34,105.93,107.33,3092.0,1,0.0
2024-02-09,107.61,108.51,106.75,108.35,3328.0,1,0.0
2024-02-12,108.41,109.04,107.84,108.06,3861.0,1,0.0
2024-02-13,104.81,105.5,103.39,105.25,4705.0,1,0.0
2024-02-14,104.8,106.3,104.67,105.82,3754.0,2,0.0
2024-02-15,106.72,108.4,106.72,107.88,3660.0,1,0.0
2024-02-16,106.32,108.21,105.74,108.14,3926.0,0,0.0
2024-02-20,107.25,110.35,107.25,108.77,4330.0,1,0.0
2024-02-21,108.43,109.0,106.95,107.61,4143.0,1,0.0
2024-02-22,107.25,107.99,106.2,107.68,3012.0,1,0.0
2024-02-23,107.1,109.24,107.0,108.69,3348.0,1,0.0
2024-02-26,107.31,108.64,105.35,105.97,3610.0,1,0.0
2024-02-27,106.19,106.95,104.15,105.7,3559.0,1,0.0
2024-02-28,105.29,109.17,105.24,108.54,3965.0,1,0.0
2024-02-29,109.5,110.81,109.27,110.12,2928.0,1,0.0
2024-03-01,108.58,111.17,108.0,111.17,3622.0,1,0.0
2024-03-04,111.25,113.19,110.75,112.7,2997.0,2,0.0
2024-03-05,112.94,114.63,111.14,111.61,3686.0,1,0.0
2024-03-06,111.69,112.27,110.56,112.08,3605.0,1,0.0
2024-03-07,112.25,112.68,110.81,111.6,2148.0,1,0.0
2024-03-08,112.36,113.92,112.14,112.9,3229.0,2,0.0
2024-03-11,112.0,112.83,111.39,112.29,2521.0,0,0.0
