time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,90.07,92.43,90.07,91.73,858.0,1,0.0
2024-01-03,90.03,90.94,89.0,90.05,1071.0,2,0.0
2024-01-04,89.37,90.62,88.52,90.07,953.0,1,0.0
2024-01-05,89.15,91.47,89.0,91.09,990.0,2,0.0
2024-01-08,90.45,92.05,90.02,92.05,1054.0,1,0.0
2024-01-09,90.5,92.0,90.11,91.78,855.0,1,0.0
2024-01-10,90.7,92.01,90.11,91.62,859.0,2,0.0
2024-01-11,90.87,91.76,90.11,91.1,914.0,1,0.0
2024-01-12,91.2,92.22,90.19,90.66,722.0,1,0.0
2024-01-16,89.41,90.66,88.75,90.52,937.0,1,0.0
2024-01-17,89.35,90.2,89.07,89.37,942.0,1,0.0
2024-01-18,89.34,89.87,88.52,89.21,901.0,1,0.0
2024-01-19,88.28,90.8,87.99,90.6,1095.0,1,0.0
2024-01-22,90.37,91.12,90.04,90.6,807.0,1,0.0
2024-01-23,90.84,91.75,90.29,90.98,865.0,1,0.0
2024-01-24,91.04,91.59,89.72,89.94,1053.0,1,0.0
2024-01-25,90.46,91.36,89.87,90.34,903.0,1,0.0
2024-01-26,90.47,91.27,89.99,90.87,663.0,2,0.0
2024-01-29,90.36,90.64,89.29,90.49,836.0,1,0.0
2024-01-30,89.68,90.98,89.4,90.76,768.0,1,0.0
2024-01-31,90.3,90.95,88.33,88.49,1249.0,1,0.0
2024-02-01,88.94,90.11,87.99,89.63,1285.0,1,0.0
2024-02-02,87.69,89.2,86.98,88.82,1213.0,1,0.0
2024-02-05,87.19,88.44,86.39,88.1,1069.0,1,0.0
2024-02-06,68.14,77.48,68.14,76.56,2169.0,1,0.0
2024-02-07,78.0,78.0,74.52,74.52,1614.0,1,0.0
2024-02-08,74.66,75.36,73.78,74.29,1141.0,1,0.0
2024-02-09,74.33,75.22,73.24,74.69,1042.0,1,0.0
2024-02-12,74.74,76.05,74.7,75.48,1186.0,1,0.0
2024-02-13,74.27,74.55,73.2,73.59,1113.0,1,0.0
2024-02-14,73.73,74.09,72.55,73.49,1210.0,1,0.0
2024-02-15,73.19,73.81,71.61,71.66,1241.0,1,0.0
2024-02-16,71.2,72.22,70.75,72.08,1431.0,1,0.0
2024-02-20,71.46,73.72,71.46,72.96,1106.0,1,0.0
2024-02-21,73.11,75.1,72.61,74.97,1199.0,1,0.0
2024-02-22,75.05,77.02,75.05,76.76,919.0,1,0.0
2024-02-23,77.17,77.61,76.3,76.96,921.0,1,0.0
2024-02-26,76.06,77.59,75.75,75.97,728.0,1,0.0
2024-02-27,75.8,77.66,75.76,77.58,959.0,1,0.0
2024-02-28,76.93,77.58,74.75,75.03,1271.0,1,0.0
2024-02-29,75.21,76.78,74.85,76.56,1155.0,1,0.0
2024-03-01,75.73,76.94,75.12,76.37,855.0,1,0.0
2024-03-04,76.22,76.64,75.63,75.87,1173.0,1,0.0
2024-03-05,75.29,75.95,74.19,74.57,1359.0,1,0.0
2024-03-06,75.01,76.4,74.84,75.86,1374.0,1,0.0
2024-03-07,76.19,77.88,75.89,77.69,1174.0,1,0.0
2024-03-08,78.01,78.78,77.77,78.01,1292.0,1,0.0
2024-03-11,77.53,78.91,77.53,78.16,960.0,1,0.0
2024-03-12,78.28,78.43,77.39,77.86,1053.0,2,0.0
2024-03-13,77.74,78.57,77.38,77.93,820.0,1,0.0
2024-03-14,77.18,77.98,76.69,77.13,893.0,1,0.0
2024-03-15,77.68,78.54,76.81,77.65,1067.0,1,0.0
2024-03-18,77.73,77.77,76.69,77.38,1136.0,1,0.0
2024-03-19,77.0,77.98,76.88,77.37,1271.0,1,0.0
2024-03-20,76.88,77.68,76.69,77.22,1138.0,1,0.0
2024-03-21,77.29,77.74,76.98,77.6,846.0,2,0.0
2024-03-22,77.63,78.02,77.04,77.48,943.0,2,0.0
2024-03-25,77.97,78.22,77.23,77.34,785.0,2,0.0
2024-03-26,77.55,78.0,77.17,77.47,838.0,1,0.0
2024-03-27,77.1,78.46,76.5,78.43,1075.0,1,0.0
2024-03-28,78.37,79.31,78.28,79.15,787.0,1,0.0
2024-04-01,78.63,79.45,78.35,79.4,726.0,1,0.0
2024-04-02,78.47,78.97,77.83,78.08,768.0,1,0.0
2024-04-03,77.79,78.26,76.74,77.32,839.0,1,0.0
2024-04-04,77.25,78.71,77.24,77.47,851.0,1,0.0
2024-04-05,76.98,78.0,76.88,77.23,992.0,1,0.0
2024-04-08,77.55,77.57,76.57,76.91,744.0,1,0.0
2024-04-09,76.87,80.52,76.63,80.42,1197.0,1,0.0
2024-04-10,78.57,79.65,77.98,79.52,1128.0,1,0.0
2024-04-11,78.65,79.88,78.65,79.52,953.0,1,0.0
2024-04-12,78.54,79.22,76.71,77.23,954.0,1,0.0
2024-04-15,78.0,78.46,75.28,76.17,1077.0,1,0.0
2024-04-16,76.12,77.41,75.17,77.02,1591.0,1,0.0
2024-04-17,76.37,76.96,75.92,76.4,1023.0,1,0.0
2024-04-18,76.26,77.04,75.75,76.97,758.0,1,0.0
2024-04-19,76.21,77.79,76.0,77.64,956.0,1,0.0
2024-04-22,77.6,79.64,76.6,79.24,1091.0,1,0.0
2024-04-23,78.78,80.5,78.43,78.47,928.0,1,0.0
2024-04-24,78.0,79.15,77.71,78.91,931.0,1,0.0
2024-04-25,78.8,79.94,77.71,79.57,1187.0,1,0.0
2024-04-26,80.78,81.1,79.9,80.66,1015.0,1,0.0
2024-04-29,80.95,81.87,80.72,80.78,1254.0,1,0.0
2024-04-30,84.23,85.43,81.78,81.92,1325.0,1,0.0
2024-05-01,82.13,84.35,81.52,83.01,1712.0,1,0.0
2024-05-02,83.03,83.41,82.09,82.26,1012.0,1,0.0
2024-05-03,82.54,83.18,81.68,82.39,1058.0,1,0.0
2024-05-06,82.83,83.74,82.57,83.28,878.0,1,0.0
2024-05-07,82.97,84.08,82.97,83.78,1047.0,1,0.0
2024-05-08,83.1,84.13,82.7,84.1,802.0,1,0.0
2024-05-09,83.68,84.43,83.31,83.65,629.0,1,0.0
2024-05-10,83.37,84.25,82.78,84.04,694.0,1,0.0
2024-05-13,83.95,84.53,83.33,83.95,632.0,1,0.0
2024-05-14,84.24,84.83,83.94,84.65,809.0,1,0.0
2024-05-15,84.55,85.06,83.98,84.28,744.0,1,0.0
2024-05-16,83.71,85.46,83.57,85.43,853.0,1,0.0
2024-05-17,85.15,85.29,84.5,84.82,610.0,1,0.0
2024-05-20,84.39,85.45,84.39,84.94,541.0,1,0.0
2024-05-21,84.94,85.8,84.73,85.62,598.0,1,0.0
2024-05-22,85.06,85.34,84.35,84.67,477.0,1,0.0
2024-05-23,84.35,84.35,82.65,83.32,722.0,1,0.0
2024-05-24,83.47,84.0,83.12,83.49,602.0,1,0.0
2024-05-28,83.3,83.48,81.95,82.43,761.0,2,0.0
2024-05-29,81.63,82.42,81.53,82.41,623.0,2,0.0
2024-05-30,81.77,83.41,81.66,83.25,669.0,1,0.0
2024-05-31,82.97,84.09,82.83,83.98,652.0,2,0.0
2024-06-03,83.51,84.08,82.83,83.37,774.0,1,0.0
2024-06-04,82.81,83.27,81.91,82.25,632.0,1,0.0
2024-06-05,81.81,82.53,80.95,82.42,718.0,1,0.0
2024-06-06,81.63,82.76,81.63,82.19,505.0,1,0.0
2024-06-07,81.45,82.26,81.42,81.92,556.0,1,0.0
2024-06-10,81.37,82.7,80.5,82.39,661.0,2,0.0
2024-06-11,81.71,81.71,80.09,80.32,605.0,1,0.0
2024-06-12,80.61,81.49,79.34,79.81,803.0,1,0.0
2024-06-13,79.41,80.05,78.64,79.16,733.0,1,0.0
2024-06-14,78.26,78.47,77.5,77.85,754.0,1,0.0
2024-06-17,77.57,78.46,77.57,78.08,659.0,2,0.0
2024-06-18,77.57,78.47,76.16,76.33,790.0,1,0.0
2024-06-20,76.27,78.07,76.27,77.05,725.0,1,0.0
2024-06-21,76.58,78.39,76.57,77.36,818.0,1,0.0
2024-06-24,76.91,79.71,76.91,79.18,883.0,2,0.0
2024-06-25,78.69,79.03,77.44,78.51,776.0,2,0.0
2024-06-26,77.66,77.85,76.78,77.28,605.0,1,0.0
2024-06-27,76.86,76.86,75.7,76.48,893.0,1,0.0
2024-06-28,75.91,76.41,73.41,74.27,853.0,1,0.0
2024-07-01,74.28,74.62,72.66,73.11,724.0,1,0.0
2024-07-02,72.73,73.25,72.03,73.21,711.0,1,0.0
2024-07-03,72.71,73.94,72.35,72.63,431.0,2,0.0
2024-07-05,71.56,72.15,70.74,71.7,788.0,2,0.0
