time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,152.75,155.58,152.3,154.57,1203.0,4,0.0
2024-01-03,151.51,152.31,148.0,150.22,1261.0,4,0.0
2024-01-04,149.43,151.64,148.25,149.81,1000.0,3,0.0
2024-01-05,149.12,152.2,147.56,149.9,978.0,3,0.0
2024-01-08,148.67,149.73,148.01,149.03,929.0,4,0.0
2024-01-09,147.63,148.39,145.48,147.25,828.0,3,0.0
2024-01-10,145.61,149.65,145.5,148.97,987.0,3,0.0
2024-01-11,147.5,148.81,145.79,147.36,880.0,1,0.0
2024-01-12,148.64,148.75,145.18,147.31,714.0,4,0.0
2024-01-16,143.89,145.0,142.1,144.14,954.0,2,0.0
2024-01-17,140.6,143.22,140.6,142.71,751.0,3,0.0
2024-01-18,142.44,145.72,142.21,145.34,864.0,3,0.0
2024-01-19,144.75,145.85,142.92,144.97,1054.0,4,0.0
2024-01-22,144.2,146.54,144.1,145.41,847.0,2,0.0
2024-01-23,145.92,147.69,145.12,146.08,812.0,2,0.0
2024-01-24,144.53,146.76,142.9,142.94,944.0,3,0.0
2024-01-25,144.68,145.31,142.75,144.82,883.0,2,0.0
2024-01-26,145.38,146.36,145.0,146.02,733.0,2,0.0
2024-01-29,145.0,147.5,143.21,147.16,753.0,2,0.0
2024-01-30,146.44,150.87,146.44,150.05,824.0,1,0.0
2024-01-31,149.47,151.2,145.74,146.19,1089.0,3,0.0
2024-02-01,146.45,147.72,143.48,147.71,886.0,2,0.0
2024-02-02,143.62,147.33,142.75,146.44,901.0,5,0.0
2024-02-05,143.88,145.52,143.13,144.32,1002.0,3,0.0
2024-02-06,144.4,149.59,143.25,147.62,955.0,1,0.0
2024-02-07,147.22,149.21,146.25,148.74,808.0,4,0.0
2024-02-08,148.74,149.6,146.46,148.69,823.0,3,0.0
2024-02-09,147.28,148.93,146.46,148.65,654.0,5,0.0
2024-02-12,151.31,153.08,149.09,151.44,727.0,3,0.0
2024-02-13,145.94,147.22,143.34,145.55,1191.0,5,0.0
2024-02-14,146.27,148.96,145.31,147.95,821.0,3,0.0
2024-02-15,149.27,152.43,148.85,151.84,785.0,4,0.0
2024-02-16,150.64,152.9,149.44,150.97,750.0,2,0.0
2024-02-20,146.44,150.9,145.96,149.37,1130.0,2,0.0
2024-02-21,139.84,152.54,137.63,150.16,1273.0,2,0.0
2024-02-22,149.92,150.44,147.52,149.43,1116.0,2,0.0
2024-02-23,150.31,151.21,148.18,149.32,1119.0,1,0.0
2024-02-26,148.31,150.39,147.21,149.93,1157.0,2,0.0
2024-02-27,150.25,151.05,148.65,149.31,784.0,1,0.0
2024-02-28,148.0,150.53,146.44,149.35,771.0,1,0.0
2024-02-29,149.16,152.38,149.07,152.09,951.0,3,0.0
2024-03-01,151.05,153.49,150.35,153.26,800.0,3,0.0
2024-03-04,152.85,156.43,152.37,154.56,999.0,1,0.0
2024-03-05,152.36,154.36,150.79,151.8,892.0,3,0.0
2024-03-06,152.71,153.27,150.16,151.27,934.0,2,0.0
2024-03-07,153.25,158.56,153.25,156.48,861.0,2,0.0
2024-03-08,157.03,157.51,154.52,155.33,711.0,2,0.0
2024-03-11,155.39,157.93,154.45,157.57,707.0,0,0.0
2024-03-12,157.38,158.09,154.6,156.36,827.0,4,0.0
2024-03-13,155.95,158.47,155.52,157.44,801.0,6,0.0
2024-03-14,156.93,159.08,155.98,157.56,1103.0,0,0.0
2024-03-15,156.8,160.32,156.8,159.55,1201.0,3,0.0
2024-03-18,160.8,163.6,160.06,162.2,1227.0,3,0.0
2024-03-19,161.3,162.67,160.08,161.96,949.0,3,0.0
2024-03-20,160.67,166.14,160.6,165.7,1017.0,2,0.0
2024-03-21,165.45,168.39,164.65,168.03,835.0,3,0.0
2024-03-22,168.19,169.13,165.4,165.53,852.0,1,0.0
2024-03-25,165.11,168.44,165.11,167.76,583.0,2,0.0
2024-03-26,168.04,169.49,165.94,166.26,748.0,2,0.0
2024-03-27,166.75,169.52,166.75,169.07,741.0,2,0.0
2024-03-28,169.65,172.09,169.65,171.58,892.0,2,0.0
2024-04-01,171.19,171.63,169.81,170.76,726.0,3,0.0
2024-04-02,169.69,169.69,167.57,169.0,967.0,2,0.0
2024-04-03,168.19,171.57,168.0,171.49,736.0,3,0.0
2024-04-04,168.0,170.9,163.0,163.0,1027.0,3,0.0
2024-04-05,161.9,163.33,159.71,162.61,1097.0,3,0.0
2024-04-08,162.46,165.11,162.2,164.89,932.0,1,0.0
2024-04-09,165.72,166.65,164.29,165.93,843.0,3,0.0
2024-04-10,160.75,163.27,158.32,160.16,964.0,4,0.0
2024-04-11,158.97,161.75,158.31,160.4,811.0,5,0.0
2024-04-12,157.28,158.52,154.52,155.64,769.0,1,0.0
2024-04-15,157.51,157.88,153.77,155.17,681.0,6,0.0
2024-04-16,153.38,155.71,152.41,154.76,1021.0,3,0.0
2024-04-17,155.35,156.75,153.36,154.43,882.0,5,0.0
2024-04-18,154.47,155.66,153.0,154.02,673.0,3,0.0
2024-04-19,153.96,156.6,153.21,154.11,1271.0,2,0.0
2024-04-22,153.5,156.44,152.06,154.77,919.0,3,0.0
2024-04-23,152.74,156.76,151.95,155.68,634.0,1,0.0
2024-04-24,154.69,156.12,153.8,155.16,770.0,1,0.0
2024-04-25,153.75,154.3,151.44,153.7,750.0,3,0.0
2024-04-26,153.28,155.6,151.96,154.24,781.0,1,0.0
2024-04-29,154.74,157.45,154.42,157.45,784.0,3,0.0
2024-04-30,155.51,156.78,153.26,153.28,694.0,2,0.0
2024-05-01,153.43,157.67,153.0,154.28,1245.0,2,0.0
2024-05-02,154.58,157.47,153.03,155.7,837.0,4,0.0
2024-05-03,157.61,159.11,156.4,156.82,719.0,5,0.0
2024-05-06,157.24,158.9,155.68,158.56,598.0,4,0.0
2024-05-07,158.89,163.71,158.89,162.25,2768.0,3,0.0
2024-05-08,161.5,163.5,159.9,163.18,1127.0,2,0.0
2024-05-09,165.57,165.57,157.85,161.35,1047.0,4,0.0
2024-05-10,160.58,160.87,156.49,156.69,651.0,4,0.0
2024-05-13,157.55,160.45,156.51,159.77,664.0,3,0.0
2024-05-14,159.94,160.98,158.29,159.57,740.0,1,0.0
2024-05-15,159.93,160.54,157.45,158.79,818.0,3,0.0
2024-05-16,157.56,157.58,155.07,155.59,648.0,4,0.0
2024-05-17,155.47,157.6,155.24,157.17,631.0,4,0.0
2024-05-20,156.51,157.2,154.58,156.21,636.0,3,0.0
2024-05-21,154.86,156.28,154.58,155.51,477.0,3,0.0
2024-05-22,153.58,154.31,151.56,152.59,805.0,3,0.0
