time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,106.09,110.08,105.81,108.43,526.0,6,0.0
2024-01-03,106.0,107.22,104.1,104.84,631.0,1,0.0
2024-01-04,104.1,106.78,104.1,105.72,645.0,2,0.0
2024-01-05,104.5,108.24,104.5,107.43,446.0,5,0.0
2024-01-08,106.21,108.49,105.98,108.29,465.0,4,0.0
2024-01-09,106.14,106.67,105.35,106.14,484.0,5,0.0
2024-01-10,104.1,106.72,104.1,106.4,569.0,1,0.0
2024-01-11,105.26,106.28,104.28,105.37,485.0,3,0.0
2024-01-12,105.18,105.86,103.28,104.8,413.0,4,0.0
2024-01-16,103.0,103.63,102.26,102.51,467.0,2,0.0
2024-01-17,100.12,102.98,100.0,102.06,469.0,3,0.0
2024-01-18,101.8,104.0,101.29,103.98,740.0,2,0.0
2024-01-19,102.88,105.96,102.3,105.65,542.0,1,0.0
2024-01-22,105.73,108.21,105.73,107.9,552.0,1,0.0
2024-01-23,108.04,108.5,106.27,107.51,579.0,1,0.0
2024-01-24,107.29,109.64,106.89,108.54,713.0,1,0.0
2024-01-25,107.64,112.76,106.54,108.87,779.0,4,0.0
2024-01-26,108.39,109.7,106.47,107.27,871.0,1,0.0
2024-01-29,107.0,108.53,106.47,108.51,1048.0,2,0.0
2024-01-30,107.34,109.58,107.28,108.99,568.0,2,0.0
2024-01-31,105.57,108.46,105.0,106.12,770.0,3,0.0
2024-02-01,106.0,106.27,99.17,103.5,797.0,3,0.0
2024-02-02,101.21,104.66,101.21,103.82,1062.0,5,0.0
2024-02-05,102.18,103.64,101.85,102.66,545.0,7,0.0
2024-02-06,101.53,103.58,100.88,101.31,643.0,3,0.0
2024-02-07,100.83,102.74,99.11,100.98,583.0,5,0.0
2024-02-08,100.0,101.8,100.0,101.21,435.0,5,0.0
2024-02-09,101.01,103.69,100.0,103.05,650.0,5,0.0
2024-02-12,102.96,106.94,102.28,105.73,765.0,3,0.0
2024-02-13,102.6,105.08,102.0,104.68,1037.0,1,0.0
2024-02-14,105.39,106.35,103.78,105.92,672.0,3,0.0
2024-02-15,106.48,109.8,106.12,108.93,942.0,3,0.0
2024-02-16,107.01,110.42,106.74,108.74,715.0,1,0.0
2024-02-20,107.35,108.6,106.31,108.01,718.0,1,0.0
2024-02-21,105.46,107.63,105.46,107.26,552.0,4,0.0
2024-02-22,106.83,108.37,105.67,107.37,717.0,3,0.0
2024-02-23,106.99,108.51,105.54,107.14,681.0,2,0.0
2024-02-26,106.45,108.37,105.54,107.54,701.0,4,0.0
2024-02-27,107.29,109.45,106.28,109.14,597.0,2,0.0
2024-02-28,106.93,108.46,106.18,106.75,586.0,3,0.0
2024-02-29,107.3,109.05,106.87,108.36,589.0,2,0.0
2024-03-01,106.79,108.06,105.0,107.76,941.0,1,0.0
2024-03-04,110.6,112.65,108.8,109.31,1092.0,2,0.0
2024-03-05,109.0,114.28,109.0,113.39,961.0,2,0.0
2024-03-06,108.57,112.16,108.0,110.48,1039.0,6,0.0
2024-03-07,110.77,112.31,109.28,109.63,530.0,4,0.0
2024-03-08,109.66,110.25,108.21,108.62,752.0,2,0.0
2024-03-11,107.5,108.5,106.96,107.18,459.0,4,0.0
2024-03-12,106.57,108.21,106.0,107.71,625.0,2,0.0
2024-03-13,107.29,108.82,107.23,107.58,520.0,4,0.0
2024-03-14,106.25,107.03,104.28,105.26,755.0,0,0.0
2024-03-15,105.56,106.93,105.15,105.77,461.0,4,0.0
2024-03-18,105.55,106.54,104.88,105.56,566.0,1,0.0
2024-03-19,104.85,106.61,104.28,105.69,488.0,2,0.0
2024-03-20,104.45,107.88,104.31,106.54,587.0,5,0.0
2024-03-21,107.49,109.02,107.32,108.09,555.0,3,0.0
2024-03-22,108.14,108.14,105.81,106.3,379.0,6,0.0
2024-03-25,105.85,107.13,105.48,106.65,318.0,3,0.0
2024-03-26,106.75,107.34,106.35,106.65,415.0,3,0.0
2024-03-27,107.06,111.09,106.76,110.86,807.0,3,0.0
2024-03-28,110.28,112.65,110.28,112.62,536.0,1,0.0
2024-04-01,112.21,112.21,109.72,111.89,654.0,4,0.0
2024-04-02,110.75,111.34,109.18,110.05,567.0,4,0.0
2024-04-03,109.93,110.63,108.82,109.79,572.0,4,0.0
2024-04-04,111.53,112.34,109.94,109.94,577.0,5,0.0
2024-04-05,109.45,110.58,109.45,110.13,560.0,2,0.0
2024-04-08,110.68,112.31,109.83,111.82,673.0,2,0.0
2024-04-09,111.76,112.85,111.22,111.56,523.0,3,0.0
2024-04-10,107.26,110.01,107.26,109.63,865.0,4,0.0
2024-04-11,109.14,109.85,106.3,109.36,755.0,3,0.0
2024-04-12,106.56,108.63,106.56,108.0,708.0,3,0.0
2024-04-15,108.03,108.99,107.13,107.86,793.0,1,0.0
2024-04-16,106.85,108.02,106.0,107.34,734.0,3,0.0
2024-04-17,107.6,109.2,107.04,107.3,641.0,1,0.0
2024-04-18,106.85,108.95,106.05,108.81,484.0,1,0.0
2024-04-19,108.08,111.49,107.64,111.2,606.0,3,0.0
2024-04-22,110.99,113.71,109.78,112.83,520.0,2,0.0
2024-04-23,111.66,115.18,111.66,114.03,555.0,2,0.0
2024-04-24,112.74,116.94,112.0,116.6,637.0,3,0.0
2024-04-25,114.54,115.0,106.36,110.3,912.0,4,0.0
2024-04-26,109.5,111.12,106.98,107.06,600.0,3,0.0
2024-04-29,107.45,107.65,105.13,105.33,653.0,6,0.0
2024-04-30,104.09,105.35,103.95,104.05,515.0,5,0.0
2024-05-01,105.05,106.96,104.06,104.93,852.0,3,0.0
2024-05-02,105.46,106.55,104.8,106.16,656.0,5,0.0
2024-05-03,107.03,107.52,104.75,105.46,948.0,3,0.0
2024-05-06,106.25,106.53,104.76,105.25,809.0,5,0.0
2024-05-07,105.37,107.24,105.06,105.87,586.0,4,0.0
2024-05-08,105.06,107.13,104.3,106.72,378.0,4,0.0
2024-05-09,106.5,107.7,106.5,106.88,288.0,5,0.0
2024-05-10,106.83,107.96,106.0,107.59,350.0,4,0.0
2024-05-13,108.18,108.61,107.2,107.32,348.0,2,0.0
2024-05-14,106.72,108.14,106.5,107.75,559.0,2,0.0
2024-05-15,108.4,108.64,106.34,107.35,335.0,4,0.0
2024-05-16,106.55,106.6,105.48,105.58,533.0,3,0.0
2024-05-17,105.85,105.99,105.38,105.38,570.0,2,0.0
2024-05-20,105.0,105.35,104.31,104.66,469.0,3,0.0
2024-05-21,104.22,106.0,104.22,105.02,387.0,5,0.0
2024-05-22,104.99,105.24,102.65,103.49,457.0,4,0.0
2024-05-23,103.0,103.42,101.61,101.74,440.0,4,0.0
2024-05-24,101.85,102.28,100.99,102.01,370.0,1,0.0
2024-05-28,102.44,102.88,101.0,101.06,414.0,3,0.0
