time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,577.82,585.4,577.82,581.86,216.0,41,0.0
2024-01-03,568.16,584.94,568.16,571.01,382.0,40,0.0
2024-01-04,566.0,576.5,565.76,566.5,314.0,53,0.0
2024-01-05,566.0,567.88,561.83,565.94,179.0,48,0.0
2024-01-08,565.01,572.43,560.1,571.19,230.0,62,0.0
2024-01-09,561.21,574.42,561.21,574.03,341.0,28,0.0
2024-01-10,562.76,583.42,562.76,583.42,277.0,42,0.0
2024-01-11,572.06,581.69,572.06,580.42,440.0,67,0.0
2024-01-12,566.14,583.22,566.14,581.19,212.0,23,0.0
2024-01-16,573.9,591.2,573.9,589.14,306.0,32,0.0
2024-01-17,579.32,594.05,579.32,586.54,434.0,76,0.0
2024-01-18,576.57,591.45,576.57,590.83,455.0,51,0.0
2024-01-19,590.0,594.91,587.75,593.52,249.0,55,0.0
2024-01-22,594.91,608.63,594.91,602.74,275.0,69,0.0
2024-01-23,597.21,604.14,593.15,597.53,445.0,31,0.0
2024-01-24,591.55,600.73,591.09,591.09,293.0,38,0.0
2024-01-25,582.69,594.15,582.69,592.14,336.0,29,0.0
2024-01-26,589.48,596.74,588.0,591.04,388.0,47,0.0
2024-01-29,591.0,596.24,582.91,594.56,314.0,54,0.0
2024-01-30,586.89,607.13,586.89,601.45,187.0,28,0.0
2024-01-31,589.67,601.5,585.43,590.43,228.0,52,0.0
2024-02-01,585.54,598.16,585.0,597.84,323.0,49,0.0
2024-02-02,598.23,604.62,588.25,599.55,299.0,60,0.0
2024-02-05,599.95,599.95,586.21,589.43,290.0,51,0.0
2024-02-06,576.67,592.45,576.67,591.04,165.0,92,0.0
2024-02-07,580.01,594.53,580.01,589.65,361.0,40,0.0
2024-02-08,580.01,595.78,580.01,592.07,284.0,16,0.0
2024-02-09,580.01,590.61,580.01,588.63,213.0,81,0.0
2024-02-12,584.31,589.25,580.01,587.48,407.0,26,0.0
2024-02-13,580.01,585.41,565.5,570.24,401.0,47,0.0
2024-02-14,566.01,578.77,566.01,578.77,319.0,60,0.0
2024-02-15,569.74,584.62,569.74,584.19,476.0,32,0.0
2024-02-16,580.0,589.48,580.0,581.44,654.0,26,0.0
2024-02-20,573.04,588.37,573.04,584.4,441.0,40,0.0
2024-02-21,574.55,588.02,574.55,587.79,349.0,29,0.0
2024-02-22,581.52,595.01,581.52,593.88,265.0,32,0.0
2024-02-23,593.14,597.16,590.76,596.85,240.0,29,0.0
2024-02-26,588.29,597.95,583.46,595.6,312.0,40,0.0
2024-02-27,596.5,597.06,587.29,593.85,256.0,38,0.0
2024-02-28,615.04,641.7,614.6,625.47,239.0,69,0.0
2024-02-29,627.64,634.3,621.36,624.15,333.0,60,0.0
2024-03-01,610.07,619.02,600.01,612.28,229.0,29,0.0
2024-03-04,604.24,635.14,604.24,630.95,208.0,37,0.0
2024-03-05,615.65,635.71,615.65,633.94,525.0,21,0.0
2024-03-06,628.69,638.04,627.37,636.12,277.0,69,0.0
2024-03-07,626.0,650.55,626.0,648.42,168.0,36,0.0
2024-03-08,648.19,651.49,636.31,639.3,410.0,46,0.0
2024-03-11,639.0,649.91,639.0,646.87,535.0,32,0.0
2024-03-12,641.37,650.03,640.28,641.69,261.0,45,0.0
2024-03-13,641.0,648.21,640.22,647.3,624.0,56,0.0
2024-03-14,638.52,650.33,638.52,648.84,208.0,41,0.0
2024-03-15,647.0,649.7,642.03,644.5,386.0,40,0.0
2024-03-18,643.88,652.35,643.88,648.09,331.0,41,0.0
2024-03-19,646.8,651.26,643.29,647.71,138.0,82,0.0
2024-03-20,645.8,649.87,639.94,641.0,443.0,35,0.0
2024-03-21,641.01,645.75,636.95,641.7,239.0,15,0.0
2024-03-22,639.07,647.48,639.07,647.48,369.0,16,0.0
2024-03-25,645.54,648.39,640.4,642.87,331.0,82,0.0
2024-03-26,637.24,644.16,633.76,636.35,277.0,66,0.0
2024-03-27,638.27,644.01,634.17,641.84,141.0,49,0.0
2024-03-28,639.76,645.12,639.63,640.95,198.0,68,0.0
2024-04-01,631.12,640.62,627.98,640.1,366.0,40,0.0
2024-04-02,633.81,636.53,630.06,635.19,236.0,57,0.0
2024-04-03,630.41,635.23,630.01,632.67,211.0,45,0.0
2024-04-04,631.01,635.24,623.89,628.13,137.0,108,0.0
2024-04-05,629.5,632.2,625.03,630.04,305.0,47,0.0
2024-04-08,624.46,630.9,621.82,622.74,323.0,43,0.0
2024-04-09,621.0,623.53,616.72,623.46,235.0,61,0.0
2024-04-10,615.68,621.91,615.61,618.7,253.0,66,0.0
2024-04-11,614.0,618.7,611.27,615.6,224.0,45,0.0
2024-04-12,614.4,615.91,610.0,614.73,183.0,60,0.0
2024-04-15,617.09,620.03,612.0,613.62,150.0,38,0.0
2024-04-16,610.0,616.42,605.59,605.59,222.0,28,0.0
2024-04-17,609.97,609.97,600.0,603.01,407.0,69,0.0
2024-04-18,600.0,602.54,594.62,597.83,390.0,24,0.0
2024-04-19,590.0,602.5,590.0,599.7,163.0,75,0.0
2024-04-22,595.6,608.62,593.41,603.18,269.0,44,0.0
2024-04-23,593.45,618.87,593.45,616.46,275.0,48,0.0
2024-04-24,609.0,621.26,609.0,617.9,225.0,85,0.0
2024-04-25,573.32,582.56,562.25,567.64,312.0,70,0.0
2024-04-26,570.05,572.3,555.79,555.79,287.0,40,0.0
2024-04-29,558.0,567.05,558.0,565.2,185.0,59,0.0
2024-04-30,557.75,568.95,557.75,565.95,194.0,34,0.0
2024-05-01,563.2,571.85,558.63,562.61,195.0,94,0.0
2024-05-02,563.93,564.68,558.08,558.08,248.0,40,0.0
2024-05-03,555.03,563.19,555.03,559.71,136.0,55,0.0
2024-05-06,555.18,569.58,555.18,569.28,204.0,27,0.0
2024-05-07,565.94,582.41,565.23,577.28,145.0,60,0.0
2024-05-08,574.6,576.74,568.87,568.87,269.0,57,0.0
2024-05-09,567.26,576.7,567.26,573.17,223.0,42,0.0
2024-05-10,572.0,575.73,564.09,573.08,297.0,88,0.0
2024-05-13,573.14,575.06,566.63,567.51,167.0,28,0.0
2024-05-14,566.67,572.0,564.09,567.24,178.0,48,0.0
2024-05-15,564.36,570.32,564.09,568.32,126.0,33,0.0
2024-05-16,567.31,568.41,564.09,566.12,324.0,36,0.0
2024-05-17,564.09,568.2,563.98,563.98,247.0,31,0.0
2024-05-20,565.28,565.46,560.01,560.86,178.0,29,0.0
2024-05-21,560.61,563.07,558.0,559.08,204.0,38,0.0
2024-05-22,556.43,559.57,553.99,555.29,236.0,54,0.0
2024-05-23,557.88,559.21,552.05,552.78,204.0,43,0.0
2024-05-24,552.7,558.41,552.7,553.8,245.0,61,0.0
2024-05-28,553.5,553.5,539.81,543.84,286.0,38,0.0
2024-05-29,538.18,540.87,536.0,538.47,290.0,41,0.0
2024-05-30,536.04,547.74,536.04,547.17,230.0,101,0.0
2024-05-31,547.85,554.47,546.14,554.41,261.0,54,0.0
2024-06-03,548.35,557.0,546.59,547.09,245.0,18,0.0
2024-06-04,545.16,550.36,544.66,547.88,192.0,41,0.0
2024-06-05,538.41,554.51,538.41,550.37,208.0,62,0.0
2024-06-06,547.18,550.42,530.88,542.12,403.0,35,0.0
2024-06-07,539.76,545.52,539.76,542.28,169.0,64,0.0
2024-06-10,538.03,545.45,537.0,544.52,181.0,60,0.0
2024-06-11,543.41,543.41,532.05,538.38,178.0,41,0.0
2024-06-12,530.01,541.0,530.01,538.2,216.0,54,0.0
2024-06-13,536.0,537.72,532.61,537.72,218.0,51,0.0
2024-06-14,530.01,538.19,530.01,535.95,79.0,91,0.0
2024-06-17,533.58,538.78,533.58,535.99,169.0,52,0.0
2024-06-18,535.0,537.02,530.01,532.02,483.0,50,0.0
2024-06-20,527.76,537.43,527.76,532.56,209.0,37,0.0
2024-06-21,532.9,542.23,532.21,540.73,303.0,46,0.0
2024-06-24,536.87,545.29,536.87,540.5,227.0,48,0.0
2024-06-25,538.42,539.32,534.41,538.31,332.0,46,0.0
2024-06-26,532.0,542.14,532.0,541.14,233.0,24,0.0
2024-06-27,538.07,543.79,535.08,543.48,206.0,163,0.0
2024-06-28,541.07,545.5,530.81,540.32,349.0,70,0.0
2024-07-01,540.09,546.29,536.25,537.63,179.0,70,0.0
2024-07-02,537.29,543.29,532.19,542.07,246.0,35,0.0
2024-07-03,535.86,541.05,535.86,539.61,121.0,41,0.0
2024-07-05,538.14,538.98,532.45,537.77,86.0,119,0.0
2024-07-08,531.77,537.59,531.77,534.41,171.0,29,0.0
2024-07-09,531.64,531.96,523.08,526.49,528.0,42,0.0
2024-07-10,522.8,528.51,522.8,526.88,163.0,77,0.0
2024-07-11,529.58,537.93,529.18,535.58,232.0,37,0.0
2024-07-12,524.01,543.81,524.01,536.78,273.0,69,0.0
2024-07-15,535.55,545.39,535.22,535.22,208.0,60,0.0
2024-07-16,540.13,547.64,530.45,546.77,322.0,49,0.0
2024-07-17,540.0,554.69,540.0,549.23,245.0,24,0.0
2024-07-18,542.46,552.74,540.0,541.28,155.0,67,0.0
2024-07-19,541.46,544.06,540.14,541.82,345.0,27,0.0
2024-07-22,540.33,547.68,537.63,540.47,233.0,38,0.0
2024-07-23,534.81,542.73,531.84,540.89,273.0,25,0.0
2024-07-24,537.21,548.27,530.79,546.84,327.0,17,0.0
2024-07-25,531.06,565.55,531.06,541.63,716.0,77,0.0
2024-07-26,541.07,551.88,538.17,547.39,188.0,35,0.0
2024-07-29,545.13,556.57,540.78,553.8,312.0,32,0.0
2024-07-30,555.5,565.18,555.5,564.31,180.0,26,0.0
2024-07-31,562.66,571.53,561.0,570.0,192.0,50,0.0
2024-08-01,571.12,591.44,568.57,585.74,321.0,48,0.0
2024-08-02,584.21,593.23,574.92,589.87,295.0,61,0.0
2024-08-05,577.61,580.66,563.81,567.28,159.0,45,0.0
2024-08-06,558.94,580.81,558.94,574.55,116.0,40,0.0
2024-08-07,574.93,577.76,566.0,566.0,197.0,80,0.0
2024-08-08,568.54,582.44,567.79,580.53,130.0,29,0.0
2024-08-09,576.35,581.03,570.13,577.61,124.0,81,0.0
2024-08-12,570.04,578.83,566.93,573.41,130.0,58,0.0
2024-08-13,570.87,576.65,566.97,571.31,126.0,41,0.0
2024-08-14,573.38,576.21,567.43,568.4,85.0,86,0.0
2024-08-15,569.56,572.45,564.58,570.03,120.0,41,0.0
