time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,86.22,87.56,86.04,87.14,1233.0,1,0.0
2024-01-03,86.21,89.5,85.97,87.34,1289.0,1,0.0
2024-01-04,87.03,88.42,86.33,88.02,1538.0,1,0.0
2024-01-05,86.9,89.67,86.9,88.47,1336.0,2,0.0
2024-01-08,87.58,87.73,86.41,87.52,1101.0,2,0.0
2024-01-09,86.28,87.39,86.18,86.59,1098.0,1,0.0
2024-01-10,86.52,87.35,86.14,87.03,745.0,1,0.0
2024-01-11,86.54,87.3,85.74,86.82,996.0,2,0.0
2024-01-12,87.59,88.16,86.66,86.78,1317.0,1,0.0
2024-01-16,85.91,86.16,84.97,85.77,1103.0,1,0.0
2024-01-17,84.88,85.76,84.53,84.91,947.0,2,0.0
2024-01-18,84.66,85.74,84.53,85.5,1154.0,1,0.0
2024-01-19,85.1,86.57,84.16,85.98,1319.0,1,0.0
2024-01-22,86.35,87.62,86.0,87.11,1034.0,1,0.0
2024-01-23,87.17,87.91,87.07,87.21,841.0,1,0.0
2024-01-24,87.37,87.37,85.26,85.4,947.0,1,0.0
2024-01-25,86.04,86.94,85.73,86.74,1330.0,1,0.0
2024-01-26,87.0,87.43,86.0,87.19,924.0,1,0.0
2024-01-29,86.25,87.02,85.64,85.96,1550.0,1,0.0
2024-01-30,84.47,85.99,84.0,85.92,1264.0,1,0.0
2024-01-31,85.19,85.54,83.85,83.88,1514.0,1,0.0
2024-02-01,78.36,78.36,71.5,73.43,2585.0,1,0.0
2024-02-02,72.52,74.97,72.52,74.11,1579.0,1,0.0
2024-02-05,73.2,74.18,72.0,74.05,1496.0,1,0.0
2024-02-06,73.47,75.79,73.47,74.52,1541.0,1,0.0
2024-02-07,74.75,74.75,73.02,73.67,1280.0,1,0.0
2024-02-08,73.17,74.71,72.0,74.64,1240.0,1,0.0
2024-02-09,73.75,74.73,73.35,74.53,899.0,0,0.0
2024-02-12,74.77,76.37,74.19,75.65,1160.0,1,0.0
2024-02-13,74.52,74.77,73.25,74.11,1362.0,1,0.0
2024-02-14,74.2,74.2,73.08,73.76,1032.0,1,0.0
