time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,299.45,310.99,299.45,310.32,2722.0,5,0.0
2024-01-03,311.25,312.66,303.56,304.19,2030.0,2,0.0
2024-01-04,305.12,308.53,304.25,306.29,1944.0,3,0.0
2024-01-05,306.4,313.59,306.4,313.34,3240.0,3,0.0
2024-01-08,313.59,314.45,308.28,313.11,1936.0,3,0.0
2024-01-09,311.42,313.71,308.08,312.91,1852.0,4,0.0
2024-01-10,310.95,311.26,305.9,307.18,1460.0,4,0.0
2024-01-11,307.0,307.2,304.79,306.96,1448.0,5,0.0
2024-01-12,301.55,306.5,301.5,304.77,1691.0,4,0.0
2024-01-16,305.25,308.23,303.0,306.53,2354.0,5,0.0
2024-01-17,305.58,312.46,305.58,307.88,2281.0,3,0.0
2024-01-18,300.25,309.04,299.03,308.87,2910.0,4,0.0
2024-01-19,307.56,309.07,301.0,301.66,2034.0,4,0.0
2024-01-22,302.0,306.64,300.97,304.98,1739.0,4,0.0
2024-01-23,303.53,307.5,303.2,304.3,1410.0,5,0.0
2024-01-24,304.79,309.01,303.56,304.47,1817.0,4,0.0
2024-01-25,298.3,299.0,291.36,298.41,2351.0,5,0.0
2024-01-26,298.57,301.29,297.29,297.62,2045.0,5,0.0
2024-01-29,296.26,298.27,295.41,297.9,1621.0,4,0.0
2024-01-30,300.12,300.48,296.8,298.57,3569.0,6,0.0
2024-01-31,299.5,302.9,295.21,300.78,2977.0,2,0.0
2024-02-01,302.7,308.97,301.0,308.05,4319.0,4,0.0
2024-02-02,316.25,328.28,316.0,323.32,7133.0,5,0.0
2024-02-05,328.79,329.25,321.08,321.49,5565.0,3,0.0
2024-02-06,321.6,329.12,321.6,326.75,4609.0,2,0.0
2024-02-07,329.83,333.69,328.8,330.75,2722.0,3,0.0
2024-02-08,330.08,333.46,329.84,332.34,2198.0,4,0.0
2024-02-09,331.61,335.65,330.0,334.86,2444.0,4,0.0
2024-02-12,336.21,337.81,333.0,337.15,1932.0,3,0.0
2024-02-13,339.43,341.2,336.0,337.41,2788.0,3,0.0
2024-02-14,338.58,339.9,335.3,337.89,2027.0,4,0.0
2024-02-15,340.0,341.24,337.25,338.74,1488.0,3,0.0
2024-02-16,339.45,342.53,338.8,340.9,1362.0,5,0.0
2024-02-20,340.82,344.0,340.0,341.07,1862.0,5,0.0
2024-02-21,340.23,344.16,339.5,343.11,1375.0,2,0.0
2024-02-22,341.5,343.55,340.73,341.79,1920.0,4,0.0
2024-02-23,342.16,345.51,340.0,344.01,1394.0,6,0.0
2024-02-26,343.94,346.73,342.25,342.4,1801.0,5,0.0
2024-02-27,342.51,344.96,340.74,340.74,1580.0,8,0.0
2024-02-28,337.03,338.35,332.55,335.11,1837.0,5,0.0
2024-02-29,334.86,336.58,331.0,336.26,1620.0,5,0.0
2024-03-01,331.05,333.1,330.63,332.65,1843.0,4,0.0
2024-03-04,332.0,338.19,332.0,336.69,1615.0,5,0.0
2024-03-05,333.0,336.64,331.8,332.73,1604.0,6,0.0
2024-03-06,333.22,340.77,333.22,340.16,2299.0,4,0.0
2024-03-07,345.51,346.74,338.57,342.52,1771.0,2,0.0
2024-03-08,341.26,345.73,340.39,341.77,1883.0,7,0.0
2024-03-11,340.75,344.28,338.78,342.65,1542.0,5,0.0
2024-03-12,342.0,344.93,342.0,344.23,1505.0,4,0.0
2024-03-13,344.0,348.81,344.0,348.7,1614.0,5,0.0
2024-03-14,346.89,350.18,346.85,349.13,1506.0,3,0.0
2024-03-15,345.23,352.5,345.23,350.99,1889.0,5,0.0
2024-03-18,350.33,354.0,348.0,351.78,1760.0,5,0.0
2024-03-19,351.11,353.9,350.0,351.84,1489.0,8,0.0
2024-03-20,350.8,354.63,350.01,353.55,1220.0,3,0.0
2024-03-21,353.0,355.25,352.0,353.59,1250.0,4,0.0
2024-03-22,353.11,355.55,351.42,351.73,1021.0,6,0.0
2024-03-25,352.0,355.55,352.0,354.65,1354.0,4,0.0
2024-03-26,355.04,359.75,354.0,358.03,1468.0,2,0.0
2024-03-27,358.05,364.64,358.05,363.4,2036.0,3,0.0
2024-03-28,363.72,365.64,363.34,363.67,1393.0,3,0.0
2024-04-01,361.34,364.04,360.0,363.61,1992.0,4,0.0
2024-04-02,355.0,364.04,355.0,362.83,2532.0,3,0.0
2024-04-03,363.82,364.01,360.14,361.1,1745.0,2,0.0
2024-04-04,362.84,363.94,359.14,360.12,1974.0,3,0.0
2024-04-05,360.37,364.15,360.0,361.83,1797.0,3,0.0
2024-04-08,360.75,361.79,356.88,357.68,1746.0,2,0.0
2024-04-09,357.4,359.57,356.2,357.29,1640.0,2,0.0
2024-04-10,355.0,359.62,355.0,358.0,2128.0,4,0.0
2024-04-11,356.35,357.03,352.5,353.32,1379.0,5,0.0
2024-04-12,351.03,353.18,348.28,349.4,1681.0,5,0.0
2024-04-15,352.46,353.74,347.33,348.55,1657.0,6,0.0
2024-04-16,354.09,354.09,346.31,346.4,3394.0,5,0.0
2024-04-17,347.42,349.66,345.4,345.83,1989.0,4,0.0
2024-04-18,349.84,353.13,346.84,348.47,2026.0,3,0.0
2024-04-19,348.95,352.62,347.0,352.24,1628.0,9,0.0
2024-04-22,353.18,356.23,352.39,352.7,2424.0,7,0.0
2024-04-23,353.18,356.94,351.68,352.2,1650.0,9,0.0
2024-04-24,350.15,353.41,350.0,352.16,3241.0,5,0.0
2024-04-25,351.49,355.6,350.5,354.07,1604.0,6,0.0
2024-04-26,351.5,355.1,350.68,354.36,1633.0,7,0.0
2024-04-29,354.08,358.02,354.0,355.89,1569.0,5,0.0
2024-04-30,356.09,357.86,355.0,357.32,1680.0,7,0.0
2024-05-01,351.92,358.8,351.0,356.54,5691.0,9,0.0
2024-05-02,359.0,359.0,342.75,343.66,2065.0,5,0.0
2024-05-03,340.78,341.7,334.53,341.45,2786.0,10,0.0
2024-05-06,342.0,343.97,339.1,341.5,1487.0,8,0.0
2024-05-07,343.18,346.65,342.41,346.56,1248.0,3,0.0
2024-05-08,347.5,348.3,345.0,347.24,1263.0,6,0.0
2024-05-09,347.11,351.0,346.1,350.72,1196.0,4,0.0
2024-05-10,350.16,351.83,347.19,348.24,1444.0,4,0.0
2024-05-13,347.95,349.41,346.5,348.53,1334.0,4,0.0
2024-05-14,348.51,350.89,345.18,346.2,1576.0,5,0.0
2024-05-15,344.86,345.31,342.04,343.05,2605.0,6,0.0
2024-05-16,343.29,344.41,338.08,339.3,1909.0,4,0.0
2024-05-17,336.5,339.17,333.95,339.08,1507.0,4,0.0
2024-05-20,338.29,338.29,332.12,332.65,1384.0,5,0.0
2024-05-21,334.0,338.55,334.0,336.68,1380.0,8,0.0
2024-05-22,334.87,336.78,334.0,335.63,1402.0,2,0.0
2024-05-23,335.53,339.25,334.82,337.63,1620.0,5,0.0
2024-05-24,337.83,337.94,331.0,332.34,1476.0,4,0.0
2024-05-28,331.63,335.64,331.48,333.05,1731.0,5,0.0
2024-05-29,330.5,334.21,329.31,332.7,2289.0,3,0.0
2024-05-30,332.13,334.12,330.28,331.33,2665.0,4,0.0
2024-05-31,331.88,344.02,331.01,343.67,2298.0,5,0.0
2024-06-03,339.83,344.22,339.09,341.35,1389.0,9,0.0
2024-06-04,334.71,337.39,331.1,336.92,1961.0,7,0.0
2024-06-05,335.78,336.48,329.45,333.98,1586.0,5,0.0
2024-06-06,333.0,339.37,333.0,337.95,1721.0,5,0.0
2024-06-07,337.56,340.82,335.0,338.18,1287.0,7,0.0
2024-06-10,336.56,339.46,336.0,338.36,1111.0,11,0.0
2024-06-11,336.98,339.23,335.46,337.81,1614.0,5,0.0
2024-06-12,337.94,337.94,333.55,335.39,1137.0,9,0.0
2024-06-13,332.54,337.1,329.26,334.04,1512.0,7,0.0
2024-06-14,331.53,333.31,328.6,332.85,1474.0,3,0.0
2024-06-17,330.85,333.79,329.38,333.17,1589.0,8,0.0
2024-06-18,334.47,337.47,333.0,334.18,1360.0,6,0.0
2024-06-20,333.51,338.01,331.08,337.49,1540.0,7,0.0
2024-06-21,335.04,339.74,333.15,339.63,1619.0,5,0.0
2024-06-24,340.0,345.61,340.0,342.74,1351.0,3,0.0
2024-06-25,342.5,342.62,337.1,338.57,1234.0,8,0.0
2024-06-26,336.85,338.06,333.0,337.63,1203.0,3,0.0
2024-06-27,335.61,335.96,331.35,333.8,1153.0,3,0.0
2024-06-28,337.52,337.52,328.18,329.68,1542.0,6,0.0
2024-07-01,330.75,334.73,325.83,326.21,1182.0,7,0.0
2024-07-02,325.76,326.15,324.12,325.5,1132.0,3,0.0
2024-07-03,325.0,326.01,321.51,325.02,837.0,7,0.0
2024-07-05,319.0,321.29,316.65,318.83,1340.0,4,0.0
2024-07-08,319.3,323.73,318.0,323.59,1339.0,4,0.0
2024-07-09,320.1,328.51,319.39,328.33,2099.0,7,0.0
2024-07-10,328.63,332.25,323.4,329.6,1558.0,7,0.0
2024-07-11,327.08,333.39,327.0,333.0,1257.0,8,0.0
2024-07-12,332.33,335.51,330.32,334.84,1177.0,4,0.0
2024-07-15,337.0,338.15,330.56,331.29,1313.0,5,0.0
2024-07-16,334.86,342.21,333.41,339.75,1459.0,6,0.0
2024-07-17,340.09,345.22,339.0,344.94,1809.0,7,0.0
2024-07-18,341.12,347.04,340.0,340.7,1325.0,6,0.0
2024-07-19,341.65,341.65,335.0,335.65,1305.0,5,0.0
2024-07-22,335.0,337.67,334.51,335.43,1110.0,9,0.0
2024-07-23,336.21,337.11,333.45,335.11,1065.0,9,0.0
2024-07-24,336.01,342.46,334.13,342.18,1366.0,8,0.0
2024-07-25,341.92,348.77,340.08,340.57,1159.0,9,0.0
2024-07-26,341.5,345.57,341.5,342.91,1227.0,13,0.0
2024-07-29,343.5,348.18,342.05,346.22,1318.0,8,0.0
2024-07-30,345.79,355.29,345.79,352.87,1139.0,10,0.0
2024-07-31,345.88,352.75,345.88,347.93,1266.0,10,0.0
2024-08-01,335.0,338.51,324.0,331.5,1605.0,8,0.0
2024-08-02,328.32,338.17,321.32,336.91,1465.0,2,0.0
2024-08-05,332.59,332.59,321.13,324.98,1684.0,2,0.0
2024-08-06,322.0,329.85,322.0,327.81,1069.0,3,0.0
2024-08-07,325.31,335.01,325.31,328.13,1366.0,7,0.0
2024-08-08,328.93,336.71,327.71,334.8,976.0,7,0.0
2024-08-09,333.22,337.75,331.64,337.0,935.0,4,0.0
2024-08-12,328.51,330.57,326.45,327.84,1238.0,6,0.0
2024-08-13,329.35,333.26,328.46,332.96,1039.0,6,0.0
2024-08-14,330.05,336.85,330.05,334.66,947.0,5,0.0
2024-08-15,335.65,336.7,332.13,336.04,1056.0,7,0.0
2024-08-16,334.58,342.82,333.0,342.19,981.0,3,0.0
2024-08-19,342.37,343.48,340.44,341.73,639.0,9,0.0
2024-08-20,342.14,344.09,339.53,342.55,950.0,10,0.0
2024-08-21,343.87,344.56,340.03,342.0,763.0,10,0.0
2024-08-22,341.25,346.33,338.8,345.81,883.0,6,0.0
2024-08-23,347.01,354.33,344.05,354.04,1709.0,4,0.0
2024-08-26,354.01,356.61,351.45,353.42,978.0,7,0.0
2024-08-27,352.8,355.31,352.26,353.97,909.0,6,0.0
2024-08-28,354.07,359.51,353.0,357.83,1275.0,8,0.0
2024-08-29,356.29,361.37,354.99,360.98,1222.0,6,0.0
2024-08-30,360.72,362.43,359.61,361.75,1147.0,7,0.0
2024-09-03,360.05,366.93,360.05,365.56,1544.0,6,0.0
2024-09-04,365.06,370.2,363.86,366.42,1198.0,8,0.0
2024-09-05,359.35,360.73,348.6,354.4,1245.0,6,0.0
2024-09-06,356.62,358.76,352.36,353.29,1239.0,10,0.0
2024-09-09,353.0,359.32,351.43,357.45,1118.0,8,0.0
2024-09-10,355.35,359.53,355.19,357.9,980.0,10,0.0
2024-09-11,354.0,357.83,350.02,357.6,1001.0,7,0.0
2024-09-12,357.73,362.37,353.41,361.84,999.0,11,0.0
2024-09-13,361.5,368.04,359.18,364.48,1084.0,9,0.0
2024-09-16,368.04,370.24,364.75,366.83,934.0,16,0.0
2024-09-17,365.18,365.39,354.51,355.81,1460.0,10,0.0
2024-09-18,354.46,361.45,354.0,355.64,1622.0,13,0.0
2024-09-19,357.06,357.72,354.48,357.39,1309.0,5,0.0
2024-09-20,354.0,358.31,351.0,356.09,1255.0,7,0.0
2024-09-23,356.39,357.78,353.86,355.08,1091.0,8,0.0
2024-09-24,352.0,353.75,350.0,352.67,1134.0,6,0.0
2024-09-25,353.37,353.84,347.48,348.29,1197.0,6,0.0
2024-09-26,345.05,346.35,342.22,344.81,1569.0,11,0.0
2024-09-27,345.0,350.96,344.0,347.74,1220.0,5,0.0
2024-09-30,346.0,348.37,344.0,346.25,1181.0,9,0.0
2024-10-01,345.66,351.49,344.01,347.83,1532.0,4,0.0
2024-10-02,345.65,348.6,339.5,340.39,1867.0,5,0.0
2024-10-03,340.6,341.49,337.48,340.37,1345.0,4,0.0
2024-10-04,339.42,341.85,339.06,341.2,959.0,10,0.0
2024-10-07,339.42,342.7,338.52,340.0,1019.0,6,0.0
2024-10-08,340.27,345.09,338.71,344.41,970.0,2,0.0
2024-10-09,341.0,347.36,341.0,346.35,907.0,10,0.0
2024-10-10,346.57,350.62,346.36,350.49,1011.0,9,0.0
2024-10-11,352.5,354.69,349.2,349.95,925.0,11,0.0
2024-10-14,348.0,352.07,348.0,351.09,1070.0,9,0.0
2024-10-15,345.5,354.44,345.05,348.43,1198.0,7,0.0
2024-10-16,348.16,358.69,348.16,358.45,1271.0,8,0.0
2024-10-17,351.44,357.28,348.1,352.6,1253.0,14,0.0
2024-10-18,350.27,350.4,336.22,336.22,1400.0,6,0.0
2024-10-21,329.86,331.14,318.2,319.91,2099.0,6,0.0
2024-10-22,320.05,321.72,315.05,317.03,1481.0,10,0.0
2024-10-23,317.64,319.99,314.93,317.29,1095.0,9,0.0
2024-10-24,319.14,322.16,318.0,318.35,1073.0,9,0.0
2024-10-25,319.44,320.97,315.5,316.26,1005.0,7,0.0
2024-10-28,317.0,317.55,313.54,315.0,1177.0,9,0.0
2024-10-29,314.17,314.62,307.7,308.03,1178.0,6,0.0
2024-10-30,308.66,316.49,308.0,312.41,1267.0,8,0.0
2024-10-31,340.96,340.96,314.58,314.58,1277.0,11,0.0
2024-11-01,312.73,318.09,306.23,315.83,1736.0,10,0.0
2024-11-04,314.52,316.55,311.08,311.63,967.0,5,0.0
2024-11-05,311.31,318.47,310.57,318.36,1033.0,11,0.0
2024-11-06,320.85,321.44,308.46,314.07,1314.0,10,0.0
2024-11-07,316.08,321.2,314.18,319.16,1042.0,10,0.0
2024-11-08,318.06,321.56,317.0,319.57,895.0,6,0.0
2024-11-11,342.37,345.1,339.02,342.59,1378.0,8,0.0
2024-11-12,343.5,346.11,339.41,339.41,1431.0,6,0.0
2024-11-13,339.0,339.08,331.0,332.06,1073.0,10,0.0
2024-11-14,330.32,330.76,322.38,323.77,1198.0,9,0.0
2024-11-15,322.2,323.68,316.8,321.05,1169.0,9,0.0
2024-11-18,321.5,323.18,319.79,322.22,897.0,8,0.0
2024-11-19,319.1,326.88,317.78,322.3,810.0,7,0.0
2024-11-20,321.5,323.64,319.15,322.84,1067.0,11,0.0
2024-11-21,322.88,330.74,322.0,329.78,1057.0,9,0.0
2024-11-22,327.63,330.36,325.12,328.49,1213.0,12,0.0
2024-11-25,330.2,334.77,329.0,332.74,1091.0,10,0.0
2024-11-26,330.11,334.93,329.2,334.63,899.0,8,0.0
2024-11-27,333.5,339.81,333.5,335.93,1340.0,5,0.0
2024-11-29,335.46,339.49,334.99,337.27,532.0,14,0.0
2024-12-02,336.35,338.52,334.24,337.14,1028.0,7,0.0
2024-12-03,335.23,338.95,334.01,334.46,1007.0,9,0.0
2024-12-04,333.18,333.95,329.76,330.46,955.0,7,0.0
2024-12-05,327.51,330.0,321.5,322.58,849.0,8,0.0
2024-12-06,322.58,323.0,315.0,317.64,1025.0,11,0.0
2024-12-09,318.99,319.82,313.02,319.41,1341.0,7,0.0
2024-12-10,315.54,315.54,310.6,311.17,1525.0,4,0.0
2024-12-11,303.1,303.1,294.01,294.01,1522.0,5,0.0
2024-12-12,294.65,294.65,282.0,282.56,1991.0,5,0.0
2024-12-13,279.87,285.77,279.87,281.54,1676.0,6,0.0
2024-12-16,282.0,283.51,271.69,272.58,1788.0,4,0.0
2024-12-17,264.0,269.55,262.0,264.93,1837.0,4,0.0
2024-12-18,276.41,283.9,275.0,282.24,1464.0,6,0.0
2024-12-19,281.23,283.7,270.0,274.47,1834.0,9,0.0
2024-12-20,273.67,280.22,273.06,276.74,1059.0,11,0.0
2024-12-23,273.5,282.01,273.0,281.46,1127.0,10,0.0
2024-12-24,278.71,279.36,276.35,278.65,455.0,10,0.0
2024-12-26,278.57,281.66,278.0,280.87,1152.0,7,0.0
2024-12-27,279.45,281.11,276.54,278.3,874.0,9,0.0
2024-12-30,277.0,277.0,273.5,275.0,1021.0,8,0.0
2024-12-31,275.88,277.43,273.5,275.6,854.0,9,0.0
2025-01-02,276.56,278.61,274.0,274.12,1091.0,5,0.0
2025-01-03,274.11,281.78,273.55,280.48,1147.0,7,0.0
2025-01-06,278.25,283.66,278.0,279.16,931.0,5,0.0
2025-01-07,279.0,282.41,278.15,279.58,758.0,8,0.0
2025-01-08,278.21,279.5,276.0,278.93,863.0,6,0.0
2025-01-10,274.6,281.05,274.28,278.75,971.0,6,0.0
2025-01-13,279.51,282.44,279.51,281.57,1022.0,12,0.0
2025-01-14,281.26,285.5,280.86,284.69,1079.0,6,0.0
2025-01-15,282.12,285.15,280.0,284.48,923.0,8,0.0
2025-01-16,279.74,281.44,275.0,281.01,1056.0,8,0.0
2025-01-17,280.0,286.25,277.98,284.07,1019.0,9,0.0
2025-01-21,284.13,288.46,284.13,288.32,951.0,7,0.0
2025-01-22,285.2,290.64,285.2,289.16,964.0,4,0.0
2025-01-23,291.0,296.35,287.36,294.79,1071.0,4,0.0
2025-01-24,294.05,297.74,292.51,294.02,1117.0,8,0.0
2025-01-27,297.12,306.37,295.66,305.81,1517.0,3,0.0
2025-01-28,305.68,307.92,301.15,302.59,1094.0,7,0.0
2025-01-29,303.85,304.72,301.16,303.0,1118.0,10,0.0
2025-01-30,274.73,282.13,268.81,282.09,1775.0,2,0.0
2025-01-31,282.0,299.5,282.0,293.75,1686.0,2,0.0
2025-02-03,295.78,301.36,290.09,292.36,1344.0,6,0.0
2025-02-04,288.69,295.45,287.0,292.05,839.0,12,0.0
2025-02-05,288.86,293.31,288.5,292.74,784.0,9,0.0
2025-02-06,289.93,290.87,286.0,286.7,937.0,3,0.0
2025-02-07,287.73,289.55,285.0,286.53,796.0,8,0.0
2025-02-10,287.35,293.61,286.0,292.99,823.0,5,0.0
2025-02-11,291.0,295.05,290.02,294.98,847.0,5,0.0
2025-02-12,296.0,302.32,290.2,292.5,928.0,6,0.0
2025-02-13,293.32,300.31,291.78,299.57,938.0,13,0.0
2025-02-14,297.9,301.45,291.26,292.1,748.0,11,0.0
2025-02-18,289.97,296.25,288.78,294.73,875.0,5,0.0
2025-02-19,293.0,299.45,293.0,297.06,873.0,5,0.0
2025-02-20,296.33,301.5,295.33,299.82,1084.0,6,0.0
2025-02-21,297.33,303.8,294.88,299.66,1182.0,6,0.0
2025-02-24,298.17,302.96,293.92,300.03,1027.0,9,0.0
2025-02-25,303.5,315.01,302.8,314.07,1346.0,10,0.0
2025-02-26,308.6,309.99,303.06,304.67,992.0,10,0.0
2025-02-27,305.27,308.82,302.13,303.01,1087.0,8,0.0
2025-02-28,305.33,308.47,302.32,308.37,1113.0,11,0.0
2025-03-03,308.01,314.11,306.0,311.21,1352.0,6,0.0
2025-03-04,313.31,316.32,307.53,308.88,1100.0,7,0.0
2025-03-05,307.25,311.08,305.67,309.47,994.0,9,0.0
2025-03-06,308.36,316.99,308.36,315.21,983.0,12,0.0
2025-03-07,312.46,324.86,312.41,321.44,1120.0,10,0.0
2025-03-10,323.0,332.26,322.95,326.63,1272.0,5,0.0
2025-03-11,324.06,324.2,316.0,316.4,1271.0,4,0.0
2025-03-12,315.0,315.0,308.0,311.03,1061.0,11,0.0
2025-03-13,310.5,313.3,309.41,311.34,774.0,11,0.0
2025-03-14,308.6,315.44,308.6,312.69,714.0,13,0.0
2025-03-17,312.05,318.09,312.05,316.97,781.0,11,0.0
2025-03-18,316.34,322.77,316.34,322.06,949.0,7,0.0
2025-03-19,320.81,322.64,316.94,320.56,984.0,10,0.0
2025-03-20,320.0,323.78,317.56,321.09,972.0,8,0.0
2025-03-21,319.26,323.02,315.5,316.58,1219.0,10,0.0
2025-03-24,315.5,320.8,315.5,320.71,818.0,9,0.0
2025-03-25,320.45,320.6,313.13,316.52,859.0,0,0.0
2025-03-26,317.2,322.49,316.4,321.16,1016.0,8,0.0
2025-03-27,320.12,326.84,317.36,324.6,1043.0,4,0.0
2025-03-28,324.37,328.46,324.0,324.03,863.0,8,0.0
2025-03-31,326.4,331.78,324.92,329.43,1113.0,10,0.0
2025-04-01,329.98,333.08,328.51,330.84,1166.0,12,0.0
2025-04-02,328.91,332.24,325.57,332.03,1054.0,9,0.0
2025-04-03,331.56,342.14,330.91,337.8,1457.0,13,0.0
2025-04-04,338.11,341.81,321.0,321.0,1474.0,16,0.0
2025-04-07,315.01,320.1,305.99,314.64,1296.0,28,0.0
2025-04-08,319.0,322.29,310.02,312.45,1512.0,18,0.0
2025-04-09,310.94,324.47,308.62,319.37,1147.0,19,0.0
2025-04-10,318.57,330.99,317.97,326.94,1231.0,18,0.0
2025-04-11,323.63,332.31,322.88,328.7,989.0,9,0.0
2025-04-14,326.69,330.6,324.06,328.47,980.0,11,0.0
2025-04-15,326.65,329.9,325.0,327.76,798.0,6,0.0
2025-04-16,329.55,334.95,327.0,329.33,804.0,9,0.0
2025-04-17,326.67,332.13,322.95,328.97,1231.0,13,0.0
2025-04-21,328.9,331.43,321.54,324.27,1380.0,10,0.0
2025-04-22,325.39,337.3,325.0,336.55,1712.0,8,0.0
2025-04-23,336.88,341.19,333.27,336.5,1518.0,10,0.0
2025-04-24,334.0,337.0,332.0,335.18,1044.0,9,0.0
2025-04-25,333.06,336.02,330.16,334.64,1072.0,9,0.0
2025-04-28,336.0,338.91,332.84,335.42,1126.0,10,0.0
2025-04-29,333.79,338.89,333.06,337.46,1449.0,3,0.0
2025-04-30,339.25,340.93,335.23,339.92,1663.0,3,0.0
2025-05-01,336.77,341.04,334.29,335.13,1644.0,8,0.0
2025-05-02,342.67,344.99,329.6,333.82,1677.0,8,0.0
2025-05-05,333.43,336.5,331.6,332.65,1010.0,14,0.0
2025-05-06,332.89,336.07,331.35,333.83,1166.0,10,0.0
2025-05-07,332.77,335.44,331.05,334.44,1300.0,9,0.0
2025-05-08,330.21,336.84,329.6,333.36,1279.0,7,0.0
2025-05-09,332.69,335.26,331.5,333.08,1289.0,5,0.0
2025-05-12,320.76,327.2,309.44,315.0,2279.0,8,0.0
