time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,210.96,211.36,207.7,209.14,3690.0,2,0.0
2024-01-03,206.49,206.49,200.75,201.46,2249.0,1,0.0
2024-01-04,201.65,204.0,200.86,202.83,1979.0,1,0.0
2024-01-05,202.42,203.28,198.9,199.19,1958.0,2,0.0
2024-01-08,198.93,200.7,197.29,200.02,2051.0,2,0.0
2024-01-09,199.0,199.17,196.74,197.01,1754.0,2,0.0
2024-01-10,197.09,198.49,196.75,197.75,1430.0,3,0.0
2024-01-11,197.9,197.91,195.54,196.35,1870.0,1,0.0
2024-01-12,195.92,198.07,195.52,197.52,1806.0,2,0.0
2024-01-16,197.14,199.77,196.59,198.41,2522.0,2,0.0
2024-01-17,198.41,203.16,198.0,202.89,2722.0,1,0.0
2024-01-18,201.86,203.35,200.19,202.93,2825.0,1,0.0
2024-01-19,203.67,204.05,200.93,201.81,1986.0,2,0.0
2024-01-22,202.42,204.29,202.0,203.32,2269.0,2,0.0
2024-01-23,201.0,204.05,200.02,203.93,2246.0,2,0.0
2024-01-24,204.0,205.0,203.35,204.16,2063.0,1,0.0
2024-01-25,204.61,205.72,202.81,205.57,3303.0,1,0.0
2024-01-26,206.43,206.87,204.87,206.74,2939.0,1,0.0
2024-01-29,204.76,207.18,203.29,204.64,3074.0,2,0.0
2024-01-30,204.0,206.59,204.0,206.13,2855.0,1,0.0
2024-01-31,204.94,208.59,203.96,206.15,3828.0,2,0.0
2024-02-01,203.0,206.72,202.44,205.52,3368.0,1,0.0
2024-02-02,206.37,208.18,205.52,206.42,3211.0,1,0.0
2024-02-05,205.0,205.83,203.0,204.8,2625.0,2,0.0
2024-02-06,204.52,204.55,202.25,202.54,2867.0,2,0.0
2024-02-07,203.41,205.53,202.49,205.21,3014.0,1,0.0
2024-02-08,203.79,207.4,203.19,203.93,3694.0,1,0.0
2024-02-09,204.11,205.59,203.16,205.05,2485.0,1,0.0
2024-02-12,205.34,207.72,204.87,206.62,2319.0,1,0.0
2024-02-13,208.05,209.8,205.35,207.46,3355.0,1,0.0
2024-02-14,209.0,218.84,209.0,214.96,4130.0,3,0.0
2024-02-15,214.04,215.95,209.69,210.53,2429.0,3,0.0
2024-02-16,211.0,214.86,211.0,212.09,2612.0,3,0.0
2024-02-20,211.75,213.27,210.01,210.82,2193.0,2,0.0
2024-02-21,210.69,215.05,210.39,214.95,2267.0,1,0.0
2024-02-22,213.5,218.07,213.0,217.95,3415.0,1,0.0
2024-02-23,218.27,220.94,216.98,217.89,2210.0,1,0.0
2024-02-26,217.24,219.45,217.19,219.27,1984.0,3,0.0
2024-02-27,218.29,219.44,217.0,219.38,1910.0,1,0.0
2024-02-28,218.88,220.87,218.88,220.65,1721.0,4,0.0
2024-02-29,221.88,222.29,219.05,220.24,1855.0,1,0.0
2024-03-01,219.18,220.03,217.77,219.08,1608.0,3,0.0
2024-03-04,219.68,221.48,218.54,221.17,1384.0,3,0.0
2024-03-05,220.8,222.14,219.05,219.82,1540.0,4,0.0
2024-03-06,218.92,219.8,216.28,219.42,1892.0,3,0.0
2024-03-07,218.18,219.03,213.25,213.28,1679.0,1,0.0
2024-03-08,213.67,214.83,212.57,212.57,1779.0,4,0.0
2024-03-11,212.66,216.8,212.56,216.64,1588.0,2,0.0
2024-03-12,217.01,218.63,215.9,217.8,1445.0,4,0.0
2024-03-13,217.89,219.41,217.5,219.3,1674.0,4,0.0
2024-03-14,218.29,219.48,217.23,219.02,1638.0,2,0.0
2024-03-15,217.27,220.02,217.01,217.01,1549.0,4,0.0
2024-03-18,217.0,219.65,217.0,218.74,1545.0,4,0.0
2024-03-19,218.5,219.35,215.83,216.33,1399.0,3,0.0
2024-03-20,214.29,216.36,212.98,213.62,1527.0,3,0.0
2024-03-21,213.39,216.04,213.0,215.71,1735.0,2,0.0
2024-03-22,215.49,215.61,214.33,214.55,1196.0,3,0.0
2024-03-25,215.03,216.3,214.34,214.73,1020.0,5,0.0
2024-03-26,214.61,215.04,211.5,212.41,1415.0,3,0.0
2024-03-27,213.56,215.52,212.42,215.52,1487.0,2,0.0
2024-03-28,215.01,216.2,212.55,215.22,1696.0,2,0.0
2024-04-01,214.02,214.51,211.74,211.84,1223.0,3,0.0
2024-04-02,212.75,214.77,211.55,214.74,1649.0,3,0.0
2024-04-03,214.68,215.4,212.05,212.37,1823.0,3,0.0
2024-04-04,212.22,214.19,211.5,212.14,1831.0,2,0.0
2024-04-05,211.37,213.14,210.71,211.02,1492.0,2,0.0
2024-04-08,210.17,213.89,210.17,212.56,1481.0,2,0.0
2024-04-09,213.77,213.77,208.5,209.68,1647.0,3,0.0
2024-04-10,208.5,213.25,208.5,212.16,1883.0,3,0.0
2024-04-11,210.31,213.74,210.31,212.88,1882.0,5,0.0
2024-04-12,210.78,212.65,209.1,209.3,1986.0,2,0.0
2024-04-15,210.88,211.78,206.0,206.12,2069.0,1,0.0
2024-04-16,205.95,208.41,205.95,206.38,2298.0,4,0.0
2024-04-17,206.54,208.87,205.5,208.5,2181.0,3,0.0
2024-04-18,208.33,210.09,207.59,209.38,1847.0,3,0.0
2024-04-19,208.89,214.39,208.89,213.18,2364.0,3,0.0
2024-04-22,212.5,216.6,212.5,215.32,2505.0,3,0.0
2024-04-23,214.77,216.65,214.0,216.07,2472.0,3,0.0
2024-04-24,213.62,216.33,209.0,212.42,2583.0,2,0.0
2024-04-25,211.01,216.2,211.01,212.43,2072.0,3,0.0
2024-04-26,210.34,211.94,209.41,211.06,1832.0,2,0.0
2024-04-29,210.0,213.03,209.0,209.52,1632.0,3,0.0
2024-04-30,208.8,210.05,207.5,209.71,1768.0,2,0.0
2024-05-01,208.8,210.42,207.5,208.04,2318.0,2,0.0
2024-05-02,209.08,209.08,206.77,207.29,1764.0,2,0.0
2024-05-03,206.16,207.87,202.5,207.6,2190.0,2,0.0
2024-05-06,208.21,208.64,205.74,207.78,1769.0,2,0.0
2024-05-07,204.76,208.69,204.76,208.49,1646.0,1,0.0
2024-05-08,207.88,211.75,206.71,211.75,1817.0,3,0.0
2024-05-09,210.67,213.62,210.27,213.52,2593.0,2,0.0
2024-05-10,211.28,213.37,207.8,208.54,1819.0,1,0.0
2024-05-13,208.44,211.43,208.44,209.54,2088.0,4,0.0
2024-05-14,208.16,210.95,206.81,210.86,3058.0,1,0.0
2024-05-15,209.06,211.07,207.86,208.21,2230.0,3,0.0
2024-05-16,208.01,213.22,208.01,212.84,1736.0,4,0.0
2024-05-17,213.2,213.57,212.3,212.99,1567.0,3,0.0
2024-05-20,212.2,212.84,210.96,211.01,1298.0,3,0.0
2024-05-21,211.0,212.1,209.9,210.31,1257.0,1,0.0
2024-05-22,208.5,211.87,208.5,211.2,2010.0,1,0.0
2024-05-23,210.84,212.68,209.47,211.85,1828.0,2,0.0
2024-05-24,212.46,214.85,212.46,214.85,1477.0,2,0.0
2024-05-28,212.94,213.52,207.32,208.26,1660.0,1,0.0
2024-05-29,208.32,208.32,205.79,205.8,1513.0,2,0.0
2024-05-30,206.32,207.09,204.73,204.95,1353.0,3,0.0
2024-05-31,204.0,204.41,202.17,202.67,1825.0,3,0.0
2024-06-03,202.48,204.09,200.22,201.78,1800.0,1,0.0
2024-06-04,201.69,204.55,201.47,203.74,2140.0,1,0.0
2024-06-05,203.2,204.58,200.0,200.04,1597.0,2,0.0
2024-06-06,200.65,202.7,200.65,201.49,1852.0,2,0.0
2024-06-07,200.76,201.68,199.06,199.35,1598.0,2,0.0
2024-06-10,198.5,199.77,197.15,198.6,1495.0,3,0.0
2024-06-11,197.27,199.87,197.27,198.77,1785.0,2,0.0
2024-06-12,199.0,199.0,195.2,195.58,2300.0,1,0.0
2024-06-13,194.39,196.71,194.39,195.59,1156.0,2,0.0
2024-06-14,194.07,197.1,194.07,197.01,1666.0,2,0.0
2024-06-17,195.62,197.57,195.2,196.4,1596.0,2,0.0
2024-06-18,196.64,197.36,194.82,196.61,1417.0,1,0.0
2024-06-20,195.79,198.84,194.88,198.24,1922.0,2,0.0
2024-06-21,194.66,195.83,193.53,194.44,1775.0,2,0.0
2024-06-24,195.06,197.27,194.59,194.95,1970.0,1,0.0
2024-06-25,194.36,195.91,193.55,194.06,1246.0,1,0.0
2024-06-26,192.28,195.77,192.28,195.26,1607.0,2,0.0
2024-06-27,195.2,196.14,194.22,195.39,1585.0,1,0.0
2024-06-28,195.28,196.97,195.0,196.61,1863.0,1,0.0
2024-07-01,196.1,196.98,195.02,195.39,1678.0,2,0.0
2024-07-02,196.05,198.22,195.67,196.87,2880.0,1,0.0
2024-07-03,196.54,196.73,195.5,196.05,1255.0,1,0.0
2024-07-05,196.07,196.49,195.04,196.42,1396.0,1,0.0
2024-07-08,196.72,197.0,194.39,194.93,1622.0,1,0.0
2024-07-09,195.04,195.11,193.9,194.5,1349.0,2,0.0
2024-07-10,194.59,195.19,193.64,193.8,1184.0,1,0.0
2024-07-11,193.7,198.15,193.0,195.73,2519.0,3,0.0
2024-07-12,195.25,195.89,193.25,193.61,1743.0,1,0.0
2024-07-15,193.83,197.12,193.83,196.82,1791.0,2,0.0
2024-07-16,198.55,199.37,197.01,197.25,1714.0,2,0.0
2024-07-17,198.27,201.35,197.31,201.35,1837.0,2,0.0
2024-07-18,200.6,202.62,200.0,200.52,1835.0,2,0.0
