time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,45.4,45.64,44.73,44.93,615.0,1,0.0
2024-01-03,44.44,45.0,44.44,44.67,753.0,1,0.0
2024-01-04,44.6,44.77,44.42,44.42,718.0,1,0.0
2024-01-05,44.3,44.54,44.18,44.25,441.0,1,0.0
2024-01-08,44.27,44.69,44.06,44.63,648.0,0,0.0
2024-01-09,44.5,45.02,44.2,44.74,699.0,2,0.0
2024-01-10,44.64,45.13,44.64,44.94,812.0,1,0.0
2024-01-11,44.91,45.48,44.52,45.46,648.0,1,0.0
2024-01-12,45.4,45.64,45.27,45.44,463.0,2,0.0
2024-01-16,45.39,45.98,45.39,45.76,487.0,2,0.0
2024-01-17,45.54,46.3,45.54,46.19,659.0,2,0.0
2024-01-18,46.22,46.53,46.04,46.46,583.0,1,0.0
2024-01-19,46.48,46.89,46.4,46.62,541.0,1,0.0
2024-01-22,46.72,46.99,46.34,46.5,479.0,1,0.0
2024-01-23,46.4,46.54,46.02,46.42,486.0,1,0.0
2024-01-24,46.57,46.8,46.5,46.53,374.0,2,0.0
2024-01-25,46.4,46.73,46.14,46.26,621.0,1,0.0
2024-01-26,46.09,46.61,46.09,46.44,486.0,1,0.0
2024-01-29,46.26,48.11,46.26,48.11,561.0,1,0.0
2024-01-30,48.06,48.38,47.83,48.34,375.0,1,0.0
2024-01-31,48.06,48.8,48.06,48.14,643.0,2,0.0
2024-02-01,48.16,48.93,48.16,48.84,833.0,2,0.0
2024-02-02,48.6,49.8,48.4,49.65,662.0,1,0.0
2024-02-05,49.8,50.07,49.2,49.46,586.0,1,0.0
2024-02-06,49.2,49.9,49.2,49.82,449.0,1,0.0
2024-02-07,51.09,54.52,50.22,53.15,1061.0,2,0.0
2024-02-08,53.4,53.61,52.3,52.3,781.0,1,0.0
2024-02-09,52.56,53.11,52.33,52.63,560.0,1,0.0
2024-02-12,52.5,52.64,51.92,52.12,606.0,2,0.0
2024-02-13,51.66,52.8,51.66,51.97,730.0,1,0.0
2024-02-14,52.3,52.4,51.86,52.39,566.0,3,0.0
2024-02-15,52.3,52.39,52.06,52.28,316.0,2,0.0
2024-02-16,52.1,52.41,51.9,52.02,330.0,3,0.0
2024-02-20,51.92,52.1,51.38,51.47,472.0,2,0.0
2024-02-21,51.24,51.5,51.14,51.38,419.0,2,0.0
2024-02-22,51.5,52.7,51.5,52.36,453.0,1,0.0
2024-02-23,52.55,53.09,52.55,52.94,469.0,2,0.0
2024-02-26,53.22,53.25,52.79,53.1,269.0,2,0.0
2024-02-27,53.17,53.17,52.5,52.84,579.0,2,0.0
2024-02-28,52.7,53.39,52.54,53.24,897.0,1,0.0
2024-02-29,53.52,53.96,53.4,53.93,599.0,2,0.0
2024-03-01,53.51,53.93,53.51,53.7,345.0,2,0.0
2024-03-04,53.6,54.57,53.52,54.31,560.0,2,0.0
2024-03-05,54.16,54.54,53.8,54.14,395.0,1,0.0
2024-03-06,54.38,54.43,53.45,53.61,464.0,2,0.0
2024-03-07,53.96,53.96,53.56,53.73,354.0,2,0.0
2024-03-08,53.52,54.0,53.47,53.75,472.0,4,0.0
2024-03-11,53.3,53.61,52.21,53.06,649.0,2,0.0
2024-03-12,53.28,54.48,53.28,54.39,747.0,2,0.0
2024-03-13,54.1,54.72,53.9,54.36,472.0,2,0.0
2024-03-14,54.77,55.36,54.31,54.85,792.0,2,0.0
2024-03-15,54.8,55.12,54.16,55.09,594.0,1,0.0
2024-03-18,55.38,55.96,55.25,55.4,639.0,2,0.0
2024-03-19,55.32,55.86,55.02,55.7,479.0,1,0.0
2024-03-20,58.56,60.34,57.6,57.78,1839.0,2,0.0
2024-03-21,58.48,58.5,57.8,58.1,912.0,1,0.0
2024-03-22,58.14,58.2,57.68,57.68,818.0,1,0.0
2024-03-25,57.6,58.18,57.4,58.05,594.0,1,0.0
2024-03-26,58.46,59.55,58.3,59.0,691.0,1,0.0
2024-03-27,59.5,59.5,58.03,58.51,867.0,1,0.0
2024-03-28,58.62,58.84,58.1,58.13,623.0,2,0.0
2024-04-01,58.2,58.3,57.28,57.45,759.0,2,0.0
2024-04-02,57.4,58.05,56.99,58.0,569.0,1,0.0
2024-04-03,57.9,58.08,57.44,57.71,1069.0,2,0.0
2024-04-04,58.1,58.38,57.11,57.11,533.0,1,0.0
2024-04-05,57.42,58.07,57.42,58.05,1080.0,1,0.0
2024-04-08,58.12,58.67,58.04,58.61,734.0,1,0.0
2024-04-09,59.0,59.0,57.57,58.48,721.0,1,0.0
2024-04-10,57.76,59.39,57.76,59.24,497.0,1,0.0
2024-04-11,59.31,59.98,59.31,59.69,538.0,1,0.0
2024-04-12,59.7,59.71,58.82,59.08,627.0,1,0.0
2024-04-15,59.53,59.6,58.58,58.71,824.0,1,0.0
2024-04-16,58.6,58.92,58.38,58.74,451.0,2,0.0
2024-04-17,59.04,59.04,57.84,58.06,591.0,1,0.0
2024-04-18,58.06,58.66,57.95,58.0,586.0,2,0.0
2024-04-19,57.88,58.2,56.91,57.26,877.0,1,0.0
2024-04-22,57.64,58.2,57.34,57.62,714.0,2,0.0
2024-04-23,58.41,58.41,57.8,58.2,628.0,1,0.0
2024-04-24,58.6,59.13,58.32,58.48,1118.0,1,0.0
2024-04-25,59.96,62.87,59.2,62.25,1169.0,2,0.0
2024-04-26,62.46,63.93,62.4,63.63,842.0,1,0.0
2024-04-29,64.22,64.46,63.44,63.95,630.0,3,0.0
2024-04-30,63.8,64.18,63.04,63.1,537.0,2,0.0
2024-05-01,62.7,63.05,62.3,62.62,618.0,3,0.0
2024-05-02,62.7,63.14,62.32,62.74,447.0,1,0.0
2024-05-03,62.96,63.51,62.84,63.05,390.0,1,0.0
2024-05-06,63.38,64.04,63.28,63.84,394.0,2,0.0
2024-05-07,63.66,64.17,63.51,63.83,413.0,2,0.0
2024-05-08,64.0,64.29,63.64,63.64,783.0,2,0.0
2024-05-09,63.54,64.51,63.4,64.33,858.0,2,0.0
2024-05-10,64.77,65.14,64.34,64.72,584.0,2,0.0
2024-05-13,64.5,64.56,63.74,63.86,503.0,2,0.0
2024-05-14,63.58,63.94,63.52,63.53,394.0,1,0.0
2024-05-15,63.52,63.76,63.32,63.32,606.0,1,0.0
2024-05-16,63.4,63.59,63.0,63.0,435.0,0,0.0
