time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,42.25,43.16,41.82,42.02,1511.0,1,0.0
2024-01-03,40.69,41.43,40.42,40.9,1382.0,1,0.0
2024-01-04,40.0,40.89,40.0,40.51,1150.0,1,0.0
2024-01-05,40.06,41.9,40.06,41.11,1064.0,1,0.0
2024-01-08,41.37,42.94,41.2,42.34,1292.0,1,0.0
2024-01-09,41.38,42.45,41.28,42.17,1037.0,1,0.0
2024-01-10,42.9,42.9,41.62,41.8,1115.0,1,0.0
2024-01-11,41.76,42.91,40.78,42.41,1461.0,1,0.0
2024-01-12,42.34,42.67,41.42,41.73,1025.0,1,0.0
2024-01-16,42.82,45.79,42.23,45.07,7860.0,1,0.0
2024-01-17,44.01,44.54,43.15,43.98,1101.0,1,0.0
2024-01-18,45.16,46.08,45.0,45.72,1457.0,1,0.0
2024-01-19,46.13,46.46,45.0,46.17,1909.0,1,0.0
2024-01-22,46.54,47.61,46.18,46.93,1493.0,1,0.0
2024-01-23,46.99,47.71,46.29,47.58,1282.0,1,0.0
2024-01-24,47.79,49.49,47.5,47.95,1194.0,1,0.0
2024-01-25,48.34,48.61,47.55,47.67,1565.0,1,0.0
2024-01-26,47.12,47.94,47.12,47.24,1203.0,1,0.0
2024-01-29,46.96,48.92,46.96,48.9,1062.0,1,0.0
2024-01-30,48.13,50.07,48.13,48.63,1229.0,1,0.0
2024-01-31,47.5,49.37,47.3,47.54,1677.0,1,0.0
2024-02-01,47.43,48.77,47.12,48.61,1326.0,1,0.0
2024-02-02,48.1,49.43,47.9,49.04,2163.0,1,0.0
2024-02-05,48.8,49.71,47.5,49.44,2170.0,1,0.0
2024-02-06,58.0,59.63,55.0,57.92,3435.0,1,0.0
2024-02-07,59.09,63.32,58.76,61.63,2361.0,1,0.0
2024-02-08,60.52,63.58,59.74,61.64,2309.0,1,0.0
2024-02-09,61.62,63.25,61.2,62.25,1901.0,1,0.0
2024-02-12,62.4,63.56,61.25,61.81,2888.0,1,0.0
2024-02-13,58.31,60.92,58.31,60.35,1693.0,1,0.0
2024-02-14,61.0,62.59,60.61,62.03,1610.0,1,0.0
2024-02-15,62.72,62.72,60.12,60.37,1408.0,1,0.0
2024-02-16,59.82,61.07,59.5,59.62,1582.0,1,0.0
2024-02-20,57.39,57.62,55.61,56.72,2457.0,1,0.0
2024-02-21,55.64,57.8,55.18,57.42,1841.0,1,0.0
2024-02-22,60.72,61.74,59.69,60.44,2138.0,1,0.0
2024-02-23,59.47,59.49,58.25,58.8,2340.0,1,0.0
2024-02-26,58.5,60.06,58.5,58.52,1616.0,1,0.0
2024-02-27,58.7,59.49,57.8,57.94,1224.0,1,0.0
2024-02-28,57.15,59.12,57.15,57.9,1189.0,1,0.0
2024-02-29,58.61,60.06,58.14,59.36,1471.0,1,0.0
2024-03-01,60.26,63.53,60.26,63.48,2123.0,1,0.0
2024-03-04,64.28,67.46,64.27,66.68,2333.0,1,0.0
2024-03-05,66.24,67.93,64.87,65.72,2025.0,1,0.0
2024-03-06,66.24,66.51,64.62,64.82,1855.0,2,0.0
2024-03-07,63.66,65.15,62.25,64.22,1917.0,1,0.0
2024-03-08,66.03,67.44,63.79,63.8,2594.0,1,0.0
2024-03-11,62.52,62.79,60.37,61.46,2198.0,1,0.0
2024-03-12,62.04,63.68,61.16,62.82,1885.0,1,0.0
2024-03-13,61.68,62.65,61.32,61.74,1338.0,1,0.0
2024-03-14,60.62,61.14,59.0,59.54,1252.0,1,0.0
2024-03-15,59.0,59.46,58.25,58.52,1974.0,1,0.0
2024-03-18,59.95,60.48,58.62,59.57,1427.0,1,0.0
2024-03-19,56.34,59.07,55.67,57.9,2133.0,1,0.0
2024-03-20,57.62,60.76,57.2,60.01,1434.0,1,0.0
2024-03-21,63.16,64.83,62.0,63.1,2073.0,1,0.0
2024-03-22,63.09,64.35,62.58,63.24,1366.0,1,0.0
2024-03-25,62.8,62.89,61.66,61.99,1030.0,1,0.0
2024-03-26,62.43,63.12,59.59,59.73,1309.0,1,0.0
