time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,93.29,94.99,92.72,93.13,458.0,5,0.0
2024-01-03,92.05,92.07,89.88,90.99,798.0,2,0.0
2024-01-04,90.49,91.84,90.49,91.12,901.0,3,0.0
2024-01-05,90.97,91.99,89.96,91.25,447.0,5,0.0
2024-01-08,90.96,93.34,90.22,93.07,557.0,5,0.0
2024-01-09,92.06,94.22,91.88,92.65,692.0,4,0.0
2024-01-10,91.77,96.14,91.0,95.87,599.0,4,0.0
2024-01-11,95.01,96.04,94.03,94.98,639.0,4,0.0
2024-01-12,95.14,96.41,94.52,95.67,463.0,6,0.0
2024-01-16,94.81,95.62,93.75,95.4,722.0,7,0.0
2024-01-17,92.98,95.51,92.98,94.51,500.0,9,0.0
2024-01-18,94.39,96.71,94.37,96.27,473.0,4,0.0
2024-01-19,95.65,96.9,94.78,96.65,473.0,4,0.0
2024-01-22,96.77,98.12,96.77,96.89,685.0,5,0.0
2024-01-23,96.65,97.06,95.55,96.64,651.0,5,0.0
2024-01-24,96.68,97.15,94.21,94.86,584.0,3,0.0
2024-01-25,95.5,95.77,94.11,94.68,1360.0,3,0.0
2024-01-26,93.97,94.55,92.54,92.99,834.0,3,0.0
2024-01-29,92.3,94.83,92.0,94.27,650.0,3,0.0
2024-01-30,93.57,94.96,92.45,93.68,555.0,2,0.0
2024-01-31,94.16,94.88,92.74,93.05,891.0,6,0.0
2024-02-01,92.91,95.22,92.46,95.1,1129.0,4,0.0
2024-02-02,93.54,94.43,92.7,93.97,682.0,4,0.0
2024-02-05,93.08,93.8,92.38,92.65,440.0,6,0.0
2024-02-06,92.69,93.86,92.5,93.37,537.0,4,0.0
2024-02-07,93.17,94.58,92.11,93.39,474.0,4,0.0
2024-02-08,92.62,93.56,92.0,93.1,675.0,4,0.0
2024-02-09,92.65,94.09,92.19,94.0,477.0,4,0.0
2024-02-12,93.72,95.07,93.14,94.71,791.0,4,0.0
2024-02-13,92.67,93.34,91.06,91.61,1391.0,5,0.0
2024-02-14,89.98,93.14,89.79,92.85,668.0,6,0.0
2024-02-15,93.79,94.53,93.13,93.54,490.0,4,0.0
2024-02-16,92.75,94.31,92.43,92.78,586.0,5,0.0
2024-02-20,93.84,95.66,93.4,95.66,777.0,0,0.0
2024-02-21,94.88,98.24,94.54,97.83,993.0,5,0.0
2024-02-22,97.43,98.7,96.9,97.64,1009.0,1,0.0
2024-02-23,97.26,97.43,95.65,96.72,1097.0,1,0.0
2024-02-26,95.54,95.67,94.01,94.49,757.0,1,0.0
2024-02-27,93.82,94.35,93.31,93.76,805.0,1,0.0
