time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,12.18,12.24,12.06,12.21,1102.0,1,0.0
2024-01-03,12.01,12.07,11.51,11.53,1353.0,1,0.0
2024-01-04,11.46,11.65,11.42,11.54,889.0,1,0.0
2024-01-05,11.42,11.66,11.38,11.53,1043.0,1,0.0
2024-01-08,11.57,11.97,11.57,11.97,854.0,1,0.0
2024-01-09,11.89,12.13,11.82,12.07,845.0,1,0.0
2024-01-10,12.06,12.24,12.03,12.2,747.0,1,0.0
2024-01-11,12.19,12.29,11.93,12.25,964.0,1,0.0
2024-01-12,12.28,12.51,12.14,12.25,891.0,1,0.0
2024-01-16,12.16,12.19,11.93,12.02,848.0,0,0.0
2024-01-17,11.9,12.08,11.87,12.06,864.0,1,0.0
2024-01-18,12.15,12.17,11.82,12.07,918.0,0,0.0
2024-01-19,12.1,12.12,11.94,12.1,886.0,1,0.0
2024-01-22,12.19,12.35,12.16,12.33,858.0,1,0.0
2024-01-23,12.48,12.56,12.24,12.32,935.0,1,0.0
2024-01-24,12.38,12.44,11.99,11.99,1070.0,1,0.0
2024-01-25,12.02,12.16,11.99,12.02,1018.0,1,0.0
2024-01-26,12.14,12.31,12.14,12.17,835.0,1,0.0
2024-01-29,12.09,12.37,12.08,12.36,669.0,1,0.0
2024-01-30,12.27,12.32,12.17,12.27,837.0,1,0.0
2024-01-31,12.16,12.35,12.06,12.09,2084.0,1,0.0
2024-02-01,12.21,12.35,12.02,12.23,1146.0,1,0.0
2024-02-02,11.94,12.14,11.92,12.11,1313.0,1,0.0
2024-02-05,12.41,12.46,12.04,12.23,1299.0,1,0.0
2024-02-06,12.16,12.34,12.05,12.27,1043.0,1,0.0
2024-02-07,12.35,12.35,12.0,12.19,1260.0,1,0.0
2024-02-08,12.35,12.8,11.58,11.85,2048.0,1,0.0
2024-02-09,11.94,11.95,11.45,11.6,1386.0,0,0.0
2024-02-12,11.55,11.91,11.53,11.86,1074.0,1,0.0
2024-02-13,11.52,11.62,11.37,11.38,1076.0,1,0.0
2024-02-14,11.45,11.64,11.32,11.6,978.0,1,0.0
2024-02-15,11.69,11.97,11.67,11.95,831.0,1,0.0
2024-02-16,11.83,12.05,11.83,11.9,894.0,1,0.0
2024-02-20,11.9,12.2,11.86,12.16,857.0,1,0.0
2024-02-21,12.28,12.72,12.28,12.62,1203.0,1,0.0
2024-02-22,12.97,13.14,12.83,12.95,1298.0,0,0.0
2024-02-23,13.01,13.16,12.91,13.09,870.0,1,0.0
2024-02-26,13.12,13.28,13.1,13.17,793.0,1,0.0
2024-02-27,13.21,13.29,13.05,13.26,747.0,1,0.0
2024-02-28,13.1,13.13,12.83,12.89,935.0,1,0.0
2024-02-29,12.86,12.97,12.5,12.55,1362.0,1,0.0
2024-03-01,12.38,12.67,12.28,12.66,904.0,1,0.0
2024-03-04,12.62,12.7,12.43,12.45,794.0,1,0.0
2024-03-05,12.34,12.81,12.34,12.58,1010.0,1,0.0
2024-03-06,12.67,12.84,12.61,12.73,1383.0,1,0.0
2024-03-07,12.8,12.88,12.63,12.68,884.0,1,0.0
2024-03-08,12.79,12.98,12.69,12.74,1192.0,1,0.0
2024-03-11,12.68,12.76,12.57,12.69,909.0,0,0.0
2024-03-12,12.64,12.65,12.48,12.61,822.0,0,0.0
2024-03-13,12.68,12.79,12.57,12.6,971.0,1,0.0
2024-03-14,12.55,12.56,12.24,12.31,753.0,1,0.0
2024-03-15,12.27,12.43,12.18,12.32,855.0,1,0.0
2024-03-18,12.25,12.52,12.07,12.08,993.0,1,0.0
2024-03-19,12.11,12.12,11.83,11.9,867.0,1,0.0
2024-03-20,11.85,12.12,11.8,12.04,1107.0,0,0.0
2024-03-21,12.0,12.09,11.89,11.91,715.0,1,0.0
2024-03-22,11.8,11.96,11.7,11.76,810.0,1,0.0
2024-03-25,11.75,11.86,11.56,11.57,589.0,1,0.0
2024-03-26,11.7,11.81,11.62,11.63,626.0,1,0.0
2024-03-27,11.69,11.84,11.6,11.82,803.0,1,0.0
2024-03-28,11.79,11.98,11.65,11.95,838.0,1,0.0
2024-04-01,11.82,11.89,11.6,11.88,1001.0,1,0.0
2024-04-02,11.73,11.75,11.4,11.61,772.0,1,0.0
2024-04-03,11.2,11.36,10.82,10.9,1453.0,1,0.0
2024-04-04,10.95,11.38,10.95,11.07,1169.0,1,0.0
2024-04-05,11.0,11.07,10.91,11.04,890.0,1,0.0
2024-04-08,11.07,11.25,11.07,11.15,1048.0,1,0.0
2024-04-09,11.16,11.32,11.11,11.31,1535.0,1,0.0
2024-04-10,11.06,11.21,11.05,11.13,1185.0,1,0.0
2024-04-11,11.17,11.17,10.91,11.05,902.0,1,0.0
2024-04-12,10.96,11.02,10.4,10.51,1114.0,1,0.0
2024-04-15,10.67,10.74,10.43,10.49,1133.0,1,0.0
2024-04-16,10.71,10.91,10.56,10.86,1380.0,1,0.0
