time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,249.0,251.44,243.0,246.26,2293.0,1,0.0
2024-01-03,239.96,248.65,239.96,244.09,2311.0,2,0.0
2024-01-04,246.21,247.51,243.5,245.21,2544.0,2,0.0
2024-01-05,245.87,249.35,244.41,247.52,2724.0,1,0.0
2024-01-08,252.84,261.56,251.55,261.17,2637.0,0,0.0
2024-01-09,266.01,276.47,266.01,273.88,3904.0,3,0.0
2024-01-10,275.96,282.25,275.0,282.05,3060.0,1,0.0
2024-01-11,284.0,287.37,280.41,284.49,3021.0,3,0.0
2024-01-12,286.19,289.87,282.5,283.43,2655.0,3,0.0
2024-01-16,279.3,287.03,279.0,286.05,2493.0,3,0.0
2024-01-17,282.87,283.08,272.72,276.37,4113.0,1,0.0
2024-01-18,281.75,284.27,279.0,283.24,5426.0,1,0.0
2024-01-19,284.0,290.83,283.78,290.41,2330.0,1,0.0
2024-01-22,299.27,301.5,295.32,298.5,3277.0,3,0.0
2024-01-23,296.35,297.45,291.83,296.87,2429.0,2,0.0
2024-01-24,299.99,307.45,298.5,300.08,3372.0,1,0.0
2024-01-25,305.2,305.2,290.63,293.27,2689.0,2,0.0
2024-01-26,289.0,293.5,286.6,290.01,2391.0,2,0.0
2024-01-29,293.75,300.57,293.75,299.91,2438.0,1,0.0
2024-01-30,300.75,302.32,298.0,300.85,2391.0,3,0.0
2024-01-31,296.7,299.91,290.89,292.8,2844.0,5,0.0
2024-02-01,295.5,299.81,294.2,298.47,2543.0,3,0.0
2024-02-02,298.0,305.03,296.0,303.65,2071.0,3,0.0
2024-02-05,305.61,307.36,295.5,302.66,2361.0,4,0.0
2024-02-06,305.34,307.42,295.25,301.45,2946.0,2,0.0
2024-02-07,310.0,320.82,309.87,317.99,4498.0,2,0.0
2024-02-08,316.25,323.84,314.0,322.77,2129.0,5,0.0
2024-02-09,328.29,336.8,326.18,329.69,3156.0,3,0.0
2024-02-12,327.4,330.1,320.66,320.89,2451.0,3,0.0
2024-02-13,307.71,326.0,307.71,322.53,3438.0,2,0.0
2024-02-14,327.06,334.54,326.0,333.77,2194.0,4,0.0
2024-02-15,334.88,335.72,327.0,330.84,2053.0,3,0.0
2024-02-16,330.68,332.05,325.17,329.07,2317.0,5,0.0
2024-02-20,325.03,325.9,315.0,323.44,2768.0,2,0.0
2024-02-21,283.25,294.31,281.1,292.32,4421.0,1,0.0
2024-02-22,297.56,313.42,297.0,310.67,3420.0,1,0.0
2024-02-23,313.61,316.6,308.35,311.45,3640.0,4,0.0
2024-02-26,312.18,323.09,309.3,320.93,2952.0,3,0.0
2024-02-27,323.0,328.88,320.6,321.11,2292.0,4,0.0
2024-02-28,317.05,321.41,314.24,321.11,2028.0,5,0.0
2024-02-29,325.66,328.54,321.0,323.68,2256.0,2,0.0
2024-03-01,317.22,317.25,309.11,314.46,3145.0,1,0.0
2024-03-04,314.4,316.6,311.2,313.3,2924.0,4,0.0
2024-03-05,304.0,304.0,289.79,297.7,4721.0,1,0.0
2024-03-06,350.57,357.65,324.06,328.38,6449.0,2,0.0
2024-03-07,328.06,331.54,315.21,329.48,3987.0,3,0.0
2024-03-08,329.55,341.47,322.5,323.02,4294.0,1,0.0
2024-03-11,319.02,323.04,316.0,316.93,2510.0,4,0.0
2024-03-12,319.46,333.69,317.1,329.13,2997.0,3,0.0
2024-03-13,326.13,334.7,325.4,331.41,2431.0,1,0.0
2024-03-14,333.0,337.46,325.28,327.59,2419.0,5,0.0
2024-03-15,323.01,323.36,315.45,315.67,3550.0,2,0.0
2024-03-18,318.6,322.25,315.8,320.58,2500.0,3,0.0
2024-03-19,315.6,321.34,310.3,320.24,2360.0,5,0.0
2024-03-20,319.08,328.21,318.0,326.85,3627.0,3,0.0
2024-03-21,326.0,333.0,322.0,329.44,2605.0,4,0.0
2024-03-22,327.74,327.77,319.25,327.01,2112.0,3,0.0
2024-03-25,324.53,329.06,320.67,324.33,1869.0,5,0.0
2024-03-26,325.49,332.29,323.69,330.13,2181.0,2,0.0
2024-03-27,332.19,332.19,317.55,321.9,2067.0,3,0.0
2024-03-28,322.41,327.35,319.9,320.67,2305.0,2,0.0
2024-04-01,316.0,320.36,313.73,319.57,2211.0,2,0.0
2024-04-02,312.36,319.64,310.89,318.93,2246.0,2,0.0
2024-04-03,316.0,323.38,315.11,319.15,2207.0,1,0.0
2024-04-04,323.0,325.68,308.68,309.01,2153.0,4,0.0
2024-04-05,310.0,317.33,309.29,315.21,2959.0,1,0.0
2024-04-08,315.61,315.61,309.4,313.74,1966.0,2,0.0
2024-04-09,313.53,315.12,308.7,310.09,2395.0,3,0.0
2024-04-10,307.17,314.86,306.8,312.47,2969.0,3,0.0
2024-04-11,312.0,317.56,310.0,317.44,2108.0,1,0.0
2024-04-12,313.6,314.0,307.0,308.86,2273.0,2,0.0
2024-04-15,308.2,312.0,298.3,298.84,3575.0,4,0.0
2024-04-16,298.2,301.46,297.04,298.48,2381.0,4,0.0
2024-04-17,300.25,301.52,291.7,293.25,2501.0,3,0.0
2024-04-18,292.57,297.33,290.25,293.31,3354.0,3,0.0
