time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,85.95,86.65,84.15,85.29,6250.0,1,0.0
2024-01-03,84.8,84.8,82.45,82.79,1231.0,1,0.0
2024-01-04,82.11,82.84,81.04,81.33,1147.0,1,0.0
2024-01-05,80.35,81.7,80.35,81.2,1054.0,1,0.0
2024-01-08,80.89,82.92,80.89,82.75,888.0,1,0.0
2024-01-09,81.44,84.22,81.34,83.56,1179.0,1,0.0
2024-01-10,82.87,83.28,81.94,82.53,1040.0,1,0.0
2024-01-11,81.97,82.36,80.91,82.05,1102.0,1,0.0
2024-01-12,83.24,83.46,82.09,83.29,764.0,1,0.0
2024-01-16,82.16,82.59,81.28,81.74,1076.0,1,0.0
2024-01-17,80.46,81.79,80.11,81.61,1045.0,1,0.0
2024-01-18,81.93,82.1,81.2,81.7,1118.0,1,0.0
2024-01-19,81.36,82.99,81.23,82.13,1120.0,1,0.0
2024-01-22,82.62,84.49,82.62,83.17,1054.0,1,0.0
2024-01-23,83.23,83.99,82.49,83.74,1087.0,1,0.0
2024-01-24,84.39,84.63,83.47,83.74,1270.0,1,0.0
2024-01-25,83.76,84.97,83.76,84.45,1112.0,1,0.0
2024-01-26,84.66,85.65,84.5,84.99,1065.0,1,0.0
2024-01-29,84.51,86.22,84.5,86.1,883.0,1,0.0
2024-01-30,85.29,85.97,84.89,85.13,851.0,1,0.0
2024-01-31,85.18,85.72,83.24,83.41,1323.0,1,0.0
2024-02-01,83.93,85.04,82.82,84.47,1574.0,1,0.0
2024-02-02,83.5,84.38,82.29,83.81,1597.0,1,0.0
2024-02-05,82.35,82.46,80.11,81.81,3996.0,1,0.0
2024-02-06,81.22,83.89,81.1,83.75,3532.0,1,0.0
2024-02-07,83.93,85.7,83.7,85.19,3500.0,1,0.0
2024-02-08,84.49,84.95,81.28,81.54,2511.0,2,0.0
2024-02-09,80.67,83.4,80.11,82.96,1206.0,0,0.0
2024-02-12,83.02,84.23,82.75,82.75,3494.0,1,0.0
2024-02-13,80.95,81.69,80.0,81.52,4531.0,1,0.0
2024-02-14,81.89,82.4,81.19,82.36,3205.0,1,0.0
2024-02-15,82.45,83.71,82.45,82.69,2974.0,1,0.0
2024-02-16,82.11,82.45,81.22,81.29,3683.0,1,0.0
2024-02-20,80.07,81.27,79.56,80.96,4027.0,1,0.0
2024-02-21,80.8,84.03,80.35,83.77,3858.0,1,0.0
2024-02-22,84.31,86.52,81.58,82.43,3117.0,1,0.0
2024-02-23,82.36,85.34,82.36,84.82,3449.0,1,0.0
2024-02-26,83.91,84.93,83.34,84.08,2010.0,1,0.0
2024-02-27,83.51,85.25,83.22,84.79,2015.0,2,0.0
2024-02-28,84.33,86.48,84.33,86.36,2062.0,1,0.0
2024-02-29,86.25,87.45,85.75,87.05,2381.0,1,0.0
2024-03-01,86.35,88.45,85.64,88.25,2479.0,1,0.0
2024-03-04,87.91,88.78,86.69,88.6,2096.0,2,0.0
2024-03-05,88.41,88.67,86.53,87.27,2431.0,1,0.0
2024-03-06,86.81,87.67,86.58,87.45,2920.0,1,0.0
2024-03-07,87.94,88.05,84.88,85.31,2602.0,1,0.0
2024-03-08,85.88,86.9,85.13,86.15,3292.0,1,0.0
2024-03-11,85.68,87.04,85.68,86.58,2805.0,1,0.0
2024-03-12,86.64,87.41,86.0,87.09,2546.0,1,0.0
2024-03-13,86.63,88.71,86.51,87.71,2256.0,1,0.0
2024-03-14,87.95,88.22,86.34,87.72,2822.0,1,0.0
2024-03-15,87.41,95.79,87.41,95.29,4253.0,1,0.0
2024-03-18,96.73,100.26,95.68,96.08,4405.0,1,0.0
2024-03-19,96.03,97.04,93.78,94.17,3008.0,1,0.0
2024-03-20,93.64,96.81,93.64,96.27,2594.0,1,0.0
2024-03-21,95.84,97.83,95.59,97.61,1964.0,1,0.0
2024-03-22,96.37,97.0,95.5,95.68,1883.0,1,0.0
2024-03-25,95.72,95.97,94.44,95.72,1443.0,2,0.0
2024-03-26,96.12,96.36,94.67,95.05,1992.0,1,0.0
2024-03-27,96.14,96.49,95.2,96.01,1629.0,1,0.0
2024-03-28,96.14,97.54,95.89,96.59,2190.0,1,0.0
2024-04-01,96.58,96.58,94.19,94.49,1871.0,1,0.0
2024-04-02,93.5,94.03,92.67,93.15,1785.0,2,0.0
2024-04-03,92.39,93.66,92.02,93.23,1758.0,1,0.0
2024-04-04,94.01,95.01,91.73,91.73,2442.0,1,0.0
2024-04-05,91.67,95.47,91.19,94.72,2480.0,1,0.0
2024-04-08,94.34,95.09,93.57,94.21,1937.0,1,0.0
2024-04-09,94.29,95.67,94.1,95.5,1573.0,1,0.0
2024-04-10,91.29,91.78,89.45,90.66,2379.0,1,0.0
2024-04-11,90.8,93.55,90.35,92.85,2182.0,1,0.0
2024-04-12,91.33,92.0,89.92,90.15,2358.0,1,0.0
2024-04-15,90.9,90.9,86.69,87.49,2904.0,1,0.0
2024-04-16,86.69,87.53,85.52,86.31,2960.0,1,0.0
2024-04-17,86.25,86.94,85.45,85.52,1897.0,1,0.0
2024-04-18,85.1,86.14,84.01,84.13,2244.0,1,0.0
2024-04-19,84.25,85.08,83.92,84.19,3567.0,1,0.0
2024-04-22,83.06,86.11,82.38,85.18,2762.0,1,0.0
2024-04-23,84.74,85.91,84.3,84.35,3361.0,1,0.0
2024-04-24,90.45,93.8,88.72,91.9,4705.0,1,0.0
2024-04-25,90.83,91.0,88.61,90.26,2908.0,1,0.0
2024-04-26,89.25,93.22,89.24,92.63,2740.0,1,0.0
2024-04-29,92.7,93.1,91.9,92.46,2231.0,1,0.0
2024-04-30,91.51,92.52,91.0,91.53,2570.0,1,0.0
2024-05-01,89.01,92.31,89.01,90.32,2688.0,1,0.0
2024-05-02,89.34,90.13,88.68,89.59,2969.0,1,0.0
2024-05-03,90.66,91.53,90.4,91.11,1942.0,1,0.0
2024-05-06,91.01,91.44,90.13,91.22,2313.0,2,0.0
2024-05-07,90.65,92.7,90.65,92.44,2136.0,1,0.0
2024-05-08,91.27,91.6,90.0,90.37,2059.0,1,0.0
2024-05-09,90.08,91.76,89.53,91.3,1973.0,1,0.0
2024-05-10,90.61,91.01,89.76,89.89,1760.0,1,0.0
2024-05-13,89.53,90.8,88.43,88.46,1574.0,1,0.0
2024-05-14,88.33,89.71,87.23,87.8,1720.0,1,0.0
2024-05-15,87.88,89.25,87.88,88.48,1654.0,1,0.0
2024-05-16,88.0,89.21,87.97,88.04,1378.0,1,0.0
2024-05-17,87.55,88.01,87.12,87.38,1629.0,1,0.0
2024-05-20,87.0,87.49,85.87,87.42,1534.0,1,0.0
2024-05-21,86.92,87.77,86.64,86.81,1239.0,1,0.0
2024-05-22,86.52,87.6,86.21,86.88,1546.0,1,0.0
2024-05-23,86.36,87.02,85.29,85.71,1717.0,1,0.0
2024-05-24,85.01,86.98,85.01,85.88,1209.0,1,0.0
2024-05-28,84.55,85.7,82.68,83.14,1619.0,1,0.0
2024-05-29,82.0,82.22,79.94,80.13,1477.0,1,0.0
2024-05-30,79.65,79.99,78.03,78.94,2054.0,1,0.0
2024-05-31,78.29,79.61,77.33,78.01,1570.0,1,0.0
2024-06-03,77.82,78.4,76.48,77.89,2467.0,1,0.0
2024-06-04,77.69,79.24,77.69,78.65,2343.0,1,0.0
2024-06-05,78.3,78.75,77.72,78.1,1698.0,1,0.0
2024-06-06,76.5,78.02,76.48,77.03,2016.0,1,0.0
2024-06-07,75.15,76.73,75.06,76.28,2380.0,1,0.0
2024-06-10,75.69,76.65,75.69,76.23,1679.0,1,0.0
2024-06-11,75.5,76.85,75.02,76.69,1549.0,1,0.0
2024-06-12,77.73,79.61,77.14,77.6,1802.0,1,0.0
2024-06-13,76.64,77.14,75.04,75.21,1741.0,1,0.0
2024-06-14,74.5,74.93,73.6,73.97,1439.0,1,0.0
2024-06-17,73.14,73.78,72.5,73.14,1605.0,1,0.0
2024-06-18,73.1,73.64,71.87,72.72,1823.0,1,0.0
2024-06-20,72.77,73.53,72.12,73.0,1675.0,1,0.0
2024-06-21,72.88,73.96,72.75,73.64,1965.0,1,0.0
2024-06-24,73.51,74.91,73.24,74.34,1906.0,1,0.0
2024-06-25,73.5,74.23,72.78,73.93,1736.0,1,0.0
2024-06-26,72.94,73.44,71.95,72.84,1727.0,1,0.0
2024-06-27,72.6,74.19,72.03,74.09,1845.0,1,0.0
2024-06-28,73.5,74.44,73.36,74.13,1794.0,2,0.0
