time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,34.57,34.97,34.45,34.6,1964.0,1,0.0
2024-01-03,34.73,34.91,34.51,34.66,2112.0,1,0.0
2024-01-04,34.62,34.97,34.62,34.72,1698.0,1,0.0
2024-01-05,34.71,34.91,34.56,34.61,1789.0,1,0.0
2024-01-08,34.73,34.76,34.36,34.71,1834.0,1,0.0
2024-01-09,34.31,34.64,34.27,34.62,1843.0,1,0.0
2024-01-10,34.57,34.74,34.51,34.71,1482.0,1,0.0
2024-01-11,34.56,34.62,34.25,34.58,1980.0,1,0.0
2024-01-12,34.57,34.88,34.47,34.85,1774.0,1,0.0
2024-01-16,34.81,34.95,34.56,34.72,1944.0,1,0.0
2024-01-17,34.28,34.54,34.18,34.39,1796.0,1,0.0
2024-01-18,34.28,34.58,34.2,34.49,2000.0,0,0.0
2024-01-19,34.41,34.76,34.31,34.5,1703.0,1,0.0
2024-01-22,34.52,34.98,34.5,34.81,2068.0,1,0.0
2024-01-23,34.78,34.93,34.59,34.87,1672.0,1,0.0
2024-01-24,34.84,34.99,34.33,34.34,2109.0,1,0.0
2024-01-25,33.89,34.99,33.89,34.99,3271.0,1,0.0
2024-01-26,35.11,35.49,34.81,35.37,2617.0,1,0.0
2024-01-29,35.2,35.62,35.03,35.58,1745.0,1,0.0
2024-01-30,35.5,35.99,35.26,35.85,1688.0,1,0.0
2024-01-31,35.98,36.11,35.65,35.72,3375.0,1,0.0
2024-02-01,35.8,36.25,35.72,36.24,2643.0,1,0.0
2024-02-02,36.27,36.74,36.06,36.53,3022.0,1,0.0
2024-02-05,36.37,36.92,36.32,36.75,2546.0,1,0.0
2024-02-06,36.75,37.14,36.72,37.05,2137.0,1,0.0
2024-02-07,37.16,37.37,36.99,37.0,2314.0,1,0.0
2024-02-08,37.0,37.14,36.72,37.03,1685.0,1,0.0
2024-02-09,37.15,37.21,36.74,36.88,1663.0,0,0.0
2024-02-12,36.89,36.91,36.49,36.86,1904.0,1,0.0
2024-02-13,36.76,36.82,36.34,36.59,2462.0,0,0.0
2024-02-14,36.66,37.05,36.58,36.97,1883.0,1,0.0
2024-02-15,37.21,37.38,36.88,36.97,2231.0,1,0.0
2024-02-16,36.86,37.01,36.64,36.7,1788.0,1,0.0
2024-02-20,36.73,36.91,36.44,36.8,2250.0,1,0.0
2024-02-21,36.84,37.15,36.81,37.1,1849.0,1,0.0
2024-02-22,37.18,38.0,37.08,37.92,1757.0,1,0.0
2024-02-23,37.9,38.85,37.84,38.35,1855.0,1,0.0
2024-02-26,38.52,38.66,38.15,38.18,1625.0,1,0.0
2024-02-27,38.16,38.2,37.79,37.97,1847.0,1,0.0
2024-02-28,37.68,38.09,37.66,37.68,1403.0,1,0.0
2024-02-29,37.84,38.08,37.84,37.95,1699.0,1,0.0
2024-03-01,37.6,38.24,37.6,38.23,1932.0,1,0.0
2024-03-04,38.22,38.38,38.09,38.36,1538.0,1,0.0
2024-03-05,38.41,38.6,38.08,38.24,2283.0,1,0.0
2024-03-06,38.3,38.5,38.04,38.06,2011.0,1,0.0
2024-03-07,38.4,38.43,37.87,37.9,2068.0,1,0.0
2024-03-08,37.98,38.32,37.87,38.2,1893.0,1,0.0
2024-03-11,38.27,38.33,37.84,38.06,2282.0,1,0.0
2024-03-12,37.79,38.13,37.72,37.79,1755.0,1,0.0
2024-03-13,37.86,37.92,37.5,37.77,2383.0,1,0.0
2024-03-14,37.65,37.68,36.69,37.01,2730.0,1,0.0
2024-03-15,37.04,37.36,36.92,36.96,3079.0,1,0.0
2024-03-18,36.97,37.32,36.94,37.27,1570.0,1,0.0
2024-03-19,37.27,37.28,36.86,36.97,2087.0,1,0.0
2024-03-20,36.84,37.67,36.78,37.61,3126.0,1,0.0
2024-03-21,37.71,37.87,37.46,37.85,1748.0,1,0.0
2024-03-22,37.88,37.88,37.33,37.38,1362.0,1,0.0
2024-03-25,37.35,37.38,36.75,36.81,1681.0,1,0.0
2024-03-26,35.98,36.67,35.84,36.11,2534.0,1,0.0
2024-03-27,36.34,36.79,36.24,36.79,1561.0,1,0.0
2024-03-28,37.02,37.17,36.69,37.09,1946.0,1,0.0
2024-04-01,36.99,36.99,36.55,36.77,1561.0,1,0.0
2024-04-02,36.68,36.73,36.3,36.49,1737.0,1,0.0
2024-04-03,36.62,36.81,36.27,36.4,2009.0,0,0.0
2024-04-04,36.61,36.76,35.96,36.1,2336.0,1,0.0
2024-04-05,36.25,36.5,36.17,36.36,2105.0,1,0.0
2024-04-08,36.2,36.39,36.0,36.08,1617.0,1,0.0
2024-04-09,36.04,36.13,35.66,35.95,2034.0,1,0.0
2024-04-10,35.42,35.65,35.26,35.4,3289.0,0,0.0
2024-04-11,35.39,35.69,35.13,35.42,2476.0,1,0.0
2024-04-12,35.23,35.47,35.13,35.32,2321.0,1,0.0
2024-04-15,35.68,35.69,34.98,35.12,2174.0,1,0.0
2024-04-16,35.16,35.19,34.77,34.83,2626.0,1,0.0
2024-04-17,34.68,34.68,33.9,34.16,3053.0,0,0.0
2024-04-18,34.72,34.96,34.09,34.37,3562.0,1,0.0
2024-04-19,34.39,34.6,34.2,34.34,2472.0,1,0.0
2024-04-22,34.55,34.75,34.22,34.62,1691.0,1,0.0
2024-04-23,34.52,34.96,34.5,34.69,2121.0,0,0.0
2024-04-24,34.26,34.33,33.41,33.67,3538.0,1,0.0
2024-04-25,33.98,34.18,33.64,34.02,2217.0,1,0.0
2024-04-26,33.82,34.16,33.79,33.98,1728.0,1,0.0
2024-04-29,34.04,34.16,33.74,33.92,1507.0,1,0.0
2024-04-30,33.89,33.91,33.13,33.22,1995.0,1,0.0
2024-05-01,33.17,33.52,32.95,33.2,2294.0,1,0.0
2024-05-02,33.41,33.75,33.15,33.53,2104.0,1,0.0
2024-05-03,33.88,33.95,33.65,33.8,1859.0,1,0.0
2024-05-06,33.89,33.91,33.55,33.66,1395.0,1,0.0
2024-05-07,33.86,34.13,33.85,33.94,1557.0,1,0.0
2024-05-08,33.92,34.24,33.9,34.24,1112.0,1,0.0
2024-05-09,34.42,34.64,34.26,34.49,2073.0,1,0.0
2024-05-10,34.66,34.68,34.24,34.41,1436.0,1,0.0
2024-05-13,34.51,34.52,34.13,34.46,1723.0,1,0.0
2024-05-14,34.46,34.5,33.8,33.95,1985.0,1,0.0
2024-05-15,34.17,34.33,33.79,33.86,2090.0,1,0.0
2024-05-16,33.86,33.98,33.73,33.92,1494.0,0,0.0
2024-05-17,33.87,33.88,33.47,33.49,1784.0,1,0.0
2024-05-20,33.3,33.62,33.14,33.37,1345.0,1,0.0
2024-05-21,33.2,33.23,32.94,33.06,1638.0,1,0.0
2024-05-22,33.31,34.02,33.31,33.99,2176.0,1,0.0
2024-05-23,33.92,34.11,33.44,33.51,2297.0,1,0.0
2024-05-24,33.66,33.8,33.5,33.77,1541.0,1,0.0
2024-05-28,33.67,33.91,33.46,33.48,1805.0,1,0.0
2024-05-29,33.16,33.46,33.05,33.21,1675.0,1,0.0
2024-05-30,33.25,33.51,33.24,33.29,1760.0,1,0.0
2024-05-31,33.26,33.82,33.12,33.7,2340.0,1,0.0
2024-06-03,33.83,33.85,32.86,33.13,2858.0,1,0.0
2024-06-04,33.12,33.2,32.74,32.77,2363.0,1,0.0
2024-06-05,32.8,33.12,32.59,33.04,1850.0,1,0.0
2024-06-06,32.96,33.13,32.83,32.98,2037.0,1,0.0
2024-06-07,32.77,33.24,32.64,32.74,2436.0,1,0.0
2024-06-10,32.55,32.91,32.45,32.91,1828.0,1,0.0
