time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,74.8,75.04,73.9,74.39,2428.0,1,0.0
2024-01-03,73.52,74.27,73.29,73.69,3295.0,1,0.0
2024-01-04,73.69,74.28,73.38,73.56,4779.0,1,0.0
2024-01-05,72.98,73.46,72.63,72.76,4711.0,1,0.0
2024-01-08,72.84,73.71,72.54,73.7,3387.0,1,0.0
2024-01-09,72.91,73.35,72.75,73.12,3027.0,1,0.0
2024-01-10,72.62,73.63,72.62,73.34,2597.0,1,0.0
2024-01-11,73.7,74.89,73.54,74.87,7669.0,1,0.0
2024-01-12,75.73,78.4,75.7,77.98,7238.0,1,0.0
2024-01-16,77.73,77.73,75.72,76.17,5160.0,1,0.0
2024-01-17,75.57,76.23,75.18,75.7,4098.0,1,0.0
2024-01-18,76.43,76.57,75.16,75.64,3406.0,1,0.0
2024-01-19,75.77,77.16,75.76,76.85,4263.0,1,0.0
2024-01-22,77.31,77.7,77.02,77.29,4069.0,1,0.0
2024-01-23,77.42,77.62,76.81,77.06,4065.0,1,0.0
2024-01-24,77.18,77.5,76.65,76.91,3807.0,1,0.0
2024-01-25,77.9,78.66,77.75,78.26,6635.0,1,0.0
2024-01-26,78.26,78.83,77.02,77.26,3008.0,1,0.0
2024-01-29,76.78,78.12,76.78,77.87,4984.0,1,0.0
2024-01-30,77.3,77.92,77.3,77.62,3026.0,1,0.0
2024-01-31,77.24,78.67,76.92,77.19,11542.0,1,0.0
2024-02-01,77.22,77.95,76.49,77.82,5557.0,1,0.0
2024-02-02,77.61,78.18,77.13,77.9,12203.0,1,0.0
2024-02-05,77.17,77.73,76.57,77.62,4657.0,1,0.0
2024-02-06,77.76,78.9,77.76,78.8,7603.0,1,0.0
2024-02-07,75.11,78.85,75.11,78.0,3897.0,1,0.0
2024-02-08,78.37,78.64,77.32,78.29,3427.0,1,0.0
2024-02-09,78.34,78.38,76.84,77.07,3646.0,1,0.0
2024-02-12,76.69,76.7,75.51,76.45,3705.0,1,0.0
2024-02-13,75.61,75.82,74.77,75.47,3821.0,1,0.0
2024-02-14,75.61,76.78,75.61,76.76,3705.0,1,0.0
2024-02-15,77.38,78.02,76.99,77.96,3134.0,1,0.0
2024-02-16,77.36,77.74,76.84,77.06,2994.0,1,0.0
2024-02-20,76.68,77.37,76.33,76.66,4729.0,1,0.0
2024-02-21,76.25,77.48,76.01,77.46,3974.0,1,0.0
2024-02-22,78.39,79.67,78.05,79.43,4194.0,1,0.0
2024-02-23,79.91,80.06,79.36,79.77,3535.0,1,0.0
2024-02-26,79.24,79.93,78.89,79.53,2997.0,1,0.0
2024-02-27,79.38,79.71,78.72,79.12,2434.0,1,0.0
2024-02-28,78.64,79.04,78.19,78.5,2796.0,1,0.0
2024-02-29,79.22,79.65,78.41,79.08,3716.0,1,0.0
2024-03-01,78.66,79.51,78.39,78.58,3385.0,1,0.0
2024-03-04,78.48,79.66,78.48,79.03,2759.0,1,0.0
2024-03-05,78.57,78.88,77.47,77.76,3361.0,1,0.0
2024-03-06,78.15,78.86,76.29,76.71,3663.0,1,0.0
2024-03-07,77.41,77.93,77.25,77.45,2321.0,1,0.0
2024-03-08,77.31,77.44,76.54,76.74,3688.0,1,0.0
2024-03-11,77.02,77.3,76.39,76.96,2257.0,1,0.0
2024-03-12,77.21,77.4,76.7,77.07,2257.0,0,0.0
2024-03-13,76.97,77.34,76.75,77.03,2751.0,1,0.0
2024-03-14,77.03,77.11,75.88,76.35,4266.0,1,0.0
2024-03-15,76.45,76.52,75.11,75.31,3385.0,1,0.0
2024-03-18,75.8,75.98,75.0,75.07,2788.0,1,0.0
2024-03-19,74.92,75.34,74.5,74.63,2435.0,1,0.0
2024-03-20,74.08,75.38,73.89,75.16,3230.0,0,0.0
2024-03-21,73.64,75.61,72.4,72.56,3135.0,1,0.0
2024-03-22,72.23,72.6,71.57,71.91,2585.0,1,0.0
