time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,51.25,53.14,51.17,53.07,7110.0,1,0.0
2024-01-03,53.09,54.36,52.22,53.6,8505.0,1,0.0
2024-01-04,53.97,54.74,53.66,53.67,6538.0,1,0.0
2024-01-05,54.06,54.65,53.88,54.36,7291.0,1,0.0
2024-01-08,54.01,54.09,53.02,54.02,5038.0,0,0.0
2024-01-09,53.77,53.91,53.27,53.43,5645.0,1,0.0
2024-01-10,52.85,53.21,52.61,53.03,4435.0,1,0.0
2024-01-11,51.85,52.13,51.25,52.02,7492.0,1,0.0
2024-01-12,52.55,53.84,51.27,52.54,12516.0,1,0.0
2024-01-16,51.93,52.22,50.86,51.86,7900.0,1,0.0
2024-01-17,51.1,51.68,51.03,51.39,5939.0,1,0.0
2024-01-18,51.49,51.56,50.51,51.06,5210.0,1,0.0
2024-01-19,51.08,51.67,50.62,51.51,4383.0,1,0.0
2024-01-22,52.05,53.08,52.01,52.89,5225.0,1,0.0
2024-01-23,52.92,53.4,52.58,53.26,3965.0,1,0.0
2024-01-24,53.5,53.64,52.99,53.22,4423.0,1,0.0
2024-01-25,53.48,53.76,53.03,53.72,4485.0,1,0.0
2024-01-26,53.61,53.98,53.6,53.65,3718.0,1,0.0
2024-01-29,53.51,54.22,53.47,54.13,2643.0,1,0.0
2024-01-30,55.18,57.19,55.14,57.03,7693.0,1,0.0
2024-01-31,56.95,57.94,56.14,56.17,12473.0,1,0.0
2024-02-01,56.03,56.58,54.85,56.05,9117.0,1,0.0
2024-02-02,55.66,55.97,54.99,55.53,8491.0,1,0.0
2024-02-05,54.98,55.13,54.1,54.54,6227.0,1,0.0
2024-02-06,54.44,54.96,54.1,54.35,6428.0,1,0.0
2024-02-07,54.62,54.68,53.76,54.5,6485.0,1,0.0
2024-02-08,54.3,54.48,53.59,54.32,5182.0,1,0.0
2024-02-09,54.34,54.43,53.53,54.01,4948.0,0,0.0
2024-02-12,53.78,54.53,53.0,53.94,6096.0,1,0.0
2024-02-13,53.37,53.41,52.24,52.8,8724.0,0,0.0
2024-02-14,53.84,54.09,53.58,53.93,6287.0,1,0.0
2024-02-15,54.29,55.47,54.29,55.18,6914.0,1,0.0
2024-02-16,55.0,55.19,54.53,54.87,6145.0,0,0.0
2024-02-20,54.37,55.65,54.37,55.41,5981.0,1,0.0
2024-02-21,55.17,55.46,54.98,55.33,5569.0,1,0.0
2024-02-22,55.59,56.46,55.39,55.91,6485.0,0,0.0
2024-02-23,55.98,56.33,55.74,56.04,5287.0,1,0.0
2024-02-26,55.75,56.49,55.35,55.42,6064.0,1,0.0
2024-02-27,55.62,55.91,55.22,55.71,4807.0,1,0.0
2024-02-28,55.48,56.17,54.99,55.09,5242.0,1,0.0
2024-02-29,55.41,55.64,54.64,55.56,5543.0,1,0.0
2024-03-01,55.76,55.94,55.07,55.62,6301.0,1,0.0
2024-03-04,55.47,56.56,55.25,56.2,6818.0,1,0.0
2024-03-05,56.08,57.54,55.94,56.27,9413.0,1,0.0
2024-03-06,56.9,57.54,56.0,57.29,11233.0,1,0.0
2024-03-07,57.61,58.1,57.02,57.69,7522.0,1,0.0
