time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,135.61,141.63,135.61,140.41,3593.0,1,0.0
2024-01-03,140.0,140.01,130.79,131.26,3688.0,1,0.0
2024-01-04,132.08,136.5,132.0,134.86,3216.0,1,0.0
2024-01-05,134.0,137.28,133.57,135.61,2781.0,1,0.0
2024-01-08,133.01,135.97,132.43,134.34,2333.0,1,0.0
2024-01-09,133.31,137.05,132.7,136.48,2363.0,1,0.0
2024-01-10,135.76,137.12,133.87,133.95,2832.0,1,0.0
2024-01-11,133.41,134.74,132.65,133.95,1887.0,2,0.0
2024-01-12,133.51,134.99,133.02,134.75,2165.0,1,0.0
2024-01-16,135.01,138.88,135.01,137.77,2988.0,1,0.0
2024-01-17,136.01,139.64,136.01,137.12,3602.0,1,0.0
2024-01-18,135.83,136.93,134.51,136.1,3159.0,1,0.0
2024-01-19,135.01,135.14,131.17,132.01,3001.0,1,0.0
2024-01-22,132.01,135.28,131.75,134.86,2109.0,1,0.0
2024-01-23,134.94,135.79,132.45,134.2,1911.0,1,0.0
2024-01-24,133.21,133.54,130.4,130.69,2358.0,1,0.0
2024-01-25,131.01,133.39,128.75,132.94,2028.0,1,0.0
2024-01-26,132.83,134.25,132.4,133.28,1771.0,1,0.0
2024-01-29,132.66,134.06,132.04,133.57,1979.0,1,0.0
2024-01-30,132.41,132.41,129.01,131.59,2574.0,1,0.0
2024-01-31,131.56,133.8,131.56,131.91,1945.0,1,0.0
2024-02-01,132.01,137.63,131.62,135.77,2360.0,1,0.0
2024-02-02,134.8,136.52,134.14,136.24,1924.0,1,0.0
2024-02-05,134.51,135.51,133.33,134.22,3965.0,1,0.0
2024-02-06,133.26,134.78,133.1,134.16,2485.0,1,0.0
2024-02-07,135.4,136.35,134.51,135.16,2566.0,1,0.0
2024-02-08,135.05,136.72,135.05,135.6,2112.0,1,0.0
2024-02-09,135.09,135.8,134.12,135.37,2041.0,1,0.0
2024-02-12,134.92,136.92,134.51,136.03,2095.0,1,0.0
2024-02-13,134.56,135.0,130.28,131.71,2719.0,1,0.0
2024-02-14,131.53,132.16,130.15,131.85,2505.0,1,0.0
2024-02-15,132.55,135.4,132.46,134.83,2527.0,1,0.0
2024-02-16,136.84,144.65,136.84,141.41,3545.0,1,0.0
2024-02-20,141.92,145.22,141.92,142.01,2643.0,1,0.0
2024-02-21,141.01,142.89,141.0,141.38,2057.0,1,0.0
2024-02-22,139.3,142.26,138.88,141.37,2040.0,0,0.0
2024-02-23,140.32,142.37,140.21,140.35,1930.0,1,0.0
2024-02-26,139.79,139.99,137.66,138.77,2449.0,1,0.0
2024-02-27,139.56,145.15,139.01,144.21,3408.0,1,0.0
2024-02-28,143.5,144.59,142.73,142.97,2225.0,1,0.0
2024-02-29,143.75,146.44,143.21,145.23,2403.0,1,0.0
2024-03-01,143.33,150.66,142.8,149.47,3922.0,1,0.0
2024-03-04,149.56,149.56,147.13,147.87,2494.0,1,0.0
2024-03-05,149.78,154.8,149.77,154.66,3402.0,1,0.0
