time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,228.36,235.1,227.92,234.58,4555.0,2,0.0
2024-01-03,233.44,234.01,229.53,230.85,3433.0,1,0.0
2024-01-04,229.77,233.2,229.46,232.56,3164.0,2,0.0
2024-01-05,230.55,232.91,229.0,230.36,2358.0,1,0.0
2024-01-08,228.01,234.92,228.01,234.85,3468.0,1,0.0
2024-01-09,234.0,241.3,226.6,230.45,4409.0,2,0.0
2024-01-10,230.01,230.95,226.27,229.23,3699.0,1,0.0
2024-01-11,228.01,229.38,226.05,228.24,3316.0,1,0.0
2024-01-12,228.2,228.64,224.64,225.06,2811.0,1,0.0
2024-01-16,223.34,229.43,223.34,226.81,2973.0,1,0.0
2024-01-17,225.01,228.39,223.42,224.6,3030.0,1,0.0
2024-01-18,222.75,227.41,222.5,226.54,3345.0,1,0.0
2024-01-19,225.05,231.63,224.59,230.78,4067.0,2,0.0
2024-01-22,230.33,233.16,228.74,231.88,2995.0,2,0.0
2024-01-23,232.36,232.54,230.27,232.08,2672.0,2,0.0
2024-01-24,229.45,232.66,228.3,228.4,4839.0,2,0.0
2024-01-25,228.15,231.75,226.61,227.19,3473.0,2,0.0
2024-01-26,234.32,240.47,232.53,232.93,4703.0,1,0.0
2024-01-29,232.45,233.99,231.01,233.93,3532.0,1,0.0
2024-01-30,240.33,244.98,237.51,244.93,4437.0,1,0.0
2024-01-31,245.35,247.32,239.56,239.84,7977.0,2,0.0
2024-02-01,239.28,245.25,237.76,245.23,6315.0,1,0.0
2024-02-02,243.68,247.82,241.4,246.37,4791.0,1,0.0
2024-02-05,244.51,249.09,243.0,246.25,4437.0,2,0.0
2024-02-06,244.51,248.38,244.01,247.89,2978.0,1,0.0
2024-02-07,247.88,249.72,245.89,246.86,3076.0,2,0.0
2024-02-08,245.01,246.4,244.0,245.68,2642.0,2,0.0
2024-02-09,244.41,246.99,242.84,242.98,3092.0,1,0.0
2024-02-12,242.94,247.05,241.6,246.55,3350.0,1,0.0
2024-02-13,243.96,245.54,238.39,241.27,4602.0,1,0.0
