time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,375.29,377.81,375.11,377.09,30209,2,0
2024-01-03,376.0,376.11,373.88,374.27,34393,2,0
2024-01-04,374.8,377.22,374.39,374.54,29447,2,0
2024-01-05,374.31,376.24,373.21,374.61,36154,2,0
2024-01-08,373.52,376.94,372.47,376.86,27506,2,0
2024-01-09,374.54,375.58,373.74,375.26,30577,2,0
2024-01-10,375.6,377.47,375.26,376.97,30103,2,0
2024-01-11,377.8,377.8,374.23,377.3,42498,2,0
2024-01-12,377.87,378.24,374.7,375.97,32642,2,0
2024-01-16,375.33,375.36,372.03,373.52,35339,2,0
2024-01-17,372.01,373.74,371.33,372.84,32380,2,0
2024-01-18,371.57,375.32,371.36,374.95,33207,2,0
2024-01-19,375.46,379.3,374.45,378.39,32753,2,0
2024-01-22,379.6,381.07,379.07,380.09,28329,2,0
2024-01-23,379.65,379.83,377.97,379.06,26399,2,0
2024-01-24,380.04,380.61,377.93,378.01,31672,2,0
2024-01-25,378.82,380.34,377.9,380.32,36222,2,0
2024-01-26,380.12,382.12,380.11,380.96,32946,2,0
2024-01-29,381.15,383.37,380.53,383.31,25167,2,0
2024-01-30,383.02,384.94,382.47,384.6,23101,2,0
2024-01-31,385.31,385.8,381.47,381.77,44425,2,0
2024-02-01,382.27,385.02,380.97,384.9,38025,2,0
2024-02-02,384.09,387.77,383.22,386.61,38792,2,0
2024-02-05,385.28,385.37,382.1,383.96,35378,2,0
2024-02-06,383.65,385.37,383.49,385.0,35531,2,0
2024-02-07,386.52,387.43,385.63,386.63,32743,2,0
2024-02-08,387.32,387.65,385.5,387.07,27040,2,0
2024-02-09,387.26,387.47,385.75,386.58,26096,2,0
2024-02-12,386.93,389.4,386.5,388.0,30731,2,0
2024-02-13,384.69,385.04,380.45,382.78,42827,2,0
2024-02-14,384.26,384.33,382.05,384.11,35721,2,0
2024-02-15,385.21,388.3,385.19,388.09,33251,2,0
2024-02-16,386.84,388.25,385.69,386.09,35420,2,0
2024-02-20,385.53,386.57,384.52,385.45,35922,2,0
2024-02-21,384.3,386.12,383.31,386.04,32582,2,0
2024-02-22,388.23,391.48,387.9,390.7,28883,0,0
2024-02-23,391.81,392.83,390.88,391.65,28900,2,0
2024-02-26,391.37,392.4,390.22,390.71,27009,2,0
2024-02-27,390.13,390.43,388.72,389.72,25279,2,0
