time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,84.03,86.05,84.03,85.44,723.0,1,0.0
2024-01-03,83.71,84.86,83.71,84.54,601.0,1,0.0
2024-01-04,84.0,84.91,84.0,84.48,489.0,2,0.0
2024-01-05,84.0,84.57,84.0,84.19,291.0,3,0.0
2024-01-08,84.55,84.98,84.15,84.93,405.0,1,0.0
2024-01-09,84.0,85.04,84.0,84.7,582.0,1,0.0
2024-01-10,84.0,84.88,84.0,84.77,421.0,1,0.0
2024-01-11,84.0,85.78,84.0,85.7,762.0,1,0.0
2024-01-12,84.93,85.8,84.93,85.58,597.0,2,0.0
2024-01-16,84.47,85.01,84.13,84.58,553.0,2,0.0
2024-01-17,82.81,83.74,82.81,83.57,528.0,1,0.0
2024-01-18,83.48,84.24,83.14,84.11,524.0,0,0.0
2024-01-19,84.23,84.58,83.65,84.31,507.0,1,0.0
2024-01-22,84.75,85.56,84.75,85.17,605.0,1,0.0
2024-01-23,85.18,85.8,85.05,85.71,613.0,1,0.0
2024-01-24,85.76,86.32,84.78,84.94,776.0,1,0.0
2024-01-25,84.35,85.44,84.16,84.47,661.0,1,0.0
2024-01-26,83.21,84.94,83.21,84.15,512.0,1,0.0
2024-01-29,83.64,84.63,82.93,84.51,635.0,1,0.0
2024-01-30,83.74,84.97,83.74,84.56,431.0,1,0.0
2024-01-31,83.35,84.35,82.96,83.09,534.0,3,0.0
2024-02-01,82.23,84.77,82.23,84.61,789.0,1,0.0
2024-02-02,83.32,83.77,79.13,80.2,1240.0,2,0.0
2024-02-05,79.24,79.84,77.56,78.87,769.0,2,0.0
2024-02-06,78.48,79.5,78.35,79.32,556.0,1,0.0
2024-02-07,79.42,79.42,78.47,79.03,593.0,1,0.0
2024-02-08,78.28,80.94,78.06,80.57,543.0,2,0.0
2024-02-09,80.16,81.02,80.16,80.51,688.0,1,0.0
2024-02-12,79.88,80.33,79.71,79.71,516.0,2,0.0
2024-02-13,77.09,78.93,77.09,78.03,523.0,2,0.0
2024-02-14,77.81,79.48,77.44,79.32,564.0,1,0.0
2024-02-15,78.64,79.59,78.64,78.96,482.0,2,0.0
2024-02-16,78.23,79.02,77.73,77.97,481.0,2,0.0
2024-02-20,77.59,78.46,77.04,78.19,667.0,2,0.0
2024-02-21,77.66,78.73,77.18,78.65,533.0,1,0.0
2024-02-22,79.28,80.05,78.31,79.7,504.0,1,0.0
2024-02-23,79.52,79.98,78.97,79.87,434.0,2,0.0
2024-02-26,79.44,81.14,78.97,81.07,565.0,1,0.0
2024-02-27,81.08,81.4,80.52,81.22,405.0,1,0.0
2024-02-28,80.5,81.8,80.11,81.68,503.0,1,0.0
2024-02-29,81.98,82.43,80.74,80.92,546.0,1,0.0
2024-03-01,80.7,82.42,80.24,82.27,566.0,2,0.0
2024-03-04,81.85,82.6,81.64,82.39,433.0,1,0.0
2024-03-05,81.95,82.07,80.87,81.1,551.0,2,0.0
2024-03-06,80.81,81.77,80.8,81.52,621.0,2,0.0
2024-03-07,81.46,82.5,80.97,82.37,474.0,2,0.0
2024-03-08,82.18,83.48,82.18,82.77,535.0,1,0.0
2024-03-11,82.24,83.8,82.24,83.75,445.0,1,0.0
2024-03-12,83.45,84.19,82.79,83.86,345.0,3,0.0
2024-03-13,83.43,84.27,82.96,83.96,349.0,2,0.0
2024-03-14,83.67,83.96,82.49,83.4,400.0,2,0.0
2024-03-15,82.48,84.08,82.48,83.84,463.0,1,0.0
2024-03-18,84.02,84.22,83.54,83.88,532.0,1,0.0
2024-03-19,83.5,84.2,83.15,83.6,418.0,2,0.0
2024-03-20,83.17,84.3,82.76,83.84,409.0,3,0.0
2024-03-21,83.7,84.71,83.7,84.06,338.0,2,0.0
2024-03-22,83.9,83.96,83.0,83.58,332.0,1,0.0
2024-03-25,83.2,83.62,82.26,83.34,339.0,3,0.0
2024-03-26,82.74,83.3,82.32,82.41,424.0,1,0.0
2024-03-27,82.52,83.52,82.39,83.37,380.0,1,0.0
2024-03-28,82.71,84.04,82.71,83.84,338.0,2,0.0
2024-04-01,82.61,83.67,82.39,83.36,360.0,2,0.0
2024-04-02,82.41,83.46,81.8,83.43,490.0,1,0.0
2024-04-03,82.54,83.59,82.54,82.76,400.0,2,0.0
2024-04-04,83.09,83.4,81.83,81.96,445.0,4,0.0
2024-04-05,81.82,82.83,81.73,82.42,355.0,1,0.0
2024-04-08,81.82,83.49,81.51,83.09,262.0,2,0.0
2024-04-09,82.53,83.78,81.89,83.09,665.0,1,0.0
2024-04-10,82.03,82.03,81.2,81.32,461.0,2,0.0
2024-04-11,81.2,81.92,81.0,81.4,354.0,2,0.0
2024-04-12,80.78,80.89,79.8,80.1,417.0,2,0.0
2024-04-15,80.16,80.55,78.37,78.52,507.0,1,0.0
2024-04-16,78.0,79.27,78.0,78.55,586.0,1,0.0
2024-04-17,78.23,78.93,77.83,77.87,466.0,1,0.0
2024-04-18,77.53,78.47,77.04,78.12,655.0,2,0.0
2024-04-19,78.07,78.82,77.43,78.21,424.0,2,0.0
2024-04-22,78.23,79.63,77.63,78.72,380.0,1,0.0
2024-04-23,78.3,79.49,78.3,79.02,418.0,1,0.0
2024-04-24,78.65,79.87,78.37,79.68,379.0,3,0.0
2024-04-25,78.26,80.01,78.04,79.74,524.0,2,0.0
2024-04-26,79.93,80.88,79.0,79.11,384.0,2,0.0
2024-04-29,79.12,79.93,78.91,79.26,516.0,2,0.0
2024-04-30,78.69,78.94,77.49,77.69,470.0,1,0.0
2024-05-01,77.09,78.32,76.87,77.36,481.0,1,0.0
2024-05-02,77.6,79.75,77.01,79.51,672.0,1,0.0
2024-05-03,81.57,84.8,79.23,81.88,907.0,4,0.0
2024-05-06,81.72,82.61,80.24,81.79,630.0,1,0.0
2024-05-07,81.0,83.93,81.0,82.83,543.0,4,0.0
2024-05-08,81.56,82.71,81.56,82.48,336.0,2,0.0
2024-05-09,81.64,83.11,81.64,82.69,321.0,4,0.0
2024-05-10,82.13,83.21,82.13,82.53,390.0,4,0.0
2024-05-13,82.21,83.18,82.07,82.11,373.0,2,0.0
2024-05-14,81.83,82.85,81.33,82.46,505.0,1,0.0
2024-05-15,82.14,84.12,82.14,83.74,346.0,3,0.0
2024-05-16,82.17,83.7,81.9,83.42,449.0,4,0.0
