time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,58.41,58.87,56.65,57.08,2316.0,1,0.0
2024-01-03,56.05,56.35,54.93,55.05,1503.0,1,0.0
2024-01-04,54.44,55.43,54.44,54.85,1779.0,1,0.0
2024-01-05,54.21,55.48,54.21,54.56,1931.0,1,0.0
2024-01-08,54.75,56.53,54.38,55.62,1601.0,1,0.0
2024-01-09,54.88,56.46,54.88,56.1,1500.0,1,0.0
2024-01-10,56.0,56.34,55.43,56.06,1701.0,1,0.0
2024-01-11,55.81,62.54,55.43,61.02,2968.0,1,0.0
2024-01-12,61.08,64.66,60.57,63.56,5193.0,1,0.0
2024-01-16,63.26,63.38,61.8,62.57,2478.0,1,0.0
2024-01-17,61.86,62.39,60.85,61.65,1964.0,1,0.0
2024-01-18,62.01,62.04,60.69,61.23,1995.0,1,0.0
2024-01-19,61.12,63.17,61.01,63.15,2135.0,1,0.0
2024-01-22,62.24,63.94,62.01,62.11,2171.0,1,0.0
2024-01-23,62.26,62.78,61.2,62.27,1855.0,1,0.0
2024-01-24,62.35,63.07,61.43,62.48,1830.0,1,0.0
2024-01-25,62.49,63.02,61.06,62.35,2012.0,1,0.0
2024-01-26,62.0,64.29,61.68,62.6,2201.0,1,0.0
2024-01-29,62.02,63.35,61.74,63.22,1534.0,1,0.0
2024-01-30,63.16,63.16,61.46,61.6,1454.0,1,0.0
2024-01-31,60.65,62.13,60.55,60.93,1993.0,1,0.0
2024-02-01,60.69,62.44,58.0,58.9,2592.0,1,0.0
2024-02-02,58.9,58.99,57.2,58.13,2605.0,1,0.0
2024-02-05,57.27,57.74,52.88,53.24,4337.0,1,0.0
2024-02-06,49.72,52.46,49.24,52.24,3057.0,1,0.0
2024-02-07,51.89,51.89,50.76,51.3,2301.0,1,0.0
2024-02-08,51.43,52.29,50.92,51.09,1803.0,1,0.0
2024-02-09,51.15,51.66,51.01,51.16,1710.0,1,0.0
2024-02-12,51.28,51.97,51.02,51.58,2069.0,1,0.0
2024-02-13,49.75,51.54,49.75,50.5,1970.0,1,0.0
2024-02-14,51.27,51.83,50.4,50.95,1699.0,1,0.0
2024-02-15,51.14,51.98,50.82,51.47,1720.0,1,0.0
2024-02-16,51.23,51.23,50.07,50.16,1599.0,1,0.0
2024-02-20,49.51,49.91,49.1,49.87,1900.0,1,0.0
2024-02-21,49.05,50.46,49.05,49.99,1693.0,1,0.0
2024-02-22,49.88,50.4,49.46,50.04,1704.0,1,0.0
2024-02-23,50.12,51.81,50.12,51.74,2235.0,1,0.0
2024-02-26,51.81,53.13,51.51,51.84,2099.0,1,0.0
2024-02-27,52.38,52.49,51.45,52.07,1433.0,1,0.0
