time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,152.01,153.85,150.68,151.44,1123.0,1,0.0
2024-01-03,149.19,149.64,147.37,148.44,1275.0,2,0.0
2024-01-04,147.63,149.29,147.22,147.9,1471.0,1,0.0
2024-01-05,146.45,148.37,146.2,147.23,1380.0,1,0.0
2024-01-08,146.79,148.33,145.57,147.88,1307.0,1,0.0
2024-01-09,146.31,147.65,145.06,147.14,1219.0,2,0.0
2024-01-10,146.62,148.18,145.99,146.77,1245.0,1,0.0
2024-01-11,146.95,147.5,145.38,147.24,1294.0,1,0.0
2024-01-12,148.37,148.37,146.3,147.06,1010.0,2,0.0
2024-01-16,145.34,146.41,144.44,146.19,1453.0,1,0.0
2024-01-17,144.35,146.01,143.74,144.31,1085.0,1,0.0
2024-01-18,144.4,146.98,144.3,146.68,1324.0,2,0.0
2024-01-19,145.98,148.51,145.39,147.89,1208.0,1,0.0
2024-01-22,148.52,150.13,148.15,148.32,1230.0,1,0.0
2024-01-23,148.51,150.6,148.18,150.57,1882.0,1,0.0
2024-01-24,151.07,151.75,147.84,147.88,1543.0,1,0.0
2024-01-25,148.29,150.01,148.29,149.88,1691.0,1,0.0
2024-01-26,149.07,151.31,148.98,149.71,1224.0,2,0.0
2024-01-29,149.42,151.54,148.72,151.33,1671.0,1,0.0
2024-01-30,150.74,152.21,150.14,151.46,1300.0,1,0.0
2024-01-31,151.14,152.14,149.25,149.65,1960.0,1,0.0
2024-02-01,149.99,156.63,148.06,156.17,2183.0,1,0.0
2024-02-02,155.5,159.38,155.5,158.63,2093.0,1,0.0
2024-02-05,157.7,160.41,156.28,159.68,1391.0,1,0.0
2024-02-06,159.21,161.12,158.73,160.57,1677.0,1,0.0
2024-02-07,161.52,162.05,159.89,160.23,1323.0,1,0.0
2024-02-08,160.08,160.35,158.0,159.69,1107.0,1,0.0
2024-02-09,159.34,160.76,159.11,160.25,1302.0,1,0.0
2024-02-12,159.93,162.12,159.39,161.51,951.0,1,0.0
2024-02-13,159.03,159.77,158.19,159.5,2606.0,1,0.0
2024-02-14,160.88,160.99,158.93,160.62,1414.0,1,0.0
2024-02-15,161.18,162.99,160.88,162.49,2145.0,1,0.0
2024-02-16,161.84,163.82,160.98,161.01,1926.0,2,0.0
2024-02-20,160.0,160.51,159.15,159.83,2165.0,3,0.0
2024-02-21,158.93,160.54,158.63,160.34,2060.0,2,0.0
2024-02-22,160.95,163.47,160.68,162.77,2031.0,1,0.0
