time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,54.54,55.68,54.54,55.25,7602,1,0
2024-01-03,54.82,55.03,53.93,54.62,9436,1,0
2024-01-04,54.53,54.98,54.03,54.19,7886,1,0
2024-01-05,53.96,55.02,53.96,54.81,9067,1,0
2024-01-08,54.73,55.13,54.35,55.08,7106,0,0
2024-01-09,54.4,54.45,53.78,53.89,6924,1,0
2024-01-10,53.7,53.91,53.04,53.38,5962,0,0
2024-01-11,53.12,53.66,52.73,53.63,8484,1,0
2024-01-12,53.92,54.13,53.01,53.36,7510,1,0
2024-01-16,53.31,53.33,52.26,53.14,7935,1,0
2024-01-17,52.22,52.61,52.02,52.5,6173,1,0
2024-01-18,52.62,52.69,52.09,52.63,6135,0,0
2024-01-19,52.37,52.99,52.11,52.77,7663,1,0
2024-01-22,52.66,53.61,52.53,53.59,5690,1,0
2024-01-23,54.04,54.45,53.74,53.85,4555,1,0
2024-01-24,53.46,54.11,53.0,53.03,6766,1,0
2024-01-25,54.05,55.11,53.54,54.84,6702,1,0
2024-01-26,55.01,55.28,53.75,53.99,5403,1,0
2024-01-29,54.1,54.15,53.41,54.15,5842,1,0
2024-01-30,53.55,54.53,53.48,54.49,5278,1,0
2024-01-31,54.43,54.56,53.59,53.63,8667,1,0
2024-02-01,53.75,53.99,52.67,53.52,8880,1,0
2024-02-02,52.77,53.75,52.47,53.26,7788,1,0
2024-02-05,52.41,53.53,52.35,53.1,9208,1,0
2024-02-06,53.1,54.14,53.05,54.02,7955,1,0
2024-02-07,54.2,54.28,53.7,54.1,6543,1,0
2024-02-08,54.09,54.19,53.5,53.85,5342,1,0
2024-02-09,53.55,54.1,53.55,53.92,4763,1,0
2024-02-12,54.11,55.27,53.84,54.74,7529,1,0
2024-02-13,54.09,54.23,52.6,53.17,8488,1,0
2024-02-14,53.51,53.88,53.22,53.5,7401,1,0
2024-02-15,54.14,55.37,54.09,55.15,7146,1,0
2024-02-16,55.11,55.95,54.9,55.38,7798,1,0
2024-02-20,54.56,55.44,54.44,54.64,9551,1,0
2024-02-21,54.74,55.82,54.74,55.74,6974,1,0
2024-02-22,55.85,56.18,55.57,56.07,6975,1,0
2024-02-23,56.07,56.81,56.03,56.46,6067,1,0
2024-02-26,55.83,56.46,55.83,56.04,6343,1,0
2024-02-27,56.41,56.54,55.95,56.27,6289,1,0
2024-02-28,55.2,55.68,55.01,55.16,5786,1,0
2024-02-29,55.32,56.03,54.92,55.99,5593,1,0
2024-03-01,55.96,56.19,55.61,55.77,7131,1,0
2024-03-04,55.74,57.15,55.51,56.96,6255,1,0
2024-03-05,57.02,57.73,56.7,56.94,7255,1,0
2024-03-06,57.91,57.96,56.27,56.87,9289,1,0
2024-03-07,57.25,57.63,56.52,57.02,6845,1,0
2024-03-08,57.09,57.68,56.56,56.63,10217,1,0
2024-03-11,56.65,57.78,56.53,57.49,6592,1,0
2024-03-12,57.64,57.85,57.1,57.6,6728,1,0
2024-03-13,57.77,58.73,57.76,57.99,6396,1,0
2024-03-14,57.5,57.72,56.9,57.36,7612,0,0
2024-03-15,57.28,57.8,56.93,56.98,7716,1,0
2024-03-18,57.09,57.35,56.54,56.67,5463,1,0
2024-03-19,56.61,57.04,56.41,56.76,5822,1,0
2024-03-20,56.4,58.7,56.4,58.22,6873,0,0
2024-03-21,58.38,58.6,57.55,58.02,6168,1,0
2024-03-22,58.15,58.2,57.58,57.65,4152,1,0
2024-03-25,57.77,57.83,57.28,57.38,4553,1,0
2024-03-26,57.53,57.59,57.11,57.15,4912,1,0
2024-03-27,57.5,58.14,57.5,58.12,5279,0,0
2024-03-28,58.21,58.4,57.8,57.94,5351,1,0
2024-04-01,57.82,58.3,57.34,58.3,3912,1,0
2024-04-02,58.3,59.37,58.0,59.25,6281,1,0
2024-04-03,59.73,60.27,59.49,59.93,6401,1,0
2024-04-04,60.45,60.68,59.63,59.79,6715,1,0
2024-04-05,59.68,59.88,59.07,59.7,7414,1,0
2024-04-08,60.04,60.14,59.14,59.41,4582,1,0
2024-04-09,59.97,60.23,59.46,59.85,6673,0,0
2024-04-10,59.22,59.64,58.36,58.93,8243,1,0
2024-04-11,58.81,58.86,58.28,58.52,5484,1,0
2024-04-12,58.27,58.63,57.55,57.7,7578,1,0
2024-04-15,58.35,58.64,56.91,57.29,7741,1,0
2024-04-16,56.95,57.11,56.62,56.79,7861,1,0
2024-04-17,57.08,57.35,56.66,56.86,6008,1,0
2024-04-18,57.22,57.22,56.03,56.43,5498,1,0
2024-04-19,56.44,56.91,56.41,56.58,6111,1,0
2024-04-22,56.51,57.29,56.28,56.91,4510,1,0
