time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,163.22,165.64,162.22,162.33,1561.0,1,0.0
2024-01-03,162.0,162.59,160.15,160.5,1080.0,1,0.0
2024-01-04,160.0,161.64,160.0,160.96,1732.0,1,0.0
2024-01-05,160.0,162.13,160.0,161.98,1744.0,1,0.0
2024-01-08,162.18,164.04,160.75,163.9,2061.0,1,0.0
2024-01-09,160.79,161.95,160.0,161.44,1532.0,1,0.0
2024-01-10,161.0,161.34,159.0,160.7,1370.0,1,0.0
2024-01-11,160.01,160.11,156.51,159.76,1546.0,1,0.0
2024-01-12,159.74,159.81,156.87,157.01,1200.0,2,0.0
2024-01-16,156.26,157.12,154.73,156.97,1843.0,1,0.0
2024-01-17,155.35,158.29,155.11,157.81,1345.0,1,0.0
2024-01-18,157.53,160.13,157.0,159.69,1702.0,1,0.0
2024-01-19,159.63,160.12,157.21,159.12,1613.0,1,0.0
2024-01-22,159.45,161.88,158.89,161.7,1732.0,1,0.0
2024-01-23,162.17,162.83,160.68,161.4,1641.0,1,0.0
2024-01-24,161.71,162.51,160.0,161.38,1091.0,2,0.0
2024-01-25,160.95,162.42,160.85,161.81,1619.0,1,0.0
2024-01-26,161.66,162.83,160.31,160.76,720.0,2,0.0
2024-01-29,160.5,163.47,160.5,163.2,1424.0,1,0.0
2024-01-30,162.99,163.95,161.62,163.62,1216.0,1,0.0
2024-01-31,163.57,165.36,161.93,162.41,1449.0,2,0.0
2024-02-01,162.47,166.98,161.86,166.7,1613.0,1,0.0
2024-02-02,166.05,167.39,163.92,166.42,1567.0,1,0.0
2024-02-05,164.13,165.15,162.55,164.33,2617.0,2,0.0
2024-02-06,163.83,167.63,163.56,165.77,2240.0,2,0.0
2024-02-07,166.0,168.21,165.65,165.95,2195.0,1,0.0
2024-02-08,166.34,168.97,165.84,168.14,1507.0,2,0.0
2024-02-09,167.48,168.4,166.53,167.53,1537.0,1,0.0
2024-02-12,167.66,167.66,164.54,165.18,2118.0,1,0.0
2024-02-13,161.51,163.19,160.84,162.39,2031.0,1,0.0
2024-02-14,161.62,161.8,160.0,160.93,2123.0,1,0.0
2024-02-15,160.21,163.07,160.14,162.44,2246.0,1,0.0
2024-02-16,162.47,165.15,161.83,162.26,1915.0,2,0.0
