time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,109.54,112.02,109.33,111.65,1085.0,2,0.0
2024-01-03,111.51,111.78,110.32,110.79,1224.0,1,0.0
2024-01-04,110.52,111.43,110.0,110.22,1725.0,2,0.0
2024-01-05,109.88,111.05,109.12,110.48,1311.0,1,0.0
2024-01-08,109.71,111.63,109.07,111.37,1480.0,2,0.0
2024-01-09,110.31,111.53,109.62,110.76,1237.0,2,0.0
2024-01-10,110.49,111.31,110.21,110.61,986.0,1,0.0
2024-01-11,110.07,110.14,107.37,107.95,1404.0,2,0.0
2024-01-12,108.35,108.96,107.76,108.59,1169.0,1,0.0
2024-01-16,107.17,108.06,106.55,107.49,1714.0,1,0.0
2024-01-17,106.56,108.1,105.15,105.65,1289.0,1,0.0
2024-01-18,105.0,105.0,103.98,104.74,1127.0,1,0.0
2024-01-19,104.8,105.11,103.72,104.47,1367.0,1,0.0
2024-01-22,104.25,105.22,103.1,103.86,949.0,1,0.0
2024-01-23,103.5,104.29,103.09,104.14,956.0,1,0.0
2024-01-24,104.93,105.05,102.07,102.09,1307.0,1,0.0
2024-01-25,102.83,104.03,102.36,103.78,1533.0,1,0.0
2024-01-26,104.0,104.12,103.08,103.54,1201.0,1,0.0
2024-01-29,103.34,104.2,102.72,103.91,1174.0,1,0.0
2024-01-30,103.2,105.68,102.37,104.58,1500.0,1,0.0
2024-01-31,105.43,106.45,104.27,105.29,1658.0,2,0.0
2024-02-01,104.11,107.43,103.53,107.23,1813.0,1,0.0
2024-02-02,106.12,106.24,104.05,105.25,1686.0,1,0.0
2024-02-05,103.56,105.11,103.0,103.9,1693.0,1,0.0
2024-02-06,103.25,104.38,103.0,104.16,1492.0,1,0.0
2024-02-07,104.53,105.78,103.81,105.3,1647.0,1,0.0
2024-02-08,103.44,106.41,102.75,103.83,1668.0,1,0.0
2024-02-09,103.0,104.43,103.0,104.1,1356.0,1,0.0
2024-02-12,104.37,106.61,103.88,106.22,1822.0,1,0.0
2024-02-13,105.41,105.75,103.1,104.21,2022.0,1,0.0
2024-02-14,104.38,105.9,103.7,105.24,1891.0,1,0.0
2024-02-15,105.71,107.75,105.71,107.62,1812.0,1,0.0
2024-02-16,106.83,108.55,106.55,107.75,3228.0,1,0.0
2024-02-20,107.24,109.36,107.24,107.45,2925.0,1,0.0
2024-02-21,107.56,109.42,107.56,108.89,3758.0,1,0.0
2024-02-22,107.69,107.91,106.6,107.14,2953.0,1,0.0
2024-02-23,107.02,108.78,107.02,108.34,3062.0,1,0.0
2024-02-26,107.22,107.39,105.9,106.14,1905.0,1,0.0
2024-02-27,106.33,107.43,105.75,107.27,1647.0,1,0.0
2024-02-28,106.67,108.15,106.46,107.8,1746.0,2,0.0
